Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Dhamaka,2021,"Action, Crime, Drama, Thriller","Ram Madhvani, Heavenveer Singh Hayer",Nothing from IMDB,"Kartik Aaryan, Mrunal Thakur, Amruta Subhash, Soham Majumdar, Vikas Kumar, Vishwajeet Pradhan, Aeklavya Tomer, Aishwarya Chaudhary, Mahender Singh Bisht, Kumar Vasu Dilip",Arjun Pathak once a prime time news anchor for TRTV go demoted from his position due to unacceptable reasons and now works as an RJ for the same channel for current affairs.Arjun while of air gets a call from Raghubir Matha stating that he will blow the sea link but he takes it as a joke and asks him to go ahead and next moment the sea link is blown killing innocent lives.Arjun does not report about Raghubir to the cops but keeps a demand in front of his boss Ankita Malaskar that he will have to be given his prime time seat back if she wants to air the prime news on her channel.Ankita whose more concerned about her channel ratings strikes deal but Arjun will have to show the news what she wants.Arjun covers the news where Raghubir demands that the Chief Minister should come to his studio and say sorry to him during his live telecast or else there will be more destruction. But Ankita's only priority is to check her TRP ratings where Raghubir causes more destruction where Arjun looses his wife Saumya as well as causes trouble for himself.,['103'],India,Hindi,,7.0,13510660
Dhaal: The Battle of Law Against Law,1997,"Action, Drama",Sameer Malkan,Nothing from IMDB,"Vinod Khanna, Suniel Shetty, Gautami, Anjali Jathar, Laxmikant Berde, Kunika Sadanand, Arun Govil, Sanjay Shah, Danny Denzongpa, Amrish Puri","Inspector Varun Saxena is under extreme pressure especially when the henchman of gangster, Pilot Baba is let off and proved innocent by his cunning advocate Vishwaraj Diwan; though guilty of killing the inspector colleague, Inspector Deodhar. Varen then vent his frustration when his garage-mechanic friend, Suraj decides to study law so as to assist him but their friendship comes to an end when Varun arrests Suraj for attempting to rape Mrs. Deodhar. As time progresses Varun himself gets implicated for murdering a huge number of school children, is discharged and sent to prison where he clashes with Suraj and must work a way out that will bring justice for themselves.",['148'],India,Hindi,,5.3,135393
Devdas,2002,"Drama, Musical, Romance",Sanjay Leela Bhansali,Nothing from IMDB,"Shah Rukh Khan, Madhuri Dixit, Aishwarya Rai Bachchan, Jackie Shroff, Kirron Kher, Smita Jaykar, Tiku Talsania, Vijayendra Ghatge, Milind Gunaji, Ananya Khare","Devdas Mukherji is black-listed by his multi-millionaire Zamindar father, Narayan. After completing 10 years of study, Devdas returns to his hometown where his family prepares to welcome him, but their happiness changes when Devdas prefers to visit his childhood sweetheart, Parvati alias Paro, before paying respect to his mother. After so many years, Devdas finds he is still the black spot in his father's life, especially when he is prevented from marrying Paro, who happens to be a lower-caste girl. Eventually time passes with Paro's family arranging her marriage to a much older man, Bhuvan Choudhry, whose children are in her age group. This sadness not only breaks Devdas' heart but shackles him to alcohol in a big way. Soon Devdas starts to frequent a brothel and catches the eyes of a courtesan named Chandramukhi. Step by step, Devdas trudges down a path of self-destruction.",['185'],India,Hindi,,7.5,238936
Dev,2019,"Action, Adventure, Romance",Rajath Ravishankar,Nothing from IMDB,"Karthi, Rakul Preet Singh, Karthik, Prakash Raj, Ramya Krishnan, Renuka, Rj Vigneshkanth, Amrutha Srinivasan, Nikki Galrani, Rob Peck",,['157'],India,"Tamil, Telugu, Hindi",,4.8,8751976
Dil Deewana Mane Na,2023,Romance,Nothing from IMDB,Nothing from IMDB,"Madhumita Sarcar, Yash Daasguptaa, Debaparna Chakraborty, John Bhattacharya","Dil Dewana Mane Na is Hindi romantic soap opera aired on Star Plus, a tale of romance between the arrogant Bengali cosmopolitan tycoon Aranya Singha Roy and small town girl innocent but free spirited Pakhi from Malda (Bengal) attracted to each other and their intense love-hate relationship culminating into marriage. Subsequently how the couple go through difficult periods , trials and triumphs. The world of the Singha Roy's and the Ghosh Dastidars - how these families adjust and support this romance.",,India,Hindi,,6.9,30477798
Deep Water,2022,"Drama, Mystery, Thriller",Adrian Lyne,Nothing from IMDB,"Ben Affleck, Ana de Armas, Tracy Letts, Grace Jenkins, Dash Mihok, Rachel Blanchard, Kristen Connolly, Jacob Elordi, Lil Rel Howery, Brendan Miller","Vic and Melinda Van Allen are a couple in the small town of Little Wesley. Their loveless marriage is held together only by a precarious arrangement whereby, in order to avoid the messiness of divorce, Melinda is allowed to take any number of lovers as long as she does not desert her family. Vic becomes fascinated with the unsolved murder of one of Melinda's former lovers, Martin McRae, and, in order to successfully drive away her current fling, takes credit for the killing. When the real murderer is apprehended, Vic's claims are interpreted by the community as dark jokes.",['115'],"Australia, United States",English,,5.5,2180339
Decoupled,2021,"Comedy, Drama",Nothing from IMDB,Manu Joseph,"Madhavan, Surveen Chawla, Sonia Rathee, Dilnaz Irani, Darren E. Scott, Shrutee Choudhary, Atul Kumar, Bushra Shaikh, Apara Mehta, Ajay Madhok",,['30'],India,"English, Hindi",,7.9,14167338
Death on the Nile,2022,"Crime, Drama, Mystery",Kenneth Branagh,Nothing from IMDB,"Michael Rouse, Alaa Safi, Orlando Seale, Charlie Anson, Danny Hughes, Sam James Page, Kenneth Branagh, James Schofield, George Jaques, Jonah Rzeskiewicz","Belgian sleuth Hercule Poirot's vacation aboard a glamorous river steamer turns into a terrifying search for a murderer when a picture-perfect couple's idyllic honeymoon is tragically cut short. Set against an epic landscape of sweeping Egyptian desert vistas and the majestic Giza pyramids, this tale of unbridled passion and incapacitating jealousy features a cosmopolitan group of impeccably dressed travelers, and enough wicked twists and turns to leave audiences guessing until the final, shocking denouement.",['127'],"United States, United Kingdom","English, French, German",,6.3,7657566
De De Pyaar De,2019,"Comedy, Drama, Romance",Akiv Ali,Nothing from IMDB,"Ajay Devgn, Tabu, Rakul Preet Singh, Jimmy Shergill, Alok Nath, Madhumalti Kapoor, Bhavin Bhanushali, Gandharv Dewan, Kumud Mishra, Sunny Singh","a 50 year old Aashish living London away from his family fro many years,He falls in love with a 26 year Ayesha.Thou officially not divorced from his first wife Manju.Aashish wants her permission to get married to Ayesha.Upon reaching his house in India ,Ayesha finds that Aashish kids are of the same age as her.Aashish introduces Ayesha as his secretary to his family,he also finds that his daughter is about to get married and VK whose become close family friend is trying to woo her Manju.",['135'],India,Hindi,,6.5,8647400
David,2013,"Action, Crime, Drama, Romance, Thriller",Bejoy Nambiar,Nothing from IMDB,"Vikram, Neil Nitin Mukesh, Vinay Virmani, Tabu, Isha Sharvani, Lara Dutta, Sheetal Menon, Nishan, Prahlad Kakkar, Remo Fernandes","The story is about two Davids. David (Vikram) is a 30 year old fisherman living in Goa. David who is a carefree drunkard getting involved in pub fights and other unwanted activities falls for his friends deaf and mute fiancé Roma (Isha Sharvani). Meanwhile, the other David (Jiiva), is a 19 year old guitarist living in Mumbai. He hates his dad Father Noel (Nassar) for his philanthropist attitude. Meanwhile, an MLA attacks his dad and beats him up mercilessly with a group of people accusing that Noel is trying to convert everyone into Christianity. David learns that it was for the purpose of cheap publicity and he goes on trying to reach her. The two Davids are about to take a decision which will change their lives forever.",['155'],India,"Tamil, Hindi",,6.2,2358412
