Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
No Strings Attached,2011,"Comedy, Romance",Ivan Reitman,Nothing from IMDB,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes, Greta Gerwig, Lake Bell, Olivia Thirlby, Ludacris, Jake Johnson, Mindy Kaling","Occasionally in the 15 years since summer camp, Adam and Emma cross paths. When he discovers that an ex-girlfriend is living with his dad, he gets drunk, calls every woman in his cell phone contact list, and ends up passed out naked in her living room. By this time, she's a medical resident in L.A. and he's a gopher on a ""Glee""-like TV series, hoping to be a writer. She guards her emotions (calling her father's funeral ""a thing""), so after a quick shag in the moments she has before leaving for the hospital, she asks if he wants a no-strings-attached, sex-only relationship, without romance or complications. A prescription for fun or for disaster?",['108'],"United States, United Kingdom","English, Ukrainian",,6.2,1411238
No Smoking,2007,"Drama, Horror, Mystery, Thriller",Anurag Kashyap,Nothing from IMDB,"John Abraham, Ayesha Takia, Paresh Rawal, Ranvir Shorey, Kiku Sharda, Akhauri P. Sinha, Joy Fernandes, Karan Makhija, Megh Pant, Vasan Bala","K lives a wealthy lifestyle in India along with his widowed mother and brother, J. His mother works as an interpreter with the German embassy. As a child K acquired the habit of chain-smoking along with his friend, Abbas Tyrewala. Now matured, running his own business, married to Anjali, who also doubles as his Secretary, Annie, K continues to chain-smoke. When Abbas quits, he manages to convince K to undergo treatment at the Prayogshala located near Kalkatta Karpets but K refuses. He changes his mind when Anjali moves out, decides to undergo treatment, goes to Prayogshala, meets with Guruji, is forcibly enlisted, then again forced to sign a Cheque for 21 Lakhs Rupees for his treatment, and after doing so is discharged with a warning that very bad things will happen to him and everyone of his family if he dares to smoke again. Watch what happens when K decides to secretly re-locate and continue to smoke.",['128'],India,"Hindi, English",,7.3,995740
Free Entry,2006,"Drama, Romance",Kanti Shah,Bashir Babar,"Anil Nagrath, Amit Pachori, Sapna Sappu",,['91'],India,Hindi,,5.9,1027813
Anjaan,2014,"Action, Crime, Thriller","N. Linguswamy, Suresh",Nothing from IMDB,"Suriya, Vidyut Jammwal, Samantha Ruth Prabhu, Manoj Bajpayee, Dalip Tahil, Soori, Joe Malloori, Murli Sharma, Asif Basra, Chetan Hansraj","Raju 'Bhai' & Chandru head a thriving gang in Mumbai, taking on & decimating all those who oppose them. When the story of their success reaches the ears of the dreaded don, Imran Bhai, they face his inevitable wrath. It is now up to Krishna, the brother of Raju Bhai, to identify the culprits responsible for the fate suffered by the duo and exact revenge.",['166'],India,Tamil,,5.2,3563156
Nishant,1975,"Crime, Drama",Shyam Benegal,Nothing from IMDB,"Girish Karnad, Shabana Azmi, Anant Nag, Amrish Puri, Satyadev Dubey, Smita Patil, Mohan Agashe, Kulbhushan Kharbanda, Naseeruddin Shah, Sadhu Meher","Vishwam (Naseeruddin Shah) is the youngest brother of the powerful and influential village Zamindar (Amrish Puri). The Zamindar will not hesitate to do anything for the welfare and protection of his family, which also includes bending the law to his own advantage. Vishwam is married to Rukmani (Smita Patil), and unlike his brothers, does not indulge in alcohol or women, nor does he have any bad habits. Then the village gets a new schoolmaster (Girish Karnad), who has a wife, Susheela (Shabana Azmi). When Vishwam sees her for the first time, he is unable to take his eyes off her, and unable to get her out of his mind. Susheela does not reciprocate his attentions. Then one night, Susheela is forcibly carried away in a car by the Zamindar's right-hand men (Mohan Agashe and Anant Nag). The schoolmaster's efforts to stop them are to no avail, and the several people present do nothing to stop this abduction. What will the schoolmaster do to get his wife back, knowing fully well that even the village policeman (Kulbhushan Kharbanda) kowtows to the Zamindar.",['140'],India,Hindi,,7.6,73458
Nirdosh,2018,"Drama, Mystery, Thriller","Subroto Paul, Pradeep Rangwani",Nothing from IMDB,"Ashmit Patel, Manjari Fadnnis, Manisha Kelkar, Akash Sinha, Geetanjali Mishra, Astad Kale, Rajkumar Kanojia, Shilpa Kadam, Feroz Bhagat, Dinesh Lamba",,['110'],India,Hindi,,4.5,7723022
Nirahua Rikshawala 2,2015,Comedy,Nothing from IMDB,Nothing from IMDB,"Amrapali Dubey, Dinesh Lal Yadav",,,India,Bhojpuri,,,29083961
Raatchasan,2018,"Action, Crime, Drama, Mystery, Thriller",Ram Kumar,Nothing from IMDB,"Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan, Munishkanth, Saravanan, Usha Elizabeth, Vinodhini Vaidynathan, Ammu Abhirami, Baby Monika Siva","Circumstances force Arun, an aspiring film director, to take up the job of a Sub Inspector after his father passes away. While Arun faces issues in adjusting to the lifestyle of a police officer, a series of mysterious murders of school going girls happen in the city.",['146'],India,Tamil,,8.3,7060344
Net,2021,"Drama, Thriller",Bhargav Macharla,Bhargav Macharla,"Rahul Ramakrishna, Avika Gor, Praneeta Patnaik, Vishwadev Rachakonda, Rafael Padilla","NET is a 90-minute film that shows the weakness of human life, dealing with obsession taking over ethical values. Net, a story set in Nalgonda, revolves around a newly-married middle-class couple and a young couple, working in the software industry. Laxman, a small mobile-shop owner, in an unhappy marriage, stumbles upon Priya, a software professional through a porn site. Priya's apartment is under surveillance of hidden cameras making her and her boyfriend Ranjith's private life accessible to everyone who can unlock every room of her house by paying a heavy subscription fee. Laxman's obsession with her keeps mounting up until he finds out that Ranjith is cheating on Priya. That's when his entire life turns upside down when he goes out of his way to help Priya. Life pushes all the characters to a unseen limit and leads to broken relationships and shocking endings and finally everyone is trapped in a net. How they eventually get out of the net or not falls rest of the story.",['103'],India,Tamil,,5.6,14992960
Nehle Pe Dehla,1999,Comedy,Nothing from IMDB,Nothing from IMDB,"Sachin Pilgaonkar, Archana Puran Singh, Satish Shah",,,India,Hindi,,,5583070
