Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Rajma Chawal,2018,"Comedy, Drama, Family",Leena Yadav,Nothing from IMDB,"Rishi Kapoor, Amyra Dastur, Aparshakti Khurana, Sheeba Chaddha, Mukesh Chhabra, Diksha Juneja, Brijendra Kala, Harish Khanna, Nirmal Rishi, Manu Rishi Chadha",,['117'],India,Hindi,,5.7,6747420
Rajkahini,2015,"Drama, History",Srijit Mukherji,Nothing from IMDB,"Rituparna Sengupta, Lily Chakravarty, Parno Mittra, Jaya Ahsan, Sudipta Chakraborty, Priyanka Sarkar, Sohini Sarkar, Saayoni Ghosh, Ridhima Ghosh, Ditipriya Roy","In August 1947, the British passed a bill regarding the partition of Bengal. Delving into the grim history of the Partition, Mukherjee's movie Rajkahini is woven around a border between the two nations that runs through a brothel housing 11 women.",['160'],India,Bangla,,7.2,4948632
Rajkahini,2015,"Drama, History",Srijit Mukherji,Nothing from IMDB,"Rituparna Sengupta, Lily Chakravarty, Parno Mittra, Jaya Ahsan, Sudipta Chakraborty, Priyanka Sarkar, Sohini Sarkar, Saayoni Ghosh, Ridhima Ghosh, Ditipriya Roy","In August 1947, the British passed a bill regarding the partition of Bengal. Delving into the grim history of the Partition, Mukherjee's movie Rajkahini is woven around a border between the two nations that runs through a brothel housing 11 women.",['160'],India,Bangla,,7.2,4948632
Rajkahini,2015,"Drama, History",Srijit Mukherji,Nothing from IMDB,"Rituparna Sengupta, Lily Chakravarty, Parno Mittra, Jaya Ahsan, Sudipta Chakraborty, Priyanka Sarkar, Sohini Sarkar, Saayoni Ghosh, Ridhima Ghosh, Ditipriya Roy","In August 1947, the British passed a bill regarding the partition of Bengal. Delving into the grim history of the Partition, Mukherjee's movie Rajkahini is woven around a border between the two nations that runs through a brothel housing 11 women.",['160'],India,Bangla,,7.2,4948632
Rajkahini,2015,"Drama, History",Srijit Mukherji,Nothing from IMDB,"Rituparna Sengupta, Lily Chakravarty, Parno Mittra, Jaya Ahsan, Sudipta Chakraborty, Priyanka Sarkar, Sohini Sarkar, Saayoni Ghosh, Ridhima Ghosh, Ditipriya Roy","In August 1947, the British passed a bill regarding the partition of Bengal. Delving into the grim history of the Partition, Mukherjee's movie Rajkahini is woven around a border between the two nations that runs through a brothel housing 11 women.",['160'],India,Bangla,,7.2,4948632
Rajdhani Express,2013,"Action, Drama, Thriller",Ashok Kohli,Nothing from IMDB,"Jimmy Shergill, Ishrat Ali, Nishant Balgovind, Puja Banerjee, Sayali Bhagat, Bhupindder Bhoopii, Priyanshu Chatterjee, Gulshan Grover, Achint Kaur, Kiran Kumar","Keshav is on the run from his gang, after his boss found out about his affair with his daughter. He boards the Rajdhani Express from Delhi to Mumbai, sharing a cabin with Munish, Reena, and Banerjee. Through miscommunication, corruption and power plays, he is targeted as a terrorist for execution, and everyone with him.",['140'],India,Hindi,,2.8,2560016
Raja Babu,1994,"Action, Comedy, Drama, Romance",David Dhawan,Nothing from IMDB,"Govinda, Karisma Kapoor, Shakti Kapoor, Kader Khan, Aruna Irani, Gulshan Grover, Prem Chopra, Sameer Kakkar, Vikas Anand, Arun Bakshi","Raja Babu (Govinda) is a poor orphan adopted by a wealthy village couple (Kadar Khan and Aruna Irani). He is a typical country bumpkin, good-hearted but lacking in urban manners. He falls for Madhu (Karishma Kapoor) when he sees her photograph in a studio and chases her on his bike decorated with plastic flowers with his sidekick, played by Shakti Kapoor. Taken in by his smart appearance and impressive talks, she reciprocates his love but walks out on him with all villagers watching when she learns that he is no match to her urbane, well-educated self. It was particularly humilitating for his father as it happened in front of villagers who respected him highly. The movies takes several twists with a typical Bollywoodesque happy ending. Villains are nabbed by police but not before being beaten black and blue by the hero, boy gets his girl and parents are reunited with their son.",['161'],India,Hindi,,6.3,110942
Raees,2017,"Action, Crime, Drama",Rahul Dholakia,Nothing from IMDB,"Shah Rukh Khan, Nawazuddin Siddiqui, Sunny Leone, Jaideep Ahlawat, Mohd. Zeeshan Ayyub, Mahira Khan, Sheeba Chaddha, Atul Kulkarni, Shahnawaz Pradhan, Saharsh Kumar Shukla","The film is set in the early 80's and 90's in Gujarat. The fictitious story of a man who builds an empire in the state of Gujarat, the only state that still follows prohibition. It's a story about his rise and his relationships, which help him become the single most powerful man in the state.",['143'],India,Hindi,,6.7,3405236
Death Race,2008,"Action, Sci-Fi, Thriller",Paul W.S. Anderson,Nothing from IMDB,"Jason Statham, Joan Allen, Ian McShane, Tyrese Gibson, Natalie Martinez, Max Ryan, Jason Clarke, Frederick Koehler, Jacob Vargas, Justin Mader","In 2012, amid economic chaos and high unemployment, Americans watch by the millions as criminals with life sentences race armored cars on Terminal Island. Two-thirds of the combatants die, but the winner may earn his freedom. On the day he loses his job, steelworker Jensen Ames is arrested for his wife's murder. Sent to Terminal Island, he is offered an out by the steely and manipulative Warden Claire Hennessey - race as the popular mask-wearing (but now dead) champion, Frankenstein, or rot in prison. Jensen makes the bargain. As the three-stage race approaches, he realizes that the whole thing may be a set-up - can an anonymous man behind a mask get revenge and win his release?",['105'],"United States, Germany, United Kingdom",English,,6.4,452608
Race 2,2013,"Action, Crime, Thriller","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",Nothing from IMDB,"Saif Ali Khan, John Abraham, Deepika Padukone, Anil Kapoor, Jacqueline Fernandez, Ameesha Patel, Aditya Pancholi, Rajesh Khattar, Mohammed S. Burmawala, Ilhan Kizilkaya","Businessman Ranveer Singh (Saif Ali Khan) travels to exotic locales and confronts the Turkish mafia on a mission to avenge the death of his wife Sonia in this action-packed sequel. In the process of seeking her killers, Ranveer crosses Armaan Mallik (John Abraham) and his sister Aleena (Deepika Padukone) -- two of the most feared figures in the Turkish underworld. Meanwhile, Ranveer's childhood friend RD (Anil Kapoor) and his new partner Cherry (Amisha Patel) offer a helping hand in a world where love is cheap and trust is a luxury most agents can't afford.",['150'],India,Hindi,,5.3,1375789
