Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Pankh,2010,Drama,Sudipto Chattopadhyay,Nothing from IMDB,"Bipasha Basu, Lillete Dubey, Mahesh Manjrekar, Maradona Rebello, Amit Purohit, Ronit Roy, Sanjeeda Sheikh, Bharat Kaul, Johny Bakshi, Dayashankar Pandey","PANKH Director's take: Cinema within cinema has always fascinated filmmakers all across the globe. The film industry of each country has characteristics peculiar to their culture. That is what distinguishes them, makes them intriguing and anecdotes associated with each industry in a specific cultural context naturally lend themselves to interesting tales. The story of Baby Kusum is such an intriguing and horrifying tale. It is a story about life imitating art in a grotesque and bizarre way. This film seeks to probe into the mechanism that operates behind the creation of dreams. It highlights a phenomenon that was peculiar and exclusive to the Indian film industry--- the practise of casting children in roles opposite to their natural genders. We have had many instances of young girls being cast as boys in films and vice versa. Their screen names used to be changed to suit the gender they were playing on screen. Interestingly, in Raja Harishchandra, the first narrative film made in India, a man portrayed the heroine's role. It was a common practice in Indian theatre till the middle half of the last century, to cast men in women's roles. In cinema however, verisimilitude was sought to a greater degree and hence the entire persona of the performer had to be changed to suit the screen image. It is difficult to ascertain gender of children by their appearance. Their clothes and hairdos often demarcate them. So the practice of casting perky kids, who could deliver effortless performances, in roles that were not representing their own gender, was widely practiced in Indian films. This film purports to delve into the psyche of one such person who was forced to assume a gender role other than his natural gender and analyses the disastrous consequences that follow and destroy him in his adulthood. Baby Kusum is the story of a boy burdened with a sexual identity not his own. It is about the brutality of a society that imposes superficial gender codes. It is a story of human suffering and about the tragedy of human predicament. The film tries to explore the complex maze of relationships: the Oedipal, the homosexual, the exploitative. It tears that veil of shame that covers the face of this glamorous profession. Truth stares naked at the face of an audience bred on and allured by the sham of this life. Baby Kusum explores various spaces--- the real space, the mind space, the sexual space and the spiritual space. All stand juxtaposed together and often are intermingled to create panoply of gore and blood, of intensity and brutality, of love and shame. Cinematically it confronts the time space continuum. It conjures and jumbles up the time past, the time present and the time operative, all together within the same mental space. It creates a delusion. It provokes and raises several pertinent questions. But it never ignores basic human emotions. That is where it becomes a moral fable, a pious tale. That is where it connects to the common man.",['98'],India,Hindi,,3.6,1124386
Panchayat,2020,"Comedy, Drama",Nothing from IMDB,Chandan Kumar,"Jitendra Kumar, Raghubir Yadav, Neena Gupta, Chandan Roy, Faisal Malik, Sanvikaa, Durgesh Kumar, Biswapati Sarkar, Govind Lobhani, Mubarak Khan","Panchayat is a comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a panchayat office in a remote village of Uttar Pradesh. Stuck between crazy villagers and a difficult village lifestyle Abhishek starts his job with the sole motivation of getting out of there as soon as possible, for which he even prepares for CAT.",['536'],India,Hindi,,8.9,12004706
Paan Singh Tomar,2012,"Action, Biography, Crime, Sport, Thriller",Tigmanshu Dhulia,Nothing from IMDB,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya, Navneet Gairola, Mahesh Ginnilaal, Rajendra Gupta, Rajiv Gupta, Jhakkad Guru, Ashraf Ul Haq","Paan Singh Tomar is a Hindi-language film, based on the true story of a runner employed by the Army and has won Gold medal at Indian National Games but forced to become notorious baaghi. It is directed by Tigmanshu Dhulia.",['135'],India,Hindi,,8.2,1620933
Outsource,2022,Action,John Stephen Baltazar,Nothing from IMDB,"Bashar Atiyat, Noel Blanco, Thais Buchner, Mars Callo, Aria Chelabian, Mark Gregory De Guzman, Wewel De Leon, Mike De Leone, Mark Escalona, Jhing Freeze","A Serious All-Business retired Assassin and Spy with his Silly and Over Dramatic Super Hacker Twin brother, along with a Fem-Fatal asset as a Gun Shadow, help their friend Chief of Police to take down a head of a Black-Market syndicate. After the operation deemed successful, things turn to ""Ugly"" as their Chief friend was kidnapped and assassinated, now it's a new task of personal vendetta.",['80'],United Arab Emirates,English,,4.7,12330400
Oru Second Class Yathra,2015,Drama,"Jexson Antony, Rejis Antony",Nothing from IMDB,"Vineeth Sreenivasan, Chemban Vinod Jose, Nikki Galrani, Joju George, Sreejith Ravi, Aparna Balamurali, Arun Ghosh, Indrans, Koottickal Jayachandran, Sasi Kalinga",Police constables Balagopal (Sreejith Ravi) and Jolly Kurien (Joju George) have been at odds for years but are under orders to transfer two prisoners Nandu(Vineeth Sreenivasan)and Maran (Chemban Vinod Jose) from Kannur to Trivandrum. But on the way one prisoner escapes. The two officers with second prisoner were hope to find the missing one before the day ends.,['104'],India,Malayalam,,5.3,4664092
Open Water 3: Cage Dive,2017,"Adventure, Drama, Horror, Thriller",Gerald Rascionato,Nothing from IMDB,"Joel Hogan, Josh Potthoff, Megan Peta Hill, Pete Valley, Mark Fell, Christopher Callen, Tara Wraith, Teagan Berger, Chris Bath, Robert Ovadia","To capture thrilling, face-to-face encounters with deadly great white sharks, the young thrill-seekers, Josh; his half-brother, Jeff, and Jeff's girlfriend, Megan, set off to the vast and unforgiving Australian coast to go cage-diving. As the audacious friends start filming an audition tape for an extreme reality-TV show in the relative safety of their heavy cage, a towering wave capsizes their small boat, stranding the reckless trio in the cold water. Now, as the day grows dim, and raw fear gets the best of the defenceless trio, a famished school of man-eating oceanic predators start closing in on them, turning their recording into a bloody diary of death. Do they have what it takes to survive the open water?",['80'],Australia,English,,4.2,4126568
Oozham,2016,"Action, Drama, Thriller",Jeethu Joseph,Jeethu Joseph,"Prithviraj Sukumaran, Pasupathy, Divya Pillai, V. Jayaprakash, Balachandra Menon, Neeraj Madhav, Anson Paul, Irshad, Tony Luke, Rasna",,['140'],India,"Malayalam, Telugu",,6.0,5436158
One Day: Justice Delivered,2019,"Action, Crime, Thriller",Ashok Nanda,Alaukik Rahi,"Anupam Kher, Kumud Mishra, Esha Gupta, Zakir Hussain, Rajesh Sharma, Murli Sharma, Deepshikha Nagpal, Mohaq Kansara, Zarina Wahab, Kashyap Barbhaya",Justice Tyagi lives a retired life with his family during the marriage of his daughter Pooja Dr Couple Ajay Chopra and Reena Chopra go missing after attending the function. Inspector Sharma is assigned to investigate the matter and Tyagi decides to cooperate. It is revealed that Tyagi is behind the kidnapping and his next target is hotelier Pankaj Singh his motive behind kidnappings is to give justice to their victims.Due back to back kidnappings and increasing pressure from officials the cops appoint Laxmi Rathi to take over the case while Sharma will have to assist her.,['124'],India,Hindi,,5.1,8130558
One Day,2011,"Drama, Romance",Lone Scherfig,Nothing from IMDB,"Anne Hathaway, Jim Sturgess, Tom Mison, Jodie Whittaker, Tim Key, Rafe Spall, Joséphine de La Baume, Patricia Clarkson, Ken Stott, Heida Reed","Emma and Dexter meet on the night of their university graduation. We see them every year on the anniversary of that date - July 15th. Emma is smart but success doesn't come quickly for her, whereas for Dexter, success and women come very easily. Through the years they grow apart as their lives take different directions and they meet other people. But as they grow apart from those other people and their lives start taking opposite directions again, Emma and Dexter find that they belong with each other.",['107'],"United States, United Kingdom",English,,7.0,1563738
One by Two,2014,"Comedy, Drama, Romance",Devika Bhagat,Nothing from IMDB,"Abhay Deol, Preeti Desai, Lillete Dubey, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, Anish Trivedi, Geetika Tyagi, Preetika Chawla, Tahir Raj Bhasin",,['139'],India,"Hindi, English",,3.9,2951576
