Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Biwi-O-Biwi,1981,"Comedy, Romance",Rahul Rawail,Nothing from IMDB,"Sanjeev Kumar, Randhir Kapoor, Poonam Dhillon, Yogeeta Bali, Simi Garewal, Rajendranath Malhotra, Dina Pathak, Shashikala Jawalkar, Prema Narayan, Deven Verma","Singer Chandermohan is born in a well-off family and is the only child. Since he is of marriageable age, both he and his parents want him to get married. But since he was born with a strong & adverse influence of Mars (Mangalik) during his birth his horoscope has not been compatible with any suitable woman. On his friend's Gafoor's, who has two wives, advice he re-locates to Bombay, sings at the Tejpal Auditorium, meets and falls in love with wealthy Asha, who lives with her widower dad, ironically named Colonel Mangal Singh and her paternal grandma. Mangal would like Asha to get married to an army officer. His attempts fail and Asha and his mom convince him to let Asha, who is also Manglik, get married to Chandermohan. He reluctantly falls in line with them, but then a series of events makes everyone change their mind about Chandermohan, namely a fake astrological chart that shows he is not Manglik, and his accusations about Mangal, who he alleges is leading a double life, romancing, wooing, and having a child with wealthy Nisha, Nirmala from Jeevan Saathi matrimonial bureau and Rina respectively, apart from being an alcoholic, robbing Chandermohan, stealing from his own house, and exhibiting goon-like behavior. Hilarious chaos results as Mangal's mom and daughter attempt to figure out why Chandermohan is spreading these tall tales about their son and father respectively.",['156'],India,Hindi,,7.2,266333
Arpan,1983,"Drama, Romance",J. Om Prakash,Nothing from IMDB,"Jeetendra, Reena Roy, Parveen Babi, Raj Babbar, Sujit Kumar, Dina Pathak, Sulochana Latkar, Vikas Anand, Preeti Sapru, Sudhir Dalvi","The Verma family consists of Mrs. Verma, the mother; Anil, the son; and a daughter named Vinnie. Anil loves Shobha, and hopes to marry her someday. While Vinnie loves Rakesh and also hopes to marry him someday too. Shobha and Rakesh both work for JK, a multi-millionaire industrialist. Anil has to goes overseas for a year to better his prospects. He promises to stay in touch with Shobha. However, after a year when Anil returns he finds that Vinnie and Rakesh have married, and is heart-broken to find that Shobha had married JK. Dejected but not beaten, he marries another girl by the name of Sona, but is unable to get Shobha out of his mind. Sona resents this, and one day follows him, and finds him in bed with none other than Shobha.",['144'],India,Hindi,,6.3,247936
Anyone But You,2023,"Comedy, Romance",Will Gluck,Nothing from IMDB,"Sydney Sweeney, Glen Powell, Mia Artemis, Nat Buchanan, Josh Bonello, Gata, Alexandra Shipp, Hadley Robinson, Dermot Mulroney, Rachel Griffiths","In the aftermath of a captivating first encounter, Bea and Ben discover that their initial fiery passion has inexplicably dwindled to frosty misunderstanding. However, fate intervenes: Thrown together again at a dreamy Australian wedding, they opt for a charade of coupledom. But sparks reignite amid the sun-kissed scenery, forcing them to confront their true feelings and embrace a second chance at love.",['103'],"United States, Australia",English,,6.5,26047818
Alexander: The Making of a God,2024,"Documentary, Drama, History",Nothing from IMDB,"Christopher Bell, Jane McLean Guerra","Buck Braithwaite, Mido Hamada, Dino Kelly, Nada El Belkasmi, Will Stevens, Alain Ali Washnevsky, Souad Faress, Waleed Elgadi, Agni Scott, Steven Hartley",,['45'],United Kingdom,English,,5.0,27494999
Upgraded,2024,"Comedy, Romance",Carlson Young,"Christine Lenig, Justin Matthews, Luke Spencer Roberts","Camila Mendes, Archie Renaux, Marisa Tomei, Lena Olin, Anthony Head, Thomas Kretschmann, Grégory Montel, Rachel Matthews, Fola Evans-Akingbola, Aimee Carrero",,['104'],United States,English,,6.1,21830902
Starz Special: The Water Horse: Legend of the Deep,2007,Adventure,Antonia King,Nothing from IMDB,Nothing from IMDB,,,United States,English,,6.8,1153702
Shock Wave,2017,"Action, Crime, Thriller",Herman Yau,Nothing from IMDB,"Andy Lau, Wu Jiang, Jia Song, Philip Keung, Ron Ng, Leo Zi-yi Wang, Felix Wong, Sau Sek, Kai-Chi Liu, Chun-Kit Cheung","JS Cheung (by Andy Lau), a Superintendent in Explosive Ordnance Disposal Bureau (EOD) of Hong Kong Police Force, went undercover seven years ago into the gang led by the most-wanted crime boss Peng Hong (by Andy Lau). Cheung successfully uprooted the gang and arrested a few robbers including Hong's younger brother Biao. However, Hong was on the loose and he swore he'd be back for revenge. Seven years have passed and Hong kick starts his plan - a series of bomb attacks have sparked fear among Hong Kong citizens. To maintain law and order, Cheung must put Hong behind bars and he is ready to sacrifice his life to fight a tough battle with the ruthless bomber.",['119'],"Hong Kong, China","Cantonese, English",,6.3,5847286
Shock Wave 2,2020,"Action, Crime, Thriller",Herman Yau,"Herman Yau, Erica Li, Eric Lee","Andy Lau, Ching Wan Lau, Ni Ni, Kwan-Ho Tse, Ron Ng, Tak-Bun Wong, Raymond Chiu, Zhang Yang, Philip Keung, Chun-Kit Cheung","When a bomb went off unexpectedly during a police operation to disarm it, Poon Shing-Fung, a bomb disposal officer, got caught in the blast and thus lost one of his legs. Poon decided to leave the police service. Three years later, the police suspect Poon, who was found in a coma at the spot of a terrorist bombing attack, of being involved in several bombing attacks in the past two years. Poon can hardly remember his past and even his own identity due to Post Traumatic Amnesia. He plans to escape to find out the truth. Meanwhile, knowing the terrorist organization's schemes of destroying Hong Kong landmarks, Poon, as the key person between the police and the terrorist organization, would possibly save or destroy lives of the innocent civilians in the city.",['120'],"Hong Kong, China","Cantonese, Mandarin",,6.6,9597838
Lantrani,2024,"Comedy, Drama","Kaushik Ganguly, Bhaskar Hazarika, Gurvinder Singh",Durgesh Singh,"Rajesh Awasthi, Boloram Das, Jitendra Kumar, Johny Lever, Sanjay Mahanand, Nimisha Sajayan, Jisshu Sengupta, Bhagwan Tiwari",,['99'],India,Hindi,,6.3,31171944
K-13,2019,"Action, Drama, Mystery, Thriller",Barath Neelakantan,Barath Neelakantan,"Arulnithi, Shraddha Srinath, Adhik Ravichandran, Vijay Kumar Rajendran, Gayathrie, Yogi Babu, Jangiri Madhumitha, Ramesh Thilak, Ashwin Raja, Akalya Venkatesan","While partying with his friends on a night, a young man bumps into a beautiful young woman. What first looks like a one night stand at her apartment soon turns into a nightmare, when he wakes up and realizes that the girl is lying dead next to him. He must now find a way to get out of the chaos that follows and escape from the apartment.",['103'],India,Tamil,,6.0,10275440
Hungama,1971,Comedy,S.M. Abbas,Nothing from IMDB,"Kishore Kumar, Vinod Khanna, Zeenat Aman, Johnny Walker, Helen, Mehmood, Aruna Irani, Faryal, Rajni Gupta, Joginder Shelly","Hungama synopsis (Story) BADE, A RICH BUSINESSMAN WORKED WITH HIS YOUNGER BROTHER CHOTE. THEY WERE A MEAN AND MISERLY PAIR. THEIR NEPHEW MEHMOOD WAS A SPENDTHRIFT. SO THEY DECIDED TO GET HIM MARRIED. BUT ON THE WEDDING DAY THE NEPHEW RAN AWAY FROM HOME. IN THE TRAIN HE MET A GIRL CALLED SWEETY AND FELL IN LOVE WITH HER. ONE DAY BADE AND CHOTE GOT THE COURT'S ORDER TO PAY A TOTAL OF 50 LAKHS IN A SPAN OF SIX MONTHS FOR THEIR FATHER'S PROPERTY FAILING WHICH THE MONEY WOULD GO TO A CHARITABLE TRUST. HOW DO BADE AND CHOTE RETRIEVE THE MONEY?",,India,Hindi,,7.1,215827
Hot Summer Nights,2017,"Crime, Drama, Romance",Elijah Bynum,Elijah Bynum,"Timothée Chalamet, Maika Monroe, Alex Roe, Emory Cohen, Thomas Jane, Maia Mitchell, William Fichtner, Jeanine Serralles, Reece Ennis, Jack Kesy",,['107'],United States,English,,6.4,3416536
He Went That Way,2023,"Crime, Drama, Thriller",Jeffrey Darling,Evan M. Wiener,"Jacob Elordi, Patrick J. Adams, Zachary Quinto, Troy Evans, Erin Moore, Alexandra Doke, Phoenix Notary, John Lee Ames, Dominique Vianney, Nicolette Doke",,['95'],United States,English,,5.2,14772014
