Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Jawab,1995,"Action, Drama, Romance",Ajay Kashyap,Nothing from IMDB,"Raaj Kumar, Karisma Kapoor, Harish, Mukesh Khanna, Farida Jalal, Annu Kapoor, Prem Chopra, Mahesh Anand, Kishore Bhanushali, Bob Christo","Ashwani Kumar Saxena lives a poor lifestyle along with his wife, Parvati, and a young son, Ravi. When he wife gives birth to a daughter, he decides to let his widower and childless employer, Rajeshwar, adopt her. Rajeshwar hates orphans as his sister had married one by the name of Sobhraj, and shortly thereafter e was abused, and had killed herself. Rajeshwar then relocates to live in Bombay, and Parvati and Ravi perish in a fire. Ashwani adopts an orphan, names him Ravi, and enrolls him in S.V. College, Bombay, where he meets and falls in love with Suman. When Ashwani finds out that Ravi is in love with Suman, he approach Rajeshwar, who rejects this alliance due to his hatred of orphans, and humiliates him as he is poor. Ashwani promises to avenge this humiliation and create circumstances that will compel Rajeshwar to permit Suman to marry Ravi, leaving Rajeshwar with no choice but to reconcile with Sobhraj and ruin Ashwani once and for all.",['153'],India,Hindi,,4.5,267613
Jawaan,2017,"Action, Thriller",B.V.S. Ravi,Nothing from IMDB,"Sai Dharam Tej, Mehreen Pirzada, Prasanna, Subbaraju, V. Jayaprakash, Easwari Rao, Kota Srinivasa Rao, Surya, Darbha Appaji Ambarisha, Anish Kuruvilla",,['134'],India,Telugu,,4.6,7208648
Jatt & Juliet 2,2013,"Comedy, Romance",Anurag Singh,Nothing from IMDB,"Diljit Dosanjh, Neeru Bajwa, Jaswinder Bhalla, Vijay Tandon, B.N. Sharma, Rana Ranbir, Rana Jung Bahadur, Amrit Bhilla, Dolly Minhas, Devinder Dillon",,['140'],"Canada, India",Punjabi,,7.3,2673882
Jannat 2,2012,"Crime, Drama, Thriller",Kunal Deshmukh,Nothing from IMDB,"Emraan Hashmi, Randeep Hooda, Esha Gupta, Borde Abhijeet, Mohd. Zeeshan Ayyub, Viren Basoya, Manish Chaudhari, Mihir Chowdhury, Deana Dia, Marcell Dsouza","Jannat 2 revolves around a smuggler Sonu Delhi KKC who deals in illegal guns. ACP Pratap Raghuvanshi is a sincere police officer who has taken the oath to demolish the illegal guns business. The entire movie moves around Mangal Singh Tomar, the gang leader dealing with the illegal guns and how Sonu Delhi and ACP Pratap Raghuvanshi fight back to demolish the gun smuggling business. Sonu Delhi falls in love with Jhanvi Tomar and how he manages to save his love.",['150'],India,Hindi,,6.3,2319889
I gefsi tis agapis,2018,"Romance, Sci-Fi",Akis Polizos,Nothing from IMDB,"Fanis Mouratidis, Dimitris Kitsos, Melissanthi Mahut, Fiona Georgiadi, Natasa Exintaveloni, Albertos Fais, Giannis Gianoulis, Dimitris Goutzamanis, Dimitris Kalimeris, Giorgos Koskorellos","In 2038, a lonely man is living with a female android robot, that satisfies his every wish. Until one day she's updated with ""Artificial Emotions"" and wants to find out what love is. He dismisses her, saying that love is the worst thing that can happen to man, but when she presents him with a Lacta chocolate and asks him to describe its taste since she cannot eat, he tells her a story that began in Athens in 2018.",['74'],Greece,Greek,,6.2,8069260
Jailer,2023,"Action, Comedy, Crime, Thriller",Nelson Dilipkumar,Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff, Ramya Krishnan, Vinayakan, Tamannaah Bhatia, Sunil, Vasanth Ravi, Yogi Babu","Muthuvel Pandian is a retired jailer living happily with his wife, son, daughter-in-law and grandson. His son who is an Assistant Commissioner of police goes missing while investigating the case of missing temple idols and is presumed dead. The story is about how Muthuvel Pandian goes toe to toe against Varma, the mastermind behind large-scale smuggling of temple idols and treasures, and avenges his son.",['168'],India,"Tamil, Malayalam, Hindi, Telugu, Kannada",,7.1,11663228
Jai Gangaajal,2016,"Crime, Drama",Prakash Jha,Prakash Jha,"Priyanka Chopra Jonas, Prakash Jha, Manav Kaul, Ninad Kamat, Rahul Bhat, Kiran Karmarkar, Murli Sharma, Ayush Mahesh Khedekar, Jagat Singh, Vega Tamotia",,['149'],India,Hindi,,5.8,4979082
Jackpot,2013,"Comedy, Thriller",Kaizad Gustad,Nothing from IMDB,"Naseeruddin Shah, Sunny Leone, Sachiin Joshi, Bharath Niwas, Makrand Deshpande, Meenacshi Martins, Satish Gawas, George Rodrigues, Daniel Weber, Melissa Makeup","Jackpot is a fast-paced thriller con, with sharp comic one-liners and crazy characters, set entirely in Goa against the backdrop of casino boats. The film goes back and forth in time, capturing one Goan monsoon of Full Jhol. It's a card game between the players in the con. Who will come out Aces and who will end up being the Joker?",['132'],India,Hindi,,2.0,3309662
Jaanisaar,2015,"Drama, Romance",Muzaffar Ali,Nothing from IMDB,"Imran Abbas, Pernia Qureshi, Muzaffar Ali, Dalip Tahil, Carl Wharton, Abid Yunus Khan, Ali Abbas, Natalie Arikan, Luv Bhargav, Shahid Bobby Husain",,['124'],India,Hindi,,5.2,3826186
Jaane Jaan,2023,"Crime, Drama, Mystery, Thriller",Sujoy Ghosh,Nothing from IMDB,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva, Naisha Khanna, Karma Takapa, Lin Laishram, Denjam Lepcha, Ujjwal Chopra, Shyam Gopal",,['139'],India,Hindi,,7.0,15748830
