Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Court Martial,2020,Drama,"Sourabh Shrivastava, Karwarkar Bhavika",Deepak Swadesh,"Saksham Dayma, Rajeev Khandelwal, Swapnil kiiran Kotriwar, Govind Pandey, Saroj Parida, Col Ravi Sharma, Bhagwan Tiwari",,['120'],India,Hindi,,7.0,11774804
Cosmic Sex,2015,Drama,Amitabh Chakraborty,Nothing from IMDB,"Rituparna Sen, Ayushman Mitra, Biplab Banerjee, Papia Ghoshal, Riwk Jaiswal, Murari Mukherjee","Cosmic Sex is an Art-House Bengali movie by Amitabh Chakraborty and Putul Mahmood. Kripa is running away from a night of sex and violence when he meets a woman ascetic Sadhana, who takes him on a journey of discovering the self through sexual practice. The film stars Rii Sen who won the best actress award at Osian's Cinefan Festival of Asian and Arab Cinema for her role.",['97'],India,Bangla,,3.9,4566934
Contagion,2011,"Drama, Thriller",Steven Soderbergh,Scott Z. Burns,"Gwyneth Paltrow, Tien You Chui, Josie Ho, Daria Strokous, Matt Damon, Griffin Kane, Yoshiaki Kobayashi, Laurence Fishburne, John Hawkes, Jude Law","Soon after her return from a business trip to Hong Kong, Beth Emhoff dies from what is a flu or some other type of infection. Her young son dies later the same day. Her husband Mitch however seems immune. Thus begins the spread of a deadly infection. For doctors and administrators at the U.S. Centers for Disease Control, several days pass before anyone realizes the extent or gravity of this new infection. They must first identify the type of virus in question and then find a means of combating it, a process that will likely take several months. As the contagion spreads to millions of people worldwide, societal order begins to break down as people panic.",['106'],"United Arab Emirates, United States","English, Mandarin, Cantonese",,6.8,1598778
Commando 3,2019,"Action, Adventure, Thriller",Aditya Datt,Nothing from IMDB,"Gulshan Devaiah, Robin Chaudhary, Subhasish Ghosh, Pradeep Yadav, Puneet Dehran, Manoj Singh Kaira, Krish Dhangar, Abhishek Dubey, Suraj Naagar, Manuj Sharma",A mysterious man is on an impending mission to attack the country from his base in London. Karan Singh Dogra sets out to hunt down the antagonist aided by the British Intelligence. Will Commando be able to prevent the attack and save the country?,['133'],India,Hindi,,5.9,8983168
CityLights,2014,"Drama, Thriller",Hansal Mehta,Nothing from IMDB,"Rajkummar Rao, Patralekhaa Paul, Manav Kaul, Khushboo Upadhyay, Sadiya Siddiqui, Pramod Pathak, Vinod Rawat, Gautam Berde, Vaibhavi Upadhyaya, Atul Mongia","Deepak runs garment shop in Rajasthan which gets shut due to non payment of loans.He decides to try his luck in Mumbai and along with wife Rakhi and daughter Mahi he travels to Mumbai where he is conned for 10,000 in pretext of getting a house.Rakhi meets an escort who provides them to shelter in a under constructed building and gives her job in a dance bar.Deepak finds job at a security agency where his senior is does various favors for him.In order to get him into a plan to rob the agency.",['126'],India,Hindi,,7.3,3709344
Cinemawala,2016,"Drama, Family",Kaushik Ganguly,Nothing from IMDB,"Paran Banerjee, Debaloy Bhattacharya, Bimal Chakraborty, Parambrata Chattopadhyay, Arun Guhatharkurta, Lama, Alakananda Ray, Sohini Sarkar","Pranabendu Das is a retired film exhibitor from a small-town in West Bengal. He owns a movie theatre 'Kamalini' named after his separated wife. With the advancement of technology and the arrival of the digital medium, this man was compelled to let go of his theatre which projected films only on celluloid. Prakash is unperturbed by his father, Pranab's condition. He is an opportunist, who would never give morality a chance while making himself an established businessman. He sells pirated DVDs of feature films in the town. This is a father-son relationship tale weaved through the beautiful backdrop of cinema. Pranab has always maintained himself as a true Cinemawala, whereas, Prakash is also spreading films among the people, but in a way not so acceptable to his father.",['105'],India,Bangla,,7.5,5716302
Chupke Chupke,1975,"Comedy, Drama, Romance",Hrishikesh Mukherjee,Nothing from IMDB,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bachchan, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee, Dev Kishan, Om Prakash",Botany professor Parimal Tripathy is doing his research in a guest house when the caretaker goes to see his grandson whose not well Parimal takes his place.A group of female students studying Botany come to the guest house one of them is Sulekha whose fan of Parimal and hears a conversation between him and the caretaker.Sulekha and Parimal fall in love and decide to marry but Parimal finds that she is very much obsessed about her brother in law Raghav and cant stop praising him which makes him jealous.After their marriage Raghav invites them to his house but Primal decides to examine him and meets him as his driver Pyare Mohan Allahabadi while Sulekha comes to meet them later.Parimal now as Pyare Mohan and Sulekha pretend to be in love with each other in front of Raghav and his wife which confuses them how much married Sulekha is in love with a driver.To make things more complicated Sulekha and Pyare Mohan make them believe that they have eloped with each other and send their friend Kumar to Raghav's place as Parimal Tripathy whose come to meet Sulekha.,['146'],India,Hindi,,8.3,72783
Chhoti Si Baat,1976,"Comedy, Romance",Basu Chatterjee,Nothing from IMDB,"Ashok Kumar, Vidya Sinha, Amol Palekar, Govardhan Asrani, Nandita Thakur, Rajan Haksar, Ashim Kumar, Devendra Khandelwal, Baba Majgoakar, Noni Ganguly","A shy Arun works as an accountant.On daily basis he travels by a bus to office where he sees Prabha who works in the same premises.Arun starts to like Prabha and follows her frequently but hasn't got the confidence in him to approach her.When ever Arun gains confidence to share about his feelings to Prabha her friend Nagesh steps in spoiling Arun's plans.In order to win his love for Prabha ,Arun travels all the way to Lonavala to take the help of expert Colonel Julius Naganderanath Wilfred Singh. During this phase Prabha to starts missing Arun.",['123'],India,Hindi,,8.3,72777
Cholo Paltai,2019,"Short, Musical",Parag Biswas,Sumon Howlader,Fouzia Rachie,,,Bangladesh,Bangla,,,12418418
Chocolate: Deep Dark Secrets,2005,"Crime, Drama, Mystery, Thriller",Vivek Agnihotri,Nothing from IMDB,"Anil Kapoor, Suniel Shetty, Arshad Warsi, Emraan Hashmi, Irrfan Khan, Tanushree Dutta, Mumait Khan, Emma Bunton, Delia Antal, Kelly Dorji","Christmas Eve, London. While the snow-clad city gets ready to celebrate the festival of peace and joy, a series of bizarre incidents shatter the Christmas calm. A couple of luckless Indians find themselves hauled by the London police and made scapegoats. Or are they? Chocolate unfolds a web of sinister plots, slowly unearthing true and mystifying personalities of seven individuals - seven high-strung, distinctive people who have chosen to remain in the foreign land hoping to make or break their lives.",['160'],India,Hindi,,4.8,454431
