Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Ghost Stories,2020,"Horror, Thriller","Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap",Nothing from IMDB,"Janhvi Kapoor, Surekha Sikri, Amruta Subhash, Vijay Varma, Mohd Ashique Hussain, Anil Nagarkar, Sobhita Dhulipala, Sagar Arya, Pavail Gulati, Zachary Braz","The winning team of ""Lust Stories"" reunites to tell some spine-chilling tales. ""Ghost Stories"" is a 2020 Indian anthology horror film, consisting of four short film segments directed by Karan Johar, Dibakar Banerjee, Zoya Akhtar, and Anurag Kashyap. It serves as a sequel to the 2013 film ""Bombay Talkies"" and the 2018 film ""Lust Stories.""",['144'],India,Hindi,,4.4,10230404
Ghayal Once Again,2016,"Action, Crime, Drama, Thriller",Sunny Deol,Nothing from IMDB,"Sunny Deol, Soha Ali Khan, Om Puri, Aanchal Munjal, Narendra Jha, Ramesh Deo, Tisca Chopra, Harsh Chhaya, Nadira Babbar, Rishabh Arora","Ajay Mehra (from previous Ghayal-1990), after finishing off his life sentence, starts a newspaper called Satyakam. Still dealing with the haunting trauma of losing his loved ones, Ajay manages to make a credible name for himself in investigative journalism. Working with a strange team of RTI activists, ex-criminals and ilk; and even stranger ways of unearthing and presenting truth, Ajay Mehra has earned quite a fan following among the youths, who finds his fearless and unforgiving approach in dealing with all kinds of sociopaths very inspiring. Among his die hard fans are these four teenagers who happened to have received bravery medals from him once. These four friends once out on photography expedition, accidentally record a murder on a camera. The footage turns out to be explosive as it clearly shows two of the city's most powerful people involved in the murder. Well what happens after this is a series of twists and turns where the four kids get entangled and have to fight it out with the most powerful men of the city, will Ajay be able to save them? Will the kids be successful in their mission to stand by the truth only time will tell.",['127'],India,Hindi,,6.2,4683366
Gehraiyaan,2022,"Drama, Romance",Shakun Batra,Nothing from IMDB,"Deepika Padukone, Ananya Panday, Naseeruddin Shah, Siddhant Chaturvedi, Kanupriya Gupta, Rajat Kapoor, Sunil Borkar, Shehzad Shaikh, Shataf Figar, Dhairya Karwa",,['148'],India,Hindi,,5.8,10733228
Geetha Govindam,2018,"Comedy, Drama, Romance",Parasuram,Parasuram,"Vijay Deverakonda, Rashmika Mandanna, Subbaraju, Mouryaani, Rahul Ramakrishna, Vennela Kishore, Nagababu, Annapoorna, Giri Babu, Kalyani Natarajan","Vijay Govind, a young college lecturer who dreams of marriage falls for Geetha, a level-headed woman who's wary of strangers and isn't easy to convince. While things seem to go smoothly, Vijay makes a terrible mistake which not only derails any hope for his love story, but also potential repercussions with his family.",['142'],India,Telugu,,7.7,8590896
Gauri,1968,"Drama, Family",A. Bhimsingh,Nothing from IMDB,"Sunil Dutt, Nutan, Sanjeev Kumar, Mumtaz Askari, Rajendranath Malhotra, Laxmi Chhaya, Urmila Bhatt, Leela Mishra, Ashim Kumar, Shivraj","Orphaned Sanjeev lives with his comically parsimonious paternal uncle, Maniram, who offers to look after him on the condition that a contested Last Will and Testament, will benefit him. When the Court rules otherwise, Maniram stops all support for Sanjeev, who then borrows money from his close friend, Sunil, to complete his education. Then Maniram arranges Sanjeev's marriage with a young woman named Gauri, the only daughter of millionaire Ram Prasad. Sanjeev agrees to this marriage, gets married, and thereafter leaves as he finds out that Gauri is blind. Maniram gets Sunil to convince Sanjeev to return to his wife, so Sunil and Sanjeev go on a hunting trip, where Sanjeev is attacked by an enraged elephant, thrown off a cliff, and believed to be dead. But he survives, and several months later, returns to Maniram's house, where, to his horror, he finds that Sunil has taken over his identity and is now living with Gauri. Watch closely as an enraged Sanjeev decides to find out what really happened after his accident, and the circumstances that made Sunil live with Sanjeev's wife.",['152'],India,Hindi,,6.8,63003
Pride and Honour,2004,"Action, Crime, Drama, Thriller",Puneet Issar,Nothing from IMDB,"Salman Khan, Shilpa Shetty Kundra, Arbaaz Khan, Akanksha Malhotra, Amrish Puri, Farida Jalal, Kulbhushan Kharbanda, Anupam Kher, Mukesh Rishi, Mohan Joshi","Crime has taken a heavy toll on the city of Mumbai with the police force restricted by the norms of the law. Police Commissioner Samar Singh can't bear this and appears to his superiors and seniors for permission to conduct a shoot-on-sight mission for all criminals. Thus Assistant Commissioner of Police Arjun Ranawat and his college Haider Ali Khan are assigned to head the crew as they go about bringing all criminals to justice. When the gangs are speculated, this triggers international terrorist Zafar Supari. who takes help from corrupt Minister Khashi Trevadi to put extreme pressure on Samar Singh. Soon Khashi Trevadi takes up the Chief Minister post, forcing Samar Singh to tender his resignation immediately. There is a showdown when Inspector Haider Ali is murdered and accused of being connected with the terrorists and ISI agents forcing Arjun to take a stand, but he's so frustrated that he revolts by murdering all corrupt high-ranking public personalities. Then Arjun is arrested by the police; his case is called up in a court of law and many charges are brought against him, one of which involves him having an illicit relationship with Rakhi Dixit--his own sister. With Trevadi still in the portfolio, it certainly looks like Arjun will get a life sentence.",['162'],India,Hindi,,5.6,415003
Gargi,2022,"Drama, Thriller",Gautham Ramachandran,Nothing from IMDB,"Sai Pallavi, Kaali Venkat, R.S. Shivaji, Kavithalaya Krishnan, Saravanan, Sudha S., Prathap, P. Rajalakshmi, Livingston, Aishwarya Lekshmi",,['140'],India,Tamil,,8.1,21261388
Garam Masala,2005,"Comedy, Romance",Priyadarshan,Nothing from IMDB,"Akshay Kumar, John Abraham, Paresh Rawal, Rimi Sen, Nitu Chandra, Nargis Bagheri, Daisy Bopanna, Rajpal Naurang Yadav, Govardhan Asrani, Manoj Joshi","Shyam and Makarand work as photographers in a commercial advertising agency. Both of them like to fool around with women, even though Makarand is engaged to be married to a doctor named Anjali. In order to outsmart each other, they two get into a competition of shooting a photograph, and Sam wins it, goes on a trip to the United States of America. Upon his return, he finds that Makarand is living a very enviable lifestyle with three of the most beautiful girls, who also work as air-hostesses. Sam meets them all, and finds out that the trio are unaware of each other, falls in love with Pooja; and begins several moves to upset Makarand lifestyle, and possibly get promoted as a Supervisor.",['146'],India,Hindi,,6.7,453671
Garam Khoon,1980,Action,A. Salaam,Nothing from IMDB,"Vinod Khanna, Sulakshana Pandit, Ajit Khan, Bindu Desai, Brahmachari, Dhumal, Rajan Haksar, Helen, Nasir Hussain, Satish Kaul","Garam Khoon is the story of Ravi and Babloo who were born twins but lived like enemies. Their father SUD Sahib was a man of reputed integrity and had worldwide business. Sheltering under the goodwill of the concern, Vishal the ccunning Manager, made a huge fortune by dealing with the magnets of the underworld. Until he has caught red-handed and expelled from his services. . In order to avenge his insult and feed his evergrowing lust for money. Vishal kidnapped Babloo and transformed him into a first rate criminal and gave him the name Johny. After his last break-out from jail, Vishal planted him in his own house to do away with Ravi and his properties. Event followed event till Ravi was declared dead in a car disaster at Simla. Johny ccame into the shoes of Ravi and acquitted himself creditably. Even his mother could not detect the foulplay. However to their great dismay, one day Ravi appeared on the scene. The tables turned on Vishal and Johny. A final attempt on Ravis life was made but somehow he managed to escape with his sweet-heart. They were faced with two dangers - One at the hands of Johny and his deadly henchmen and the other crimes committed by Johny. At the same time the mother came to know the reality but she too was helpless. To save one son she had to sacrifice the other.",,India,Hindi,,5.5,432866
Gangubai Kathiawadi,2022,"Biography, Crime, Drama",Sanjay Leela Bhansali,Nothing from IMDB,"Alia Bhatt, Shantanu Maheshwari, Vijay Raaz, Indira Tiwari, Seema Pahwa, Varun Kapoor, Jim Sarbh, Ajay Devgn, Aakash Pandey, Varun Akki",A little girl is sold to brothel of Rashmibai who is forcefully asked to enter the business of flesh trade.When the girl doesn't agree Rashmibai is finally forced to take help of Gangubai Kathiawadi.Gangubai Kathiawadi aka Ganga who wanted to be an actress and years back eloped to Bombay with her boyfriend Ramnik who sold her at brothel of Shelia Masi.Gangubai did not have option to return back and hence turned a prostitute but she gained respect from fellow women as she would be their main support to go against Sheila Masi.In coming times Gangubai bonds with Don Rahim Lala and develops a brotherly relationship with him.Gangubai is soon known as the mafia queen and wants better lives for women of her community.She decides to enter politics but has a powerful contender Raziabai opposite her.,['152'],India,Hindi,,7.8,10083340
