Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The Tracker,2019,"Action, Thriller",Giorgio Serafini,Nothing from IMDB,"Dolph Lundgren, Cosimo Fusco, Anna Falchi, Bruno Bilotta, Marta Gastini, Bruce McGuire, Elizabeth Kinnear, Justin Fischer, Kai Portman, Roberta De Santis","In 2008, Loke Hakansson was taking a family vacation in the south of Italy when his wife and his daughter have been kidnapped. Following an attempt of exchange gone awry both wife and daughter have been killed. Ten years later, Hakansson is contacted by a local detective who has re-opened the case and has new information. Reluctantly, Hakansson travels back to Italy to meet the detective. When he arrives he discovers that the detective has committed ""suicide"". To his dismay, Hakansson is trapped into a web of deceit that forces him to acts of violence to understand what happened to his family.",['95'],"Italy, United States","English, Italian",,3.6,4142394
The Tashkent Files,2019,"Drama, Mystery, Thriller",Vivek Agnihotri,Nothing from IMDB,"Shweta Basu Prasad, Mithun Chakraborty, Naseeruddin Shah, Pankaj Tripathi, Vinay Pathak, Rajesh Sharma, Pallavi Joshi, Mandira Bedi, Prakash Belawadi, V.M. Badola",,['134'],India,Hindi,,8.1,8108268
The Rum Diary,2011,"Comedy, Drama",Bruce Robinson,Nothing from IMDB,"Johnny Depp, Aaron Eckhart, Michael Rispoli, Amber Heard, Richard Jenkins, Giovanni Ribisi, Amaury Nolasco, Marshall Bell, Bill Smitrovich, Julian Holloway","Hard-drinking journalist Paul Kemp takes a job at a besieged newspaper in San Juan, Puerto Rico. His volatile editor, Lotterman, assigns him to tourist pieces and horoscopes, but promises more. Paul rooms with Sala, an aging and equally alcoholic reporter, in a rundown flat. Sanderson, a wealthy entrepreneur, hires Paul to flack for a group of investors who plan to buy an island near the capital and build a resort. Sanderson's girl-friend, the beguiling Chenault, bats her eyes at Paul. His loyalties face challenges when he and Sala get in trouble with locals, when a Carnival dance enrages Sanderson, and when the paper hits the skids. Is the solution always alcohol?",['119'],"United States, United Kingdom","English, Spanish, German",,6.1,376136
The Prestige,2006,"Drama, Mystery, Sci-Fi, Thriller",Christopher Nolan,Nothing from IMDB,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo, Rebecca Hall, Scarlett Johansson, Samantha Mahurin, David Bowie, Andy Serkis, Daniel Davis","Set in London in the 1800s, two rival magicians read each others diary containing the secrets of their magic tricks and personal life. As we go back in time when the diaries were written, both magicians become obsessed with their rival's best trick. The tricks, as shown to the audience, look the same, but neither magician can figure out how his opponent does it.",['130'],"United Kingdom, United States",English,,8.5,482571
The Only Way Out,2021,"Short, Adventure",Andrew Neaves,Madelyn Levine,"Dakota Jans, Madelyn Levine, Andrew Neaves",,,United States,English,,,14531762
The Next 365 Days,2022,"Drama, Romance","Barbara Bialowas, Tomasz Mandes",Nothing from IMDB,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska, Otar Saralidze, Ewa Kasprzyk, Dariusz Jakubowski, Ramón Langa, Tomasz Mandes, Natalia Siwiec",,['112'],Poland,"Polish, English",,2.8,21106646
The Neighborhood,2018,Comedy,Nothing from IMDB,"Jim Reynolds, Jim Reynolds, Tracey Ashley","Cedric The Entertainer, Max Greenfield, Marcel Spears, Tichina Arnold, Beth Behrs, Sheaun McKinney, Hank Greenspan, Malik S, Chelsea Harris, Sean Larkins","The Neighborhood stars Cedric the Entertainer in a comedy about what happens when the friendliest guy in the Midwest moves his family to a neighborhood in Los Angeles where not everyone looks like him or appreciates his extreme neighborliness. Dave Johnson is a good-natured, professional conflict negotiator. When his wife, Gemma, gets a job as a school principal in L.A., they move from Michigan with their young son, Grover, unfazed that their new dream home is located in a community quite different from their small town. Their opinionated next-door neighbor, Calvin Butler, is wary of the newcomers, certain that the Johnsons will disrupt the culture on the block. However, Calvin's gracious wife, Tina, rolls out the welcome wagon; their chipper younger son, Marty, thinks the Johnsons could be good for the community; and their unemployed older son, Malcolm, finds Dave may finally be someone who understands him. Dave realizes that fitting into their new community is more complex than he expected, but if he can find a way to connect with Calvin, they have an excellent chance of making their new neighborhood their home.",['30'],United States,English,,6.7,7942794
The Namesake,2006,Drama,Mira Nair,Nothing from IMDB,"Kal Penn, Tabu, Irrfan Khan, Jacinda Barrett, Zuleikha Robinson, Brooke Smith, Sahira Nair, Jagannath Guha, Ruma Guha Thakurta, Sandip Deb","While traveling by train to visit his grandfather in Jamshedpur, Calcutta born, Bengali-speaking Ashoke Ganguli meets with fellow-traveler, Ghosh, who impresses upon him to travel, while Ashoke is deep into a book authored by Nicholai Gogol. The train meets with an accident, and after recuperating, Ashoke re-locates to America, settles down, returns home in 1977 to get married to aspiring singer, Ashima, and returns home to New York. Shortly thereafter they become parents of a boy, who they initially name Gogol, and a few years later both give birth to Sonia. The family then buy their own house in the suburbs and travel to India for the first time after their marriage. The second time they travel to India is when Gogol and Sonia are in their late teens, and after a memorable visit to Kolkata and then to the Taj Mahal, they return home. Gogol falls in love with Maxine Ratliff and moves in with her family, while Ashoke spends time traveling, and Sonia moves to California, leaving Ashima all her by herself. The Ganguli family will be destined to travel to India again soon - this time under very different circumstances - and after all have endured life-changing events.",['122'],"India, Japan, United States","English, Bangla",,7.5,433416
Van Wilder: The Rise of Taj,2006,"Comedy, Romance",Mort Nathan,Nothing from IMDB,"Kal Penn, Lauren Cohan, Daniel Percival, Glen Barry, Anthony Cozens, Steven Rathman, Holly Davidson, Tom Davey, William de Coverly, Beth Steel","Having graduated in the U.S. as a Van Wilder disciple, now self-confident Taj Mahal arrives as 'don' (teaching assistant) history at England's super-prestigious Camford. He falls victim to the haughty, aristocratic leading fraternity's president Pip's usual prank for 'commoners', landing in the derelict 'barn' with other 'social outcasts'. But Taj decides to band the rejects into a new fraternity, Cocks and Bulls, which under his leadership challenges Pip's in the annual all-round excellence championship.",['97'],"United States, Romania","English, Hindi",,4.8,480271
The Mummy,2017,"Action, Adventure, Fantasy, Horror, Thriller",Alex Kurtzman,Nothing from IMDB,"Tom Cruise, Russell Crowe, Annabelle Wallis, Sofia Boutella, Jake Johnson, Courtney B. Vance, Marwan Kenzari, Simon Atherton, Stephen Thompson, James Arama","Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient princess, whose destiny was unjustly taken from her, is awakened in the current day bringing with her malevolence grown over millennia and terrors that defy human comprehension.",['111'],"United States, China, Japan","English, Egyptian (Ancient)",,5.4,2345759
