Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Raaz,2002,"Drama, Horror, Musical, Mystery, Romance, Thriller",Vikram Bhatt,Nothing from IMDB,"Dino Morea, Bipasha Basu, Malini Sharma, Ashutosh Rana, Vishwajeet Pradhan, Ali Asgar, Masood Akhtar, Mink Singh, Pratima Kazmi, Shruti Panwar","Sanjana and Aditya retreat to Ooty to give a last chance to their crumbling marriage. But the break turns into a nightmare when Sanjana starts hearing screams. A spirit is haunting Sanjana, while Aditya is hiding a secret that could steer him from life to death.",['151'],India,"Hindi, Tamil",,6.6,307873
Raaste Kaa Patthar,1972,"Drama, Romance",Mukul Dutt,Nothing from IMDB,"Amitabh Bachchan, Shatrughan Sinha, Laxmi Chhaya, Prem Chopra, Neeta Khayani, Asit Kumar Sen, Satyendra Kapoor, Kishan Mehta, Bhagwan Palav, Trilok Kapoor","Bombay-based bachelor Jai Shankar Rai lets his superiors, as well as his boss, Ranjeet Choudhary, use his flat at night so that they can have their flings with women. He meets and fall in love with lovely but homeless Neeta Sinha, and even gets her a job at his firm. Hoping to propose to her after his promotion, he instead gets a shock when he finds out that she is soon to be his boss' wife.",['133'],India,Hindi,,5.6,69152
Raakh,1989,"Action, Crime, Drama, Thriller",Aditya Bhattacharya,Nothing from IMDB,"Aamir Khan, Supriya Pathak, Pankaj Kapur, Jagdeep, Naina Balsaver, Ahmed Khan, Nuzhat Khan, Achyut Potdar, Santosh Sivan, Madhukar Toradmal","After witnessing the public humiliation & abuse of a female friend, a young man vows to avenge her by going after the hoodlums responsible. he is guided by a burnt out, cynical cop, who shows him the ropes as well as the realities of vigilante life.",['153'],India,Hindi,,7.1,290820
Raajneeti,2010,"Crime, Drama, Thriller",Prakash Jha,Nothing from IMDB,"Ajay Devgn, Ranbir Kapoor, Nana Patekar, Katrina Kaif, Arjun Rampal, Manoj Bajpayee, Naseeruddin Shah, Sarah Thompson, Nikhila Trikha, Darshan Jariwala","Belonging to a prominent Uttar Pradesh-family of ruthless politicians, Samar Pratap is about to return to his Irish-American girlfriend, Sarah, in the U.S. and obtain a PhD, but cancels his trip when his father, Chandra, is shot dead. He decides to stay put and avenge this slaying but ends up dealing with aspiring politician, Indu Sakseria, who wants to wed him; his brother, Prithviraj, who has been granted control of the Rashtrawadi Party but is facing imprisonment on charges of Assaulting a Police Officer and Sexual Molestation; his cousin, Veerendra, who wants control of the party; and his astute maternal uncle, Brij Gopal - who secretly controls the entire family. Before he could even handle these situations, Sarah arrives in India and will soon accuse him of being a manipulative and conniving politician.",['163'],India,"Hindi, English",,7.1,1291465
Radhe,2021,"Action, Crime, Thriller",Prabhu Deva,Nothing from IMDB,"Salman Khan, Disha Patani, Randeep Hooda, Jackie Shroff, Pravin Tarde, Gautam Gulati, Sangay Tsheltrim, Govind Namdeo, Sudhanshu Pandey, Arjun Kanungo","Drugs mafia has increased in India where more and more youngsters are addicted to drugs and taking their lives ,The Mumbai police decides to get back suspended officer Radhe on duty to clean the city.Radhe joins soon and firstly makes two rival groups of Dagdu Dada and Dilwar to join hands as they are against drugs business and will help him clean the city.Radhe's reporting officer is funny ACP Avinash Abhyankar who runs away with Radhe's credits while Radhe loves Avinash's sister Dia and pretends to be an upcoming model.Rana the drug lord who has landed in Mumbai and forces people to sell drugs and gets Dilwar killed from his brother Mansoor who works for him,Radhe manages to trace Rana which starts a long cat an mouse race between them.",['109'],India,Hindi,,1.9,10888594
R... Rajkumar,2013,"Action, Comedy, Crime, Romance",Prabhu Deva,Nothing from IMDB,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Govardhan Asrani, Ashish Vidyarthi, Mukul Dev, Srihari, Bharat Dabholkar, Vijay Patkar, Ashok Samarth","The film follows Romeo Rajkumar, a ruffian whose life changes when he falls for Chanda, a drug baron's niece. Rajkumar then starts working for the rival drug baron Shivraj and eventually learns Shivraj wants to marry Chanda against her will. Rajkumar and Shivraj fight each other to win Chanda's love, who is in love in Rajkumar.",['146'],India,Hindi,,5.3,2369154
Pyar Mohabbat,1966,"Adventure, Drama, Romance",Shankar Mukherjee,Vrajendra Gaur,"Dev Anand, Saira Banu, Premnath Malhotra, Shashikala Jawalkar, Durga Khote, David Abraham, Asit Kumar Sen, Sulochana Latkar, Harindranath Chattopadhyay, Tarun Bose","After running away from home, Prince Naresh Kumar Singh (Dev Anand) now calls himself Dilip Singh, returns home after a period of 18 years. He travels by ship, and meets Reeta Singh (Saira Banu), and after a series of misunderstandings, both fall in love with each other. When Dilip reaches Devangarh, he is shocked to find that his brother, Rana Mahesh Kumar Singh (Murad) is dead; his mother, Rajmata Rajeshwari (Durga Khote) is blind; and the throne-prince to be crowned is the Senapati Uday Singh (Premnath), who has also killed Naresh. Rajmata is convinced that her son Naresh is still alive, and will return one day, and refuses to permit Uday to ascend the throne. In order to fool the Rajmata, Uday recruits Dilip to pose as the missing prince, Naresh. How long will Uday Singh continue to pull wool over the eyes of the Rajmata? Will Dilip alias Naresh Singh survive long enough to ascend the throne, and reveal his true identity?",,India,Hindi,,7.1,274743
Thirst,1957,"Drama, Musical, Romance",Guru Dutt,Abrar Alvi,"Guru Dutt, Waheeda Rehman, Mala Sinha, Rehman Khan, Johnny Walker, Kumkum, Leela Mishra, Shyam, Mehmood, Radheshyam",Vijay a poet whose work is not taken seriously by the publishers even his elder brothers dislike him for the same and want him to find a suitable job.Due to all this Vijay leaves his house and starts living alone where once he encounters a prostitute Gulabo murmuring his poem and follows her but she feels he is an impostor.But Gulabo soon realizes her mistake and meets him and both develop feeling for each other he comes across Ghosh a publisher who wants to publish his poems but in turn hires him as a servant.Vijay finds that his former lover Meena is married to Ghosh for financial security and when Ghosh finds about it he fires him from work.Vijay is again left jobless and no where a beggar whom Vijay gave his coat meets with a train accident and everyone believes he is dead.But Vijay is very much alive and tries to prove his identity but his sent to an asylum where his brothers and Ghosh refuse to identify him.,['146'],India,Hindi,,8.3,50870
Pyaar Ke Side Effects,2006,"Comedy, Drama, Romance",Saket Chaudhary,Nothing from IMDB,"Rahul Bose, Mallika Sherawat, Ranvir Shorey, Sharat Saxena, Shabnam Kapoor, Jas Arora, Suchitra Pillai, Taraana Raja, Aamir Bashir, Sophiya Chaudhary","Bengal-speaking Siddharth Bose lives a middle-classed lifestyle in Delhi along with his mother, and sister, Shalini. Their dad had abandoned them years ago. Shalini gets married to Kapil Sharma and moves in with him, while Siddharth works as a DJ with his friend, known simply as Nanoo. While performing for a ceremony, where Punjabi-speaking Trisha Mallick is about to wed India's youngest C.E.O., Vivek Chaddha, Siddharth sneaks in to use the bathroom and finds out that the bride does not love the groom and is about to run away. He manages to convince her to stay put, uses the facility and leaves. He meets her six months later in Mumbai, and he finds out that she did run away, both are attracted to each other and start living together fairly harmoniously, even though Trisha is taller than him. Siddharth's mom approves of Trisha and hopes that their children will also be taller. Their humorous and idyllic lifestyle is shattered when Trisha proposes to him, and gets him to meet her mom, Shabnam, and rather snobbish dad, Veerbhadra Mallick, a retired Colonel, who does not approve of his daughter running away nor living with a wedding musician, who does not even earn half as much as his daughter, and also hopes to get his daughter to wed an yet unmarried Vivek.",['132'],India,"Hindi, Bangla, English",,6.8,480572
Pyaar Ka Punchnama,2011,"Comedy, Drama, Romance",Luv Ranjan,Nothing from IMDB,"Kartik Aaryan, Ashish Chhipa, Raayo S. Bakhirta, Divyendu Sharma, Nushrratt Bharuccha, Sonnalli Seygall, Ishita Raj, Manoj Bakshi, Ranjit Batra, Padam Bhola","Outspoken and overly critical Nishant Agarwal meets gorgeous new co-worker, Charu, offers his help, assists her financially, and they become close friends. His room-mates, Rajat and Vikrant, are pleased with this outcome as they already have girlfriends in Neha and Rhea respectively. But both the relationships are not as harmonious, as Rajat feels Neha is self-centered and demanding, while Rhea appears to be withdrawn and aloof. Missing their meetings and bar-hopping, the trio decide to take a time-out and be by themselves. All three women, however, find out and decide to accompany them to the beach where they eventually mingle. The trio do not know that soon misunderstandings will crop up - and it will take a lot of effort and understanding to resolve them.",['149'],India,Hindi,,7.6,1926313
