Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Shukranu,2020,Drama,Bishnu Dev Halder,Nothing from IMDB,"Divyendu Sharma, Shweta Basu Prasad, Sheetal Thakur, Aakkash Dabhade, Tapasya Nayak Srivastava, Kierra Soni, Raj Bhansali, Prerna Gandhi, Sanjay Gurbaxani, Harish Hariaudh","A middle class North Indian guy in Emergency Era of 1970s, gives up chasing his love interest and decides to go for arrange marriage. An unexpected event changes his life which takes him on a roller coaster emotional ride. How many lives will be impacted? Is it all in the head?",['90'],India,Hindi,,6.4,11691696
Shootout at Wadala,2013,"Action, Biography, Crime",Sanjay Gupta,Nothing from IMDB,"Anil Kapoor, John Abraham, Manoj Bajpayee, Tusshar Kapoor, Kangana Ranaut, Sonu Sood, Ronit Roy, Mahesh Manjrekar, Raju Mavani, Arif Zakaria","Manohar Arjun Surve, better known as Manya Surve, is a bright college student in love with Vidya. He lives with his mother and stepbrother Bhargav Surve, a local goon. Manya is arrested by Inspector Ambolkar for being on the spot when his brother killed a goon; he's humiliated, taken from college, and put in jail where Bhargav gets killed by Potya while Manya is saved by Sheikh Munir. Manya and Sheikh Munir escape from jail and reach Bombay, where they meet Zubair, who asks them to join his gang, but his brother Dilawar disapproves of him. Manya then decides to form his own gang with Munir and Vira, later joined by Gyancho and Jamal. Manya and his gang members become top criminals on Inspector Afaque Baaghran's Wanted List. Inspector Baaghran must find a way to stop the menace.",['155'],India,Hindi,,6.0,2301155
Sholay,1975,"Action, Adventure, Comedy, Drama, Musical, Thriller, Western",Ramesh Sippy,"Javed Akhtar, Salim Khan","Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan, Hema Malini, Jaya Bachchan, A.K. Hangal, Satyendra Kapoor, Iftekhar, Leela Mishra","Sholay means ""embers"" in Hindi. In this film, a police officer whose family was filled by a bandit named Gabbar Singh decides to fight fire with fire and requires two convicts, Jai and Veeru, to capture Gabbar. He approaches them in jail and puts the proposal in front of them, and they agree to bring in Gabbar Singh alive--for a hefty price. After their discharge from jail, they travel by train to the village where the police officer lives with his widowed daughter-in-law. The three band together to fight one of the most elusive and dreaded bandits of all time. Will the two ex-cons be able to bring Gabbar alive to the police officer?",['204'],India,Hindi,,8.1,73707
Sholay,1975,"Action, Adventure, Comedy, Drama, Musical, Thriller, Western",Ramesh Sippy,"Javed Akhtar, Salim Khan","Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan, Hema Malini, Jaya Bachchan, A.K. Hangal, Satyendra Kapoor, Iftekhar, Leela Mishra","Sholay means ""embers"" in Hindi. In this film, a police officer whose family was filled by a bandit named Gabbar Singh decides to fight fire with fire and requires two convicts, Jai and Veeru, to capture Gabbar. He approaches them in jail and puts the proposal in front of them, and they agree to bring in Gabbar Singh alive--for a hefty price. After their discharge from jail, they travel by train to the village where the police officer lives with his widowed daughter-in-law. The three band together to fight one of the most elusive and dreaded bandits of all time. Will the two ex-cons be able to bring Gabbar alive to the police officer?",['204'],India,Hindi,,8.1,73707
Shola Aur Shabnam,1992,"Action, Comedy, Drama, Romance",David Dhawan,Nothing from IMDB,"Govinda, Divya Bharti, Gulshan Grover, Alok Nath, Mohnish Behl, Harish Patel, Raja Bundela, Satyajeet Puri, Girish Malik, Bindu Desai","The spoiled and arrogant brother, Bali, of notorious gangster, Kali Baba, enlists in the National Cadet Corps, and wants to have his way with his fellow-students and trainer, Inder Mohan Lahti, with comical results. When he meets Divya Thapa for the first time, he is smitten by her, and wants to marry her by hook or by crook. But Divya is in love with Karan, and both plan to marry each other. Circumstances act against them, and they flee together, with Kali Baba's men, and Divya's Police Commissioner dad, Yashpal Thapa, in hot pursuit, to an unknown destination, surrounded by a web of lies, deception, and no known resource to assist them.",['165'],India,Hindi,,6.5,105394
Sharafat Chhod Di Main Ne,1976,Drama,Jagdev Bhambri,Nothing from IMDB,"Feroz Khan, Hema Malini, Neetu Singh, Dev Kumar, Jagdeep, Gurcharan Pohli, Laxmi Chhaya, Padma Khanna, Bindu Desai, Manmohan Krishna","Raju and Preetha are in love.But he is disappointed when she marries another man due to pressure from her father. Raju can't take the betrayal an treats everyone women as playing thing.Raju moves to the city and befriends Kalu who introduces him to Rai Sahab who runs illegal activities.Rai Sahab soon becomes fond of Raju due to his activities . Preeta passes away after giving birth to her daughter Radha.Preetha's father hands the baby girl Radha and his younger daughter Geeta in care of Preetha's husband who well educates them.Rai Sahab whose turning older hands his empire to Raju and since then he gets title of Rai Sahab.Years later Geeta grows up to be lookalike of her older sister Preetha while Radha is student in love with Shyam.Geeta runs a ashram for unwed pregnant girls.At a fund-raising show for Geeta's ashram, Radha performs a dance which her mother used to perform in the village. Raju, is a generous donor to the ashram, is in the audience and memories flood him.Where he gets attracted to much younger Radha.",['115'],India,Hindi,,5.6,381585
Shaque,1976,"Drama, Mystery, Thriller","Vikas Desai, Aruna Raje",Nothing from IMDB,"Vinod Khanna, Shabana Azmi, Utpal Dutt, Bindu Desai, Durga Khote, Farida Jalal, Nirmala Mathan, Omkar, Ninad Deshpande, Sunita","Vinod Joshi lives a middle-class existence with his wife, Meena, and a young son. He would like to improve upon his living conditions and ensure that his child enjoys life thoroughly. One day Vinod returns home in a bloodied state, and tells Meena that there has been a homicide at his place of work, and a large amount of money has been stolen. The police are called in to to investigate, and as a result a fellow-employee by the name of Subramaniam is arrested and sentenced to jail. Then the Joshi family gets wealthy all of a sudden, and move to a different and more spacious location, and start enjoying their lives to the fullest. Meena finds out that another co-worker of Vinod's, Maan Singh, has been telling people that Vinod was the one who stole the money, and also killed the employee in the process. Meena goes to meet Maan Singh to confirm this, and he does so, and even writes a letter to her to that effect, and threatens to inform the police. When Meena confronts Vinod, he vehemently denies ever stealing nor killing anyone, but has no explanation to offer for their new-found wealth. As Meena attempts to trace the origin of this wealth, and gets more and more convinced about his guilt, she and Vinod finds themselves growing further apart from each other, and Meena coming to the shocking conclusion that she has been sleeping with someone who may have killed another human being. Then Maan Singh's girlfriend, Rosita, is killed. The police find Vinod's fingerprints on the knife. Upon seeing the police, Vinod asks Meena to get ready to run, which they do, with the police in hot chase after them. How long will Vinod continue to elude the police, and did he really commit those murders?",,India,Hindi,,6.9,259571
Shakti,1982,"Action, Crime, Drama",Ramesh Sippy,Nothing from IMDB,"Dilip Kumar, Amitabh Bachchan, Rakhee Gulzar, Smita Patil, Kulbhushan Kharbanda, Amrish Puri, Vikas Anand, Jagdish Raj, Chandrashekhar Vaidya, Neiraj Bhalla","A scrupulously honest cop refuses kidnappers' demands at grave risk to the life of his son. The son is rescued but lives forever scarred by his father's willingness to sacrifice his own son for the sake of his principles. This works out to devastating effect when the son grows up to be a Mafia don, and his father is assigned the job of bringing him in.",['166'],India,Hindi,,7.6,84667
Saheb Bibi Golaam,2016,"Action, Crime, Drama, Thriller",Pratim D. Gupta,Nothing from IMDB,"Damini Basu, Ritwick Chakraborty, Vikram Chatterjee, Avishek De Biswas, Anjan Dutt, Parno Mittra, Sudip Mukherjee, Swastika Mukherjee, Sanjoy Nag, Sohag Sen",,['121'],India,Bangla,,6.4,4943558
Night,2017,"Drama, Romance",Onir,Nothing from IMDB,"Ashish Bisht, Arpita Chatterjee, Simon Frenay, Areesz Ganddi, Gaurav Nanda, Raj Suri, Sanjay Suri, Raveena Tandon, Shray Rai Tiwari","This film is about lives of people who live on the edge of what society finds acceptable. It is about coming to terms with oneself and accepting other people as they are. The film is set in the cosmopolitan city of Delhi where people from all over the country come to fulfill their dreams. For some, these dreams are realized, while others remain in an endless pursuit of other elusive dreams. Perhaps it is the hope of ultimately reaching that destination that keeps one going. And then there are others who surrender to the overwhelming power of the city of dreams and get lost in the maze. This film is the story of a coffee shop girl Raina and the man who loves her- Azfar, an aspiring model.",['108'],India,"Hindi, English, Bangla",,4.3,4287778
