Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Tamasha,2015,"Comedy, Drama, Romance",Imtiaz Ali,Imtiaz Ali,"Deepika Padukone, Ranbir Kapoor, Arushi Sharma, Piyush Mishra, Ishwak Singh, Jawed Sheikh, Vivek Mushran, Sushma Seth, Naila Grewal, Ishtiyak Khan",Tamasha is about the journey of someone who has lost his edge in trying to follow acceptable conventions of society. The film is based on the central theme of abrasion and loss of self that happens in an attempt to find oneself.,['139'],India,Hindi,,7.3,3148502
Takkari Donga,2002,"Action, Adventure, Comedy, Western",Jayant Paranji,Nothing from IMDB,"Mahesh Babu, Lisa Ray, Bipasha Basu, Rahul Dev, Tanikella Bharani, Ashok Kumar K., Surya, Ravi Chalapati, Krishna, Rajasimha Tadinada","Raja is a small-time outlaw, whose daring antics land him the accidental job of designated bodyguard to Bhuvana. Bhuvana is being chased by an gang led by Shaka, who are after a map leading to a hidden diamond mine. Nicely shot, otherwise standard action fare - and interesting experience for anyone who's never heard that India once had a wild wild west. More likely though that fans of Bipasha Basu and Lisa Ray will be thrilled at this film, where they more than fulfill their roles as showpieces.",['165'],India,Telugu,,6.6,307541
Table No. 21,2013,"Adventure, Drama, Thriller",Aditya Datt,Nothing from IMDB,"Paresh Rawal, Rajeev Khandelwal, Tina Desai, Dhruv Ganesh, Asheesh Kapur, Hanif Hilal, Gulam Gouse Deewani, Ankit, Sumit Rana, Inderjeet Singh Sagoo","A couple live a mediocre life and are thrilled to have won an exotic vacation to Fiji & their excitement increases when they get a chance to play ""Tell all truth"" game for a mind boggling prize money. The game begins and the couple discovers that the game isn't really a game, but is a game of survival.",['108'],India,Hindi,,7.2,2229842
Suraag,1982,"Thriller, Mystery","Jag Mundhra, Ambrish Sangal",Subhash Kelkar,"Sanjeev Kumar, Shabana Azmi, Rajesh Khanna, Tina Ambani, Hema Malini, Geeta Kak, Mac Mohan, Asha Sachdev, Parikshit Sahni, Al Cutillo",Prof Saxsena (Sanjeev Kumar) and Dr Gupta (Parishit Sahni) are friends living at Los Angeles (USA). Prof is married while Dr is unmarried and going to Bombay (India) to select a girl to marry. In india Dr select Sunita (Shabana Azmi) and married her and left for USA. After clearance of visa sunita fly to Los Angeles. In flight another indian bride carring cocaine plant it in vanity box of sunita. Sunita is kidnapped at New York airport and mystery starts...,['128'],India,Hindi,,7.3,338472
Surat Cinta Untuk Starla the Movie,2017,"Drama, Romance",Rudi Aryanto,Nothing from IMDB,"Jefri Nichol, Caitlin Halderman, Salshabilla Adriani, Ricky Cuaca, Ramzi, Meriam Bellina, Mathias Muchus, Dian Nitami, Rianti Cartwright, Kevin Royano","Hema guy who is obsessed with his love for nature has the uniqueness of making a love letter for nature. Assisted by his old typewriter's legacy of his former journalist grandfather, Hema creates a mural showing how much Hema's love for nature is. Nature is the only love that Hema knows. Until one day Hema knew Starla. A beautiful and self-contained girl who has managed to make him fall in love only in six hours. For the first time, Hema realized there was a love letter that was more beautiful than a love letter for nature that was a love letter for Starla. But as Hema and Starla get closer, suddenly Starla's attitude changes. Starla angry and away from Hema even told Hema to forget the 6 hours of their story that became viral in social media even broadcast on the radio by Athena, a friend of Hema. Until one day Hema just found out the cause of Starla's change of attitude associated with a secret past the Hema family. How does Hema and Starla's relationship continue? How is Starla Continuing with Bimo's Fiance?",['90'],Indonesia,Indonesian,,5.9,7572744
Super Dark Times,2017,"Crime, Drama, Horror, Thriller",Kevin Phillips,"Ben Collins, Luke Piotrowski","Owen Campbell, Charlie Tahan, Elizabeth Cappuccino, Amy Hargreaves, Max Talisman, Sawyer Barth, Adea Lennox, Ethan Botwick, Philip H. Ashley, Anni Krueger",,['103'],United States,English,,6.6,5112578
First Sunday,2008,"Comedy, Crime, Drama",David E. Talbert,David E. Talbert,"Ice Cube, Katt Williams, Tracy Morgan, Loretta Devine, Michael Beach, Keith David, Regina Hall, Malinda Williams, Chi McBride, Clifton Powell","Durell Washington and LeeJohn Jackson are best friends and bumbling petty criminals. When Durell learns that his ex-girlfriend plans to move to another state with their son Durell Jr.--unless they can get her $17,000 to pay off a debt--Durell and LeeJohn ultimately come up with a desperate scheme to rob their neighborhood church. When the duo fumbles their way through the break-in, they discover someone has beaten them to the punch. In order to get their hands on the money, Durell and LeeJohn are forced to spend the night in the presence of the Lord and his followers, including Ricky, the eccentric choir director --and end up getting a lot more than they bargained for.",['98'],United States,English,,4.6,486578
State of Siege: Temple Attack,2021,"Action, Thriller",Ken Ghosh,Nothing from IMDB,"Akshaye Khanna, Gautam Rode, Vivek Dahiya, Abhimanyu Singh, Parvin Dabas, Samir Soni, Mir Sarwar, Akshay Oberoi, Manjari Fadnnis, Abhilash Chaudhary",Major Hanut Singh is haunted by his past where he was injured badly in a terrorist attack and lost his colleague when they were close to completing a mission.The state of Gujarat has just calmed due to on going riots but a terrorist organization led by Aby Hamza plans to attack a temple in order to free their leader Bilal Naikoo.The terrorists enter the temple and start cross firing and killing who ever comes on their way but further they get orders from Abu Hamza to hold the civilians as captive and demands the government to free their leader Bilal Naikoo or every hour there will be a blood shed.Major Hanut Singh along with his team of NSG commandos decides to lead the mission but his senior's ask him to back out when he does not follow the orders leading to cross firing between the terrorists and NSG Commandos.,['110'],India,Hindi,,7.7,14418234
"Standing Up, Falling Down",2019,"Comedy, Drama",Matt Ratner,Peter Hoare,"Billy Crystal, Ben Schwartz, Grace Gummer, Eloise Mumford, John Behlmann, David Castañeda, Kevin Dunn, Debra Monk, Nate Corddry, Caitlin McGee","A comedy about the unlikely friendship that kindles between a struggling stand-up comedian from L.A., forced to move back home to Eastern Long Island with his tail between his legs, and a tragically flawed, but charming and charismatic, alcoholic dermatologist. Discovering to be kindred spirits, each helps the other find healing, in addition to the confidence to face the ""failures"" in their lives.",['91'],United States,Nothing from IMDB,,6.5,6173484
The Suicide Squad,2021,"Action, Adventure, Comedy, Sci-Fi",James Gunn,James Gunn,"Michael Rooker, Viola Davis, John Ostrander, Joel Kinnaman, Nathan Fillion, Jai Courtney, Flula Borg, Mayling Ng, Pete Davidson, Sean Gunn","In exchange for lighter sentences, just like the anti-hero team in Suicide Squad (2016), a new batch of Belle Reve's meta-humans strike a deal with the cold head of Task Force X, Amanda Waller. This time, her ragtag band of super-powered convicts--Harley Quinn, Bloodsport, Peacemaker, King Shark, Polka-Dot Man, and Ratcatcher 2--venture into the peril-laden South American island nation of Corto Maltese to find the Thinker: the evil scientist in charge of the mysterious Project Starfish. But, as the band joins forces with an old leader of the notorious team, humankind is on the verge of extinction. Can the expendable Suicide Squad stop the new menace that could mean the end of the world as we know it?",['132'],United States,"English, Spanish, Japanese, Cantonese",,7.2,6334354
