Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Jurmana,1979,"Drama, Romance",Hrishikesh Mukherjee,Nothing from IMDB,"Rakhee Gulzar, Amitabh Bachchan, Shreeram Lagoo, Vinod Mehra, Govardhan Asrani, Farida Jalal, Asit Kumar Sen, Keshto Mukherjee, Manju Asrani, Yunus Parvez",,['139'],India,Hindi,,6.9,79382
Jungle,2017,"Action, Adventure, Biography, Drama, Thriller",Greg McLean,Nothing from IMDB,"Daniel Radcliffe, Thomas Kretschmann, Alex Russell, Joel Jackson, Yasmin Kassim, Luis Jose Lopez, Lily Sullivan, Jacek Koman, Angie Milliken, John Bluthal","In the pursuit of self-discovery and authentic experiences, Israeli backpacker Yossi Ghinsberg meets a cryptic Austrian geologist in La Paz, Bolivia in 1981. Captivated by his engrossing stories of lost tribes, uncharted adventures, and even gold, Yossi decides to follow him, accompanied by his good friends, American photographer Kevin and Swiss teacher Marcus. Without delay they join an expedition led by their seasoned trail-leader, deep into the impenetrable emerald Amazon rainforest. However, as the endless, inhospitable jungle separates the inexperienced team, before long Yossi will find himself stranded in the depths of a nightmarish environment crawling with formidable and tireless adversaries. How can one escape this green maze?",['115'],"Australia, United Kingdom","Hebrew, English, Spanish, German",,6.7,3758172
Jug Jugg Jeeyo,2022,"Comedy, Drama, Family, Romance",Raj Mehta,Nothing from IMDB,"Varun Dhawan, Anil Kapoor, Kiara Advani, Neetu Singh, Prajakta Koli, Maniesh Paul, Tisca Chopra, Savant Singh Premi, Manmeet Singh Sawhney, Shivangi Singh",Kuku loves Naina since his school days and proposes her during his teens and later gets married with blessing of his parents Bheem and Geeta.A little while after marriage they shift to Canada where Naina is career oriented and Kuku struggles for a job where their relationship is on rocks and both decide to separate by filling for divorce.Kuku requests Naina that they should wait until wedding of his sister Ginny and then revel their parents and travel to India for the wedding.Upon reaching India Naina forces Kuku to revel his parents about their separation before the wedding as she has got a job offer in New York and cant let it go.Kuku takes the courage and decides to speak to Bheem over drinks but is shocked to hear that his father himself wants to divorce his mother Geeta and that he is having an affair with Meera.,['148'],India,Hindi,,6.1,13449624
Judwaa 2,2017,"Action, Comedy",David Dhawan,Nothing from IMDB,"Varun Dhawan, Jacqueline Fernandez, Taapsee Pannu, Anupam Kher, Sachin Khedekar, Pawan Malhotra, Prachee Shah, Upasana Singh, Rajpal Naurang Yadav, Vivan Bhatena",Two brothers (twins) born to an honest businessman are separated at birth when their father exposes a smuggling racket and a king pin. One of the brothers is thought to be dead but only resurfaces stronger after living life on the streets to reunite with his family over a sequence of events and twist of fate. Genetically bound by reflexes both the brother's lives interlink in strange ways and a comedy of errors. They eventually come together to destroy the smuggling nexus and save their family from a downfall that awaits them.,['145'],India,Hindi,,3.6,5456546
Judwaa,1997,"Action, Comedy, Drama, Romance",David Dhawan,Nothing from IMDB,"Salman Khan, Karisma Kapoor, Rambha, Kader Khan, Anupam Kher, Shakti Kapoor, Bindu Desai, Reema Lagoo, Satish Shah, Mukesh Rishi","Mrs. Malhotra's (Reema Lagoo) twin sons were separated at birth, so now she only has one son beside her. Since then she has been in shock and confined to a wheelchair in the USA. Quiet and mature Prem (Salman Khan), one of the twins, returns to India with his father Mr. Malhotra (Dalip Tahil) and mother Mrs. Malhotra to marry outgoing and precocious Mala (Karishma Kapoor), who is the daughter of Mr. Sharma (Kader Khan). There Prem meets his identical twin brother Raja (also Salman Khan) who is a thief and also exactly the opposite in nature to Prem. A series of comic scenes result as a result of the twins getting together. Raja loves quiet and mature Roopa (Rambha) and both the girls are confused by the change they perceive in their respective lovers. To muddy the waters Tiger Ratanlal (Mukesh Rishi) has sworn vengeance against the Malhotra family for what they did to his father (Deepak Shirke).",['138'],India,Hindi,,6.1,119428
Judgementall Hai Kya,2019,"Comedy, Drama, Mystery, Thriller",Prakash Kovelamudi,Kanika Dhillon,"Kangana Ranaut, Rajkummar Rao, Amyra Dastur, Amrita Puri, Jimmy Shergill, Karan Ashar, Backagaindancer, Dev Barot, Lalit Behl, Tina Chandorkar",,['121'],India,Hindi,,6.0,8108196
Josh,2000,"Action, Drama, Musical, Romance",Mansoor Khan,Nothing from IMDB,"Shah Rukh Khan, Aishwarya Rai Bachchan, Chandrachur Singh, Sharad S. Kapoor, Priya Gill, Sharat Saxena, Vivek Vaswani, Anjan Srivastav, Kumar Bharadwaj, Suhas Joshi","Shah Rukh Khan and Sharad Kapoor are the leaders of the two rival gangs. Aishwarya Rai is Shah Rukh Khan's twin sister. Shah Rukh is in love with Priya Gill. Chandrachur Singh is Sharad Kapoor's younger brother who studies in a catering college in Bombay. He comes to Goa to visit his brother and plans to go back and start a restaurant there. He sees Aishwarya and falls in love with her. Chandrachur gives up the idea of going back to Bombay and opens a bakery in Goa. When Shah Rukh comes to know about the romance between Aishwarya and Chandrachur, the fight between the gang turns more violent. How the conflict is resolved is the rest of the story.",['162'],India,Hindi,,6.1,151150
Joroo Ka Ghulam,1972,"Comedy, Romance",A. Bhimsingh,Nothing from IMDB,"Nanda Karnataki, Rajesh Khanna, Sharad Kumar, Manisha, Achala Sachdev, Ramesh Deo, Gurnam Singh, Mridula Rani, Jayshree Talpade, Kaabir","Kalpana, the daughter of Shyamlal is brought up in the lap of wealth and luxury. As an University student she falls in love with a struggling artist, Rajesh. When news arrives back home of this improbable romance her dad arranges a marriage with a wealthy man. Unwilling, Kalpana runs away from home and moves in with Rajesh. Incensed, Shyamlal disowns and disinherits Kalpana. Living with Rajesh, in straitened circumstances Kalpana maintains a correspondence with her mother. Shyamlal maintains his position doggedly that Rajesh is only after his wealth and does not truly love his foolish daughter. Piqued, Kalpana constructs a fantasy tale of Rajesh's financial success and the wonderful and opulent lifestyle she enjoys. All is well till she announces the birth of her son. Now, eager, willing and transformed by love for his newborn grandson he announces that he will visit his daughter. Thrown into a quandary, Kalpana casts about for a solution founded on deceit. The arrival of Shyamlal and his wife sets off a pyramid of lies, where to avoid the consequences of one lie, Kalpana is enmeshed in a web of lies.",,India,Hindi,,6.4,156651
Jonathan,2018,"Drama, Mystery, Sci-Fi, Thriller",Bill Oliver,Nothing from IMDB,"Ansel Elgort, Suki Waterhouse, Patricia Clarkson, Matt Bomer, Douglas Hodge, Souleymane Sy Savane, Shunori Ramanathan, Joe Egender, Ian Unterman, Alok Tewari","Jonathan and John are brothers, yet they share the same body. Life was routine for both of them; Jonathan gets the first half of the day (7:00 AM to 7:00 PM) and John gets the other half (7:00 PM to 7:00 AM). Everything starts to shift when Jonathan realizes that John has a girlfriend and now wants so much more than this shared life.",['100'],United States,English,,5.9,5639446
Jolly LLB 2,2017,"Comedy, Crime, Drama",Subhash Kapoor,Subhash Kapoor,"Akshay Kumar, Huma Qureshi, Saurabh Shukla, Annu Kapoor, Kumud Mishra, Sayani Gupta, Inaamulhaq, Manav Kaul, Rajiv Gupta, Sanjay Mishra",,['137'],India,"Hindi, Kashmiri, Urdu",,7.2,5982852
