Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Udaan,2021,Short,Amman Abbasi,Nothing from IMDB,Nothing from IMDB,,,"United States, Pakistan",Nothing from IMDB,,7.8,14845434
The Untold History of the United States,2012,"Documentary, History, War",Nothing from IMDB,"Matt Graham, Matt Graham, Peter Kuznick","Oliver Stone, Alan Shearman, Jim Ward, André Sogliuzzo, Chris Cox, Chris Edgerly, Alex Veadov, Daniel Hagen, Mark Jeffrey Miller, Tim Russell","This 12-chapter documentary series, created and produced by Academy Award winning writer/director Oliver Stone. People should really know and understand their shared and complicated history. They have to recall the small details and forgotten players that influenced some of the biggest events from America's past.",['58'],United States,English,,8.6,1494191
The Perfect Date,2019,"Comedy, Romance",Chris Nelson,Nothing from IMDB,"Noah Centineo, Laura Marano, Odiseas Georgiadis, Camila Mendes, Matt Walsh, Joe Chrest, Carrie Lazar, Alexander Biglane, Blaine Kern III, Zak Steiner","Brooks Rattigan (Noah Centineo) has the academic chops to get into his dream Ivy League school, but he's missing an outstanding extracurricular--and the money. When he seizes on an opportunity to make some extra cash by posing as the boyfriend of a self-assured, combat-boot-loving girl named Celia Lieberman (Laura Marano), he finds that he has a knack for being the perfect stand-in. With his programmer friend Murph (Odiseas Georgiadis), Brooks launches an app selling himself as a plus-one for all occasions. Along the way, he meets the girl of his dreams (Camila Mendes). But when business starts to boom, Brooks must reassess everything of which he was once sure.",['89'],United States,English,,5.8,8201170
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama, Fantasy",Peter Jackson,Nothing from IMDB,"Bruce Allpress, Sean Astin, John Bach, Sala Baker, Cate Blanchett, Orlando Bloom, Billy Boyd, Jed Brophy, Sam Comery, Brad Dourif","The continuing quest of Frodo and the Fellowship to destroy the One Ring. Frodo and Sam discover they are being followed by the mysterious Gollum. Aragorn, the Elf archer Legolas, and Gimli the Dwarf encounter the besieged Rohan kingdom, whose once great King Theoden has fallen under Saruman's deadly spell.",['179'],"New Zealand, United States","English, Sindarin, Old English",,8.8,167261
The Beekeeper,2024,"Action, Thriller",David Ayer,Kurt Wimmer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson, Jeremy Irons, David Witts, Michael Epp, Taylor James, Phylicia Rashad, Jemma Redgrave","Adam Clay is a beekeeper, but someone very important to him is scammed and driven to harm. However, what these power and money hungry scammers don't know, is that Clay is an agent in a classified program called Beekeepers, and they underestimate how much of a threat he is. Adam sets out on a quest of vengeance, where he hunts and kills those responsible for the incident.",['105'],"United States, United Kingdom",English,,6.4,15314262
The Beekeeper,1986,Drama,Theodoros Angelopoulos,Nothing from IMDB,"Marcello Mastroianni, Nadia Mourouzi, Serge Reggiani, Jenny Roussea, Dinos Iliopoulos, Vasia Panagopoulou, Iakovos Panotas, Stamatis Gardelis, Mihalis Giannatos, Karyofyllia Karabeti","Disenchanted with life, stone-faced Spiros, a retired small-town schoolteacher and active beekeeper, finds himself faced with the challenging mission of self-discovery after his daughter's wedding. In search of spring and a temperate climate for his precious bees, Spiros leaves everything behind and embarks on a solitary annual journey to follow the path of the blooming springtime flowers: a tradition passed down from generation to generation. As morose Spiros meanders through the Greek countryside, a chance encounter with a free-spirited, happy-go-lucky female drifter gradually brings to light buried emotions and overpowering feelings. But pretty soon, palpable silence turns into unspoken tension, and bittersweet nostalgia evolves into self-destructive obsession.",['122'],"Greece, France, Italy","Greek, French",,7.3,91506
Sixty Minutes,2024,"Action, Adventure, Drama, Sport",Oliver Kienle,"Philip Koch, Oliver Kienle","Emilio Sakraya, Dennis Mojen, Marie Mouroum, Paul Wollin, Florian Schmidtke, Aristo Luis, José Barros, Vassilis Koukalani, Janna Striebeck, Morik Heydo","MMA fighter Octavio only has an hour to come to his daughter's birthday, otherwise he could lose custody of her forever. But to achieve his goal, he lets a big fight whiz, which all sorts of shady characters don't like. As the Octavio chase, the merciless race against time will soon push the young father to his limits.",['88'],Germany,"German, English, Serbian",,5.7,29538571
Se7en,1995,"Crime, Drama, Mystery, Thriller",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt, Gwyneth Paltrow, John Cassini, Bob Mack, Peter Crombie, Reg E. Cathey, R. Lee Ermey","A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...",['127'],United States,English,,8.6,114369
Project X,2012,Comedy,Nima Nourizadeh,Nothing from IMDB,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame, Kirby Bliss Blanton, Brady Hender, Nick Nervies, Alexis Knapp, Miles Teller, Peter Mackenzie","It's Thomas Kub's 17th birthday and all he wants to do is throw a small party with some friends to help raise his social status and maybe even get lucky. But when his best friend Costa starts calling radio stations and putting ads up on Craigslist, you can be sure that this party is going to get really out of hand really fast.",['88'],United States,English,,6.7,1636826
Noorie,1979,"Drama, Family, Romance",Manmohan Krishna,Nothing from IMDB,"Farooq Shaikh, Poonam Dhillon, Madan Puri, Iftekhar, Padma Khanna, Geeta Kak, Javed Khan Amrohi, Bharat Kapoor, Rajan Verma, Vikas Anand","Noorie (Poonam Dhillon) is a young and beautiful girl from the valleys, who along with Yusuf (Farooq Shaikh) has a simple dream - A house - A family - and a life full of love.But nothing is that simple in life as Noorie and Yusuf's dreams are torn apart at the hands of a couple of village goons for whom Noorie is just a conquest. NOORIE tells a simple and touching story of Noorie and Yusuf's fearless love at all cost.",['120'],India,Hindi,,6.2,309926
No Good Deed,2014,"Crime, Drama, Horror, Thriller",Sam Miller,Aimee Lagos,"Idris Elba, Taraji P. Henson, Leslie Bibb, Kate del Castillo, Henry Simmons, Mirage Moonschein, Kenny Alfonso, Dan Caudill, Tatom Pender, Kelly O'Neal","A lonely mother invites a handsome car-accident victim into her home. Desperate for a little attention, she doesn't realize she's entertaining a sociopathic, yet charming, escaped convict. In one terrifying night her life completely changes as she fights for her own life and the lives of her children in No Good Deed.",['84'],United States,English,,5.6,2011159
Nerve,2016,"Action, Adventure, Crime, Drama, Thriller","Henry Joost, Ariel Schulman",Nothing from IMDB,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer, Juliette Lewis, Kimiko Glenn, Marc John Jefferies, Colson Baker, Brian Marc, Ed Squires","'Nerve' is about an online dare game, in which people give participants anonymous dares for money. The participants compete with each other to win the grand prize as the dares get tougher. Things get worse when the tasks get increasingly dangerous and lives are at stake.",['96'],United States,English,,6.5,3531824
Jumanji: The Next Level,2019,"Action, Adventure, Comedy, Fantasy",Jake Kasdan,Nothing from IMDB,"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan, Awkwafina, Nick Jonas, Alex Wolff, Morgan Turner, Madison Iseman, Ser'Darius Blain","The gang is back but the game has changed. As they return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored, from the arid deserts to the snowy mountains, in order to escape the world's most dangerous game.",['123'],"United States, India, Australia, New Zealand, Thailand, Canada, South Korea, China, Netherlands",English,,6.7,7975244
