Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Split,2016,"Horror, Thriller",M. Night Shyamalan,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson, Jessica Sula, Izzie Coffey, Brad William Henke, Sebastian Arcelus, Neal Huff, Ukee Washington","Though Kevin (James McAvoy) has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher (Betty Buckley), there remains one still submerged who is set to materialize and dominate all of the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him -- as well as everyone around him -- as the walls between his compartments shatter.",['117'],"United States, Japan",English,,7.3,4972582
Speed Kills,2018,"Action, Crime, Drama, Thriller",Jodi Scurfield,Nothing from IMDB,"John Travolta, Katheryn Winnick, Jennifer Esposito, Michael Weston, Jordi Mollà, Amaury Nolasco, Matthew Modine, James Remar, Kellan Lutz, Charlie Gillespie",,['102'],"Puerto Rico, United States","English, Spanish",,4.3,6749318
Special 26,2013,"Crime, Drama, Thriller",Neeraj Pandey,Neeraj Pandey,"Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Shergill, Kajal Aggarwal, Divya Dutta, Kishore Kadam, Rajesh Sharma, Deepraj Rana, Vipin Sharma","Based on real life incidents that occurred in India in 1987-88, the storyline revolves around a group of con artists who pulled off many clever robberies during 1980s, and robbed famous businessmen and politicians by pretending to be the CBI or Income tax officers and conducting raids. On the pretext of conducting raids they would take away all the black money hoarded by them.",['144'],India,Hindi,,8.0,2377938
Sonu Ke Titu Ki Sweety,2018,"Comedy, Romance",Luv Ranjan,Nothing from IMDB,"Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh, Alok Nath, Madhumalti Kapoor, Ishita Raj, Pawan Chopra, Ayesha Raza Mishra, Deepika Amin, Rajesh Jais","We have always been told that ""Marriage"" is a marriage between two families. 'Sonu ke Titu ki Sweety' explores the new age version of the same belief where ""Marriage"" is a marriage between two friend circles. What happens when you decide to get married, but your best friend and your girlfriend can't see eye to eye. Sonu and Titu are childhood friends. Titu has always been a naïve lover, who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost, makes him feel that she's too good to be true. What ensues is a war between the best friend and the bride to be. While Sweety is trying to impress Titu and the family alike, Sonu is out to sabotage the utopian romance.",['138'],India,Hindi,,7.1,7581902
Soch,2002,"Drama, Mystery, Thriller",Sushen Bhatnagar,Nothing from IMDB,"Sanjay Kapoor, Raveena Tandon, Aditi Govitrikar, Arbaaz Khan, Danny Denzongpa, Tiku Talsania, Mushtaq Khan, Anjala Zaveri, Vineet Kumar, Mac Mohan","Raj Matthews has been selected the best actor in the Bollywood Cine Awards. He dedicates this award to his pretty co-star, Preeti Sardesai. Raj has everything going for him. He is rich, famous, handsome, and popular. Preeti thinks a lot about him, and is even considering having an affair with him. Behind all the glitter and the glory lies an embittered Mrs. Matthews - namely Madhurika - who is insecure and jealous of Preeti, and suspects her husband of having an affair with her. She will not tolerate any woman to come between her and Raj - even if it means killing her or both of them.",['145'],India,Hindi,,4.5,329620
Sniff,2017,"Adventure, Comedy, Family, Fantasy",Amole Gupte,Nothing from IMDB,"Mukesh Agrohari, Parshva Dhariwal, Khushmeet Gill, Putul Guha, Sanjeev Jaiswal, Adil Majoo, Suresh Menon, Sushmita Mukherjee, Monica Sehgal, Surekha Sikri","An eight-year-old Sunny Gill has always had a blocked nose, and therefore, no sense of smell. A freak accident gives Sunny the most refined sense of smell ever. The entire dog squad of the country's police force cannot sniff what he can. But is that enough for Sunny and his young pals Google and Twitter to combat a menacing & ruthless gang of car thieves? What starts out with tracing a single missing car in the housing society, ends up busting the heftiest car racket in the country. No villain could ever be as unlikely. But then, neither could the gang of detectives!",['89'],India,Hindi,,5.3,7291466
Sleight,2016,"Crime, Drama, Sci-Fi",J.D. Dillard,"J.D. Dillard, Alex Theurer","Jacob Latimore, Seychelle Gabriel, Storm Reid, Donzaleigh Abernathy, Sasheer Zamata, Jay Walker, Andrew Fitzpatrick, Stella Stahl, Cameron Esposito, Alex Hyner","A young street magician is left to care for his little sister after their parents' death, and turns to illegal activities to keep a roof over their heads. When he gets in too deep, his sister is kidnapped and he is forced to use his magic and brilliant mind to save her.",['89'],United States,English,,5.9,4573516
Sixteen,2013,"Drama, Romance, Thriller","Raj Purohit, LAl Mohan",Nothing from IMDB,"Wamiqa Gabbi, Izabelle Leite, Mehak Manwani, Highphill Mathew, Summit Bhardwaj, Alka Chatarwal, Zakir Hussain, Varun Jhamb, Mohak Khurana, Kiran Lall","Welcome to sixteen's world. A world where growing up has speeded up multifold times. Once upon a time, it was the age of innocence, the age of sweetness, the age when one had the first crush. But times have changed. In the times of Internet, Delhi times and page-3 and lot of TV channels, innocence is the first casualty. Sixteen is a story about lost innocence and teenage heartache in urban India.",['138'],India,Hindi,,6.2,2976172
Only You,1999,"Romance, Drama",Ahathian,Nothing from IMDB,"Sanjay Kapoor, Priya Gill, Sushmita Sen, Mohnish Behl, Salman Khan, Jackie Shroff, Tej Sapru, Johny Lever, Kader Khan, Shagufta Ali","Sirf Tum revolves around Deepak, an ordinary young man with a big heart, and Aarthi, an attractive, middle class girl. While in Dehli, Deepak finds a lost handbag belonging to Aarthi. Returning it to her, Deepak begins writing her on a regular basis. Eventually, the two fall in love. While exchanging letters, the two meet each other at random times but both have no idea who the other is. The necessary plot twist comes in the way of Neha, Deepak's boss, who falls in love with him and tries to woo him. The rest of the movie concentrates on whether Deepak rejects the advances of Neha and meets Aarthi.",['150'],India,Hindi,,6.2,244794
Silver Linings Playbook,2012,"Comedy, Drama, Romance",David O. Russell,Nothing from IMDB,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Chris Tucker, Anupam Kher, John Ortiz, Shea Whigham, Julia Stiles, Paul Herman","Against medical advice and without the knowledge of her husband Pat Solatano Sr., caring Dolores Solatano discharges her adult son, Pat Solatano Jr., from a Maryland mental health institution after his minimum eight-month court ordered stint. The condition of the release includes Pat Jr. moving back in with his parents in their Philadelphia home. Although Pat Jr.'s institutionalization was due to him beating up the lover of his wife Nikki, he was diagnosed with bipolar disorder. Nikki has since left him and has received a restraining order against him. Although he is on medication (which he doesn't take because of the way it makes him feel) and has mandatory therapy sessions, Pat Jr. feels like he can manage on the outside solely by healthy living and looking for the ""silver linings"" in his life. His goals are to get his old job back as a substitute teacher, but more importantly reunite with Nikki. He finds there are certain instances where he doesn't cope well; however, no less so than some others who have never been institutionalized, such as his Philadelphia Eagles obsessed father who has resorted to being a bookie to earn a living, his best friend Ronnie who quietly seethes over the control wielded by his wife Veronica, and Veronica's widowed sister, Tiffany Maxwell, a girl with problems of her own. In their fragile mental states, Pat Jr. and Tiffany embark on a love/hate friendship based primarily on what help the other can provide in achieving their individual goals. But they may reevaluate their goals as their relationship progresses.",['122'],United States,"English, Hindi",,7.7,1045658
