Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Monsoon Mangoes,2016,Comedy,Abi Varghese,Nothing from IMDB,"Fahadh Faasil, Vijay Raaz, Vinay Forrt, Iswarya Menon, Sanju Sivram, Tovino Thomas, Nick Blady, Ashok Chaudhary, Jacob Gregory, Alencier Ley Lopez",,['132'],India,Malayalam,,6.6,5320522
Mohalla Assi,2015,"Comedy, Drama",Chandra Prakash Dwivedi,Nothing from IMDB,"Sunny Deol, Sakshi Tanwar, Ravi Kishan, Saurabh Shukla, Rajendra Gupta, Seema Azmi, Syed Iqbal Ahmad, Alex, Alice, Alisha","Based on Dr. Kashinath Singh's Hindi novel 'Kashi Ka Assi', a religious satire based on the commercialization of the pilgrimage city, and fake gurus who lure the visitors and tourists. Assi Ghat is a burning ghat on the river banks of Ganges flowing into the middle of Banaras, India. The film is based in a famous, historical locality by the ghat, on the southern end of Banaras (Varanasi).",['150'],India,Hindi,,6.6,4949324
Mission Kashmir,2000,"Action, Drama, Thriller",Vidhu Vinod Chopra,Nothing from IMDB,"Sanjay Dutt, Hrithik Roshan, Preity G Zinta, Sonali Kulkarni, Jackie Shroff, Puru Rajkumar, Abhay Chopra, Vineet Sharma, Rajendra Gupta, Memon Mohsin","In a valley of astonishing beauty, a small family lives in an idyllic house: a father, a mother and a son. They are a picture of happiness and love. But appearances are often deceptive. This pastoral landscape is the strife-torn valley of Kashmir, and the son, Altaaf, is an orphan of war who has been adopted by a policeman, Inayat Khan, and his wife, Neelima. Altaaf is slowly recovering from the psychic wounds of seeing his parents and his young sister shot to death before his eyes by a masked man. Years later, a rebel force infiltrates the valley on a secret mission. They need an highly trained fighter with burning anger and find that in Altaaf. He returns to the streets and by lanes of his childhood fighting for Hilal Kohistani, but also obsessed with his own private mission: he must kill the masked intruder who haunts his nightmares -- Inayat Khan.",['154'],India,"Hindi, Urdu, English",,6.6,248185
Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller",Christopher McQuarrie,Nothing from IMDB,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Rebecca Ferguson, Vanessa Kirby, Esai Morales, Pom Klementieff, Henry Czerny, Shea Whigham","Ethan Hunt and the IMF team must track down a terrifying new weapon that threatens all of humanity if it falls into the wrong hands. With control of the future and the fate of the world at stake, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan is forced to consider that nothing can matter more than the mission -- not even the lives of those he cares about most.",['163'],United States,"English, French, Italian, Russian",,7.7,9603212
Mishawr Rawhoshyo,2013,"Action, Adventure, Thriller",Srijit Mukherji,Nothing from IMDB,"Prasenjit Chatterjee, Indraneil Sengupta, Rajit Kapoor, Aryann Bhowmick, Tridha Choudhury, Rajesh Sharma, Sujan Mukherjee, Biswajit Chakraborty, Tulika Basu, Barun Chanda","""Mishawr Rohoshyo,"" a thriller, is The Egyptian Mystery to be solved by detective Raja Roy Chowdhury to unearth an Egyptian fortune. The all's-not-well quest takes Kakababu and Santu into a bumpy ride which finally ends at the baffling Egyptian tombs.",['148'],India,Bangla,,6.2,3148268
Miral,2022,Drama,M. Sakthivel,M. Sakthivel,"Kaavya Arivumani, Arjai, Vani Bhojan, Meera Krishnan, Rajkumar, K.S. Ravikumar, Bharath Srinivasan",,['115'],India,Tamil,,5.7,14452152
Milan,1967,"Drama, Romance",Adurthi Subba Rao,Nothing from IMDB,"Sunil Dutt, Nutan, Jamuna, Pran Sikand, Surendra, Shyama, Deven Verma, Leela Mishra, Mukri, Aruna Rai","On the banks of the holy River Ganga, Gopi, a ferryman conducts an unconsummated romance with Radha, a girl from the upper classes. At the same time, he rejects the advances of Gauri, a girl from his own village, who is attracting the unwanted attention of Radha's lecherous uncle. Fate is not kind to them. Radha is married off to a man she doesn't care for and Gopi is severely beaten by thugs sent by Radha's uncle after he prevents him from molesting Gauri. Radha's husband dies suddenly and she returns home in disgrace to find her father is dangerously ill. However, the attraction between Radha and Gopi remains as strong as ever and ugly rumours start to circulate about the nature of their relationship - for which Gopi blames the jealous Gauri. Emotions come to the boil and tragedy results. Fortunately, for all concerned, another birth awaits them......",['170'],India,Hindi,,6.9,61974
Meri Nimmo,2018,Drama,Rahul Shanklya,Peeyush Shrivastava,"Anjali Patil, Karan Dave, Aryan Mishra, Sunayana Agarwal, Amar Singh Parihar, Sarika Nayak, Vivek Pandey, Rana Pratap Sengar, Anshul Thakur, Late Asha Tiwari","The story revolves around Nimmo (Patil), who is soon to be wed. Her only friend, and constant companion is a little boy (Dave) who also has a massive crush on her. While the little boy's innocence prevents him from understanding the complications of marriage, it does not prevent him from trying some wacky ideas to keep his love from marrying someone else.",['90'],India,Hindi,,7.0,7742704
Mere Yaar Ki Shaadi Hai,2002,"Comedy, Drama, Romance",Sanjay Gadhvi,Nothing from IMDB,"Uday Chopra, Jimmy Shergill, Bipasha Basu, Tanaaz Currim Irani, Shamita Shetty, Alok Nath, Neena Kulkarni, Sheela Sharma, Deven Verma, Bindu Desai","Sanjay's (Uday Chopra) phone rings. Anjali (Sanjana) his childhood friend is getting married. Observing Sanjay's reaction to this news, his flatmate Ria (Bipasha Basu) concludes that Sanjay is in love with her. Sanjay sets off on a noble mission - to break the wedding. He meets the groom to be Rohit (Jimmy Shergill) and sets off on his crusade of poisoning the family's mind against Rohit.",['158'],India,Hindi,,5.5,322653
Mere Huzoor,1968,"Drama, Romance",Vinod Kumar,Nothing from IMDB,"Mala Sinha, Raaj Kumar, Jeetendra, Johnny Walker, Zeb Rehman, David Abraham, Noor Jehan, Manorama, Praveen Paul, Indira","Akhtar Hussain saves the life of Nawab Salim and earns his gratitude. Salim invites Akhtar to come to his palatial home, and Akhtar does so. On the way, he meets beautiful Saltanat and falls in love with her. On arrival at Salim's house, Akhtar is treated with utmost respect, provided employment, and a place to live. Akhtar meets Saltanat and they plan to marry. Unknown to them, Salim also loves Saltanat, but Saltanat rejects his advances, and proposal, leaving him heartbroken. Soon Saltanat and Akhtar get married and settle down and Saltanat soon gives birth to a son. Salim is very affectionate with this child, and the child too grows to like Salim. Akhtar, meanwhile, has fallen into bad company, drinks alcohol, and romances a courtesan. When Saltanat finds out about this affair, she is outraged, and asks Akhtar to improve; instead, Akhtar divorces her, leaving her and her child homeless. Salim offers to assist her, but Saltanat thinks that Salim is to blame for the current situation, as he might have had a hand in bringing ruin upon herself and Akhtar just to get even for her not marrying him. Only time will tell who the real culprit, as the drama slowly unfolds over the years.",['165'],India,"Hindi, Urdu",,6.8,290763
