Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Arctic,2018,"Adventure, Drama",Joe Penna,"Joe Penna, Ryan Morrison","Mads Mikkelsen, Maria Thelma Smáradóttir, Tintrinai Thikhasuk",A man stranded in the Arctic after a plane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown in hopes of making it out alive.,['98'],"United States, Iceland","English, Danish",,6.8,6820256
Arahan,2004,"Action, Comedy, Fantasy",Ryu Seung-wan,Nothing from IMDB,"Ryu Seung-beom, Yoon So-yi, Ahn Sung-ki, Doo-hong Jung, Yun Ju-sang, Kim Jee-young, Yeong-In Kim, Chan-gi Baek, Yun-bae Park, Kim Jae-man","When a thieving cyclist steals a purse from a pedestrian, clumsy, naive yet honest rookie policeman Sang-hwan gives chase, but it's the skilled specialist in martial arts, Wi-jin, who captures the criminal while severely injuring Sang-hwan. She brings Sang-hwan to her home, where five Masters of Tao heal him and find that he has a powerful c'hi (spiritual energy of the universe). He could be a powerful warrior. As Sang-hwan begins training to ascend to the level of a Maruchi (male Tao Master), the evil, ancient and ambitious Heuk-woon, accidentally released from his imprisonment, awakens. The powerful Heuk-woon attacks the masters, searching for a key that they protect, which would permit him to become an Arahan and dominate the world. When the masters are defeated, Sang-hwan and Wi-jin are the only and last hope of mankind.",['114'],South Korea,Korean,,6.6,404777
Aharen-san wa Hakarenai,2022,"Animation, Comedy",Nothing from IMDB,"Ayumu Hisao, Kotsu Kotsu, Asato Mizu","Inori Minase, Takuma Terashima, Jill Harris, Brittney Karbowski, Kana Hanazawa, Tia Lynn Ballard, Dani Chambers, Bryn Apprill, Katelyn Barr, Kristen McGuire",,,Japan,Japanese,,7.0,16341212
Anukoni Athidhi,2019,"Drama, Mystery, Romance, Thriller",Vivek,Nothing from IMDB,"Fahadh Faasil, Sai Pallavi, Atul Kulkarni, Lenaa, Renji Panicker, Sudev Nair, Shanthi Krishna, P. Balachandran, Baiju V.K., Surabhi Lakshmi",,['136'],India,"Malayalam, Telugu",,7.0,9793334
Anubhav,1971,Drama,Basu Bhattacharya,Nothing from IMDB,"Sanjeev Kumar, Tanuja Samarth, Dinesh Thakur, A.K. Hangal, Paresh Nanda, O.P. Kohli, Dhumketu, Lalit Rai, Atul, Subir Sen","Meeta Sen (Tanuja) and Amar Sen (Sanjeev Kumar) have been married for several years. Due to Amar's hectic work schedule, the couple have not had children, as there was no time for intimacy. Meeta decides to take matters into her own hands, gets rid of the servants, save for Hari (A.K. Hangal), and decides to run the household on her own. This gets the couple to be closer, and eventually they do get intimate. And then Meeta's old flame Shashi Bhushan (Dinesh Thakur) not only re-enters Meeta's life, but also gets employed in the same organization as Amar, throwing their marriage again in jeopardy.",['139'],India,"Hindi, Bangla",,7.5,156290
Annihilation,2018,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",Alex Garland,Nothing from IMDB,"Natalie Portman, Benedict Wong, Sonoya Mizuno, David Gyasi, Oscar Isaac, John Schwab, Jennifer Jason Leigh, Gina Rodriguez, Tuva Novotny, Tessa Thompson","A biologist's husband disappears. She puts her name forward for an expedition into an environmental disaster zone, but does not find what she's expecting. The expedition team is made up of the biologist, an anthropologist, a psychologist, a surveyor, and a linguist.",['115'],"United States, United Kingdom",English,,6.8,2798920
Anjaane: The Unknown,2005,Horror,Harryy W. Fernaandes,Nothing from IMDB,"Manisha Koirala, Sanjay Kapoor, Tejaswini Kolhapure, Helen, Daisy Irani, Pramod Moutho, Mushtaq Khan, Atul Parchure, Akshay Bhatiya, Ekta Sohini","The chief protagonists are Shivani and Aditya, a married couple with 2 children, Tanwi Gouri Mehta and Anand Mehta. They are wealthy and live in a mansion. Their idyllic life is shattered with the arrival of Sonia, who has an affair with Adiyta. Eventually, Aditya leaves his family for Sonia, leaving the wife and two kids alone. When it is found out that Sonia is barren, Aditya demands custody of his children from Shivani and approaches the courts for a custody battle. Eventually, the courts rule against Shivani and award custody to Aditya and Sonia. The movie changes it's ambiance from the family dispute to one of suspense and horror shortly after.",['110'],India,Hindi,,3.8,874854
Anjaana Anjaani,2010,"Comedy, Drama, Musical, Romance",Siddharth Anand,Nothing from IMDB,"Priyanka Chopra Jonas, Ranbir Kapoor, Pooja Kumar, Aubrey K. Miller, Carl Marino, Kumar Pallana, Edward Sonnenblick, Zayed Khan, Ilona Marino, Adrian Bustamante","The story of two strangers on an odyssey of discovery, down a path that is ridden with the exquisite pain and joy of falling in love, only they don't realize it. A series of hilarious misadventures trace their bi-coastal road journey as they go about fulfilling their last wishes. But then life interrupts, as is its habit, and painful choices must be made. The duo part with the understanding that their days together were a brief interlude of insanity that had to succumb to real life. They part as they met--as strangers.",['151'],India,Hindi,,5.7,1499201
Alms for a Blind Horse,2011,Drama,Gurvinder Singh,Nothing from IMDB,"Samuel John, Mal Singh, Serbjeet Kaur, Dharminder Kaur Maan, Emmanuel Singh, Kulwinder Kaur, Lakha Singh, Gurinder Makna, Pran Nath, Sukhdev Singh",,['112'],India,Punjabi,,7.1,2085746
Anarkali,2015,"Drama, Musical, Romance",Sachy,Sachy,"Prithviraj Sukumaran, Biju Menon, Kabir Bedi, Priyal Gor, Miya George, Suresh Krishna, Sudev Nair, Samskruthy Shenoy, Arun, Chempil Asokan",,['160'],India,Malayalam,,7.0,4947084
