Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The Devil's Double,2011,"Biography, Drama, Thriller",Lee Tamahori,Nothing from IMDB,"Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast, Mimoun Oaïssa, Khalid Laith, Dar Salim, Nasser Memarzia, Mem Ferda, Pano Masti","Baghdad, the playground for the rich and infamous, where anything can be bought - but for a price. This is Uday Hussein's world and with his depraved lust for debauchery and immorality, he helps himself to whatever turns him on. When army lieutenant Latif Yahia is summoned to Saddam's palace, he is faced with an impossible request - to be Uday's 'fiday' - his body double, or have his family condemned to death. In a world entrenched in betrayal and corruption, knowing who to trust becomes a matter of life or death for Latif, as he battles to escape from his forced existence.",['109'],"Belgium, Netherlands",English,,7.0,1270262
The Dark Knight Rises,2012,"Action, Drama, Thriller",Christopher Nolan,Nothing from IMDB,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway, Marion Cotillard, Morgan Freeman, Michael Caine, Matthew Modine, Alon Aboutboul","Despite his tarnished reputation after the events of The Dark Knight (2008), in which he took the rap for Dent's crimes, Batman feels compelled to intervene to assist the city and its Police force, which is struggling to cope with Bane's plans to destroy the city.",['164'],"United States, United Kingdom","English, Arabic",,8.4,1345836
The Contractor,2022,"Action, Drama, Thriller",Tarik Saleh,J.P. Davis,"Chris Pine, Gillian Jacobs, Sander Thomas, Toby Dixon, Dean Ashton, Dustin Lewis, Regina Ting Chen, Brian Lafontaine, Cory Scott Allen, Antal Kalik","After being involuntarily discharged from the U.S. Special Forces, James Harper (Pine) decides to support his family by joining a private contracting organization alongside his best friend (Foster) and under the command of a fellow veteran (Sutherland).",['103'],United States,English,,5.8,10323676
The Client List,2011,"Crime, Drama",Nothing from IMDB,"Jordan Budde, Jordan Budde, Suzanne Martin","Jennifer Love Hewitt, Loretta Devine, Colin Egglesfield, Cybill Shepherd, Rebecca Field, Alicia Lagano, Brian Hallisay, Tyler Champagne, Cassidy Guetersloh, Laura-Leigh","Riley is a single mother living in a small Texas town and leading a shocking double life. Her secret would send shockwaves through the community and possibly land her in jail if it was ever exposed. Riley's taken a job at a seemingly traditional day spa, but soon realizes that the parlor offers a little more than just massage therapy. It's not the happy ending she was expecting but it does open her eyes to a world she's never seen before.",['42'],United States,English,,6.5,2022170
The Captain,2017,"Drama, History, Thriller, War",Robert Schwentke,Robert Schwentke,"Max Hubacher, Alexander Fehling, Sebastian Rudolph, Max Thommes, Rike Eckermann, Jörn Hentschel, Milan Peschel, Alexander Hörbe, Ferdinand Dörfler, Harald Warmbrunn","During the final weeks of the Third Reich, an army deserter stumbles across an abandoned Nazi captain's uniform. Newly emboldened by the allure of a suit which he stole only to stay warm, he discovers that many Germans will follow the leader, whosoever that happens to be.",['118'],"Germany, France, Poland, Portugal, China",German,,7.3,6763252
The Boy Next Door,2015,Thriller,Rob Cohen,Barbara Curry,"Jennifer Lopez, Ryan Guzman, Ian Nelson, John Corbett, Kristin Chenoweth, Lexi Atkins, Hill Harper, Jack Wallace, Adam Hicks, François Chau","When a handsome, charming teenager named Noah (Ryan Guzman) moves in next door, newly separated high-school teacher Claire Peterson (Jennifer Lopez) encourages his friendship and engages in a little bit of harmless (or so she thinks) flirtation. Although Noah spends much of the time hanging out with Claire's son, the teen's attraction to her is palpable. One night, Claire gives in to temptation and lets Noah seduce her, but when she tries to end the relationship, he turns violent.",['91'],United States,English,,4.7,3181822
The Blue Umbrella,2013,"Animation, Short, Drama, Family, Fantasy, Romance",Saschka Unseld,Saschka Unseld,Sarah Jaffe,"It's pouring with rain in the bustling city during rush hour and the wet citizens crowd on the pavement, holding tightly their umbrellas. But in this sea of crammed and almost identical black canopies, one red and one blue umbrella set a strikingly refreshing contrast, and, who knows, maybe the stage for a beautiful and heart-warming love story.",['7'],United States,English,,7.5,2616880
The Big Bull,2021,"Biography, Crime, Drama, Mystery",Kookie Gulati,Nothing from IMDB,"Abhishek Bachchan, Nikita Dutta, Ileana D'Cruz, Sanjeev Pandey, Srestha Banerjee, Borde Abhijeet, Vinit Medhatia Akash, Hittesh Arrora, Kannan Arunachalam, Sorabh Chauhan","Hemant Shah works as clerk in office and lives with his mother and younger brother Viren,he is in love with Priya but her father wants her to marry a well settled person.After Viren looses money in stock market ,Hemant then arranges for some money and according to tips invests in share market to pay Viren's debts.Hemant makes lot of profits with his intelligence and decides to be a full time broker after lot ups and downs he becomes the king of share market and lives a luxury life and also marries Priya.Apart from businessmen the common man also starts to invest in market as Hemant has given a ray of hope to them but question remains to biggies of market from where is Hemant arranging funds in stock market. Meera Rao a journalist finds about the scam of 565 Crore missing from National Bank Of India and Hemant is responsible for shuffling its funds she covers the story causing troubles for The Big Bull.",['153'],India,Hindi,,5.7,9614452
The Battleship Island,2017,"Action, Drama, History",Ryu Seung-wan,Ryu Seung-wan,"Hwang Jung-min, So Ji-seob, Song Joong-ki, Lee Jung-hyun, Kim Su-an, Lee Kyoung-young, Lee Jeong-eun, Jeon Ah-hee, Jon Allen, Tommy Arciniega","As World War II nears its end, the small island of Hashima (nicknamed ""Battleship Island"") off the coast of Japan is the site of a massive coal mine, where 400 Koreans lead bleak lives as conscripted laborers. Tensions run high between the Japanese soldiers who maintain order with shocking cruelty and violence, and the Koreans from all walks of life who were tricked or forced into coming there. Then, just as the island's dark secrets are revealed, the Koreans plot a daring escape.",['132'],South Korea,"Korean, Japanese",,7.1,5969696
The Attacks of 26/11,2013,"Action, Crime, Drama, History, Thriller",Ram Gopal Varma,Nothing from IMDB,"Nana Patekar, Atul Kulkarni, Sanjeev Jaiswal, Rahaao, Sadh Orhan, Ferzad Jehani, Kamal Adib, Asif Basra, Ashish Bhatt, Aniruddh Harip","26 November 2008 things are going fine in Mumbai as usual in everyone's daily life around 08:00 pm locals near sea coast of Colaba noted around 24 young men with huge bag packs coming from speedboats.The locals tried to inquire but they men asked them to mind their own work and divided them in tow ways ,the locals did inform the nearby police station who did not take any action.Few hours later around 09:30 pm sounds of bullets started pouring at CST station causing huge destruction to human life,further which caused damage at Taj Palace,Trident Hotel,Cama Hospital,Leopold Cafe and Nariman House where sounds of bullets could be heard everywhere and everyone realized it was one of the worst terrorist attack.People started running for their lives and could see blood everywhere many loosing their dear ones right in front of them by the time the cops came in action severe damage was already done.But during a blockade the cops got the news that two terrorists are eloping in a car towards Girgaon Chowpathy in the bloodbath between the cops and terrorists Tukaram Ombale managed to get hold of one of the terrorists Ajmal Qasab but cost his life for him.The same night saw the Mumbai police department lost three top cops in the terrorist attack.The attacks continued for next three days in Mumbai until NSG commandos manage to overcome all the terrorists while the only surviving terrorist Qasab was tried in court.",['116'],India,Hindi,,6.9,2635622
