Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Welcome Home,2020,"Crime, Drama, Horror, Thriller",Pushkar Mahabal,Ankita Narang,"Kashmira Irani, Swarda Thigale, Shashi Bhushan, Boloram Das, Tina Bhatia, Akshita Arora, Siddhesh Wanikar, Hardish Pandya, Swapnil Abhyankar, Sarang Abhyankar","Out for a simple task assigned by their jobs, Anuja and Neha find themselves being held hostage by a family of violent psychos living alone in the middle of nowhere. With escape not an option as they try and fail again and again, there is only one way ahead, kill or die trying.",['126'],India,"Hindi, English",,7.4,13381376
Welcome Home,2018,"Drama, Horror, Mystery, Thriller",George Ratliff,David Levinson,"Emily Ratajkowski, Aaron Paul, Riccardo Scamarcio, Katy Louise Saunders, Alice Bellagamba, Francesco Acquaroli, Evgeny Krylov, Igor Mikhaylov, Robert Babin, Sam Mane",,['97'],United States,English,,5.2,6829180
Welcome Back,2015,"Action, Comedy, Crime, Drama",Anees Bazmee,Nothing from IMDB,"John Abraham, Anil Kapoor, Nana Patekar, Paresh Rawal, Shruti Haasan, Dimple Kapadia, Ranjeet Bedi, Naseeruddin Shah, Shiney Ahuja, Ankita Srivastava","Uday Shetty and Majnu Bhai have left the underworld, and are now big businessmen. Two women, Chandni and Maharani, enter their life. Chandni is the new love in Uday Shetty and Majnu's life and both friends dream of tying the knot with her. However, Appa - Uday's father, plays spoilsport by bringing in his other daughter, Ranjana. He tells Uday Shetty to get her married to someone from a good family. Maharani puts a condition that only after her sister is married, will Chandni will marry one of them. Now, a search to find a suitable husband for Ranjana starts.",['152'],"India, United Arab Emirates",Hindi,,4.3,3159708
We Have a Ghost,2023,"Adventure, Comedy, Drama, Family, Fantasy, Horror, Mystery",Christopher Landon,Nothing from IMDB,"Jahi Di'Allo Winston, David Harbour, Anthony Mackie, Erica Ash, Niles Fitch, Isabella Russo, Tig Notaro, Tom Bower, Sean Boyd, Nicholas X. Parsons","Seeking a fresh start in Chicago, the Presley family moves into a dusty fixer-upper they soon realize comes with a catch: a ghost in the attic named Ernest (David Harbour). Despite Ernest's attempts at scaring teenage son Kevin (Jahi Winston), the detached, music-obsessed teen soon finds a kindred spirit in this trapped soul from the '70s and commits to helping him. Meanwhile, Kevin's affable-yet-harsh father Frank (Anthony Mackie) looks to cash in on Ernest by turning him into a social media sensation. When Frank's video of Ernest goes viral and captures the world's attention, the family lands on the radar of Dr. Leslie Monroe (Tig Notaro), a washed-up paranormal scientist who alerts her old boss, Deputy Director Arnold Schipley of the CIA (Steve Coulter), restarting a clandestine program aimed at capturing a ghost. As crowds, reporters, and government agents descend upon the Presley home, it's up to Kevin and his sharp-witted, fellow outcast neighbor Joy (Isabella Russo) to break Ernest out, uncover the mysteries of his past, and bring him the closure he needs before it's too late.",['126'],United States,English,,6.1,7798604
Wazir,2016,"Action, Crime, Drama, Mystery, Thriller",Bejoy Nambiar,Nothing from IMDB,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul, Neil Nitin Mukesh, John Abraham, Anjum Sharma, Prakash Belawadi, Murli Sharma, Nasir Khan","'Wazir' is a tale of two unlikely friends, a wheelchair-bound chess grandmaster and a brave ATS officer. Brought together by grief and a strange twist of fate, the two men decide to help each other win the biggest games of their lives. But there's a mysterious, dangerous opponent lurking in the shadows, who is all set to checkmate them.",['103'],India,Hindi,,7.1,315642
War Horse,2011,"Action, Adventure, Drama, History, War",Steven Spielberg,Nothing from IMDB,"Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup, David Thewlis, Tom Hiddleston, Benedict Cumberbatch, Celine Buckens, Toby Kebbell, Patrick Kennedy","On the outbreak of the First World War, Albert's beloved horse 'Joey' is sold to the Cavalry by his Father. After being sent to France, in a bid to survive, Joey has an unexpected journey across war torn Europe. Albert enlists in the British Army, and is wounded during the Battle of the Somme. Whilst recovering in Hospital, he learns of a Horse, found in no mans land.",['146'],"United States, India","English, German",,7.2,1568911
Waqt Hamara Hai,1993,"Action, Comedy, Romance, Thriller",Bharat Rangachary,Rumi Jaffery,"Akshay Kumar, Suniel Shetty, Ayesha Jhulka, Mamta Kulkarni, Rami Reddy, Aruna Irani, Anupam Kher, Tiku Talsania, Mahesh Anand, Viju Khote","Two friends Vikas Kumar Sabkuchwala and Sunil Choudhary decides to arrange the fake kidnapping of the two girls Ayesha and Mamta; they are in love with; so as to convince the girls father that they can make good son-in-law as well as meet with his demands at the same time. Only to learn that there plans goes hay-wild when the girls are kidnapped by international terrorist, Colonel Chikara - which changes their lives forever.",['148'],India,Hindi,,5.9,290331
Vivegam,2017,"Action, Thriller",Siva,Nothing from IMDB,"Ajith Kumar, Vivek Oberoi, Kajal Aggarwal, Akshara Haasan, Karunakaran, Amila Terzimehic, Serge Crozon-Cazin, Bashar Rahal, Arav Chowdharry, Billy Murali","A celebrated covert operation specialist Ajay Kumar is assigned a high risk mission to retrieve the detonation codes for deadly plutonium weapons stolen by terrorists to upset the world order. After putting his unparalleled skills to use he finds himself on the verge of successfully completing the mission, only to be shocked by treasonous acts which he wouldn't have even dreamt of. He is then left to deal with overwhelming odds stacked against him in order to survive.",['149'],India,Tamil,,5.2,6878378
Virgin Bhanupriya,2020,"Comedy, Drama",Ajay Lohan,Ajay Lohan,"Urvashi Rautela, Gautam Gulati, Rajiv Gupta, Archana Puran Singh, Niki Walia, Brijendra Kala, Rumana Molla, Natasha Suri, Sumit Gulati, Chaitannya Kanhai",,['111'],India,Hindi,,2.5,11964084
Virata Parvam,2022,"Action, Drama, Romance",Venu Udugula,Venu Udugula,"Rana Daggubati, Sai Pallavi, Priyamani, Nandita Das, Naveen Chandra, Zarina Wahab, Easwari Rao, Sai Chand, Nivetha Pethuraj, Kundan Alexzed",,['151'],India,Telugu,,6.7,11023732
