Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Seraphim Falls,2006,"Action, Drama, Thriller, War, Western",David Von Ancken,"David Von Ancken, Abby Everett Jaques","Liam Neeson, Pierce Brosnan, Michael Wincott, Xander Berkeley, Ed Lauter, Tom Noonan, Kevin J. O'Connor, John Robinson, Anjelica Huston, Angie Harmon","In the 1860s, five men have been tracking a sixth across Nevada for more than two weeks. They shoot and wound him, but he gets away. They pursue, led by the dour Carver, who will pay them each $1 a day once he's captured. The hunted is Gideon, resourceful, skilled with a knife. Gideon's flight and Carver's hunt require horses, water, and bullets. The course takes them past lone settlers, a wagon train, a rail crew, settlements, and an Indian philosopher. What is the reason for the hunt; what connects Gideon and Carver? What happened at Seraphim Falls?",['115'],United States,English,,6.6,479537
Section 375,2019,"Crime, Drama, Mystery, Thriller",Ajay Bahl,"Manish Gupta, Ajay Bahl","Akshaye Khanna, Richa Chadha, Rahul Bhat, Meera Chopra, Shriswara, Kruttika Desai, Kishore Kadam, Sandhya Mridul, Shrikant Yadav, Vibhawari Deshpande",,['124'],India,Hindi,,8.1,8144834
Searching,2018,"Drama, Mystery, Thriller",Aneesh Chaganty,"Aneesh Chaganty, Sev Ohanian","John Cho, Sara Sohn, Alex Jayne Go, Megan Liu, Kya Dawn Lau, Michelle La, Joseph Lee, Dominic Hoffman, Sylvia Minassian, Melissa Disney","After David Kim (John Cho)'s 16-year-old daughter goes missing, a local investigation is opened and a detective is assigned to the case. But 37 hours later and without a single lead, David decides to search the one place no one has looked yet, where all secrets are kept today: his daughter's laptop. In a hyper-modern thriller told via the technology devices we use every day to communicate, David must trace his daughter's digital footprints before she disappears forever.",['102'],"United States, Russia",English,,7.6,7668870
Schindler's List,1993,"Biography, Drama, History",Steven Spielberg,Nothing from IMDB,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Malgorzata Gebel, Shmuel Levy, Mark Ivanir, Béatrice Macola","Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.",['195'],United States,"English, Hebrew, German, Polish, Latin",,9.0,108052
Satyam Shivam Sundaram: Love Sublime,1978,"Drama, Musical, Romance",Raj Kapoor,Jainendra Jain,"Shashi Kapoor, Zeenat Aman, Kanhaiyalal Chaturvedi, A.K. Hangal, David Abraham, Hari Shivdasani, Leela Chitnis, Sheetal, Padmini Kolhapure, Baby Komal","Rupa (Zeenat Aman) grew up being cursed as ""unlucky"" in her birth village. Her mother died during childbirth, then a kitchen accident leaves half her face disfigured. This is an artistic exploration of beauty and disfigurement, society's values, and, more importantly how a girl, teenager, and bride was treated during the times. Rajeev (Shashi Kapoor), the stereotype male engineer, falls in love with Rupa, who has a divine singing voice and the unscarred left cheek. When he sees the scarred cheek after marriage, he heads off into a tizzy and continues nightly dalliance with his mistress--the beautiful cheek. Little does he realize that his wife and mistress are two faces of the same person.",['172'],India,Hindi,,7.0,78204
Satyakam,1969,Drama,Hrishikesh Mukherjee,Nothing from IMDB,"Ashok Kumar, Dharmendra, Sharmila Tagore, Rabi Ghosh, Sanjeev Kumar, David Abraham, D.K. Sapru, Tarun Bose, Rajan Haksar, Manmohan","The tale begins in the final days of the British Raj in India. A cohort of engineering students graduate a few months before Independence. Satyapriya and Naren are among the graduate engineers. The principality of Bhawanigarh is run by a cruel, dissolute man, Vikram Singh, who knows his days of absolute power are numbered. Satyapriya Acharya finds employment in Bhawanigarh, the meets and marries Ranjana under peculiar circumstances. This creates huge issues in his family, particular his grandfather who raised him. Orthodoxy of the teacher clan of the Acharyas precludes admission of Ranjana into the household. Satyapriya is the epitome of integrity, refuses to utter any untruth; as a consequence, he and his family face difficulties. It takes a death in the family to bring a reinterpretation of tradition and relationships.",['175'],India,Hindi,,8.3,244776
Satya,1998,"Action, Crime, Drama, Thriller",Ram Gopal Varma,Nothing from IMDB,"J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar, Paresh Rawal, Saurabh Shukla, Govind Namdeo, Makrand Deshpande, Shefali Shah, Raju Mavani, Aditya Srivastav","A young man named Satya (J.D Chakravarthy) comes to Mumbai from South India in search of a job. Jailed for something he did not do, the once-honest young man meets an underworld boss, Bhiku Mhatre (Manoj Bajpai) in jail and joins his gang. He lives in a poor neighborhood, where he meets, Vidya (Urmila Matondkar), who lives next door. She is not aware of his underworld connections. Satya slowly rises up the ranks of his gang, and becomes the most influential person. Satya is torn between his girlfriend and his gangster life.",['170'],India,Hindi,,8.3,195231
Sathya,2017,"Action, Crime, Thriller",Pradeep Krishnamoorthy,Nothing from IMDB,"Sibiraj, Ramya Nambeeshan, Anandraj, Yogi Babu, Sarath Raj, Varalaxmi Sarathkumar, Sathish, Siddhartha Shankar, Vinodhini Vaidynathan",,['127'],India,Tamil,,6.3,7080686
Satellite Shankar,2019,"Action, Drama",Irfan Kamal,Nothing from IMDB,"Sooraj Pancholi, Anil Reji, Saurabh Agnihotri, Megha Akash, Babita Anant, Anubha Arora, Rahul Jaykar Arya, Yogesh Bhardwaj, Pardeep Cheema, Sameer Deshpande",,['135'],India,Hindi,,6.3,9179426
Sarkaru Vaari Paata,2022,"Action, Drama",Parasuram,Parasuram,"Mahesh Babu, Keerthy Suresh, Mahesh Manjrekar, Ajay, Sriram Reddy Polasane, Vennela Kishore, Samuthirakani, Duy Beck, Nadia Moidu, Tanikella Bharani","Following the death of his parents, Mahesh aka Mahi grows up in USA to start a loan agency named Mahi Finance Corporation. He has his own violent ways of extracting debts when debtors do not repay, and this changes after he falls for a woman named Kalavathi, who deceives him into granting her loan for her studies, while in reality she is a gambling addict. Upon realizing this, he tries to extract the debt from her, and ends up returning to India, where he confronts her father Rajendranath, a powerful MP and industrialist based in Vizag. The conflict heats up when attempts are made on Mahi's life and he reveals he is there to extract more than just Kalavathi's debt.",['162'],India,Telugu,,5.6,12422308
