Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Baahubali 2: The Conclusion,2017,"Action, Drama",S.S. Rajamouli,Nothing from IMDB,"Prabhas, Rana Daggubati, Anushka Shetty, Sathyaraj, Ramya Krishnan, Tamannaah Bhatia, Nassar, Subbaraju, Meka Rama Krishna, Rajsekhar Aningi","Kattappa narrates the story of Amarendra Baahubali to Shivudu, who learns his lineage as the prince of Mahishmati and the son of Amarendra Baahubali. Shivudu, now Mahendra Baahubali, decides to dethrone and punish Bhallaladeva for all wrongdoings of his past with the help of Kattappa.",['167'],India,"Telugu, Tamil",,8.2,4849438
Badman,2016,"Comedy, Drama",Soumik Sen,Nothing from IMDB,"Gulshan Grover, Rishi Kapoor, Farah Khan, Ajit Andhare, Ranjeet Bedi, Mahesh Bhatt, Anupama Chopra, Gopal Datt, Sujoy Ghosh, Manisha Koirala","A mad, comic caper where the legendary Bad Man of Bollywood, Gulshan Grover relaunches himself in the film industry, but this time as a hero! With celebrity cameos, hilarious delusional situations with the 'young hero' Gulshan Grover, Bad Man explores the dark yet funny side of Bollywood. A first in the history of Indian cinema, Bad Man is a mockumentary of epic proportions. Premiered on Voot, Viacom18's Digital Platform.",['84'],India,Hindi,,4.7,5912310
Bad Aur Badnaam,1984,"Family, Thriller",Feroz Chinoy,Nothing from IMDB,"Sanjeev Kumar, Parveen Babi, Shatrughan Sinha, Anita Raj, Shreeram Lagoo, Jagdeep, Tom Alter, Tyrone Aviet, Brahm Bhardwaj, Urmila Bhatt","Story begins with three villains getting a lot of money and new identities from rich man Pedro and Pedro getting killed in return. Later two secret agents - James (Sanjeev Kumar) from Ringania and Ashwinikumar (Shatrughan Sinha) from Indian Intelligence Bureau are shown at the top of their game. Due to some misconception, they become sworn enemies but meanwhile they have their jobs to do. Ashwinikumar is investigating a mysterious plot to kill a VVIP in New Delhi while James is on a Ringanian mission in India. They fight and temporarily make peace and the rest of the movie is about their joint effort to figure out the mystery and ruin the evil plot.",['135'],India,Hindi,,6.4,358971
Backstabbing for Beginners,2018,"Drama, History, Mystery, Romance, Thriller",Per Fly,Nothing from IMDB,"Theo James, Ben Kingsley, Belçim Bilgin, Jacqueline Bisset, Peshang Rad, Daniela Lavender, Rachel Wilson, Rossif Sutherland, Brian Markinson, Aidan Devine","In October 2002, twenty-four year old Michael Sullivan moves from a job in lobbying to one in the diplomatic corps at the UN, he getting the job despite he feeling the interview having gone badly. He comes from a family of diplomats with both his father and his older sister having served - the former who was killed in 1983 in the US Embassy bombing in Beirut - and thus feels it is in his blood, his hope to make some difference in the world. He is assigned to be the assistant to Costa Pasaris - Pasha - the Undersecretary to the Oil for Food program, the largest ever humanitarian program in the organization. The program is to have Iraqi oil sold at market value with no proceeds going to the regime of Saddam Hussein, in exchange for food and medicine to the Iraqi populace who have suffered under that regime in Hussein filling his own coffers instead. Pasha quickly begins to see Michael as a trusted and valuable aide for the program, particularly against naysayers, especially internal ones such as the Field Director in Iraq, Christina Dupre, who believes the program is rampant with corruption. Michael does sees signs of corruption within the program while in Baghdad, such as the hospitals and medical clinics in Iraq being provided expired and thus useless medications. But it isn't until he begins to trust his Iraqi interpreter, Nashim Hussani, that he begins to believe that there are bigger issues at play, including the fate of his predecessor, who he knows was killed in a car accident, but who Nashim implies was murdered for information he possessed about the program. Michael has to decide who to trust with conflicting information from Nashim and Pasha. When Michael finally comes to the realization of what is happening, he has to decide how best to exact justice and change regardless of the repercussions on his diplomatic career.",['108'],"Denmark, Canada, United States","English, Persian, French",,6.3,5153288
Baaz,1953,"Action, Adventure, Musical, Romance, Drama, Family, Thriller",Guru Dutt,Nothing from IMDB,"Guru Dutt, Geeta Bali, K.N. Singh, Johnny Walker, Yashodra Katju, Kuldip Kaur, M.A. Latif, Jankidas, Ruby Mayer, Habib","Nisha lives a poor lifestyle in the Portuguese-ruled Malabar region in India along with her widowed dad, Narayan Das. Both father and daughter are opposed to the oppressive rule of the Portuguese General Barborosa, and even shelter a freedom fighter, Ramzan Ali Saudagar. When the Police get wind of this, they arrest both Ramzan and Narayan and torture them. Nisha approaches Raj Mata albeit in vain. Thereafter Nisha and her friend are arrested and jailed after a failed attempt to kill Barborosa. After spending sometime in prison, the two women, along with several other prisoners are hired out to work on a merchant ship. They end up overpowering the ship and it's men and take over it. They use this ship to tackle another Portuguese vessel, sinking it, and taking three captives, an astrologer, a young man, and a woman named Rosita. The young man, who had rescued Nisha from molesters earlier, falls in love with Nisha and together they decide to oppose the Portuguese regime and overthrow them. What Nisha and her associates do not know is that the young man is really Raj Kumar Ravi - who was being sent to Portugal to learn various war-like arts so that he and the Portuguese can continue to rule over Malabar. Watch what happens when Ravi escapes and returns to his castle.",['140'],India,Hindi,,6.6,45529
B.A. Pass,2012,"Crime, Drama, Thriller",Ajay Bahl,Nothing from IMDB,"Shadab Kamal, Shilpa Shukla, Rajesh Sharma, Deepti Naval, Dibyendu Bhattacharya, Shikha Joshi, Vanya Joshi, Vijay Kaushik, Padam Mishra, Anula Navlekar","After losing his parents in a car accident, Mukesh stays at his aunt's house in Delhi. Enrolled in a useless college course, he finds peace by playing chess at the local cemetery. The rest of the time he worries over ways to make a living and taking care of his sisters. ""B.A.Pass"" is a story that looks at the fatal promise of a new life. When Mukesh meets Sarika ""Auntie"" at a kitty party, little does he know of the city and its ways and means to survive. Sarika seduces Mukesh; shy and inexperienced, he falls for her. What follows is a twist of destiny, a kind of story that appears in the tabloids as 'heinous acts of crime'",['95'],India,Hindi,,6.4,2408040
Attack on Titan,2013,"Animation, Action, Adventure, Drama, Fantasy, Horror",Nothing from IMDB,"Hajime Isayama, Hajime Isayama, Yasuko Kobayashi","Jessie James Grelle, Bryce Papenbrook, Trina Nishimura, Yûki Kaji, Yui Ishikawa, Marina Inoue, Kishô Taniyama, Hiro Shimono, Clifford Chapin, Mike McFarland","Humans are nearly exterminated by giant creatures called Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a land protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present, and mankind has not seen a titan in over 100 years. One day, 10 year old Eren and his childhood friend Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as Eren's mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind.",['24'],Japan,Japanese,,9.1,2560140
Arshinagar,2015,"Drama, Musical, Romance",Aparna Sen,Nothing from IMDB,"Dev, Rittika Sen, Jisshu Sengupta, Roopa Ganguly, Waheeda Rehman, Kamaleswar Mukherjee, Kaushik Sen, Shankar Chakraborty, Subhasish Mukherjee, Santilal Mukherjee",,['134'],India,Bangla,,4.4,5309284
Arjun Reddy,2017,"Action, Drama, Romance",Sandeep Reddy Vanga,Nothing from IMDB,"Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana, Sanjay Swaroop, Bhushan Kalyan, Sandhya Janak, Kamal Kamaraju, Padmaja, R.J. Hemant","Arjun Reddy, a medico with anger management issues, gets into a brawl with another student and is asked to either apologize or leave college. Arjun prepares to leave but stays back after seeing a first year student, Preethi Shetty. Arjun, along with his friend Shiva, goes to first year class room and announces that he is in love with Preethi and she is exclusive to him. Preethi, although initially afraid of his nature, eventually reciprocates his feelings and their relationship grows stronger over the course of next 3 years. Preethi's father rejects him on the grounds of caste and arranges her marriage with someone else. Arjun protests in front of her house and gets arrested. His father ostracizes him from home for damaging family reputation. He gets an apartment flat with the help of his friend Shiva and joins as a house surgeon in a leading hospital. Unable to forget her, he becomes alcoholic and drug addict. He befriends one of his patients and a leading film star, Jia Sharma, and asks her for a no strings relationship but eventually rejects her after she grows feelings for him. After collapsing in operation theater under the influence of alcohol and drugs, his medical license is temporarily canceled and he is evicted from his flat. Next morning, his grandmother dies and he reconciles his father to give up his self-destructive habits. While on vacation, he learns that Preethi is unhappy with her marriage and meets her after returning home. Arjun convinces Preethi, now a pregnant woman, to live with him. Preethi reveals that he is the father to the child and she left home after marriage and living alone ever since working in a clinic. They get married to each other.",['182'],India,Telugu,,7.9,7294534
Arjun Patiala,2019,"Action, Comedy",Rohit Jugraj,Ritesh Shah,"Diljit Dosanjh, Kriti Sanon, Varun Sharma, Abhimanue Kamboj, Ronit Roy, Seema Pahwa, Mohd. Zeeshan Ayyub, Amit Mehra, Nirmal Rishi, Sunny Leone","Arjun Patiala(Diljit Dosanjh)has recently been initiated into the police service. A man who has spend most of his early life disciplining himself in Judo and getting into the forces now decides its time to take it easy. He's introduced to his loyal ""chita munshi"" who soon turns into a confidant- Onida Singh. ( Varun Sharma) We quickly realise Arjun Patiala's quirks - That he is fond of women, and even fonder of his drink. But his quirky, original and unusual ideas help him reduce the crime rate in the city without even moving a finger. Along the way Arjun falls in love with a firebrand news reporter - Ritu Randhawa (Kriti Sanon) who might pull the curtain on his deeds. A laugh riot film, Arjun Patiala will leave you in splits.These unforgettable characters are definitely here to stay.",['107'],India,"Hindi, Punjabi",,4.4,7881524
