Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Krishnarjuna Yudham,2018,"Action, Comedy",Merlapaka Gandhi,Nothing from IMDB,"Nani, Anupama Parameswaran, Rukshar Dhillon, Brahmaji, Devadarshini Chetan, Nagineedu, Prabhas Sreenu, Sambhola Hari, Vidyullekha Raman, Pooja Ramachandran",,['156'],India,Telugu,,5.8,7770192
Krishna Cottage,2004,"Horror, Mystery, Romance",Santram Varma,Abhigyan Jha,"Sohail Khan, Isha Koppikar, Anita Hassanandani Reddy, Rati Agnihotri, Hiten Tejwani, Divya Palat, Vrajesh Hirjee, Raj Zutshi, Shaukat Baig, Bobby Bedi","During the year 1990 Professor-Author Siddharth Das releases his first book 'Kahi Unkahi Baatein' which contain a total of 10 short stories albeit with the last story 'Krishna Cottage' without any ending. A total of fifty thousand copies are printed and distributed to five different cities in India. Three trucks carrying these copies meet with mysterious accidents, two toppling off cliffs, and one catching fire; and one ship sinks losing it's entire consignment. One copy of this book is found and kept under lock and key in the store-room of J.C. College. Then in 2002 collegians Akshay, Kabir, Nupur, Pulit, Shanti, and Manav, induct new-comer, Disha, to their group, and also invite her to the engagement ceremony of Shanti and Manav. The group will soon find out that her induction will set loose a chain of events that will throw their lives in jeopardy as she may be a ferocious shape-changing entity that is out to claim her lover, Amar Khanna, from a past life, and also prevent anyone from reading the last chapter of Professor Das' book.",['124'],India,Hindi,,5.2,408976
Koyla,1997,"Action, Drama, Musical, Romance, Thriller",Rakesh Roshan,Nothing from IMDB,"Shah Rukh Khan, Madhuri Dixit, Amrish Puri, Ranjeet Bedi, Salim Ghouse, Deepshikha Nagpal, Ashok Saraf, Jack Gaud, Suresh Chatwal, Mohnish Behl","Mute Shankar slogs day and night to satisfy the lust of wealthy businessman Raja Saab who has underworld contact. Raja Saab would like to marry the young and street-wise, Gauri, however Gauri would like to see a picture of her would be husband but is instead shown Shankar's picture, she immediately falls in love with him and agrees to marry but at the wedding altar, Gauri gets a shock when she sees Raja Saab, refuses to continue with the rituals of the marriage and is locked forever in a room. Circumstances forced Shankar and Gauri to elope but both is caught by Raja and his men, who beats Shankar and throw him to his death and Gauri is taken back to Raja Saab mansion and must undergo preparations to get married to him.",['166'],India,Hindi,,6.2,136352
Konjum Mainakkale,2012,Drama,Karthikeyan .A.P.K.,Nothing from IMDB,"Akshatha, Mogana Priya, Udhai",,['120'],India,Tamil,,,13364732
Kohinoor,2015,"Comedy, Thriller",Vinay Govind,Nothing from IMDB,"Asif Ali, Indrajith Sukumaran, Aju Varghese, Chemban Vinod Jose, Vinay Forrt, Aparna Vinod, Shraddha Srinath, Bhavana, Bijukuttan, Johny","Kohinoor is an upcoming 2015 Malayalam heist film, set in the 1980's, directed by Vinay Govind. The film stars Asif Ali, Indrajith Sukumaran, Aju Varghese and Chemban Vinod Jose in major roles.The film, which is Asif Ali's maiden production venture, features original background score & songs composed by Rahul Raj.",['139'],India,Malayalam,,6.4,5022424
Koffee with Karan,2004,"Comedy, Talk-Show",Nothing from IMDB,"Arvind Caulagi, Dhruv Deshpande, Mahir Kapoor","Karan Johar, Kareena Kapoor, Shahid Kapoor, Arjun Kapoor, Shah Rukh Khan, Alia Bhatt, Farah Khan, Saif Ali Khan, Ranveer Singh, Varun Dhawan","The celebrity couples who appeared on the show were: Shahrukh Khan and Kajol Rani Mukherjee and Kareena Kapoor, Preity Zinta and Saif Ali Khan, Aishwarya Rai and Sanjay Leela, Bhansali Fardeen Khan and Zayed Khan, Gurinder Chadha and Farah Khan, Amitabh Bachchan and Abhishek Bachchan, Gauri Khan and Suzanne Khan-Roshan, Sunny Deol and Bobby Deol, Shabana Azmi and Shobha De, Ekta Kapoor and Sunitha Menon and Hrithik Roshan, Farhan Akhtar and Uday Chopra, Bipasha Basu and Lara Dutta, Sushmita Sen and Sanjay Dutt, Abhishek Bachchan and Preity Zinta, Konkona Sen Sharma and Rahul Bose, Priyanka Chopra and Arjun Rampal, Smriti Irani and Sakshi Tanwar, Malaika Arora-Khan and Amrita Arora, John Abraham and Vivek Oberoi, Rishi Kapoor and Neetu Singh, Esha Deol and Shahid Kapoo,r Hema Malini and Zeenat Aman. Series Finale- Shahrukh Khan, Amitabh Bachchan, Sanjay Leela, Bhansali Farah, Khan Farhan, Akhtar Kajol, and Jaya Bachchan.",['60'],India,English,,6.4,445883
Ko 2,2016,"Action, Drama, Thriller",Sarath Mandava,Sarath Mandava,"Bobby Simha, Prakash Raj, Nikki Galrani, Bala Saravanan, Ilavarasu, John Vijay, Karunakaran, Bharath Reddy, Mayilsamy, Crane Manohar",,['124'],India,Tamil,,5.2,5215260
Knowing,2009,"Action, Mystery, Sci-Fi, Thriller",Alex Proyas,Nothing from IMDB,"Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson, D.G. Maloney, Nadia Townsend, Alan Hopgood, Adrienne Pickering, Joshua Long, Danielle Carter","In the fall of 1959, students draw pictures of life as they imagine it will be in 50 years, for a time capsule. Lucinda, an odd child who hears voices, swiftly writes a long string of numbers. In 2009, the capsule is opened; student Caleb Koestler gets Lucinda's ""drawing"" and his father John, an astrophysicist and grieving widower, takes a look. He discovers dates of disasters over the past 50 years with the number who died. Three dates remain, all coming soon. He investigates, learns of Lucinda, and looks for her family. He fears for his son, who's started to hear voices and who is visited by a silent stranger who shows him a vision of fire and destruction. What's going on?",['121'],"United States, United Kingdom, Australia",English,,6.2,448011
King of Kotha,2023,"Action, Crime, Drama, Thriller",Abhilash Joshiy,Abhilash N. Chandran,"Dulquer Salmaan, Aishwarya Lekshmi, Ritika Singh, Soubin Shahir, Nyla Usha, Chemban Vinod Jose, Saran Shakthi, Prasanna, Anikha Surendran, Gokul Suresh",,['174'],India,"Hindi, Telugu, Tamil, Kannada, Malayalam",,6.1,15134398
Kill Dil,2014,"Action, Comedy, Drama, Romance, Thriller",Shaad Ali,"Nitesh Tiwari, Shreyas Jain, Nikhil Mehrotra","Ranveer Singh, Ali Zafar, Parineeti Chopra, Govinda, Alok Nath, Jass Bhatia, Maanvi Gagroo, Rocky Verma, Sukhwinder Singh, Murad Ali","Once upon a time in North India, two killers - Dev (Ranveer Singh) and Tutu (Ali Zafar), roamed free. Abandoned when young and vulnerable, Bhaiyaji (Govinda) gave them shelter and... nurtured them to kill. All is normal in their lives until destiny throws free-spirited Disha (Parineeti Chopra) into the mix. What follows is a game of defiance, deception and love.",['127'],India,Hindi,,4.5,3380264
