Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Black Mass,2015,"Biography, Crime, Drama",Scott Cooper,Nothing from IMDB,"Johnny Depp, Joel Edgerton, Benedict Cumberbatch, Dakota Johnson, Kevin Bacon, Peter Sarsgaard, Jesse Plemons, Rory Cochrane, David Harbour, Adam Scott","In late-1970s Boston, the FBI are looking to break the Mafia's hold on the north of the city. Agent John Connolly (Joel Edgerton) is on the case and willing to go to any lengths to achieve his aims. A South Boston native, he decides to ""ally"" the FBI with South Boston crime kingpin James ""Whitey"" Bulger (Johnny Depp), as his main enemies are the Mafia. Approaching Bulger via his brother Billy Bulger (Benedict Cumberbatch), a Massachusetts State Senator, Connolly is successful in gaining Bulger as an informant and ally against the Mafia. However, this alliance only emboldens Bulger in his quest for power and wealth, as he is able to operate with impunity and utter ruthlessness. Not realizing he is being duped, Connolly finds himself backing Bulger rather than law, order, and justice.",['123'],"United States, United Kingdom",English,,6.9,1355683
Mashaal,1984,"Action, Drama, Family",Yash Chopra,Nothing from IMDB,"Anil Kapoor, Dilip Kumar, Waheeda Rehman, Rati Agnihotri, Amrish Puri, Saeed Jaffrey, Mohan Agashe, Vikas Anand, Avtar Gill, Gulshan Grover","MASHAAL is a story about Vinod (Dilip Kumar) an honest, fearless editor of an outspoken newspaper, Raja (Anil Kapoor) a man from the slums who takes to black marketing to make his living and Vardhan (Amrish Puri) who is a powerful and respected figure of the city whose cloak of respectability hid all the social evils. In an attempt to combat Vardhan, life ends up differently for Vinod and Raja.",['162'],India,Hindi,,7.2,85912
Mard Ko Dard Nahi Hota,2019,Talk-Show,Nothing from IMDB,Nothing from IMDB,Nothing from IMDB,,,Nothing from IMDB,Nothing from IMDB,,,10075030
Manorama: Six Feet Under,2007,"Crime, Drama, Mystery, Thriller",Navdeep Singh,Nothing from IMDB,"Abhay Deol, Gul Panag, Raima Sen, Sarika Thakur, Kulbhushan Kharbanda, Vinay Pathak, Poonam Gibson, Yana Gupta, Brijendra Kala, Jogi Mallang","Rajasthan-based Satyaveer Singh Randhawa works as a Junior Engineer with Lahkot Municipality's Public Works Department and lives a middle-class lifestyle with his wife, Nimmi, and son, Raju. The region faces drought and extreme temperatures, with the local Irrigation Minister, P.P. Rathore, making tall promises of diverting water from Haryana and Punjab via a canal that is being constructed on a controversial site. Satyeveer also authored a fictional novel 'Manorama' that sold only about 200 copies. So dismayed was he with this that he decided to not even keep a copy for his private library. To make matters worse he accepts a motorbike from Seema Constructions as a bribe, is apprehended, and suspended pending an inquiry. Now out of a job, he is approached by Manorama Rathore, the wife of the Irrigation Minister, to collect evidence that her husband is having an extra-marital affair for a fee of Twenty thousand rupees. Satyaveer accepts this offer little knowing that he will soon be thrust into a web of lies and deceit, which will not only get him in the bad books of Rathore, assaulted by his goons, but also implicate him in the murder of two lovers, Sameera, and Dr. Anil Poddar, compounded all the more by the sudden death of Manorama and the disappearance of an orphan named Deepti.",['137'],India,Hindi,,7.5,920464
Manjunath,2014,"Biography, Drama",Sandeep A. Varma,Nothing from IMDB,"Anjori Alagh, Karan Ashar, Aarun D. Baliean, Asif Basra, Seema Biswas, Saksham Dayma, Divya Dutta, Kishore Kadam, Rajesh Khattar, Nalneesh","Manjunath is a true, inspirational and hard hitting story of an ordinary man and his fight against corruption. After passing out from the prestigious Indian Institute of Management, Lucknow, Manjunath Shanmugam was placed with an Oil company as a sales manager only to blow open the large scale adulteration of fuel taking place in the country. It was then that this courageous and honest man was brutally murdered while trying to do his job in the right way and became the victim of this very system which he was trying to protect.",['130'],India,Hindi,,7.1,3056632
Mangal Pandey,2005,"Biography, Drama, History, War",Ketan Mehta,Nothing from IMDB,"Aamir Khan, Rani Mukerji, Toby Stephens, Coral Beed, Ameesha Patel, Kirron Kher, Om Puri, Ben Nealon, Habib Tanvir, Varsha Usgaonkar","Mangal Pandey - The Rising is an epic tale of friendship, betrayal, love and sacrifice set against the backdrop of what the British called the sepoy mutiny but which for the Indians was the First War of Independence. 'Company Raj' as it was known, had been plundering the country, treating the locals unjustly and causing widespread resentment. During a fierce battle in one of the Afghan wars that the Company fought in the mid-century, Mangal Pandey, the heroic sepoy, saves the life of his British commanding officer, William Gordon. Gordon is indebted to Mangal and a strong friendship develops between them, transcending consideration of rank and race. The friendship is soon challenged by the introduction of a new rifle called the Enfield. The new rifle has come with a new cartridge which is rumored to be coated with the grease of cow and pig fat. The new cartridge has to be bitten before it is loaded, which ignites anger and resentment among the Indian sepoys. The cow is sacred to the Hindus, the pig forbidden to the Muslims. Set in one of the most beautiful countries on earth, told across the divides of time, Mangal Pandey - The Rising tells the tale of friends, lovers and enemies, exploiters and exploited, and the growth and awareness of a man and a nation. It is a story of one man and his dream of freedom. This sweeping epic is based on real historical events, seen as a trigger for Indian independence.",['150'],"India, United Kingdom, United States","Hindi, Urdu, English",,6.5,346457
Mangal Dada,1986,"Action, Drama",Ramesh Gupta,Nothing from IMDB,"Sunil Dutt, Reena Roy, Sarika Thakur, Farida Jalal, Birbal, Sarita Devi, Dhanraj, C.S. Dubey, Jugnu, Satyendra Kapoor",,,India,Hindi,,,91471
Maleficent: Mistress of Evil,2019,"Adventure, Family, Fantasy, Romance",Joachim Rønning,Nothing from IMDB,"Angelina Jolie, Elle Fanning, Harris Dickinson, Michelle Pfeiffer, Sam Riley, Chiwetel Ejiofor, Ed Skrein, Robert Lindsay, David Gyasi, Jenn Murray","Five peaceful years have passed since the demise of the duplicitous monarch King Stefan in Maleficent (2014), and now, an unforeseen but joyous event is about to unite the mortal kingdom of Ulstead and the fairy-realm of the enchanted Moors. However, once more, odious treason stands in the way of true young love, as malicious envy, unbounded ambition and ignoble thoughts creep in the hearts of men. Now, two neighboring worlds find themselves divided by fear and prejudice, and, sadly, the impending union paves the way for an all-out confrontation. Suddenly, magnificent winged sprite Maleficent and lovely Princess Aurora are caught in the middle. Does love always end well?",['119'],"United Kingdom, Canada, United States, France",English,,6.6,4777008
Malayankunju,2022,"Drama, Thriller",Sajimon Prabhakar,Mahesh Narayanan,"Fahadh Faasil, Arjun Ashokan, Rajisha Vijayan, Nilja K. Baby, Indrans, Johny Antony, Remya Suresh, Jaffer Idukki, Alex Alister, Irshad",,['114'],India,Malayalam,,6.9,13640946
Major,2022,"Action, Biography, Drama, Thriller",Sashi Kiran Tikka,Nothing from IMDB,"Adivi Sesh, Prakash Raj, Revathi, Saiee Manjrekar, Sobhita Dhulipala, Murli Sharma, Anish Kuruvilla, Rocky Gondle, Sumit Keshri, Gaurav Manaktala",,['150'],India,"Hindi, Telugu",,8.1,9851854
