Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Pizza,2014,Horror,Akshay Akkineni,Nothing from IMDB,"Akshay Oberoi, Parvathy Omanakuttan, Arunoday Singh, Dipannita Sharma, Rajesh Sharma, Onkar Das Manikpuri, Hussain Dalal, D. Santosh, Sonali Sachdev, Diya Chalwad",,['107'],India,Hindi,,6.2,3794302
Picket,2014,"Short, Horror, Mystery, Thriller",Izzy Lee,Nothing from IMDB,"Christian Masters, Sarah Paterson, Diana Porter",,['5'],United States,English,,8.4,3669030
Phobia,2016,"Drama, Mystery, Thriller",Pavan Kirpalani,Nothing from IMDB,"Radhika Apte, Amrita Bagchi, Nivedita Bhattacharya, Yashaswini Dayama, Satyadeep Misra, Arush Nand, Ankur Vikal","Mehak is a talented young artist who, after surviving a traumatic attack, develops severe agoraphobia. She is terrified of the outside world. Her friend Shaan believes a new setting might help her heal, and moves her into a recently vacated apartment. Between the strange behavior of the neighbors and the mysterious disappearance of the apartment's former tenant, Mehak begins to fear that her new home might be the most dangerous place of all. Is it all in her mind or is there a real danger haunting her?",['112'],India,"Hindi, English",,6.8,5743656
Phata Poster Nikla Hero,2013,"Action, Comedy, Crime, Drama",Rajkumar Santoshi,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Padmini Kolhapure, Mukesh Tiwari, Darshan Jariwala, Saurabh Shukla, Zakir Hussain, Sanjay Mishra, Shiva Natrajan, Rana Jung Bahadur","After Vishwas Rao (Shahid Kapoor) is raised by his Mother (Padmini Kolhapure), who apparently dreams of him becoming a Police Inspector. However, he has different plans in mind. Vishwas wants to become a film star. In Mumbai, after helping out a social-worker, Kajal (Ileana D'Cruz), whilst dressed as an Police Inspector for a photo shoot, she mistakes him as an Inspector, and he eventually plays along. Suddenly her mother arrives in Mumbai. How will Vishwas get rid of his troubles?",['146'],India,Hindi,,4.9,2615584
Phamous,2018,"Comedy, Crime, Drama, Romance",Karan Butani,H. Banerjee,"Jimmy Shergill, Shriya Saran, Kay Kay Menon, Pankaj Tripathi, Jackie Shroff, Mahie Gill, Brijendra Kala, Achyut Potdar, Deepraj Rana, Jameel Khan","Set in the wild wild east, the story of Phamous invites you on an odyssey that hits your heart and face at the same time. Find love, power and wisdom amidst guns and dhakkad's. In a clash of ambition, love and hope, this story shows the rise of the unique duo of Kadak Singh and Ram Vijay Tripathi against the patriarch Shambhu all tied up in a saga by an innocent boy. Politics and Power come against Love and Revenge exposing the hollow darkness of human nature. How the most powerful people fall for the clumsiest human emotions and are willing to tear down the world around them, making it very difficult for loyalty, love and hope to exist. Will it survive? Starring Kay Kay, Pankaj Tripathi, Jackie Shroff and Jimmy Sheirgill along with Shriya Saran, the characters welcome you to the land of bandook for the war, is on.",['115'],India,Hindi,,3.9,8338746
Penalty,2019,Sport,Shubham Singh,Nothing from IMDB,"Lukram Smil, Kay Kay Menon, Shashank Arora, Manjot Singh, Bijou Thaangjam, Aakkash Dabhade, Tasha Bhambra, Srishti Jain, Raghav Jhingran, Ashwin Kaushal","A story of a North-east Indian football player who's fighting day and night with the society in order to achieve his dreams. The film covers all kinds of layers in one single film from negative backlashes, social pressures to a complete change over in one's life.",['128'],India,Hindi,,5.3,10530392
Pati Patni Aur Woh,2019,"Comedy, Romance",Mudassar Aziz,Nothing from IMDB,"Kartik Aaryan, Bhumi Pednekar, Ananya Panday, Aparshakti Khurana, Rajesh Sharma, Geeta Agrawal Sharma, K.K. Raina, Navni Parihar, Neeraj Sood, Manu Rishi Chadha",,['126'],India,Hindi,,5.8,9680136
Pathar Ke Insan,1990,"Action, Drama, Thriller",Shomu Mukherjee,Nothing from IMDB,"Vinod Khanna, Sridevi, Jackie Shroff, Poonam Dhillon, Moon Moon Sen, Amita Nangia, Saeed Jaffrey, Om Shivpuri, Anjana Mumtaz, Mahesh Anand",Balwant Rai lives with his daughter's Lata and Sita.Lata a dancer loved by Karan and Sita is a singer.They participate in a competition where Lata wins it.Sita unable to bear her defeat rushes with her car followed by Lata in another car in the mishap Lata knocks down a women named Jyothi on the road.Lata becomes mentally unstable after she is unable to save Sita.Arjun employee of Balwant Rai enters her life and gives her new lease of life.Lata marries Arjun over Karan.But is unaware that Arjun is come for revenge in their family and has teamed up with their enemies Dr Prashanth and his men Mahesh.,,India,Hindi,,5.2,187395
Parineeta,2005,"Drama, Musical, Romance",Pradeep Sarkar,Nothing from IMDB,"Saif Ali Khan, Vidya Balan, Sanjay Dutt, Dia Mirza, Raima Sen, Sabyasachi Chakrabarty, Ninad Kamat, Achyut Potdar, Rekha, Surinder Kaur","Calcutta, India, circa 1962: three neighboring families live in an upper-middle-class area. Gurcharan lives in a palatial home (Haveli) with his wife and two beautiful daughters, Lalita and Koel. He is retired; unable to find suitable work, he must live off his savings, and he ends up mortgaging his house with his neighbor, Navinchandra Roy, and hopes to get his daughters married within his means; there is Charu Sharma, who lives with her brother and sister-in-law, whose wealthy brother Girish lives in Britain. Finally there are the Roys: Navinchandra, a hard-nosed businessman, who will never undertake anything unless there is a high level of profit for him; his son Shekhar, whom he is grooming to succeed him; and his quiet, devout wife. Navin realizes Gurcharan's plight and offers Lalita a job at his office so the family will survive. Shekhar and Lalita are attracted to each other, but Navin does not approve, as he wants Shekhar to get married to Gayetri Tatya, the daughter of his wealthy business associate. Then chaos descends on these families when Girish returns home: he is attracted to Lalita and wants to marry her. Lalita finds out that Navin is bent on recovering his loan by evicting her family to a filthy go-down until they can find other means, and intends to build a five-star hotel. Lalita must now act quickly to get her father to return the loan amount to Navin. But how will Gurcharan get 1.50 lakhs in so short a time? Is his family destined to be evicted and face a life of destitution?",['130'],India,Hindi,,7.2,437407
Papillon,2018,"Short, Drama",Elie Haddad,Elie Haddad,"Elie Haddad, Camilla Lecciolli, Morgane Lerena Lopez, Levi Tubiana",,,France,French,,,9332984
