Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
"Natkhat Hindi Dubbed Movie | Aashish Raj, Rukshar Dhillon, Pradeep Rawat",2020,Crime,Rom Bhimana,Nothing from IMDB,"Brahmanandam, Rukshar Dhillon, Pradeep Singh Rawat",,,India,Hindi,,,30048544
Unbeatable,2013,"Action, Drama, Sport",Dante Lam,Nothing from IMDB,"Nick Cheung, Eddie Peng, Ting Mei, Crystal Lee, Jack Kao, Andy On, Philip Keung, Will Liu, Baoqiang Wang, Awayne Liu","Fai, once a world champion in boxing, escapes to Macau from the loan sharks and unexpectedly encounters Qi, a young chap who is determined to win a boxing match. Fai becomes Qi's mentor and rediscovers his passion to fight not only in the ring, but for his life and the ones he cares about.",['122'],"China, Hong Kong","Mandarin, Cantonese",,7.2,3003668
Unbreakable,2000,"Drama, Mystery, Sci-Fi, Thriller",M. Night Shyamalan,M. Night Shyamalan,"Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark, Charlayne Woodard, Eamonn Walker, Leslie Stefanson, Johnny Hiram Jamison, Michaelia Carroll, Bostin Christopher","David Dunn (Willis) is taking a train from New York City back home to Philadelphia after a job interview that didn't go well when his car jumps the tracks and collides with an oncoming engine, with David the only survivor among the 131 passengers on board. Astoundingly, David is not only alive, he hardly seems to have been touched. As David wonders what has happened to him and why he was able to walk away, he encounters a mysterious stranger, Elijah Prince (Samuel L. Jackson), who explains to David that there are a certain number of people who are ""unbreakable"" -- they have remarkable endurance and courage, a predisposition toward dangerous behavior, and feel invincible but also have strange premonitions of terrible events. Is David ""unbreakable""? And if he is, what are the physical and psychological ramifications of this knowledge?",['106'],United States,English,,7.3,217869
Unbroken,2014,"Action, Biography, Drama, Sport, War",Angelina Jolie,Nothing from IMDB,"Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi, Finn Wittrock, Jai Courtney, Maddalena Ischiale, Vincenzo Amato, John Magaro, Luke Treadaway","The life of Louis Zamperini, an Olympic athlete who joined the armed forces during the second world war. Only to be captured by the Japanese navy after a plane crash in the Pacific. During his capture, Louie must continue his fight by surviving through the war.",['137'],United States,"English, Japanese, Ukrainian, Italian",,7.2,1809398
Uncharted,2022,"Action, Adventure",Ruben Fleischer,Nothing from IMDB,"Tom Holland, Mark Wahlberg, Antonio Banderas, Sophia Ali, Tati Gabrielle, Steven Waddington, Pingi Moli, Tiernan Jones, Rudy Pankow, Jesús Evita","Street-smart Nathan Drake (Tom Holland) is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan (Mark Wahlberg) to recover a fortune amassed by Ferdinand Magellan and lost 500 years ago by the House of Moncada. What starts as a heist job for the duo becomes a globe-trotting, white-knuckle race to reach the prize before the ruthless Santiago Moncada (Antonio Banderas), who believes he and his family are the rightful heirs. If Nate and Sully can decipher the clues and solve one of the world's oldest mysteries, they stand to find $5 billion in treasure and perhaps even Nate's long-lost brother...but only if they can learn to work together.",['116'],"United States, Spain","English, Spanish",,6.3,1464335
Underworld: Evolution,2006,"Action, Fantasy, Thriller",Len Wiseman,Nothing from IMDB,"Kate Beckinsale, Scott Speedman, Tony Curran, Derek Jacobi, Bill Nighy, Steven Mackintosh, Shane Brolly, Brian Steele, Zita Görög, Scott McElroy","As the war between the vampires and the Lycans rages on, the beautiful vampire, Selene, a former member of the Death Dealers, and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines. In this ancient feud between the two tribes, they try to unlock the secrets, in a modern tale of action, intrigue, and forbidden love, which takes them into the battle to end all wars, as the immortals must finally face their doom.",['106'],"United States, Canada","English, French, Hungarian",,6.7,401855
Underworld: Awakening,2012,"Action, Fantasy, Thriller","Måns Mårlind, Björn Stein",Nothing from IMDB,"Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James, India Eisley, Sandrine Holt, Charles Dance, Kris Holden-Ried, Jacob Blair, Adam Greydon Reid","Mankind discover the existence of the Vampire and Lycan species and begin a war to annihilate the races. When Selene meets with Michael, they're hit by a grenade. 12 years later, Selene awakens and meets the vampire, David. She learns she had been the subject of scientist Dr. Jacob Lane, and the Vampire and Lycan species have been practically eradicated from Earth. Now, Selene and David must protect a 12-year-old girl against the Lycans who intend to use her.",['88'],"United States, Canada","English, Russian",,6.3,1496025
Undisputed 3: Redemption,2010,"Action, Crime, Drama, Sport",Isaac Florentine,David N. White,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir, Hristo Shopov, Marko Zaror, Michael Baral, Ilram Choi, Robert Costanzo, Lateef Crowder, Esteban Cueto","Russian inmate Boyka, now severely hobbled by the knee injury suffered at the end of Undisputed 2. No longer the feared prison fighter he was, he has declined so far that he is now good only for cleaning toilets. But when a new prison fight tournament begins - an international affair, matching the best fighters from prisons around the globe, enticing them with the promise of freedom for the winner - Boyka must reclaim his dignity and fight for his position in the tournament",['96'],United States,"English, Spanish, Portuguese",,7.3,1156466
Unfinished Business,2015,"Comedy, Drama",Ken Scott,Steve Conrad,"Vince Vaughn, Tom Wilkinson, Dave Franco, Sienna Miller, June Diane Raphael, Britton Sear, Ella Anderson, Nick Frost, James Marsden, Ken Scott","A hard-working small business owner (Vince Vaughn) and his two associates (Tom Wilkinson, Dave Franco) travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every way imaginable - and unimaginable.",['91'],"Germany, United States",English,,5.4,2358925
Unforgettable,2017,"Drama, Thriller",Denise Di Novi,Christina Hodson,"Rosario Dawson, Katherine Heigl, Geoff Stults, Isabella Kai, Alex Quijano, Sarah Burns, Whitney Cummings, Simon Kassianides, Robert Wisdom, Cheryl Ladd","Julia Banks is being questioned by a detective about the murder of her psychotic ex-boyfriend Michael. Julia claims that she has been set up and that she has nothing to do with the murder, despite social-media conversations clearly showing Julia lusting after him. The scene then cuts to six months earlier, with Julia getting a send-off from her boss and friend Ali, from her job as chief online editor for a storytelling website. Julia is now going to work remotely from the mansion she will be sharing with her new loving fiance, David Connover, and her soon-to-be stepdaughter Lily. Arriving at David's, she is greeted by David's ex-wife, Tessa, who is still not coping with the end of her marriage two years earlier..",['100'],United States,"English, French",,5.1,3462710
Unhinged,2020,"Action, Thriller",Derrick Borte,Carl Ellsworth,"Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson, Austin P. McKenzie, Juliene Joyner, Stephen Louis Grush, Anne Leighton, Devyn A. Tyler, Sylvia Grace Crim","Academy Award winner Russell Crowe stars in Unhinged, a psychological thriller that takes something we've all experienced- road rage - to an unpredictable and terrifying conclusion. Rachel (Caren Pistorius) is running late getting to work when she crosses paths with a stranger (Crowe) at a traffic light. Soon, Rachel finds herself, and everyone she loves, the target of a man who feels invisible and is looking to make one last mark upon the world by teaching her a series of deadly lessons. What follows is a dangerous game of cat and mouse that proves you never know who you're driving next to.",['90'],"United Kingdom, United States",English,,6.0,10059518
