Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Fighting,2009,"Action, Crime, Drama, Romance, Sport",Dito Montiel,"Robert Munic, Dito Montiel","Channing Tatum, Terrence Howard, Zulay Henao, Michael Rivera, Flaco Navaja, Peter Anthony Tambakis, Luis Guzmán, Anthony DeSando, Roger Guenveur Smith, Brian White","Shawn MacArthur, the kind-hearted son of an Alabama wrestling coach, makes a grim living selling fake products on the streets of New York City. After dealing with thieving punks, he's discovered by bare-knuckle/street-fight manager Harvey Boarden. Shawn soon proves himself worthy and starts earning a small fortune, part of which he volunteers to spend on single mother Zulay Velez. Shawn doesn't cheat and that seems to be a major problem, notably after the arrival of his Alabama high-school rival.",['105'],United States,"English, Russian, Spanish, Italian",,5.6,1082601
Final Girl,2015,"Horror, Thriller",Tyler Shields,Nothing from IMDB,"Abigail Breslin, Alexander Ludwig, Logan Huffman, Cameron Bright, Reece Thompson, Francesca Eastwood, Wes Bentley, Emma Paetz, Gracyn Shinyei, Desiree Zurowski","A cute, shy, young girl is new to town, and looks to be the perfect, easily-duped target for a group of boys who want to use her as the final test in their murder game. Little do they know, she is skilled in areas they cannot imagine, and has a test of her own she decides to pursue.",['84'],"Canada, United States",English,,4.7,2124787
Finding Neverland,2004,"Biography, Drama, Family",Marc Forster,Nothing from IMDB,"Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell, Dustin Hoffman, Freddie Highmore, Joe Prospero, Nick Roud, Luke Spill, Ian Hart","1903 London. Renowned playwright J.M. Barrie (James)'s latest effort has garnered less than positive reviews, something he knew would be the case even before the play's mounting. This failure places pressure on James to write another play quickly as impresario Charles Frohman needs another to replace the failure to keep his theater viable. Out for a walk with his dog in part to let his creative juices flow, James stumbles upon the Llewelyn Davies family: recently widowed Sylvia Llewelyn Davies (the daughter of now deceased author George L. Du Maurier) and her four adolescent sons. James and the family members become friends, largely based on he and the boys being able to foster in each other the imagination of children, James just being the biggest among them in this regard. Sylvia also welcomes James into their lives, he who becomes an important and integral part of it. Among the six of them, the only one who does not want to partake is Sylvia's third, Peter Llewelyn Davies, who is still grieving the reality of their lives, where his father was there one day planning an outing for the family, and gone the next. Two other people who don't appreciate James in the Llewelyn Davies' lives are: his wife, Mary Barrie, who always feels the need to be the responsible one in their relationship and who feels threatened by his friendship with an unmarried woman; and Emma du Maurier, Sylvia's overbearing mother, who sees him as an obstacle to Sylvia moving on with her life with another potential husband, and an impediment to maintaining discipline within the boys. James still hopes to bring Peter out of his self-imposed shell, but in the process comes up with an idea for another play based on an amalgam of himself and Peter, that play which eventually becomes what Charles sees as a largely unmountable and thus doomed production called ""Peter Pan"". This process of helping Peter could take a step backward when it looks like Sylvia may imminently befall a similar fate to that of her late husband.",['106'],"United States, United Kingdom",English,,7.7,308644
Finding Nemo,2003,"Animation, Adventure, Comedy, Family","Andrew Stanton, Lee Unkrich",Nothing from IMDB,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney, Austin Pendleton, Stephen Root, Vicki Lewis, Joe Ranft","A clown fish named Marlin lives in the Great Barrier Reef and loses his son, Nemo, after he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. While Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbour. While the two are searching the ocean far and wide, Nemo and the other sea animals in the dentist's fish tank plot a way to return to the sea to live their lives free again.",['100'],"United States, Japan","English, Japanese, Russian",,8.2,266543
Fired Up!,2009,"Comedy, Sport",Will Gluck,Will Gluck,"Nicholas D'Agosto, Eric Christian Olsen, Sarah Roemer, Molly Sims, Danneel Ackles, David Walton, Adhir Kalyan, AnnaLynne McCord, Juliette Goglia, Philip Baker Hall","Two guys, Nick and Shawn decide a two week stint at a Cheerleaders' Camp is the perfect opportunity to score tons of meaningless romantic liaisons with lonely girls in tight-tops and short-short skirts. But their lusty plan to caress as many pom-poms as possible goes awry when one of the dudes fall in love.",['90'],United States,English,,6.1,1083456
Flashbacks of a Fool,2008,Drama,Baillie Walsh,Baillie Walsh,"Emile Robert, Scoutt Lowe, Daniel Craig, Julie Ordon, Gina Athans, Erich Conrad, Eve, Emilia Fox, Annabel Linder, Angie Ruiz","An aging Hollywood star, Joe Scott, lives a life of narcissistic hedonism, observed by his laconic personal assistant, Ophelia. The death of his childhood best friend, Boots, takes our protagonist, and the movie, into an extended flashback to a sea-side town in 1970's Britain. Hollywood star Joe is now a teenage boy in a tentative relationship with a school-girl called Ruth. Further, his mother's friend, Evelyn, is attempting to seduce him. Engulfed by guilt at the unintended, tragic consequences of his subterfuge, he leaves home. The movie then switches back to contemporary Hollywood. Joe confronts his fear and returns to England for a difficult meeting with Ruth, who had gone on to marry Boots and has been a left a poor widow.",['109'],United Kingdom,English,,6.8,1037218
Flight Crew,2016,"Action, Adventure, Drama",Nikolay Lebedev,Nothing from IMDB,"Danila Kozlovskiy, Vladimir Mashkov, Agne Grudyte, Sergey Kempo, Katerina Shpitsa, Sergey Shakurov, Sergey Gazarov, Elena Yakovleva, Alyona Babenko, Sergey Romanovich","A story about bravery, self-sacrifice and human dignity put on trial by the merciless power of nature. A young pilot is fired from military air force after disobeying an absurd order. He gets a job as a co-pilot with a civil airline. Being brutally honest and direct, he is not on best terms with his new colleagues. During a flight to Asia his crew receives a distress message from a volcanic island and makes a decision to attempt a rescue mission. Will it be a success? Will they survive the disaster? They have a single chance to find that out: by being a team and sticking up for one another.",['138'],"Russia, Cambodia","English, French, Russian",,6.6,5653294
Flightplan,2005,"Drama, Mystery, Thriller",Robert Schwentke,"Peter A. Dowling, Billy Ray","Jodie Foster, Peter Sarsgaard, Sean Bean, Kate Beahan, Michael Irby, Assaf Cohen, Erika Christensen, Shane Edelman, Mary Gallagher, Haley Ramm","The husband of aviation engineer Kyle Pratt has just died in Berlin, and now she is flying back to New York with his coffin and their six-year-old daughter Julia. Three hours into the flight Kyle awakens to find that Julia is gone. It's a big double-decker plane, so the very concerned mother has a lot of territory to cover in order to find her daughter. She takes matters into her own hands as she fights to discern the truth.",['98'],United States,"English, French, German, Arabic, Italian, Japanese",,6.3,408790
Flipped,2010,"Comedy, Drama, Romance",Rob Reiner,Nothing from IMDB,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney, Penelope Ann Miller, Aidan Quinn, Kevin Weisman, Morgan Lily, Ryan Ketzner","In 1957, when second-graders Bryce Loski and Julianna ""Juli"" Baker first meet, Juli knows it's love, but Bryce isn't so sure and tries to avoid Juli. By the sixth grade, in 1961, Bryce tries to get rid of Juli by dating Sherry Stalls, whom Juli despises. However, Bryce's best friend, Garrett, takes an interest in Sherry and eventually tells her the truth about Bryce asking her out; she doesn't take it well. From Juli's perspective, Bryce returned her feelings, but was shy. After finding out Bryce and Sherry broke up, she thought she could have Bryce back. But then they reconsider their decisions as time goes on. In 1962, Bryce's grandfather Chet Duncan moves in with the family. Chet has different views about Juli. There's a large, old sycamore tree that Juli loves which no one else understands. One day, it's cut down by a group of landscapers so a house can be built there, despite Juli's opposition. She becomes very depressed afterwards, as the tree let her see the world in a more enlightened way. Her father gives her a painting of the tree.",['90'],United States,English,,7.7,817177
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"Action, Adventure, Drama, Sci-Fi, Thriller, War",Francis Lawrence,Nothing from IMDB,"Dexter Sol Ansell, Rosa Gotzler, Clemens Schick, Fionnula Flanagan, Tom Blyth, Hunter Schafer, Ashley Liao, Athena Strates, Joshua Kantara, Amélie Hoeferle","The story of Coriolanus Snow, years before he would become the tyrannical President of Panem. He is young, very determined and though the Snow family has fallen on hard times, Coriolanus sees a chance for a change in his fortunes when he is chosen to be a mentor for the 10th Hunger Games only to have his elation dashed when he is assigned to mentor a girl tribute named Lucy Gray Baird from the impoverished District 12.",['157'],"United States, Canada",English,,6.9,10545296
Flypaper,2011,"Comedy, Crime, Mystery",Rob Minkoff,"Jon Lucas, Scott Moore","Patrick Dempsey, Ashley Judd, Tim Blake Nelson, Mekhi Phifer, Matt Ryan, Jeffrey Tambor, John Ventimiglia, Pruitt Taylor Vince, Curtis Armstrong, Rob Huebel","Tripp (Patrick Dempsey) walks into a bank to get some change and ends up as a hostage to two bank robber-teams, robbing the bank he is at. In an almost Sherlock Holmesian way he has to solve this Agatha Christie inspired mystery and win the girl's (Ashley Judd) heart. But not everything is at it seems, and there are many twists and turns in this comedy.",['87'],"Germany, United States",English,,6.3,1541160
Following,1998,"Crime, Mystery, Thriller",Christopher Nolan,Christopher Nolan,"Jeremy Theobald, Alex Haw, Lucy Russell, John Nolan, Dick Bradsell, Gillian El-Kadi, Jennifer Angel, Nicolas Carlotti, Darren Ormandy, Guy Greenway","Pulp fiction neo noir crime story about a writer, The Young Man, who follows strangers for writing material in the broad day light or into the darkness of London. He eventually gets caught by Cobb, a mad thief who toys with others properties. Cobb lures The Young Man, and inspiring writer, also known as Bill/Danny Lloyd into his secret life of breaking and entering and theft. Bill comes across a story from one of his trespasses, Lucy Russel. He begins to see her and spends time hearing her story. Lucy unveils her shadowy path when she confesses a crime she witnessed from an elder psychotic boyfriend. She had witnessed a murder from a violent criminal who plunged a debtor to death by his own hammer. The story continues as Bill acts out in the underground crime world of murder theft and adultery and continues his own storyline for the future of his storytelling career.",['69'],United Kingdom,English,,7.5,154506
