Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The Wind that Shakes the Barley,2006,"Drama, War",Ken Loach,Paul Laverty,"Cillian Murphy, Pádraic Delaney, Liam Cunningham, Orla Fitzgerald, Mary O'Riordan, Mary Murphy, Laurence Barry, Damien Kearney, Frank Bourke, Myles Horgan","In 1920, rural Ireland is the vicious battlefield of republican rebels against the British security forces and Irish Unionist population who oppose them, a recipe for mutual cruelty. Medical graduate Damien O'Donovan always gave priority to his socialist ideals and simply helping people in need. Just when he's leaving Ireland to work in a highly-reputed London hospital, witnessing gross abuse of commoners changes his mind. He returns and joins the local IRA brigade, commanded by his brother Teddy, and adopts the merciless logic of civil war, while Teddy mellows by experiencing endless suffering first-hand. When IRA leaders negotiate an autonomous Free State under the British crown, Teddy defends the pragmatic best possible deal at this stage. Damien however joins the large seceding faction which holds nothing less than a socialist republic will do. The result is another civil war, bloodily opposing former Irish comrades in arms, even the brothers.",['127'],"Ireland, United Kingdom, Germany, Italy, Spain, France, Switzerland","English, Irish, Latin",,7.5,460989
The Wolf of Wall Street,2013,"Biography, Comedy, Crime, Drama",Martin Scorsese,Nothing from IMDB,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Rob Reiner, Jon Bernthal, Jon Favreau, Jean Dujardin, Joanna Lumley","Jordan Belfort (DiCaprio) is Long Island penny stockbroker who serves almost two years in prison for refusing to co-operate in a huge 1990s securities fraud case that involved widespread corruption on Wall Street and in the corporate banking world, including mob infiltration.",['180'],United States,"English, French",,8.2,993846
They Came Together,2014,"Comedy, Romance",David Wain,"Michael Showalter, David Wain","Paul Rudd, Amy Poehler, Bill Hader, Ellie Kemper, Cobie Smulders, Noureen DeWulf, Jason Mantzoukas, Michael Ian Black, Michaela Watkins, Randall Park","In New York City, couple Joel and Molly are having dinner with their couple friends, Kyle and Karen. In the general discussion of their respective relationships and how they met, Joel and Molly, in telling their story, say that it is exactly like a corny romantic comedy. The story they end up telling not only has every romantic comedy cliché thrown in, but it is told in the style of a romantic comedy, complete with crazy characters who should be smarter to figure out a smoother path to a happy ending for Joel and Molly. But that one romantic comedy element that is the big payoff may not be reality, or perhaps it is.",['83'],United States,English,,5.6,2398249
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery, Thriller",David Fincher,Nothing from IMDB,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård, Steven Berkoff, Robin Wright, Yorick van Wageningen, Joely Richardson, Geraldine James, Goran Visnjic","Mikael Blomkvist is a disgraced journalist who is asked by a wealthy industrialist to write a biography on his family. But what he really wants Blomkvist to do is to find out what happened to his niece, who went missing 40 years ago. At first Blomkvist isn't interested, until the man offers to help him clear his name. Blomkvist begins by talking to the man's relatives who were there when the girl went missing, but some of them are not forthcoming. Blomkvist eventually believes that her disappearance might have something to do with some serial killings that took place 20 years before she disappeared, so he asks for a research assistant. The industrialist's man suggests Lisbeth Salander, a talented hacker who does background checks for them and who even did one on Blomkvist. When he sees her report, he's impressed and asks her to work with him and she does. She's anti-social but is extremely efficient.",['158'],"United States, Sweden, Norway","English, Swedish",,7.8,1568346
The Hundred-Foot Journey,2014,"Comedy, Drama",Lasse Hallström,Nothing from IMDB,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon, Amit Shah, Farzana Dua Elahe, Dillon Mitra, Aria Pandya, Michel Blanc, Clément Sibony","The family of talented cook, Hassan Kadam (Manish Dayal), has a life filled with both culinary delights and profound loss. Drifting through Europe after fleeing political violence in India that killed the family restaurant business and their mother, the Kadams arrive in France. Once there, a chance auto accident and the kindness of a young woman, Marguerite (Charlotte Le Bon), in the village of Saint-Antonin-Noble-Val inspires Papa Kadam (Om Puri) to set up a Indian restaurant there. Unfortunately, this puts the Kadams in direct competition with the snobbish Madame Mallory's acclaimed haute cuisine establishment across the street where Marguerite also works as a sous-chef. The resulting rivalry eventually escalates in personal intensity until it goes too far. In response, there is a bridging of sides initiated by Hassan, Marguerite, and Madame Mallory (Dame Helen Mirren), both professional and personal, that encourages an understanding that will change both sides forever.",['122'],"India, United Arab Emirates, United States","English, Hindi, French",,7.3,2980648
The Last Two Days,2021,Thriller,Santhosh Lakshman,Nothing from IMDB,"Deepak Parambol, Dharmajan Bolgatty, Nandhan Unni, Harikrishnan, Vineeth Mohan, Aditi Ravi, Major Ravi, Surjith, Abu Valayamkulam, Ajmal Zain",,['74'],India,Malayalam,,5.8,13796242
The Code,2009,"Action, Crime, Thriller",Mimi Leder,Ted Humphrey,"Ivan Petrushinov, Victor Boichev, Nickolay Hadjiminev, Rade Serbedzija, Morgan Freeman, Joshua Rubin, Gerrit Vooren, Antonio Banderas, Charles Venn, Atanas Srebrev","In New York, experienced art thief Keith Ripley invites Gabriel Martin, the bold thief from Miami, to team up with him. He plans the heist of two valuable mysterious antique Faberge eggs, located in a safe, of the well-protected Russian Romanov jewelry. Each egg is worth $20 million on the black market, and Ripley needs his cut to free himself from his debt to a powerful mobster known as Nicky. The reluctant Gabriel agrees to participate after having a one-night stand with Ripley's goddaughter Alexandra Karolin. Meanwhile, the persistent Lieutenant Weber, who has unsuccessfully tried to put Ripley in jail for 20 years, figures out how to anticipate the criminal's movements in order to catch him.",['104'],"United States, Germany","English, Russian, Dutch",,6.0,1112782
Third Person,2013,"Drama, Romance",Paul Haggis,Paul Haggis,"Liam Neeson, Maria Bello, Mila Kunis, Kim Basinger, Michele Melega, Adrien Brody, Gianni Franco, Marius Bizau, Olivia Wilde, Katy Louise Saunders","Michael (Liam Neeson) is a Pulitzer Prize-winning fiction author who has holed himself up in a hotel suite in Paris to finish his latest book. He recently left his wife, Elaine (Kim Basinger), and is having a tempestuous affair with Anna (Olivia Wilde), an ambitious young journalist who wants to write and publish fiction. At the same time, Scott (Adrien Brody), a shady American businessman, is in Italy to steal designs from fashion houses. Hating everything Italian, Scott wanders into the Café American"" in search of something familiar to eat. There, he meets Monika (Moran Atias), a beautiful Roma woman, who is about to be reunited with her young daughter. When the money she has saved to pay her daughter's smuggler is stolen, Scott feels compelled to help. They take off together for a dangerous town in Southern Italy, where Scott starts to suspect that he is the patsy in an elaborate con game. Julia (Mila Kunis), an ex-soap opera actress, is caught in a custody battle for her 6 year-old son with her ex-husband Rick (James Franco), a famous New York artist. With her support cut off and her legal costs ruinous, Julia is reduced to working as a maid in the same upscale boutique hotel where she was once a frequent guest. Julia's lawyer Theresa (Maria Bello) has secured Julia one final chance to change the court's mind and be reunited with the child she loves. Rick's current girlfriend Sam (Loan Chabanol) is a compassionate onlooker.",['137'],"Belgium, United States, United Kingdom, Germany, Italy, France","English, Italian",,6.3,2343793
Amores Infieles/Third Person (2013) - Reseña CineBananas,2015,"News, Reality-TV","Ana Medellín, Miguel Valdez-Lopez",Miguel Valdez-Lopez,Miguel Valdez-Lopez,,,Nothing from IMDB,Nothing from IMDB,,,5538058
This Is the End,2013,"Comedy, Fantasy","Evan Goldberg, Seth Rogen",Nothing from IMDB,"James Franco, Jonah Hill, Seth Rogen, Jay Baruchel, Danny McBride, Craig Robinson, Michael Cera, Emma Watson, Mindy Kaling, David Krumholtz","All Jay Baruchel expected coming to LA was a fun time with Seth Rogen with all the wild partying to have both by themselves and at James Franco's housewarming party. Suddenly, the Rapture hits and the Biblical Apocalypse has begun. Now, Jay and Seth are desperately sheltering in James' house for rescue along with a few other friends. Together, they must band together to attempt to survive the end of the world, only for Jay to find that they are all too dumb and superficial to do it until they discover the only way out.",['107'],United States,"English, Spanish",,6.6,1245492
