Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Aladdin and the Wonderful Lamp,1952,"Adventure, Fantasy",Homi Wadia,Nothing from IMDB,"Mahipal, Meena Kumari, S.N. Tripathi, B.M. Vyas, Babu Raje, Urmila, Dalpat, Vasantrao, Azim, W.M. Khan",,['144'],India,Hindi,,6.4,139012
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,Drama,Soumitra Ranade,Soumitra Ranade,"Manav Kaul, Nandita Das, Amarjeet Amle, Sushma Bakshi, Padmanabh Bind, Yusuf Hussain, Ravi Jhankal, Rama Joshi, Kishore Kadam, Atul Kale","Albert leaves his house one morning without telling anyone where he is going. His girlfriend Stella files a complaint with the police and when he doesn't return after days, she begins to fear. What she doesn't know is that Albert is traversing a road journey from Mumbai to Goa. Nayar who drives the vehicle accompanies him on his mission. Punctuating their cynical, witty and devastating conversations, we see Albert's flashbacks of a world where he and Stella try and weave a life together. Albert's anger stems from experiences that life has presented to him. It is this anger that is taking him on a journey to settle a score and enable him to lead a life of dignity and hope.",['100'],India,Hindi,,5.1,4355838
Adventures of Ali-Baba and the Forty Thieves,1980,"Action, Adventure, Family, Fantasy, Romance","Latif Faiziyev, Umesh Mehra",Nothing from IMDB,"Dharmendra, Hema Malini, Zeenat Aman, Prem Chopra, Zakir Mukhamedzhanov, Sofiko Chiaureli, Madan Puri, Yakub Akhmedov, Rolan Bykov, Khodzha Durdy Narliyev","Alibaba, (Dharmendra) a native of Guleba is in love with Marjina (Hema Malini). The town has a ruler, Abu Hasan. Guleban is terrorized by dacoits. Ali Baba hears the password to the door of the cave of the dacoits and takes a lot of jewels from the cave. His brother is killed by the dacoits as he forgets the password and is trapped inside. A young girl whose father has been murdered by the dacoits (Zeenat Aman) has a score to settle with Abu Hasan. Abu Hasan turns out to be the head of the dacoits and he comes to know that Ali Baba visits the cave. He hides the 40 thieves in large urns to kill Ali Baba. Ali Baba comes to know of this and kills them all. He brings to light the startling truth that their own ruler heads the dacoits!",['138'],"Soviet Union, India","Hindi, Russian",,6.2,79749
Aligarh,2015,"Biography, Drama",Hansal Mehta,Nothing from IMDB,"Manoj Bajpayee, Rajkummar Rao, Ashish Vidyarthi, Balaji Gauri, Sukhesh Arora, Nutan Surya, Dilnaz Irani, Ishwak Singh, Sumit Gulati, K.R. Parmeshwar","Set in the state of Uttar Pradesh and based on true events, the plot revolves around Dr Shrinivas Ramchandra Siras who taught Marathi at Aligarh Muslim University. He was sacked from his position of Reader and Chair of Modern Indian Languages, on charges of homosexuality. A sting operation was conducted by a TV channel which showed him in an embrace with a rickshaw puller, at his house inside the campus.",['114'],India,Hindi,,7.8,5121000
All the Best: Fun Begins,2009,"Action, Comedy, Drama, Musical",Rohit Shetty,Nothing from IMDB,"Sanjay Dutt, Ajay Devgn, Fardeen Khan, Bipasha Basu, Mugdha Godse, Ashwini Kalsekar, Mukesh Tiwari, Johny Lever, Govardhan Asrani, Sanjay Mishra","Veer Kapoor lives in a palatial bungalow in Goa along with his girlfriend, Vidya, and a maid, Mary. Every month he gets an allowance of Rs. 1 Lakh from his NRI brother, Dharam, which he uses to fund his band, as well as the dilapidated Gym of his friends, Prem and Jhanvi Chopra. Veer's life undergoes many hilarious changes after he decides to borrow money from a gangster called Tobu in order to bet on his friend, Prem, taking part in a car race. After Tobu applies pressure, Veer desperately rents the bungalow to a Zee Super Lottery Winner, Raghuvandas Goverdhandas Vakawale - but even more chaos and complications arise with the unexpected arrival of Dharam.",['144'],India,Hindi,,6.2,1433905
Always Kabhi Kabhi,2011,"Comedy, Crime, Drama, Romance",Roshan Abbas,Nothing from IMDB,"Samir Chandra, Lillete Dubey, Satyajeet Dubey, Ali Fazal, Manoj Joshi, Shah Rukh Khan, Akash Khurana, Preeti Kochar, Giselli Monteiro, Zoa Morani","Sameer Khanna lives a wealthy lifestyle along with his dad, Adesh, and mom, Suman, and studies in St. Marks High School. He is attracted to statuesque London-returned student, Aishwarya Dhawan, while his close friend, Tariq Naqvi, likes Nandini Oberoi. The four hang out together, though Nandini is resentful of Aishwarya and her parents, and even play characters in Shakespeare's Romeo & Juliet. The four, while attending a wild party, have to flee when the police raid the premise. Three are able to get away, but Sameer is apprehended, held in a cell, and beaten by two police inspectors - who claim they have evidence that he is a drug peddler. They agree to let him go provided he bribes them with Rs.50,000/-. The question remains what will Sameer do under these circumstances?",['126'],India,"Hindi, English",,4.2,1937092
Amar Akbar Anthony,2015,"Comedy, Crime, Drama",Nadirsha,Nothing from IMDB,"Prithviraj Sukumaran, Jayasurya, Indrajith Sukumaran, Namitha Pramod, Asif Ali, Ponnamma Babu, Dharmajan Bolgatty, Bibin George, Eloor George, Kalabhavan Haneef",,['140'],India,Malayalam,,6.6,5082670
Ami Je Ke Tomar,2017,Romance,Rabi Kinagi,Nothing from IMDB,"Sayantika Banerjee, Ashim Roy Chowdhury, Ankush Hazra, Nussrat Jahan, Bharat Kaul, Joy Mukherjee, Laboni Sarkar, Reshmi Sen","Ankush plays in this film a young millionaire with a heart of gold. He successfully runs in the business of resorts. His life is anchored by his best friend and business associate, Prachi. Life is all about fun and work and girls, till his car bumps into Esha's cycle. Aditya is instantly enamored by the pretty and innocent girl who seems to have no interest in the flirty, rich bachelor. He ends up giving her a job in his resort even though she can't work in the second shift. As times goes by, Aditya starts sharing his deepest thoughts with Esha. She sees the simple, lovable man behind the successful persona who loves the food made by his aunt. Unwittingly, she loses her heart to this flirty man who confesses to be commitment phobic. These three characters become the best of buddies. Prachi sees the growing chemistry between these two and she keeps her love for Aditya hidden inside her. Turbulence occurs when Prachi's past crops in and misleads their lives in different direction.",['136'],India,Bangla,,4.7,6975046
Amit Sahni Ki List,2014,"Comedy, Romance",Ajay Bhuyan,Nothing from IMDB,"Vir Das, Vega Tamotia, Anindita Nayar, Kavi Shastri, Micky Makhija, Ashok Nagpaul, Khalida Khan, Ntasha Bhardwaj, Pooja Ruparel, Duboree Das","Amit sahani is an investment banker, single and ready to mingle. Mala is a free spirit who takes life as it comes. When Amit meets Mala sparks fly even though Mala is against all odds not the 'bucket list'-wall girl of Amit...or, ""The One"". They are soon engaged. Enter the enigmatic Devika Dev. Soon after the leggie Valkyrie descends in Amit's office front and his heart, she turns Amit Sahani and his list Topsy-turvy, because she is the woman of his dreams...The One. What happens to 'The One'? Does true love have a chance here?",['110'],India,Hindi,,5.4,3822600
An Evening in Paris,1967,"Musical, Romance, Thriller",Shakti Samanta,Nothing from IMDB,"Shammi Kapoor, Sharmila Tagore, Sarita, K.N. Singh, Surendra, David Abraham, M.B. Shetty, Rajendranath Malhotra, Pran Sikand, Jacques Charrier","After being left brokenhearted several times, wealthy, beautiful Deepa travels to City of Love Paris to live in her palatial house and meets Shyam (Sam), an Indian who is fascinated by her beauty. She tries to ignore him and finally pretends to be the housemaid. Shekar is a spoiled brat of her secretary Damodar, known for his bad habits of gambling and womanizing; he is in debt to local don Jack and tries to woo Deepa and convince her to marry him. Sam always gets in Shekar's way and spoils his plans; after a few misunderstandings, Deepa and Sam fall in love. Jack warns Shekar to pay his debts soon or face the brunt but Shekar's plans go for naught when he discovers that Deepa loves Sam. To Jack's surprise, Deepa is a lookalike of Suzy, a cabaret dancer in his club. When Shekar meets Suzy, he plots with her to replace Suzy with Deepa to clear his debts. But on the very first instance Sam gets suspicious that she is not the real Deepa.",['168'],India,Hindi,,6.5,74503
