Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Blitz,2011,"Action, Adventure, Crime, Mystery, Thriller",Elliott Lester,Nothing from IMDB,"Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton, David Morrissey, Ned Dennehy, Mark Rylance, Luke Evans, Nicky Henson, Steven Harwood-Brown","Detective Sergeant Tom Brant who is dispatched to take down a serial killer hell bent on killing off the police force one by one. ""The Blitz"" manages to slip through the grasp of Tom every time, and with the precious lives of his colleagues diminishing one by one, Tom is led to the question: if we can't protect our own, then what good are we?",['97'],"United Kingdom, France, United States",English,,6.1,1297919
Blood: The Last Vampire,2009,"Action, Adventure, Fantasy, Horror, Thriller",Chris Nahon,Nothing from IMDB,"Jun Ji-hyun, Allison Miller, Liam Cunningham, JJ Feild, Koyuki, Yasuaki Kurata, Larry Lamb, Andrew Pleavin, Michael Byrne, Colin Salmon","In 1970, the four hundred year-old skilled samurai Saya is sent to the Kanto High School in an American military base in Tokyo by the Council, a secret society that has been hunting vampires for centuries. Saya has the appearance of a teenager but is the tormented half-breed creature with the soul of her human father and the powers and need of blood of her vampire mother. She is obsessed to face the powerful demon Onigen that killed her father. In the base, Saya saves Alice McKee, who is the daughter of General McKee and commander of the base, from the attack of several vampires. When General McKee is killed by a member of the Council, Alice runs to the hotel where Saya is lodged. They join forces and go to the countryside to chase Onigen.",['91'],"Hong Kong, France, China","English, Japanese",,5.2,806027
Blood Diamond,2006,"Adventure, Drama, Thriller",Edward Zwick,Nothing from IMDB,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers, Arnold Vosloo, Antony Coleman, Benu Mabhena, Anointing Lukola, David Harewood, Basil Wallace","A story following Archer, a man tortured by his roots. With a strong survival instinct, he has made himself a key player in the business of conflict diamonds. Political unrest is rampant in Sierra Leone as people fight tooth for tooth. Upon meeting Solomon, and the beautiful Maddy, Archer's life changes forever as he is given a chance to make peace with the war around him.",['143'],"United States, Germany, United Kingdom","English, Mende, Afrikaans",,8.0,450259
Blood Money,2018,Reality-TV,Nothing from IMDB,Nothing from IMDB,"Chris Parvin, Michael Redfern, Jono Redfern, Justin Redfern, Teddy Moody, Zachary Holt",,,United States,English,,5.4,8778010
Blue Is the Warmest Colour,2013,"Drama, Romance",Abdellatif Kechiche,Nothing from IMDB,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing, Catherine Salée, Benjamin Siksou, Mona Walravens, Alma Jodorowsky, Jérémie Laheurte, Anne Loiret","Adèle is a high school student who is beginning to explore herself as a woman. She dates men but finds no satisfaction with them sexually, and is rejected by a female friend who she does desire. She dreams of something more. She meets Emma who is a free spirited girl whom Adèle's friends reject due to her sexuality, and by association most begin to reject Adèle. Her relationship with Emma grows into more than just friends as she is the only person with whom she can express herself openly. Together, Adèle and Emma explore social acceptance, sexuality, and the emotional spectrum of their maturing relationship.",['180'],"France, Belgium, Spain","French, English",,7.7,2278871
Blue Valentine,2010,"Drama, Romance",Derek Cianfrance,"Derek Cianfrance, Joey Curtis, Cami Delavigne","Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Marshall Johnson, Jen Jones, Maryann Plunkett, James Benatti, Barbara Troy","Dean Pereira and Cindy Heller Pereira are a young working-class married couple with a young daughter, Frankie. Dean currently works as a painter and Cindy is a nurse at a medical clinic. Despite their relatively tender ages, they are both ravaged by the life they've eked out together and by the experiences they've had leading into their marriage. High-school dropout Dean comes from a broken home and never really had a mother figure; he never imagined getting married or having a family despite falling in love with Cindy at first sight. He has no professional ambition beyond his current work--which he enjoys since he feels he can down a beer at 8AM and it won't affect his work--although Cindy believes he has so much more potential in life. Cindy also comes from a dysfunctional family; her parents didn't set an example of a harmonious married or family life. One of her previous serious partners, Bobby Ontario, has had a profound effect on many aspects of her marriage to Dean. Dean and Cindy head off on an overnight getaway together without Frankie, seeking a clearer picture of whether their marriage can survive its many issues.",['112'],United States,English,,7.3,1120985
Body of Lies,2008,"Action, Drama, Thriller",Ridley Scott,Nothing from IMDB,"Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani, Oscar Isaac, Ali Suliman, Alon Aboutboul, Vince Colosimo, Simon McBurney, Mehdi Nebbou","Roger Ferris is a CIA operative in the Middle East; Ed Hoffman is his control at Langley. Cynicism is everywhere. In Amman, Roger works with Hani Salaam, Jordan's head of security, whose only dictum is ""Don't lie to me."" The Americans are in pursuit of a cleric who leads a group placing bombs all over Europe. When Hani rebukes Ed's demand that Jordan allow the Americans to use one of Jordan's double agents, Roger and Ed hatch a plan to bring the cleric to them. The plan is complicated by its being a secret from Hani and by Roger's attraction to a local nurse. Satellites and cell phones, bodies and lies: modern warfare.",['128'],"United States, United Kingdom","English, Arabic",,7.0,758774
Borg vs. McEnroe,2017,"Biography, Drama, Sport",Janus Metz,Ronnie Sandahl,"Sverrir Gudnason, Shia LaBeouf, Stellan Skarsgård, Tuva Novotny, Leo Borg, Marcus Mossberg, Jackson Gann, Scott Arthur, Ian Blackman, Robert Emms","It is the 1980 Wimbledon tennis championship. Bjorn Borg is the number 1 tennis player in the world and the undisputed king of Wimbledon. He has won the tournament four times in a row - a fifth consecutive time would be a world first. However, a new face has appeared in the tennis world and presents a serious threat to Borg's title hopes - John McEnroe.",['107'],"Sweden, Denmark, Finland, Czechia","English, Swedish, French, Spanish, German",,6.9,5727282
Boss Level,2020,"Action, Adventure, Comedy, Mystery, Sci-Fi, Thriller",Joe Carnahan,Nothing from IMDB,"Frank Grillo, Mel Gibson, Naomi Watts, Will Sasso, Annabelle Wallis, Sheaun McKinney, Selina Lo, Michelle Yeoh, Ken Jeong, Meadow Williams","Retired special forces agent Roy Pulver is clueless why his worst nightmare day keeps repeating in a seemingly endless time-loop, but became resigned at going through the spectacular motions, starting with a man trying to cut his throat while he wakes up and being killed by rapid fire from a helicopter, jumping down several floors, next hijacking a sports car, meeting and interacting with his ex Jemma Wells and several weird people at a diner and being killed there. Slowly he works out how to get further in a next run, and that it all relates to Jemma's invention and how to use her hints, while finding out it's also about his pre-teen son Joe, who doesn't even know him but ditches school for a gaming arcade, and the key is guarded by a Chinese sword expert in the skyscraper fortress of mysterious colonel Clive Ventor. Besides learning better physical motions, his view in things also evolves, even his priority becomes leaving a world to Joe.",['100'],United States,English,,6.8,7638348
Boyhood,2014,Drama,Richard Linklater,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater, Steven Chester Prince, Bonnie Cross, Sydney Orta, Libby Villari, Ethan Hawke, Marco Perella","Filmed over 12 years with the same cast, Richard Linklater's BOYHOOD is a groundbreaking story of growing up as seen through the eyes of a child named Mason (a breakthrough performance by Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, BOYHOOD charts the rocky terrain of childhood like no other film has before. Snapshots of adolescence from road trips and family dinners to birthdays and graduations and all the moments in between become transcendent, set to a soundtrack spanning the years from Coldplay's Yellow to Arcade Fire's Deep Blue. BOYHOOD is both a nostalgic time capsule of the recent past and an ode to growing up and parenting.",['165'],United States,"English, Spanish, Ukrainian, Arabic",,7.9,1065073
Boys and Girls,2000,"Comedy, Drama, Romance",Robert Iscove,"Andrew Lowery, Andrew Miller","Brendon Ryan Barrett, Gay Thomas Wilson, Raquel Beaudene, Claire Forlani, David Smigelski, Blake Shields, Freddie Prinze Jr., Alyson Hannigan, Jason Biggs, Amanda Detmer","Jennifer and Ryan are students at UC Berkeley, acquaintances off and on since early adolescence. She's quick, witty, ironic, literary, and independent; he's deliberate, literal, serious, studying structural engineering, always working on a plan. They take walks, they console each other over break-ups, he shares his plans. She's headed for Italy after graduation. Then, to their equal surprise, they spend a night together. Her response is to skitter away from continued intimacy and want to stay friends; he's hurt by her response, so he withdraws. Can it all get sorted out before she leaves town?",['94'],United States,English,,5.4,204175
