Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The 15:17 to Paris,2018,"Biography, Drama, Thriller",Clint Eastwood,Nothing from IMDB,"Ray Corasani, Alek Skarlatos, Anthony Sadler, Spencer Stone, Judy Greer, Jenna Fischer, Irene White, William Jennings, Bryce Gheisar, Stephen Matthew Smith","In the early evening of August 21, 2015, the world watched in stunned silence as the media reported a thwarted terrorist attack on Thalys train #9364 bound for Paris, an attempt prevented by three courageous young Americans travelling through Europe. This movie follows the course of the friends' lives, from the struggles of childhood through finding their footing in life, to the series of unlikely events leading up to the attack. Throughout the harrowing ordeal, their friendship never wavers, making it their greatest weapon and allowing them to save the lives of the more than five hundred passengers on-board.",['94'],United States,"English, French, Arabic, German, Dutch",,5.3,6802308
The Adjustment Bureau,2011,"Crime, Mystery, Romance, Sci-Fi, Thriller",George Nolfi,Nothing from IMDB,"Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner, Michael Kelly, Phyllis MacBryde, Natalie Carter, Chuck Scarborough, Jon Stewart, Gregory P. Hitchen","Do we control our destiny, or do unseen forces manipulate us? A man glimpses the future Fate has planned for him and realizes he wants something else. To get it, he must pursue across, under and through the streets of modern-day New York the only woman he's ever loved. On the brink of winning a seat in the U.S. Senate, ambitious politician David Norris (Matt Damon) meets beautiful contemporary ballet dancer Elise Sellas (Emily Blunt), a woman like none he's ever known. But just as he realizes he's falling for her, mysterious men conspire to keep the two apart. David learns he is up against the agents of Fate itself, the men of The Adjustment Bureau, who will do everything in their considerable power to prevent David and Elise from being together. In the face of overwhelming odds, he must either let her go and accept a predetermined path... or risk everything to defy Fate and be with her.",['106'],United States,English,,7.0,1385826
The Angriest Man in Brooklyn,2014,"Comedy, Drama",Phil Alden Robinson,Nothing from IMDB,"Robin Williams, Mila Kunis, Peter Dinklage, Melissa Leo, Hamish Linklater, Sutton Foster, James Earl Jones, Richard Kind, Daniel Raymont, Chris Gethard","Some people have bad days. Henry Altmann (Williams) has one every day. Always unhappy and angry at the world including everyone in it, Henry sits impatiently at the doctor's office when he is finally seen by Dr. Sharon Gill (Kunis). Sharon, who is enduring her own bad day, reveals that Henry has a brain aneurysm. This news makes Henry even angrier, yelling at Sharon he demands to know how much time he has left. Faced with Henry's anger and insults, Sharon abruptly tells him he has only 90 minutes. Shocked and reeling by this news, Henry storms out of the office leaving Sharon stunned by what she has just done in a lapse of judgment. As Sharon goes on a city-wide search, Henry struggles with his diagnosis, determined to make amends with everyone he has hurt in his life.",['83'],United States,English,,5.7,1294970
The Assassination of Jesse James by the Coward Robert Ford,2007,"Biography, Crime, Drama, History, Western",Andrew Dominik,Nothing from IMDB,"Brad Pitt, Mary-Louise Parker, Brooklynn Proulx, Dustin Bollinger, Casey Affleck, Sam Rockwell, Jeremy Renner, Sam Shepard, Garret Dillahunt, Paul Schneider","Taking place in Missouri in the early 1880s, the film dramatizes the last seven months in the life of famed outlaw Jesse James, beginning with the Blue Cut train robbery of 1881 and culminating in his assassination at the hands of Robert Ford the following April. In the time between these two fateful events, the young and jealous Ford befriends the increasingly mistrustful outlaw, even as he plots his demise.",['160'],"United States, Canada, United Kingdom","English, Danish",,7.5,443680
The Avengers,2012,"Action, Sci-Fi",Joss Whedon,Nothing from IMDB,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård","Loki, the adopted brother of Thor, teams-up with the Chitauri Army and uses the Tesseract's power to travel from Asgard to Midgard to plot the invasion of Earth and become a king. The director of the agency S.H.I.E.L.D., Nick Fury, sets in motion project Avengers, joining Tony Stark a.k.a. the Iron Man; Steve Rogers, a.k.a. Captain America; Bruce Banner, a.k.a. The Hulk; Thor; Natasha Romanoff, a.k.a. Black Widow; and Clint Barton, a.k.a. Hawkeye, to save the world from the powerful Loki and the alien invasion.",['143'],United States,"English, Russian",,8.0,848228
The Aviator,2004,"Biography, Drama",Martin Scorsese,John Logan,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly, Alec Baldwin, Alan Alda, Ian Holm, Danny Huston, Gwen Stefani, Jude Law","Biopic of billionaire Howard Hughes, starting with his early filmmaking years as owner of R.K.O. Pictures, but mostly focusing on his role in designing and promoting new aircraft. Hughes was a risk-taker spending several fortunes on designing experimental aircraft and eventually founding TWA as a rival to Pan Am airlines owned by his great rival Juan Trippe. When Trippe's politico Senator Ralph Owen Brewster accuses Hughes of being a war profiteer, it's Hughes who gains the upper hand. Hughes also had many women in his life including a long relationship with Katharine Hepburn. From an early age, however, Hughes was also germophobic and would have severe bouts of mental illness.",['170'],"United States, Germany","English, Persian",,7.5,338751
The Bank Job,2008,"Crime, Drama, Thriller",Roger Donaldson,"Dick Clement, Ian La Frenais","Jason Statham, Saffron Burrows, Stephen Campbell Moore, Daniel Mays, James Faulkner, Alki David, Michael Jibson, Georgia Taylor, Richard Lintern, Peter Bowles","Business is slow for Terry Leather, a London car dealer, married with children. He's an artful dodger, so Martine, a former model with a thing for him, brings him her scheme: a bank's alarm is off for a couple weeks, so let's tunnel into the vault. He assembles a team, not realizing her real goal is a safe-deposit box with compromising photos of a royal: she needs the photos to trade for avoiding a jail sentence - and MI-5, or is it MI-6, is pulling the strings two steps removed. A Trinidadian thug, a high-end bordello owner, and a pornographer also have things stored in the vault, so the break-in threatens many a powerful personage. Is there any way these amateurs can pull it off?",['111'],"United Kingdom, United States, Australia","English, Latin",,7.2,200465
The Big Short,2015,"Biography, Comedy, Drama, History",Adam McKay,Nothing from IMDB,"Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert, Harold Gervais, Maria Frangos, Christian Bale, Hunter Burke, Bernard Hocke, Shauna Rappold","Three separate but parallel stories of the U.S mortgage housing crisis of 2005 are told. Michael Burry, an eccentric ex-physician turned one-eyed Scion Capital hedge fund manager, has traded traditional office attire for shorts, bare feet and a Supercuts haircut. He believes that the US housing market is built on a bubble that will burst within the next few years. Autonomy within the company allows Burry to do largely as he pleases, so Burry proceeds to bet against the housing market with the banks, who are more than happy to accept his proposal for something that has never happened in American history. The banks believe that Burry is a crackpot and therefore are confident in that they will win the deal. Jared Vennett with Deutschebank gets wind of what Burry is doing and, as an investor believes he too can cash in on Burry's beliefs. An errant telephone call to FrontPoint Partners gets this information into the hands of Mark Baum, an idealist who is fed up with the corruption in the financial industry. Baum and his associates, who work at an arms length under Morgan Stanley, decide to join forces with Vennett despite not totally trusting him. In addition to Burry's information, they further believe that most of the mortgages are overrated by the bond agencies, with the banks collating all the sub-prime mortgages under AAA packages. Charlie Geller and Jamie Shipley, who are minor players in a $30 million start-up garage company called Brownfield, get a hold of Vennett's prospectus on the matter. Wanting in on the action but not having the official clout to play, they decide to call an old ""friend"", retired investment banker Ben Rickert, to help out. All three of these groups work on the premise that the banks are stupid and don't know what's going on, while for them to win, the general economy has to lose, which means the suffering of the general investor who trusts the financial institutions. That latter aspect may not sit well with Baum. Some of these assumptions may be incorrect and may be far more manipulative than they could have ever imagined, which in turn may throw curves into the process.",['130'],United States,English,,7.8,1596363
The Book Thief,2013,"Drama, War",Brian Percival,Nothing from IMDB,"Roger Allam, Sophie Nélisse, Heike Makatsch, Julian Lehmann, Gotthard Lange, Rainer Reiners, Kirsten Block, Geoffrey Rush, Emily Watson, Nico Liersch","In 1938, the young girl Liesel Meminger is traveling by train with her mother and her younger brother when he dies. Her mother buries the boy in a cemetery by the tracks and Liesel picks up a book, ""The Gravediggers Handbook"", which was left on the grave of her brother and brings it with her. Liesel is delivered to a foster family in a small town and later she learns that her mother left her because she is a communist. Her stepmother, Rosa Hubermann, is a rude but caring woman and her stepfather, Hans Hubermann, is a simple kind-hearted man. Liesel befriends her next door neighbor, the boy Rudy Steiner, and they go together to the school. When Hans discovers that Liesel cannot read, he teaches her using her book and Liesel becomes an obsessed reader. During a Nazi speech where the locals are forced to burn books in a bonfire, Liesel recovers one book for her and the Mayor's wife Ilsa Hermann witnesses her action. Meanwhile Hans hides the Jewish Max Vandenburg, who is the son of a deceased friend that saved his life in the war, in the basement of his house and Liesel becomes his friend. One day, Rosa asks Liesel to deliver laundry to the Mayor and Ilsa invites Liesel to go to her library and tells that she can visit her to read whenever she wants. But in times of war there are many threats and the lives of Liesel, her family and friends will never be the same.",['131'],"Germany, United States","English, German",,7.5,816442
The Boss Baby,2017,"Animation, Adventure, Comedy, Family, Fantasy",Tom McGrath,Nothing from IMDB,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow, Tobey Maguire, Miles Bakshi, James McGrath, Conrad Vernon, ViviAnn Yee, Eric Bell Jr.","Seven-year-old Tim Templeton has always had an overactive imagination; after all, life has been all peaches and cream for the past seven years. And then, everything changed: an unexpected new brother arrived, stealing the show. As the siblings try to work things out, one day, Tim makes a shocking, eye-opening discovery. Is there more to the cute newcomer in a diaper than meets the eye? When a sneaky scheme involving the CEO of Puppy Co and the adults' love of babies and puppies threatens to change the world as we know it, Tim and the little one will have to join forces to thwart the sinister plan. However, the next pet convention is only two days away. Will the toothless but ruthless baby show everyone who's boss?",['97'],United States,"English, Spanish",,6.3,3874544
