Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Jingle Jangle: A Christmas Journey,2020,"Family, Fantasy, Musical",David E. Talbert,David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin, Justin Cornwell, Sharon Rose, Lisa Davina Phillip","In the gloriously-vibrant town of Cobbleton, legendary toymaker Jeronicus Jangle's (Forest Whitaker) fanciful inventions burst with whimsy and wonder. But when his trusted apprentice (Keegan-Michael Key) steals his most prized creation, it's up to his equally-bright and inventive granddaughter (Madalen Mills)--and a long-forgotten invention--to heal old wounds and reawaken the magic within.",['122'],United States,English,,6.4,7736496
Jobs,2013,"Biography, Drama",Joshua Michael Stern,Matt Whiteley,"Ashton Kutcher, Dermot Mulroney, Josh Gad, Lukas Haas, Matthew Modine, J.K. Simmons, Lesley Ann Warren, Ron Eldard, Ahna O'Reilly, Victor Rasuk","The film opens in 2001 with a middle-aged Steve Jobs (Ashton Kutcher) introducing the iPod at an Apple Town Hall meeting.[6] It then flashes back to Reed College in 1974. Jobs had already dropped out due to the high expense of tuition, but was still attending classes with the approval of Dean Jack Dudman (James Woods) who took him under his wing. Jobs is particularly interested in a course on calligraphy. He meets up with his friend Daniel Kottke (Lukas Haas) who is excited to see that Jobs is holding a copy of Be Here Now by Baba Ram Dass. Influenced by this book and his experiences with LSD, Jobs and Kottke spend time in India. Two years later, Jobs is back in Los Altos, California living at home with his adoptive parents Paul (John Getz) and Clara (Lesley Ann Warren). He is working for Atari and develops a partnership with his friend Steve Wozniak (Josh Gad) after he sees that Wozniak has built a personal computer (the Apple I). They name their new company Apple Computer, though there already is a company called Apple Records that is owned by The Beatles (Wozniak then teases Jobs that this is symbolic of his preference for Bob Dylan). Wozniak gives a demonstration of the Apple I at the Homebrew Computer Club. Jobs is later approached by Paul Terrell (Brad William Henke) who shows interest in the Apple I. Knowing that he and Wozniak will need a studio in which to build them, Jobs convinces his father Paul to allow them to use the family garage (set up as a carpentry/tool center) for his new company. Realizing that they cannot build these computers alone, Jobs also recruits Kottke, Bill Fernandez (Victor Rasuk), and Chris Espinosa (Eddie Hassell) to the Apple team..",['128'],"United States, Switzerland",English,,6.0,2357129
John Carter,2012,"Action, Adventure, Sci-Fi",Andrew Stanton,Nothing from IMDB,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Bryan Cranston","John Carter, a Civil War veteran, who in 1868 was trying to live a normal life, is ""asked"" by the Army to join, but he refuses, so he is locked up. He escapes and is pursued. Eventually they run into some Indians, and there's a gunfight. Carter seeks refuge in a cave. While there, he encounters someone who is holding some kind of medallion. When Carter touches it, he finds himself in a place where he can leap incredible heights, among other things. He later encounters beings he has never seen before. He meets a woman who helps him to discover that he is on Mars, and he learns that some kind of unrest is going on.",['132'],United States,English,,6.6,401729
John Wick,2014,"Action, Crime, Thriller","Chad Stahelski, David Leitch",Derek Kolstad,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki, Omer Barnea, Toby Leonard Moore, Daniel Bernhardt, Bridget Moynahan","With the untimely death of his beloved wife still bitter in his mouth, John Wick, the expert former assassin, receives one final gift from her--a precious keepsake to help John find a new meaning in life now that she is gone. But when the arrogant Russian mob prince, Iosef Tarasov, and his men pay Wick a rather unwelcome visit to rob him of his prized 1969 Mustang and his wife's present, the legendary hitman will be forced to unearth his meticulously concealed identity. Blind with revenge, John will immediately unleash a carefully orchestrated maelstrom of destruction against the sophisticated kingpin, Viggo Tarasov, and his family, who are fully aware of his lethal capacity. Now, only blood can quench the boogeyman's thirst for retribution.",['101'],"United States, United Kingdom, China","English, Russian, Hungarian",,7.4,2911666
John Wick: Chapter 2,2017,"Action, Crime, Thriller",Chad Stahelski,Nothing from IMDB,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose, Common, Claudia Gerini, Lance Reddick, Laurence Fishburne, Tobias Segal, John Leguizamo","Bound by an inescapable blood debt to the Italian crime lord, Santino D'Antonio, and with his precious 1969 Mustang stolen, John Wick--the taciturn and pitiless assassin who thirsts for seclusion--is forced to visit Italy to honour his promise. But, soon, the Bogeyman will find himself dragged into an impossible task in the heart of Rome's secret criminal society, as every killer in the business dreams of cornering the legendary Wick who now has an enormous price on his head. Drenched in blood and mercilessly hunted down, John Wick can surely forget a peaceful retirement as no one can make it out in one piece.",['122'],"United States, Italy, Hong Kong, Canada","English, Italian, Russian, Sign Languages, Hebrew",,7.4,4425200
John Doe: Vigilante,2014,"Crime, Thriller",Kelly Dolen,Nothing from IMDB,"Jamie Bamber, Lachy Hulme, Gary Abrahams, Sam Parsonson, Brendan Clearkin, Brooke Ryan, Ditch Davey, Louise Crawford, Guy Kable, Randall Berger","Some call him a hero. Some call him a villain. He's ""John Doe: Vigilante"" - an ordinary man who decides to take the law into his own hands. Frustrated with a failing legal system that continues to allow violent criminals to go free, John Doe begins exacting justice the only way he knows how - by killing one criminal at a time. Soon he becomes a media sensation and inspires a group of copycat vigilantes, but who is the real John Doe - a pillar of justice or a cold-blooded murderer? You decide.",['93'],Australia,English,,6.5,1418754
John Wick,2014,"Action, Crime, Thriller","Chad Stahelski, David Leitch",Derek Kolstad,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki, Omer Barnea, Toby Leonard Moore, Daniel Bernhardt, Bridget Moynahan","With the untimely death of his beloved wife still bitter in his mouth, John Wick, the expert former assassin, receives one final gift from her--a precious keepsake to help John find a new meaning in life now that she is gone. But when the arrogant Russian mob prince, Iosef Tarasov, and his men pay Wick a rather unwelcome visit to rob him of his prized 1969 Mustang and his wife's present, the legendary hitman will be forced to unearth his meticulously concealed identity. Blind with revenge, John will immediately unleash a carefully orchestrated maelstrom of destruction against the sophisticated kingpin, Viggo Tarasov, and his family, who are fully aware of his lethal capacity. Now, only blood can quench the boogeyman's thirst for retribution.",['101'],"United States, United Kingdom, China","English, Russian, Hungarian",,7.4,2911666
John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",Chad Stahelski,Nothing from IMDB,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon, Lance Reddick, Tobias Segal, Anjelica Huston, Saïd Taghmaoui","In this third installment of the adrenaline-fueled action franchise, skilled assassin John Wick (Keanu Reeves) returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin's guild, the High Table, John Wick is excommunicado, but the world's most ruthless hit men and women await his every turn.",['130'],United States,"English, Russian, Japanese, Indonesian, Mandarin, Italian, Arabic, Latin",,7.4,6146586
John Day,2013,"Action, Crime, Drama, Thriller",Ahishor Solomon,Nothing from IMDB,"Naseeruddin Shah, Randeep Hooda, Elena Kazan, Shernaz Patel, Sharat Saxena, Vipin Sharma, Makrand Deshpande, Kenneth Desai, Pramod Pathak, Sukhwinder Chahal","John Day is a bank manager and lives with his wife Maria Day. The couple has recently lost their only daughter. Maria is always depressed and never opens up with anyone. One day when John is away for office work, a courier-boy enters the house and takes Maria as a captive, then a series of misfortunes start to happen.",['138'],India,"Hindi, English",,5.6,2699840
Johnny English Reborn,2011,"Action, Adventure, Comedy",Oliver Parker,Nothing from IMDB,"Roger Barclay, Eric Carte, Rowan Atkinson, Togo Igawa, Eleanor Wyld, Mandi Sidhu, Margaret Clunie, Gillian Anderson, Rosamund Pike, Dominic West","Johnny English, the accidental secret agent who doesn't know fear or danger and the most unlikely intelligence officer in Her Majesty's Secret Service, must stop a group of international assassins before they eliminate a world leader and cause global chaos. In the years since MI7's top spy vanished off the grid, he has been honing his unique skills in a remote region of Asia. But when his agency superiors learn of an attempt against the Chinese Premier's life, they must hunt down the highly unorthodox agent. Now that the world needs him once again, Johnny English is back in action. With one shot at redemption, he must employ the latest in hi-tech gadgets to unravel a web of conspiracy that runs throughout the K.G.B., C.I.A., and even MI7. With a mere few days until a heads of state conference, one man must use every trick in his playbook to protect us all. For Johnny English, disaster may be an option, but failure never is.",['101'],"United Kingdom, France, United States","English, Mandarin, Swiss German, Cantonese, Russian",,6.3,1634122
