Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Saajan Ki Saheli,1981,"Family, Drama",Saawan Kumar Tak,Nothing from IMDB,"Nutan, Rajendra Kumar Tuli, Rekha, Vinod Mehra, Anil Dhawan, Suresh Oberoi, Kanwarjeet Paintal, Kalpana Iyer, Coca Cola, Vijay Sharma","Young and attractive Kunti has fallen in love with a young man by the name of Anil, and both intend to marry. They do get intimate which ends in Kunti getting pregnant. Kunti finds out that Anil comes from a poor family, and she would only like to marry someone rich, so that she can lead a comfortable and stylish life. When Anil finds out that Kunti does not marry him, he kills himself. Kunti is unable to abort the child, as it is illegal at that time, so she goes away from her home, with a close friend, Chanda, and gives birth to a baby girl, who she leaves in Chanda's care. Eventually, Kunti's dreams are fulfilled when she marries a rich and wealthy Barrister by the name of Avinash Kumar. Unfortunately, Kunti is unable to conceive, however the couple are contend with their lives. Years later, Kunti finds out that Avinash is having an affair with a female client by the name of Moon Moon, a woman born out of wedlock. When she confronts him, he admits knowing and meeting his mistress, and openly declares his love for her, leaving Kunti humiliated and downcast. Kunti then decides to meet Moon Moon and it is during this meeting she will find out the stark truth behind Avinash's affair with her.",,India,Hindi,,5.4,347920
Saajan,1991,"Drama, Musical, Romance",Lawrence D'Souza,Nothing from IMDB,"Sanjay Dutt, Madhuri Dixit, Salman Khan, Ekta Sohini, Laxmikant Berde, Kader Khan, Reema Lagoo, Anjana Mumtaz, Dinesh Hingoo, Yunus Parvez","Aman (Sanjay Dutt) is a poor, handicapped orphan who is befriended by wealthy Akash Verma (Salman Khan) during his childhood. Akash's parents adopt him and give him their family name, and Akash and Aman grow up as brothers. While Akash is a womanizer, Aman takes to writing poems under the pen name Sagar. The poems get published, and Aman becomes very popular. One of his fans is a young woman by the name of Pooja Saxena (Madhuri Dixit), who corresponds with Sagar. Akash meets Pooja and falls head over heels in love with her. When Aman comes to know this, he asks Akash to pose as Sagar, which he does, and Pooja and Akash fall in love with each other. A heartbroken Aman looks on, as he knows that although women may like his poetry, they will never come out openly and love him when they see his handicap. At the end, Akash discovers that Aman is actually Sagar and loves Pooja, so he decides to sacrifice his love for Aman.",['193'],India,Hindi,,7.2,102825
Irudhi Suttru,2016,"Action, Drama, Sport",Sudha Kongara,Nothing from IMDB,"Madhavan, Ritika Singh, Nassar, Mumtaz Sorcar, M.K. Raina, Radha Ravi, Kaali Venkat, Baljinder Kaur, Bipin, Bipin","An under-fire boxing coach, Prabhu is transferred from Hisar in Haryana to Chennai as his bosses at the Boxing Council do not like his disrespectful rule-breaking unconventional ways. In Chennai, he chances upon the raw fighting talent of Madhi, the sibling of aspiring boxer Lakshmi. He decides to put all his effort to tame Madhie and get her to shine but he is repeatedly put off by her playfulness & distrust.",['109'],India,"Tamil, Hindi",,7.6,5310090
Saansein: The Last Breath,2016,"Horror, Romance",Rajiv S. Ruia,Nothing from IMDB,"Sonarika Bhadoria, Aamir Dalvi, Rajneesh Duggal, Vishal Malhotra, Sachi Ruia, Neetha Shetty, Hiten Tejwani",,['101'],India,Hindi,,3.0,5933706
Saaransh,1984,Drama,Mahesh Bhatt,Nothing from IMDB,"Anupam Kher, Rohini Hattangadi, Soni Razdan, Madan Jain, Suhas Bhalekar, Alok Nath, Akash Khurana, Vijay Kashyap, Kishore Jariwala, Suresh Chatwal","B.V Pradhan a retired school teacher lives with his wife Parvati in Shivaji Park few months back they lost their son Ajay at a very young age in New York.Parvati has managed to move on but Pradhan is still living in depression for loosing his son and she discusses this frequently with his friend Vishwanath.As there is no income in the family they decide to rent their house to Sujata a struggling actress whose in love with Vilas Chitre.Pradhan finally gets letter from customs for ashes of Ajay which were stuck since long while performing the rituals their Swami tells that Ajay is tend to reborn.Pradhan feels that there is no hope for him to live and he should give his life,Parvati who will be at mercy of no one fells they should commit suicide together.On the night when they try to kill themselves find Sujata is pregnant with Vilas whose not ready to take the responsibility,Parvati believes that Ajay is going to be reborn as Sujata's son and supports her.But when Pradhan takes her to Vilas's father a corrupt politician Gajanan Chitre he insults them but Pradhan decides to fight against the corruption and give justice to Sujata while Vilas to joins him.Gajanan Chitre now starts to harass the family where Pradhan has to deal with him as well as Parvati whose obsessed with the thinking that Ajay will be reborn to Sujata.",['137'],India,Hindi,,8.1,88031
Saathiya,2002,"Drama, Family, Romance",Shaad Ali,Nothing from IMDB,"Vivek Oberoi, Rani Mukerji, Shah Rukh Khan, Tabu, Sandhya Mridul, Tanuja Samarth, Satish Shah, Swaroop Sampat, Tinnu Anand, Ujjwal Rana","Running away from home can't keep a couple together. Love can. While for most Love Stories, marriage is the goal, the fact remains - it's just the beginning. SAATHIYA, the story of Aditya (Vivek Oberoi) and Suhani (Rani Mukerji), continues from where most love stories end. From the infatuation stage when a couple thinks they are in love right through to they discovers the meaning of love.",['138'],India,Hindi,,6.8,330843
Sab Kushal Mangal,2020,Romance,Karan Vishwanath Kashyap,Nothing from IMDB,"Akshaye Khanna, Priyaank Sharma, Riva Kishan, Kaushik Satish, Satish Kaushik, Supriya Pathak, Rakesh Bedi, Mrunal Jain, Swati Semwal, Jaya Ojha","Pappu Mishra is the creator and host of a reality show called Musibat Odh Li Maine. Baba Bhandari, a big name in politics and crime, is offended with his reportage. Incidentally, the two belong to the same town, so when Pappu comes back for Diwali, Bhandari kidnaps him. A lively girl named Mandira saves Pappu, but later both Bhandari and Pappu end up falling for her. As chaos reigns in the town, how will the two men deal with the situation?",['132'],India,Hindi,,4.2,9691324
Sadak 2,2020,"Action, Drama",Mahesh Bhatt,Nothing from IMDB,"Alia Bhatt, Priyanka Bose, Sanjay Dutt, Aditya Roy Kapoor, Mohan Kapur, Makrand Deshpande, Pooja Bhatt, Jisshu Sengupta, Gulshan Grover, Javed Khan Amrohi",Aarya Desai is on mission to expose fake Godman Gyan Prakash whom she also holds responsible for death of her mother.But Arya is captured and sent to asylum by her step mother Nandini and gang of Gyan Prakash from where she escapes.Ravi runs a tours and travel business he gets hallucinations of dead wife Pooja and wants to commit suicide.Arya comes to Ravi to hire his taxi and take her to Kailash mountains at first he ignores her but decides to help after finding her story. Vishal boyfriend of Arya joins them on the trip but Ravi is suspicious about him and gets feelings from inside and Pooja's hallucinations that he should help Arya in what she is doing in order to expose the Gyan Prakash.,['133'],India,Hindi,,1.2,7886848
Sadda Adda,2012,"Comedy, Drama, Romance",Muazzam Beg,Muazzam Beg,"Karan Sharma, Karanvir Sharma, Shaurya Chauhan, Bhaumik Sampat, Kadambari Jethwani, Rohin Robert, Kunal Pant, Parimal Aloke, RaghuMinati, Maryam Zakaria","'The only thing that will stop you from fulfilling your dreams is you"" People have dreams, but not all of us have the guts to put faith in ourselves. Most of us lose focus and give up. We are most afraid to believe in our own dreams. Those who do are the true winners. This slice of life film is set in the backdrop of our capital city- Delhi. A city that brings in thousands of North Indians in search of opportunities that was never available in their own home towns. Like-wise, six boys from different states come together to share a two BHK apartment in a middle-class colony, which they lovingly call ""Sadda Adda"". This film is their story. It is about how six bachelors, with completely different backgrounds and personalities, live together. Their apartment ""Sadda Adda"" is a complete mess with empty beer bottles, cigarette butts, unwashed clothes, mattresses tossed all over the floor etc - yet together they cook food, clean, buy groceries, pay rent, laugh, cry, fight over insignificant issues and always stand up for each other - like a family. ""Sadda Adda"" which began as a transitional accommodation to help them work towards their dreams, becomes their home. The film takes us through a journey of their camaraderie and self-belief. The interwoven stories of these 6 characters takes us through a heart warming journey of the lives of these boys. This movie is about real characters from life who have fun, who fight the wave everyday and through very light heart moments inspire us in the most modest way. The crests and troughs that shape them into the men they will become in the future - because Boys will not always be boys.",['115'],India,Hindi,,7.1,1941638
Safe Inside,2019,Thriller,Renata Gabryjelska,Nothing from IMDB,"Joanna Kulig, Steven Brand, Tom Ainsley, Andrea Tivadar, Nicolas Navazo, Patrice Nieckowski, Krzysztof Rogowski","A young American couple, Ana and Tom are traveling across France. They don't come from money, so when Richard hires them to work on his estate, it feels like a dream come true. In the following days, the dark secrets of the property and its owner start coming to light. One day Tom makes a discovery, which may be more than he can handle. Ana is forced to accept the truth, which will change her forever. Because the worst part isn't the dream itself. It's waking up.",['102'],"Luxembourg, Poland",English,,4.8,7373818
