Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Woh Main Nahin,1974,"Mystery, Thriller",Mohan Segal,Nothing from IMDB,"Navin Nischol, Rekha, Padmini Kapila, Asha Sachdev, Nazneen, Sofia, Rakesh Pandey, Manher Desai, Meena Rai, Narendranath Malhotra","The story is symbolic ,as to how marriages are being misused in India since 1938,whence even the independence of India stands threatened and that is why the movie was released in 1974.The 1947 ""Tryst with Destiny"",stands reverted due to men doing second marriages on the sly and previously in 1757 too the country's independence was taken away by attacking its economy,its women and its religion.Rekha plays an heiress and Navin Nischol ,the forest conservator with the tribals.The movie is of the suspense genre where Nahin Nischal is accused by various women of marrying them and leaving them in the lurch and Navin asserting his innocence.Wbat actually happened is revealed in the end.A good suspense thriller.",['142'],India,Hindi,,7.2,368444
Yaara Silly Silly,2015,Romance,Subhash Sehgal,Rajeev Yogendranath,"Parambrata Chattopadhyay, Paoli Dam, Eva Grover, Vidya Malvade, Parth Suri",,['108'],India,Hindi,,5.5,5052972
Yaarana,1981,"Action, Comedy, Drama, Musical",Rakesh Kumar,Nothing from IMDB,"Amitabh Bachchan, Neetu Singh, Tanuja Samarth, Aruna Irani, Jeevan Dhar, Kader Khan, Ranjeet Bedi, Amjad Khan, Sulochana Latkar, Anwar Hussain","Multi-millionaire Bishan Kumar and orphan Kishan are inseparable friends and live in the same house with Bishan's widowed mother and a maid servant. Bishan's father was responsible for the sentence of his uncle who has a criminal background; after completing his sentence Bishan's uncle pleads with his mother who forgives and accepts him and his son, Jagdish to live in the house together with them. While Kishan is a hardworking farmer who cultivates a plot of land Bishan goes abroad to further his education. Years later Bishan return as an adult only to renew his friendship with Kishan who is also an adult; Bishan then finds that Kishan has a golden voice which cannot be recognize in the village but can be heart rendering in the world of music in the city. Meanwhile Kishan is introduced to Bishan's wife, Sheela and son, Munna. Bishan decides to make all arrangements to take Kishan to the city; at first he refuses but later on agrees when Bishan convinces him. In the city Kishan gets to perform in his first singing concert which turns out to be a success rendering Kishan as an over-night star; his life changes when he gets to learn that Bishan's uncle and his son, Jagdish has embezzled all the family's assets and money, his wife and son is no longer with him and he had borrowed huge sums of money to fund him as a star. Kishan then decides he will use his musical talents to fund back his friend thus stabling him back to square one but unfortunately Bishan is hold as a hostage by his uncle and Jagdish on a yacht he once owned and is forced into confessing that he had a hand in abducting numerous school children. When Kishan gets word about this it stresses him into being a mentally unfit patient who is admitted to a mental asylum.",['138'],India,Hindi,,7.0,83349
Yalgaar,1992,"Action, Drama, Thriller",Feroz Khan,Nothing from IMDB,"Feroz Khan, Sanjay Dutt, Kabir Bedi, Manisha Koirala, Nagma, Mukesh Khanna, Vicky Arora, Vishwajeet Pradhan, Deepti Naval, Manjeet Kular","Childhood friends became enemies when one Mahendra Ashwini Kumar grows up to be Additional Police Commissioner and the other Raj Pratap Singhal becomes a smuggler. Mahendra have two sons who are also police officers namely Rajesh and Brajesh while on the other hand Singhal is also christened with two sons Vishal who helps develop his dad's business and Vicky who takes up employment in a garage. When Brajesh is killed by one of Mahendra's henchman; Rajesh swears to avenge the death of his brother even if having to take the law into his own hands. After Brajesh's death he leaves behind his widowed wife, Kaushalya and a young daughter, Meghna. On a chance encounter with both Meghna and Vicky both fall in love and the Kumars approve of Vicky as there future son in law unaware of his family background. And then Mahendra is given the post as police Commissioner; unable to bear this Singhal sets up another of his henchman to have Mahendra killed. To escape from the police and public officials Singhal and his family migrates to Dubai further escalating the blood shed between both the families that might continue for years.",['192'],India,Hindi,,5.5,105866
Yaraana,1995,"Drama, Romance, Thriller",David Dhawan,Nothing from IMDB,"Rishi Kapoor, Madhuri Dixit, Raj Babbar, Kader Khan, Shakti Kapoor, Anil Dhawan, Tej Sapru, Satish Kaul, Vikas Anand, Brij Gopal","Lalita (Madhuri Dixit) catches the eye of J.B. (Raj Babbar) and he immediately falls in love with her and decides he must marry her. He bribes Lalita's uncle Madanlal (Tej Sapru) into convincing Lalita to marry him. However, Lalita refuses and J.B. kidnaps her and forces her to marry him. One fateful night, Lalita manages to escape and she meets Raj (Rishi Kapoor) whose family consists of an olderly grandfather (Kader Khan) who dotes on him and wants him to get married at any cost. Raj and Lalita fall in love with each other and his grandfather also approves of Lalita. Raj and Lalita are about to get married. However, J.B. grows wise of Lalita's whereabouts and in no time he tracks her down. J.B. reveals to Raj and his grandfather about Lalita's true identity which was just one side of a coin. J.B. forcibly takes Lalita with him and Lalita agrees to stay with him forever to save her chastity and honour. But will she be able to live with an overpowering and cruel man like J.B.? Will Raj ever be able to find out the truth about Lalita's past?",['125'],India,Hindi,,4.2,115009
Yeh Jawaani Hai Deewani,2013,"Comedy, Drama, Musical, Romance",Ayan Mukerji,Nothing from IMDB,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin, Kunaal Roy Kapur, Madhuri Dixit, Farooq Shaikh, Aanoushka, Kamal Adib, Dolly Ahluwalia","Yeh Jawaani Hai Deewani is the story of the relationship between two characters, Bunny (Ranbir Kapoor) & Naina (Deepika Padukone), at two separate but defining times in their lives... first, when they are just out of college and standing on the crossroads of multiple decisions that will shape who and what they become... and then later on, in their late-twenties when they meet again, holding on to certain fulfilled and certain unfulfilled dreams, at a crossroads of another nature this time... how these two characters affect, change, befriend and eventually fall in love with each other is the journey the film aspires to take us on..",['160'],India,"Hindi, English, French",,7.2,2178470
Yeh Vaada Raha,1982,"Romance, Musical, Drama",Kapil Kapoor,Nothing from IMDB,"Rishi Kapoor, Tina Ambani, Poonam Dhillon, Rakhee Gulzar, Shammi Kapoor, Rakesh Bedi, Sarika Thakur, Gulshan Bawra, Agha, Iftekhar",Sunita is a radio singer while on vacation in Kashmir Vikram deeply falls in love with and proposes her which she eventually accepts.Vikram introduces Sunita to her mother Sharda Rai Bahadur whose business is her priority she denies their relationship as Sunita is an orphan and from poor family.Vikram and Sunita then decide to marry in a temple they travel in a car along with their friend Gogi.They meet with major accident Vikram is hurt badly and hospitalized while Gogi gets minor injuries but Sunita's face gets completely damaged due to piercing of glass pieces.Sharda tells Sunita to stay away from Vikram as he wont be able to live with her ugly face.Vikram gains conciseness and is told by his mother that Sunita is dead.Meanwhile Sunita is transferred to hospital of Dr Mehra who reconstructs her face she is to to excited to meet Vikram and finds that her face has completely changed and he wont recognize her.,['138'],India,Hindi,,7.3,397742
Youngistaan,2014,"Drama, Romance",Syed Ahmad Afzal,"Ramiz Ilham Khan, Syed Ahmad Afzal, Maitrey Bajpai","Jackky Bhagnani, Neha Sharma, Farooq Shaikh, Boman Irani, Kayoze Irani, Mita Vashisht, Parag Chhapekar, Kumkum Jain, Vanya Joshi, Brijendra Kala","Abhimanyu Kaul - a young, independent, Games Developer, living in Japan and the love of his life, Anwita Chauhan - a bubbly, passionate and full of life, summer intern. Their happy and content life faces the test of time, when blood ties and the pressure of being born into the first family of India tears a young Abhimanyu between his love for Anwita and a promise made to his dying father, the Prime Minister of India. Being a public figure, by reluctantly accepting to represent the governing party, much against his own wishes and at the cost of his private life, is a double-edged sword that Abhimanyu must walk on.",['133'],India,Hindi,,5.2,3514330
What If?,2006,Drama,Naseeruddin Shah,Uttam Gada,"Paresh Rawal, Irrfan Khan, Jimmy Shergill, Konkona Sen Sharma, Ratna Pathak Shah, Suhasini Mulay, Ankur Khanna, Ayesha Takia, Karan Khanna, Tinnu Anand","The Visa papers have arrived for stock broker, Salim Rajabali, and he is scheduled to leave in less than a week. Then everything goes wrong when he and his brother, Javed, inadvertently implicate themselves in the murder of Deputy Commissioner of Police Paul, and Salim must flee immediately to the U.S. albeit with a heavy heart, after also being betrayed by his lover, Namrata. Following his departure the following too get ready to leave for the U.S., Rajubhai Patel along with Payal, the daughter Tara V. Gandhi, who is now fated to live with an alcoholic husband and minor acting roles in Bollywood movies; Brilliant student Rahul Bhide who lives with his aged dad, in a dilapidated house, finds his future looking brighter when his dad passes away; Tilotamma Das who met and married Hemant Punj is now awaiting the arrival of her visa, when she finds she cannot take any more from her pushy mother-in-law. All of them try to reach America.",['115'],India,Hindi,,6.4,470614
Yuva,2004,"Action, Drama, Thriller",Mani Ratnam,Nothing from IMDB,"Ajay Devgn, Abhishek Bachchan, Rani Mukerji, Vivek Oberoi, Kareena Kapoor, Esha Deol, Om Puri, Sonu Sood, Anant Nag, Vijay Raaz","Michael (Ajay Devgan) , Arjun (Vivek Oberoi) and Lallan (Abhishek Bachchan) are three young men in Kolkata , with different ideals and objectives . Michael is an idealistic youth leader who dreams of a better India being created by the youth power . Arjun is a self-centered , opportunistic , easygoing fellow whose objective is to immigrate to a developed country and make big money . Lallan is a goon who works for Prosenjit Chatterjee (Om Puri) , an immoral politician . The lives of these three different people become intertwined following a murder attempt and an accident in broad daylight on the Hooghly bridge .",['161'],India,"Hindi, Bangla",,7.3,382383
