Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Fast & Furious Presents: Hobbs & Shaw,2019,"Action, Adventure, Thriller",David Leitch,Nothing from IMDB,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby, Helen Mirren, Eiza González, Eddie Marsan, Eliana Sua, Cliff Curtis, Lori Pelenise Tuisano",,['137'],"United States, Japan","English, Samoan, Russian",,6.5,6806448
Hollywood Sex Wars,2011,Comedy,Paul Sapiano,Paul Sapiano,"Mario Diaz, Eli Jane, Jenae Altschwager, Dominique Purdy, Jacqui Holland, Suzy Kaye, Christine Nguyen, Richard Blair, Carmen Palumbo, Nicholas Mongiardo-Cooper","Max (Dominique Purdy), Aaron (Richard Blair) and Glen (Nicholas Cooper) have a track record littered with strike-outs and misfit hook-ups. The boys embark on a mission to up their hot babe batting average. They meet Hollywood Casanova Johnny Eyelash (Mario Diaz) who teaches these boys the game of scoring A-list arm candy. But there is one problem, the girls are organized, cunning and have an agenda of their own. Its not long before the girls, led by Big Wendy (Jenae Alt) and Little Wendy (Eli Jane) pick up on Johnny's tactics and Hollywood becomes one big booby trap.",['106'],United States,English,,3.2,1764366
Home Sweet Hell,2015,"Comedy, Crime, Thriller",Anthony Burns,"Carlo Allen, Ted Elrick, Tom Lavagnino","Katherine Heigl, Patrick Wilson, Madison Wolfe, Aiden Flowers, Jim Belushi, Jordana Brewster, Heath Freeman, A.J. Buckley, Kevin McKidd, Artie Baxter","Don Champagne seems to have it all: a successful business, a perfect house, perfect kids and a perfect wife. Unfortunately, when his wife, Mona (Katherine Heigl), learns of Don's affair with a pretty new salesgirl (Jordana Brewster), this suburban slice of heaven spirals out of control. Don soon realizes that Mona will stop at nothing, including murder, to maintain their storybook life where ""perception is everything"".",['98'],United States,"English, French",,5.5,2802136
Homefront,2013,"Action, Crime, Thriller",Gary Fleder,Nothing from IMDB,"Jason Statham, James Franco, Izabela Vidovic, Kate Bosworth, Marcus Hester, Clancy Brown, Winona Ryder, Omar Benson Miller, Rachelle Lefevre, Frank Grillo","Phil Broker is a former DEA agent who has gone through a crisis after his actions against a biker gang went horribly wrong ,and it cost the life of his boss's son. He is recently widowed and is left with a 9 year old daughter, Maddy. He decides to quit the turbulent and demanding life of the DEA for Maddy's sake and retires to a small town. His daughter fights off a boy who is bullying her at school, and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter, and he is ready to pay any cost that it demands.",['100'],United States,English,,6.5,2312718
Honest Thief,2020,"Action, Thriller",Mark Williams,Nothing from IMDB,"Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan, Anthony Ramos, Robert Patrick, Tazzie, Jasmine Cephas Jones, Devon Diep, Herlín Areniello","They call him the In-and-Out-Bandit because meticulous thief Tom Carter (Liam Neeson) has stolen $9 million from small-town banks while managing to keep his identity a secret. But when he falls in love with bubbly Annie (Kate Walsh), Tom decides to make a fresh start by coming clean about his criminal past, only to be double-crossed by two ruthless FBI agents.",['99'],United States,"English, Spanish, German",,6.0,1838556
Honey 2,2011,"Comedy, Drama, Music",Bille Woodruff,Nothing from IMDB,"Gee Alexander, Gerry Bednob, Aaron Benjamin, Ariana Berlin, Luke Broadlick, Kimberly Brooks, Kelly Connolly, Justin Deanda, Seychelle Gabriel, Laurieann Gibson",,['110'],United States,English,,5.2,1657283
Honey,2003,"Drama, Music, Romance",Bille Woodruff,"Alonzo Brown, Kim Watson","Jessica Alba, Mekhi Phifer, Romeo Miller, Joy Bryant, David Moscow, Lonette McKee, Zachary Isaiah Williams, Christian Monzon, Al Shearer, Jull Weber","Honey Daniels is a 22-year-old, sexy, tough-minded, part-black, part-Latina hip-hop dancer in New York's East Harlem who dreams of making it big as a music video choreographer. She teaches hip-hop dancing at a local youth center and encourages the local kids to attend to keep them off the streets and out of trouble. When luck shines on Honey in the form of a famous music video director, named Michael, who casts her in one music video, she's encouraged to make the transition from dancer to choreographer. But Honey's sudden success comes with a price when Michael refuses to take ""no"" for an answer to his sexual advances and then tries to sabotage her career by blackballing her out of the business.",['94'],United States,English,,5.3,322589
Honey,2003,"Drama, Music, Romance",Bille Woodruff,"Alonzo Brown, Kim Watson","Jessica Alba, Mekhi Phifer, Romeo Miller, Joy Bryant, David Moscow, Lonette McKee, Zachary Isaiah Williams, Christian Monzon, Al Shearer, Jull Weber","Honey Daniels is a 22-year-old, sexy, tough-minded, part-black, part-Latina hip-hop dancer in New York's East Harlem who dreams of making it big as a music video choreographer. She teaches hip-hop dancing at a local youth center and encourages the local kids to attend to keep them off the streets and out of trouble. When luck shines on Honey in the form of a famous music video director, named Michael, who casts her in one music video, she's encouraged to make the transition from dancer to choreographer. But Honey's sudden success comes with a price when Michael refuses to take ""no"" for an answer to his sexual advances and then tries to sabotage her career by blackballing her out of the business.",['94'],United States,English,,5.3,322589
Honey,2003,"Drama, Music, Romance",Bille Woodruff,"Alonzo Brown, Kim Watson","Jessica Alba, Mekhi Phifer, Romeo Miller, Joy Bryant, David Moscow, Lonette McKee, Zachary Isaiah Williams, Christian Monzon, Al Shearer, Jull Weber","Honey Daniels is a 22-year-old, sexy, tough-minded, part-black, part-Latina hip-hop dancer in New York's East Harlem who dreams of making it big as a music video choreographer. She teaches hip-hop dancing at a local youth center and encourages the local kids to attend to keep them off the streets and out of trouble. When luck shines on Honey in the form of a famous music video director, named Michael, who casts her in one music video, she's encouraged to make the transition from dancer to choreographer. But Honey's sudden success comes with a price when Michael refuses to take ""no"" for an answer to his sexual advances and then tries to sabotage her career by blackballing her out of the business.",['94'],United States,English,,5.3,322589
Honey,2003,"Drama, Music, Romance",Bille Woodruff,"Alonzo Brown, Kim Watson","Jessica Alba, Mekhi Phifer, Romeo Miller, Joy Bryant, David Moscow, Lonette McKee, Zachary Isaiah Williams, Christian Monzon, Al Shearer, Jull Weber","Honey Daniels is a 22-year-old, sexy, tough-minded, part-black, part-Latina hip-hop dancer in New York's East Harlem who dreams of making it big as a music video choreographer. She teaches hip-hop dancing at a local youth center and encourages the local kids to attend to keep them off the streets and out of trouble. When luck shines on Honey in the form of a famous music video director, named Michael, who casts her in one music video, she's encouraged to make the transition from dancer to choreographer. But Honey's sudden success comes with a price when Michael refuses to take ""no"" for an answer to his sexual advances and then tries to sabotage her career by blackballing her out of the business.",['94'],United States,English,,5.3,322589
