Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Kabhi Haan Kabhi Naa,1994,"Comedy, Drama, Music, Musical, Romance",Kundan Shah,Nothing from IMDB,"Shah Rukh Khan, Suchitra Krishnamoorthi, Deepak Tijori, Rita Bhaduri, Satish Shah, Anjan Srivastav, Goga Kapoor, Tiku Talsania, Ravi Baswani, Naseeruddin Shah",Sunil and some of his friends start a band and perform at weddings and special occasions. Sunil is in love with Aana but Aana loves Chris; when Sunil finds out about this he decides to utilize the best of his powers to prevent the couple from meeting only to stand exposed in the eyes of Aana who throws him out from the music band. He finds an opportunity coming his way when Chris' parents arrange his marriage elsewhere but another calamity occurs when when Chris finds out that he failed his exam forcing him to forge a certificate which states that he is successful at the exam in the eyes of his parents.,['158'],India,"Hindi, English",,7.6,110222
Kabhi Khushi Kabhie Gham...,2001,"Drama, Musical, Romance",Karan Johar,Nothing from IMDB,"Amitabh Bachchan, Jaya Bachchan, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor, Farida Jalal, Jibraan Khan, Rani Mukerji, Alok Nath","Yashvardhan Raichand lives a very wealthy lifestyle along with his wife, Nandini, and two sons, Rahul and Rohan. While Rahul has been adopted, Yashvardhan and Nandini treat him as their own. When their sons mature, they start to look for suitable brides for Rahul, and decide to get him married to a young woman named Naina. When Rahul is told about this, he tells them that he loves another woman by the name of Anjali Sharma. Yashvardhan decides to meet with the Sharma family, and finds out that they are middle-classed, unsophisticated, and will not be able to it into his family circle, as a result he refuses to permit Rahul to marry Anjali. A defiant Rahul decides to leave, gets married to Anjali, without his foster parents blessings, and re-locates to London, England, where Anjali's unmarried sister, Pooja, also lives. Rohan, who was studying in a hostel, returns home to find that Rahul is no longer living with them, and he also discovers that while outwardly his dad is not interested in seeing Rahul get back, Nandini wants the family back all together for all happy and sad moments. Rohan also misses Rahul a lot, and decides to travel to London in order to try and get Rahul to return home. Yashvardhan, is unable to prevent this, and as a result Rohan does travel to London, meets with Rahul, Anjali, and Pooja. Will the hurt and sorrow that Rahul experienced with his foster parents be erased and enable the family to be reunited, or will Rahul forget about the past, and continue to live his life without getting back to his roots and the family who brought him up, leaving Rohan to return alone?",['210'],"India, United Kingdom","Hindi, English, Punjabi, Urdu",,7.4,248126
Kabir Singh,2019,"Action, Drama, Romance",Sandeep Reddy Vanga,Nothing from IMDB,"Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar, Arjan Bajwa, Suresh Oberoi, Kamini Kaushal, Adil Hussain, Amit Sharma, Anurag Arora",This Sandeep Vanga directorial is a remake of the 2017 Telugu movie Arjun Reddy. The plot revolves around an alcoholic surgeon battling temper issues. Things get worse as he watches the love of his life marry another man. High on emotions coupled with impressive action the film promises an intense watch.,['173'],India,Hindi,,7.0,8983202
To Catch the Kaidash,2020,"Comedy, Drama",Nothing from IMDB,Natalya Vorozhbit,"Irina Mak, Viktor Zhdanov, Taras Tsimbalyuk, Antonina Khyzhnyak, Hryhorii Baklanov, Daryna Fedyna, Yuliya Vrublevska, Roman Yasinovskiy, Khrystyna Fedorak, Liubov Koliesnikova","The events unfold in a remote Ukrainian village, where the Kaidash family lives, led by Omelko, who is addicted to alcohol. His wife Marusya is concerned about the future of their two adult sons, who are looking for suitable brides. In the center of the plot is the confrontation between Marusya Kaydash and young daughters-in-law, with whom she tries to get along under the same roof. The plot of the TV series is based on the social novella Kaidash's Family by Ivan Nechuy-Levytskyi.",['47'],Ukraine,Ukrainian,,8.9,12115998
Kahaani,2012,"Mystery, Thriller",Sujoy Ghosh,Nothing from IMDB,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui, Dhritiman Chatterjee, Saswata Chatterjee, Darshan Jariwala, Sk. Azad Ahmed, Masood Akhtar, Mohd. Faiz Alam","Kolkata is abuzz with the preparations for the annual Durga Puja festival, as seven months pregnant Vidya Bagchi steps off the airplane from London. Her first stop is the local police station to file a missing person report. Weeks ago, her husband Arnab arrived in India for a job assignment. The first two weeks, they talked daily on the phone, and then without explanation, his calls stopped. Everywhere Vidya turns, no one can remember Arnab. There is no trace of him at the guest house or his workplace. But Vidya will not give up her search. Somewhere in Kolkata she will discover the dangerous truth.",['122'],India,Hindi,,8.1,1821480
Kahaani 2,2016,"Mystery, Thriller",Sujoy Ghosh,Nothing from IMDB,"Vidya Balan, Arjun Rampal, Jugal Hansraj, Kharaj Mukherjee, Tota Roy Chowdhury, Naisha Khanna, Tunisha Sharma, Manini Chadha, Amba Sanyal, Gargi Bharadwaj","Vidya Sinha and her daughter Mini live peacefully in the sleepy town of Chandan Nagore. Vidya's life revolves around Mini. Her greatest joys are the little things she does with her daughter, like playing little games and going for walks. However, life has other plans: Mini is kidnapped and while trying to locate her daughter, Vidya is in an accident and goes into a coma. As Inspector Inderjeet investigates the car accident, he discovers that Vidya Sinha may not be all she appears. She has a dark past linking her to Durga Rani Singh - a wanted criminal on the run for kidnapping and murder.",['127'],India,Hindi,,6.6,5477608
Kai Po Che,2013,"Drama, Sport",Abhishek Kapoor,Nothing from IMDB,"Sushant Singh Rajput, Rajkummar Rao, Amit Sadh, Amrita Puri, Digvijay Deshmukh, Asif Basra, Manav Kaul, Ashish Kakkad, Muni Jha, Morli Patel","The story goes around the three friends who start a business, also providing coaching classes and tuition. Omi asks for help with his uncle, who is also a political leader, to start this business. Govind provides tuition classes to some children and Ishaan gives cricket coaching. They come to meet a boy, Ali who is gifted with hyper-reflex. Ishaan then starts special coaching for the boy so that the country gets a new star player. But unexpected things happen suddenly and the story takes a turn.",['130'],India,Hindi,,7.8,2213054
Kajarya,2013,Drama,"Madhureeta Anand, Madhureeta Anand",Nothing from IMDB,"Meenu Hooda, Ridhima Sud, Kuldeep Ruhil, Shashi Bhushan, Karishma Mathur, Sudheer Chobessy, Nasir Ali, Manoj Bakshi, Tanaji Dasgupta, Sudhanva Deshpande","Set in the present times against two backdrops, New Delhi with its shining buildings and apparent cosmopolitan veneer, thinly veils an underbelly of crimes against women and corruption at all levels. And a small village just 80 kilometers from New Delhi that is stuck in a time warp. Kajarya a woman in her early thirties has a strange but important place in the village social structure; she murders unwanted girl infants in the garb of religion. Meera is a rookie reporter. She breezes into the village and the villagers feed her the story of Kajarya being a demonic baby killer. The story is juicy and one sided. Meera gets the front page of the newspaper. Kajarya goes to jail.",['132'],India,Hindi,,6.4,3261022
Kalicharan,1976,"Action, Adventure, Crime, Drama, Thriller",Subhash Ghai,Nothing from IMDB,"Shatrughan Sinha, Reena Roy, Ajit Khan, Premnath Malhotra, Danny Denzongpa, Helen, Madan Puri, David Abraham, Krishan Dhawan, Leela Mishra",,['143'],India,Hindi,,6.7,214832
Kamasutra 3D,2013,"Drama, Romance",Rupesh Paul,Nothing from IMDB,"Mohan Kapur, Makrand Deshpande, Abha Paul, Sushmita Mukherjee, Mohit Keswani, Milind Gunaji, Kristna Saikia, Salim Kumar, Amit Behl, Kristna Saikia",,['110'],"United States, India","Hindi, English",,5.9,2527238
