Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
End of Watch,2012,"Action, Crime, Drama, Thriller",David Ayer,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn","In South Central Los Angeles, street cops Brian and Mike are partners - balls-out cowboys patrolling the streets as Latino gangs are in a power struggle with Blacks. Brian and Mike get lucky a couple of times, making big drug and human-trafficking busts, so a Mexican cartel orders their deaths. We meet Mike's pregnant wife (whom he married out of high school) and watch Brian's search for a soul mate. There are internal squabbles within the ranks of the LAPD and lots of squad-car conversation. Can the lads escape the cartel's murderous reach?",['109'],United States,"English, Spanish",,7.6,1855199
Avengers: Endgame,2019,"Action, Adventure, Drama, Sci-Fi","Anthony Russo, Joe Russo",Nothing from IMDB,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Benedict Cumberbatch, Chadwick Boseman","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos's actions and undo the chaos to the universe, no matter what consequences may be in store, and no matter who they face...",['181'],United States,"English, Japanese, Xhosa, German",,8.4,4154796
Enemy of the State,1998,"Action, Thriller",Tony Scott,David Marconi,"Will Smith, Gene Hackman, Jon Voight, Lisa Bonet, Regina King, Stuart Wilson, Laura Cayouette, Loren Dean, Barry Pepper, Ian Hart","Robert Clayton Dean (Will Smith) is a mild-mannered lawyer who works in Washington, D.C. He is on the trail of a kingpin named Paulie Pintero (Tom Sizemore). Meanwhile, a politician named Thomas Brian Reynolds (Jon Voight) is negotiating with Representative Phillip Hammersley (Jason Robards, Jr.) about a new surveillance system with satellites. But, Hammersley declines; Reynolds has Hammersley killed, but the murder is caught on tape, and the taper is chased by Reynolds' team of N.S.A. Agents. The guy must ditch the tape, so he plants it on Dean (unbeknownst to Dean). Then, the N.S.A. decides to get into Dean's life. That is when Dean's life began to fall apart all around him, with his wife and job both gone. Dean wants to find out what is going on. Then, he meets a man named ""Brill"" (Gene Hackman), who tells him that Dean has something that the government wants. Dean and Brill formulate a plan to get Dean's life back and turn the tables on Reynolds.",['132'],United States,"English, Spanish",,7.3,120660
Enter the Dangerous Mind,2013,Thriller,"Youssef Delara, Victor Teran",Victor Teran,"Jake Hoffman, Thomas Dekker, Scott Bakula, Nikki Reed, Ruby Wendell, Daniel Edward Mora, J.J. Soria, Gina Rodriguez, Nadine Wendell, John Earl Jelks","A reclusive American composer with an online following has a tentative romance with a beautiful social worker. This offers a glimmer of hope, but his mind fractures as the voices in his head grow louder and more destructive.",['88'],United States,English,,5.1,2229377
Entourage,2015,"Comedy, Drama",Doug Ellin,Nothing from IMDB,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara, Jeremy Piven, Emmanuelle Chriqui, Perrey Reeves, Rex Lee, Debi Mazar, Rhys Coiro","This movie picks up where the TV show ended. Vincent Chase is offered a role by his former agent now Studio boss Ari Gold in a movie he is developing. Vincent agrees on the condition that he be allowed to direct the movie also. Nearly a year later, Vince is uncertain if the movie is ready, so he asks Ari for money to finish the movie. But Vincent has asked for money more than once already and Ari's bosses are not happy of how much they're spending. But he goes to their backer to ask for more money and he wants to see what Vince has shot so far but Vince won't let anyone see it yet. But he's planning a screening, and asks the backer to come to L.A. with him but he can't so he sends his son instead. At the screening Vince decides not to show it. But gives out DVDS. The son after watching the movie, says he has issues with Drama, Vince's brother who has a small role in the movie. Vince is unwilling to drop him. When they appease the son, he then says he has issues with Vince. So as they try to fix the situation, Ari's catching heat both professionally and personally. And Vincent's friend, E who is expecting a baby with his ex Sloane, is trying to decide if he wants to get back with her.",['104'],United States,English,,6.5,1674771
Epic,2013,"Animation, Action, Adventure, Family, Fantasy, Mystery",Chris Wedge,Nothing from IMDB,"Blake Anderson, Aziz Ansari, Allison Bills, Jim Conroy, Todd Cummings, John DiMaggio, Troy Evans, Colin Farrell, Jason Fricchione, Judah Friedlander","Young Mary Katherine (M.K.) returns to her eccentric scientist father's home, but his all-consuming quest to discover a tiny civilization in the neighboring forest drives them apart. However, M.K. soon finds herself shrunken down by Queen Tara of that forest who was mortally wounded by the putrefying Boggans, and charged to deliver a pod bearing the new Queen to safety. Together with a veteran Leafman warrior, two goofy mollusks and a young maverick, M.K. agrees to help. As the villainous Boggan leader Mandrake closes in, M.K. and her new friends must draw on the best of themselves together and discover what they have to save their world.",['102'],"United States, United Kingdom","English, Russian, Ukrainian",,6.6,848537
Equilibrium,2002,"Action, Drama, Sci-Fi, Thriller",Kurt Wimmer,Kurt Wimmer,"Dominic Purcell, Christian Bale, Sean Bean, Christian Kahrmann, John Keogh, Sean Pertwee, William Fichtner, Angus Macfadyen, David Barrash, Dirk Martens","In a futuristic world, a strict regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and feeling is a crime punishable by death. Cleric John Preston (Bale) is a top ranking government agent responsible for destroying those who resist the rules. When he misses a dose of Prozium, a mind-altering drug that hinders emotion, Preston, who has been trained to enforce the strict laws of the new regime, suddenly becomes the only person capable of overthrowing it.",['107'],United States,English,,7.3,238380
Erased,2012,"Action, Thriller",Philipp Stölzl,Arash Amel,"Aaron Eckhart, Liana Liberato, Olga Kurylenko, Garrick Hagon, Eric Godon, Yassine Fadel, Neil Napier, David Bark-Jones, Alexander Fehling, Nick Alachiotis","The expatriate and widower Ben Logan has moved from New York to Antwerp with his estranged teenage daughter Amy Logan to work for the technology corporation Halgate Group. When he breaks a sophisticated security code from a device, he notes that its patent has no record in Halgate and he calls the attention of his boss Derek Kohler. Ben meets Amy and they do not go home; later Ben goes with Amy to his office and they find it completely empty. Further, all the records of his phone calls, e-mails, payslip and bank account have vanished. Out of the blue, a coworker abducts Ben and Amy in the bank but Ben kills him in self-defense. Ben finds a key from a locker in the Central Station and he finds photos of his daughter, himself and his coworkers. His further investigation shows that all the workers are dead in the morgue except Derek Kohler. Soon Ben discovers a huge conspiracy of Halgate Group relative to illegal arms sales to Africa with the involvement of rogue CIA agents. But Ben is in disgrace with the Agency and does not have any reliable contact to recur.",['100'],"United States, Canada, Belgium, United Kingdom",English,,6.0,1645155
Escape Plan 2: Hades,2018,"Action, Crime, Mystery, Sci-Fi, Thriller",Steven C. Miller,Nothing from IMDB,"Sylvester Stallone, Dave Bautista, Xiaoming Huang, Jesse Metcalfe, 50 Cent, Wes Chatham, Chen Tang, Tyron Woodley, Tyler Jon Olson, Titus Welliver","Ray Breslin manages an elite team of security specialists trained in the art of breaking people out of the world's most impenetrable prisons. When his most trusted operative, Shu Ren, is kidnapped and disappears inside the most elaborate prison ever built, entirely computerized and constantly changing shape, Ray must track him down with the help of some of his former friends.",['96'],"China, United States","English, Chinese, Arabic",,3.9,6513656
Escape from Alcatraz,1979,"Action, Biography, Crime, Drama, Thriller",Don Siegel,Nothing from IMDB,"Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau, Fred Ward, Paul Benjamin, Larry Hankin, Bruce M. Fischer, Frank Ronzio, Fred Stuthman","The true story of three inmates who attempt a daring escape from the infamous prison, Alcatraz Island. Although no one had managed to escape before, bank robber Frank Morris (Clint Eastwood) masterminded this elaborately detailed, and, as far as anyone knows, ultimately successful, escape. In twenty-nine years, this seemingly impenetrable federal penitentiary, which housed Al Capone and ""Birdman"" Robert Stroud, was only broken once by three inmates who were never heard of again.",['112'],United States,English,,7.6,79116
