Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Hum Aapke Hain Koun...!,1994,"Comedy, Drama, Musical, Romance",Sooraj R. Barjatya,Nothing from IMDB,"Madhuri Dixit, Salman Khan, Mohnish Behl, Renuka Shahane, Alok Nath, Anupam Kher, Reema Lagoo, Bindu Desai, Ajit Vachani, Satish Shah","Prem, a top student, is learning the ropes of business under his elder brother Rajesh and his uncle Kailashnath, a big industrialist. In another town, Nisha is studying computer science and is the darling of her elder sister, Pooja, and her parents, Professor Choudhry and Kamladevi. Fate brings the two families together and this results in the the betrothal of Rajesh and Pooja. At the wedding, Prem meets Nisha and falls in love with this carefree woman. With Pooja as the woman of the house, joy knows no bounds in Prem's family. Months pass by and Pooja becomes pregnant. Nisha is invited to come and stay with her sister and attend the traditional function before the child's birth. Nisha's arrival is like a dream come true for Prem. Nisha stays there until the birth of the child, taking over the household chores, and becoming very much a part of the family. In soft whispers, Prem and Nisha commit their love for each other and secretly dream of spending a lifetime together. Then fate strikes a cruel blow when Pooja dies after a sudden fall down a flight of stairs. Because of this tragedy, life in the house comes to a standstill. Rajesh worries about the future of his motherless child, and it causes his health to deteriorate. Nisha's father suggests that Nisha should get married to Rajesh and become the mother of Pooja's child. Prem and Nisha decide to sacrifice their love for the sake of the family. Fate intervenes once again when Rajesh comes to know the truth behind Prem and Nisha's sacrifice. Putting his child into Nisha's arms, Rajesh unites and blesses the two lovers, whose hearts long to belong together.",['206'],India,Hindi,,7.5,110076
Hum Tum Pe Marte Hain,1999,"Action, Comedy, Drama, Romance",Nabh Kumar 'Raju',Nabh Kumar 'Raju',"Govinda, Urmila Matondkar, Dimple Kapadia, Paresh Rawal, Nirmal Pandey, Himani Shivpuri, Johny Lever, Gulshan Grover, Swastika, Master Harsha","Devyani is a woman's activist, and a social worker, living in Bombay for several years. She has a younger sister, Radhika, who is of marriage age. Devyani would prefer Radhika be independent, financially and otherwise, rather than be dependent on a male. When Rahul Kumar comes to live in the neighborhood, he is instantly attracted to Radhika, but has to prove himself to her sister first.",['165'],India,Hindi,,5.0,226786
Hungama,2003,"Comedy, Drama, Romance",Priyadarshan,Nothing from IMDB,"Akshaye Khanna, Aftab Shivdasani, Rimi Sen, Paresh Rawal, Shoma Anand, Shakti Kapoor, Rajpal Naurang Yadav, Tiku Talsania, Upasana Singh, Sanjay Narvekar","The story of a bunch of misfits whose misconception about each others backgrounds end up in a series of chaotic, yet comic outcomes. Aftab and Rimi play two strangers who have to pretend that are a married couple in order to get a place to live. Paresh Rawal plays a rich, yet ground to earth businessman whose business is named after his wife Anjali. Akshaye Khanna plays a young man starting a new business in electronic ware. Things get complicated when Rimi Sen goes to Paresh Rawal's house in search of a job & meets Akshaye Khanna who falls in love with her thinking she is Paresh Rawal's daughter. Paresh Rawal's wife thinks that he is having an affair with Rimi Sen & while Paresh Rawal thinks his wife is having an affair with Akshaye Khanna due to Rimi Sen and her having the same name. Then comes in Shakti Kapoor whose daughter falls in love with a guy pretending to be Paresh Rawal's son and soon everything gets out of control.",['153'],India,Hindi,,7.6,371735
Hungama 2,2021,"Comedy, Drama, Romance",Priyadarshan,Nothing from IMDB,"Paresh Rawal, Meezaan Jafri, Shilpa Shetty Kundra, Pranitha, Rajpal Naurang Yadav, Johny Lever, Ashutosh Rana, Tiku Talsania, Manoj Joshi, Raman Trikha","Retired Colonel Gobind Kapoor is trying to settle his elder son in his business. His grandchildren have made his life miserable, regularly being suspended from school for their mischief. His younger song Aakash is doing well until a woman named Vaani shows up, kid in tow, claiming to be his wife. Aakash and Vaani were involved during college days but haven't seen each other in a long time, and now he denies all her allegations. Anjali, a close Kapoor family friend, lives with her suspicious husband Radheshyam Tiwari; when Anjali tries to help Aakash prove his innocence, Radheshyam Tiwari suspects Anjali and Aakash of having an affair and Anjali being pregnant by Aakash.",['156'],India,Hindi,,3.2,8983220
Hurdang,2022,"Drama, Romance","Nikhil Nagesh Bhat, Vishal Chaturvedi",Nothing from IMDB,"Sunny Kaushal, Nushrratt Bharuccha, Vijay Varma, Viraj Kapoor, Shivam Mishra, Anupam Mishra, Mahesh Chandra Deva, Nitanshi Goel, Shubhashish Jha, Rakhi Kishore",,['122'],India,Hindi,,5.3,10919304
Dhoom 2,2006,"Action, Crime, Thriller",Sanjay Gadhvi,Nothing from IMDB,"Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra, Bipasha Basu, Rimi Sen, Trishla Baid, Nikio, Railey, Harry","DHOOM:2 reinvents the action comedy genre and propels it into the 21st century. Ali (Uday Chopra) is now ACP Jai Dixit's (Abhishek Bachchan) right hand man. Enter Mr.A (Hrithik Roshan), a high tech international thief whose next target is Mumbai. Once in Mumbai, Mr.A finds his match in Sunehri (Aishwarya Rai), a clever thief. She makes him an offer he finds hard to refuse. And so the game begins.",['152'],"India, South Africa, Brazil","Hindi, Urdu, English, Portuguese",,6.5,441048
Golden Slumber,2018,"Action, Crime, Drama, Thriller",Dong-seok No,Nothing from IMDB,"Gang Dong-won, Kim Eui-sung, Kim Seong-gyoon, Kim Dae-myung, Han Hyo-joo, Yoon Kyesang, So Hee-jung, Ryu Hye-rin, Jun Kim, Eun-yeong Park","Gun-woo (GANG Dong-won) is an honest and hardworking courier who even won a Model Citizen Award for saving a singer from a robbery incident. Out of the blue, his old friend Moo-yeol comes to visit him at work. With just a short moment to enjoy the pleasant surprise, Gun-woo witnesses a bombing incident that kills a presidential candidate right before his eyes. Moo-yeol tells Gun-woo that he is responsible for the bombing and that everyone will come after him as it is the agency's plan to make him the prime suspect. Gun-woo manages to flee from the scene but all evidences, including security camera footages, witness testimonies and fingerprints point toward him as the suspect. He meets former secret agent Mr. Min (KIM Eui-sung), who is an old friend of Moo-yeol and he helps out clear his name. Gun-woo must fight with all his strength to stay alive. However, as he tries to run away, everyone around him is put into dangerous situations, including old friends Dong-kyu (KIM Dae-myeung), Geum-chul (KIM Sung-kyun) and Sun-young (HAN Hyo-joo).",['108'],South Korea,Korean,,5.9,6485776
I Am Kalam,2010,"Comedy, Drama, Family",Nila Madhab Panda,Nothing from IMDB,"Gulshan Grover, Harsh Mayar, Pitobash, Hussan Saad, Beatrice Ordeix, Namrata Dixit, Sanjay Chauhan, Garima Bharadwaj, Keshav Sharma, Meena Mir",The film celebrates the survival of the human spirit against overwhelming odds and highlights the need for underprivileged children's education. Its a film based on former indian president A.P.J. Abdul Kalam and is aimed at inspiring the poor to educate their children.,['88'],India,Hindi,,7.9,1805263
I Am Number Four,2011,"Action, Adventure, Sci-Fi, Thriller",D.J. Caruso,Nothing from IMDB,"Alex Pettyfer, Timothy Olyphant, Teresa Palmer, Dianna Agron, Callan McAuliffe, Kevin Durand, Jake Abel, Jeff Hochendoner, Patrick Sebes, Greg Townley","Extraordinary teen John Smith (Pettyfer) is a fugitive on the run from ruthless enemies sent to destroy him. Changing his identity, moving from town to town with his guardian Henri (Olyphant), John is always the new kid with no ties to his past. In the small Ohio town he now calls home, John encounters unexpected, life-changing events - his first love (Agron), powerful new abilities and a connection to the others who share his incredible destiny.",['111'],"United States, India","English, French",,6.1,1464540
Identity Card,2014,"Comedy, Drama, Sci-Fi, Thriller",Rahhat Shah Kazmi,Nothing from IMDB,"Tia Bajpai, Furqan Merchant, Raghubir Yadav, Saurabh Shukla, Brijendra Kala, Vipin Sharma, Prashantt Guptha, Manini Mishra, Happy Sharma, Shoib Nikash Shah","The story of a journalist from Delhi who happens to go to Kashmir and gets caught by STF forces, how her one day in a specially police cell changes her life. Identity card talks about the history of Kashmir, ideological differences of people... myths about religion, about identity of a common person in a warlike situation... situation of a police person serving his duty, a common man, parents whose children are missing... and at the end, a ray of hope towards the changing scenario of Jammu and Kashmir... a suggestive thought, a solution; rehabilitation of those who have chosen a wrong track. Black humor with a touch of satire at some places and elements of thrill.",['92'],India,Hindi,,6.0,2220828
