Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Stree,2018,"Comedy, Horror",Amar Kaushik,Nothing from IMDB,"Ashish Chhipa, Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi, Aparshakti Khurana, Abhishek Banerjee, Ram Kishan Dhakad, Atul Srivastava, Vijay Raaz, Aakkash Dabhade",Chanderi village is haunted for years by a witch whose called as Stree. She abducts men in dark leaving their clothes behind during the four day annual festival. Vicky young and handsome village tailor disbelief's these stories. He meets an Unnamed women whose in the village every year during the festival. Vicky and the women start getting close to each other. But his friends Jaana and Bitu get suspicious that till date only Vicky has seen the women and believe that she could be Stree.,['128'],India,Hindi,,7.5,8108202
StreetDance 2,2012,"Drama, Music, Romance","Max Giwa, Dania Pasquini",Jane English,"Falk Hentschel, Sofia Boutella, George Sampson, Stephanie Nguyen, Delphine Nguyen, Niek Traa, Elisabetta Di Carlo, Samuel Revell, Kaito Masai, Ali Ramdani","Beaten by his rival Invincible's hip-hop crew and ridiculed as 'Popcorn boy', Ash seeks revenge at the annual international street dance championship in Paris. He travels trough Europe to gather an exceptionally talented crew. In Paris, he meets in her overprotective uncle-guardian Manu's bar and wants Latin dancer Eva. They agree to attempt a fusion with hip-hop, introducing Latin pair dancing, and become lovers. A week before the tournament, Ash gets cold feet, all seems lost.",['85'],"United Kingdom, Germany, Italy",English,,5.6,1718903
Stuck in Love.,2012,"Comedy, Drama, Romance",Josh Boone,Nothing from IMDB,"Greg Kinnear, Jennifer Connelly, Lily Collins, Nat Wolff, Kristen Bell, Logan Lerman, Liana Liberato, Michael Goodwin, Stephen King, Rusty Joiner","Meet the Borgens family. William Borgens is an acclaimed author who hasn't written a word since his ex-wife Erica left him 3 years ago for another man. In between spying on Erica and having casual romps with his married neighbor Tricia, Bill deals with the complexities of raising his teenagers, Samantha and Rusty. Samantha is publishing her first novel and is determined to avoid love at all costs--after all she's seen what it has done to her parents. In between hook-ups she meets ""nice guy"" Lou, who will stop at nothing to win her over. Rusty is an aspiring fantasy writer and Stephen King aficionado who is on a quest to gain 'life experiences'. He falls for beautiful but troubled Kate and gets his first taste of love--and a broken heart. A tale of family, love (lost and found), and how endings can make new beginnings. There are no rewrites in life, only second chances.",['97'],United States,English,,7.2,2205697
The Curse of Styria,2014,"Fantasy, Horror, Mystery, Thriller","Mauricio Chernovetzky, Mark Devendorf",Nothing from IMDB,"Stephen Rea, Eleanor Tomlinson, Julia Pietrucha, Jacek Lenartowicz, Erika Marozsán, Miklós Székely B., Laszlo More, Jules Willcox, Katie Silverman, Dora Bekesi","Lara (Eleanor Tomlinson) and her estranged father, Dr. Hill (Stephen Rea), travel behind the iron curtain to a decrepit castle outside the Hungarian town of Styria. In the nearby woods, Lara witnesses a car crash. Carmilla, (Julia Pietrucha), escapes from the wreckage as a driver attempts to run her over. When Lara hides this beautiful and mysterious stranger in the castle, the two start an intense and chaotic friendship. As their relationship deepens, the young women of Styria begin to go mad. When local girls are found dead from apparent suicides, Lara wonders if Carmilla is to blame or is there a darker secret behind the mass hysteria destroying the town.",['99'],Hungary,"English, Hungarian",,4.9,1764614
Submerged,2015,Adventure,Nothing from IMDB,Nothing from IMDB,"Charlotte Orman, Tamara Orman",,,Australia,English,,6.7,18750460
Sully,2016,"Biography, Drama",Clint Eastwood,Nothing from IMDB,"Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington, Mike O'Malley, Jamey Sheridan, Anna Gunn, Holt McCallany, Ahmed Lucan, Laura Linney","On January 15, 2009, flight 1549 left New York City, but shortly after taking off there's an accident that wrecks the plane's engines. They were told to return to the airport, but pilot Chesley ""Sully"" Sullenberger decides that the plane won't make it to the airport, so he chooses to land in the Hudson River. And even when none of the passengers were seriously injured, Sully finds himself under intense scrutiny by the National Transportation Safety Board (N.T.S.B.), whose investigation reveals that the plane could have made it to the airport and one of the engines was still working. Sully still maintains the engines were out and if they tried to go to the airport, they would have crashed.",['96'],United States,English,,7.4,3263904
Sweeney Todd: The Demon Barber of Fleet Street,2007,"Drama, Horror, Musical, Thriller",Tim Burton,Nothing from IMDB,"Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall, Sacha Baron Cohen, Jamie Campbell Bower, Laura Michelle Kelly, Jayne Wisener, Ed Sanders, Gracie May Weldon","In the Victorian London, the barber Benjamin Barker is married to the gorgeous Lucy and they have a lovely child, Johanna. The beauty of Lucy attracts the attention of the corrupt Judge Turpin, who falsely accuses the barber of a crime that he did not commit and abuses Lucy later after gaining custody of her. After fifteen years in exile, Benjamin returns to London under the new identity of Sweeney Todd, seeking revenge against Turpin. He meets the widow Mrs. Lovett who is the owner of a meat pie shop who tells him that Lucy swallowed arsenic many years ago, and Turpin assigned himself tutor of Johanna. He opens a barber shop above her store, initiating a crime rampage against those who made him suffer and lose his beloved family.",['116'],"United States, United Kingdom","English, Italian",,7.3,408236
Sweet November,2001,"Drama, Romance",Pat O'Connor,Nothing from IMDB,"Keanu Reeves, Charlize Theron, Jason Isaacs, Greg Germann, Liam Aiken, Robert Joy, Lauren Graham, Michael Rosenbaum, Frank Langella, Jason Kravits","The story centers around a man and a woman, whose fates are intertwined and will change forever. Nelson is an avid advertiser living in San Francisco. One day, during a driving test, he meets Sara, a beautiful but seemingly eccentric woman. But, she is falsely accused of cheating and ends up failing the test because of Nelson. After getting kicked out of the exam, Sara waits for him outside and starts to insult him. However, Nelson ignores her and takes off. Then, she traces him down and shows up at his place. She promises to leave him alone only if he gives her a ride. Later that night, she asks him to live with her throughout November on the promise that his life will change for the better. He turns her down saying that he has a girlfriend. On the first day of November, after being fired and dumped on the very same day, Nelson decides to give it a try and then somehow, agrees to spend the whole month with Sara and finds himself in a desperate love affair that he will remember for the rest of his life.",['119'],United States,English,,6.7,230838
Sydney White,2007,"Comedy, Drama, Romance",Joe Nussbaum,Chad Gomez Creasey,"Amanda Bynes, Sara Paxton, Matt Long, Jack Carpenter, Jeremy Howard, Crystal Hunt, Adam Hendershott, Danny Strong, Samm Levine, Libby Mintz","This modern retelling of the classic fairytale follows a beautiful college freshman as she pledges her late mother's once dignified sorority. But after discovering that today's sisterhood is not what it used to be, Sydney finds her new home away from home with seven outcasts. With the help of her socially challenged new friends, Sydney will take on the reigning campus queen to attempt to transform the school's misguided social hierarchy.",['108'],United States,English,,6.2,815244
T-34,2018,"Action, War",Aleksey Sidorov,Aleksey Sidorov,"Alexander Petrov, Irina Starshenbaum, Viktor Dobronravov, Vinzenz Kiefer, Yura Borisov, Anton Bogdanov, Artur Sopelnik, Pyotr Skvortsov, Sam Treskunov, Guram Bablishvili","In the times of the greatest trials, in the history of mankind, when the lives of loved ones depend on every single action, two sworn enemies will collapse. Being held in captivity, young lieutenant Ivushkin is planning a daring escape. He assembles a crew and challenges the German tank aces led by Jager. For the sake of his loved ones and his country, Ivushkin is ready to go till the end.",['139'],Russia,"Russian, German",,6.8,8820590
