Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Mera Naam Joker,1970,"Comedy, Drama",Raj Kapoor,Nothing from IMDB,"Raj Kapoor, Manoj Kumar, Simi Garewal, Rishi Kapoor, Achala Sachdev, Dharmendra, Dara Singh Randhawa, Eduard Sjereda, Kseniya Ryabinkina, Rajendra Kumar Tuli","Raju is a joker, a clown. It is what he is and what he always shall be. As his life story unfolds in three chapters, from his school days to the circus to the streets, he must always make people laugh and be happy, no matter how unhappy he is within. Along the way, Raju loves and loses, but must always keep a smile on his face because, in the words of his circus manager, ""The show must go on."" Over six years in the making, ""Mera Naam Joker"" is Raj Kapoor's semi-autobiographical story of the life, love, and philosophy of an entertainer.",['224'],India,Hindi,,7.9,66070
MP3: Mera Pehla Pehla Pyaar,2007,"Comedy, Drama, Musical, Romance",Robbie Grewal,Nothing from IMDB,"Menekka Arora, Sarthak Bhasin, Sagar Chawla, Hazel Croney, Dinesh Garg, Gaurav Gera, Neelu Kohli, Sameer Kohli, Ruslaan Mumtaz, Manoj Pahwa","Delhi-based Rohan Sood lives a wealthy lifestyle along with his businessman dad, Shekhar, and mom, Renu. He attends St. Lawrence High School and is friendly with Vasu, Sudhir and Javed, and together the friends land in hot water virtually everyday. Then everything changes when he first sets eyes on heart-achingly beautiful new student, Ayesha Mehra, who was born in London, England, and also lives a wealthy lifestyle with her mom, Sheetal, and businessman dad. Both Rohan and Ayesha are attracted to each other and decide to go on a Karaoke date - with disastrous results as both end up in a vehicle accident. Their relationship sours with rumors of Ayesha being attracted to Shantanu and Rohan dating Simran, and both part ways. Ayesha and her mom decide to go to Paris to visit Parminder and her husband, Tony. Realizing that he now loves Ayesha, Rohan decides to travel to Paris, clear the misunderstanding, and win her over. In order to do this he misuses his dad's credit card to book an air-ticket, as well as forges school documents to show that he is attending the Math Olympiad. He does reach Paris but is unable to locate Ayesha. When he approaches the Indian Embassy, he is detained and may well be deported back home to possibly face his angry dad and school authorities.",['118'],India,Hindi,,7.0,860454
Mere Dad Ki Maruti,2013,"Comedy, Drama, Romance",Ashima Chibber,Nothing from IMDB,"Saqib Saleem, Rhea Chakraborty, Ram Kapoor, Prabal Panjabi, Benazir Shaikh, Karanveer Mehra, Ravi Kishan, Savita Bhatti, Wilhelmina McFadden, Borde Abhijeet","Twenty-something Sameer is a brat who thinks he can get away with anything. When he lands a lucky date with 'Chandigarh Ki Shakira', Jasleen, he decides to sneak out his Dad's brand new Maruti without a second thought. After a mad night at a pub, a fun drive around the famous gehri route and one peck on the cheek, Sameer ends up losing the car. The car was meant to be a gift for his sister on her wedding and is probably the only thing his stingy dad, Tej Khullar ever spent money on. With only three days to find it, he must ensure his dad doesn't get a whiff of what he has done. Else, he will be turned into butter chicken. Sameer's life will be turned upside down as he comes face-to-face with some insane characters like a bhai from chor bazaar, an old man with a rifle pointed at his nose and of course, the Chandigarh cops. Will he manage to woo the girl of his dreams? Will he find the car? Will his Dad find out?",['101'],India,Hindi,,6.4,2323964
Mere Apne,1971,Drama,Gulzar,Nothing from IMDB,"Meena Kumari, Vinod Khanna, Shatrughan Sinha, Sumita Sanyal, Deven Verma, Ramesh Deo, Abhi Bhattacharya, Asit Kumar Sen, Leela Mishra, Kanwarjeet Paintal","Anandi Devi is an old widow living in her village she is bought to the city by her distant relative Arun. Anandi Devi realizes that Arun and his wife wanted to keep her as a maid following which she leaves the house and befriends a child beggar and start living in a dilapidated house. Due to her kind and good nature she is then called as Naani Maa by youth groups which are led by Shyam and Chhenu. Shyam and Chhenu are rivals of each other and can't see eye to eye, Anandi Devi tries to be peacemaker between them.",['164'],India,Hindi,,7.6,67421
Mere Brother Ki Dulhan,2011,"Comedy, Drama, Family, Romance",Ali Abbas Zafar,Ali Abbas Zafar,"Imran Khan, Katrina Kaif, Ali Zafar, Tara D'Souza, Parikshit Sahni, Kanwaljeet Singh, Suparna Marwah, Arfeen Khan, Mohd. Zeeshan Ayyub, Tariq Vasudeva","""Mere Brother Ki Dulhan"" is a quirky romantic comedy set in the world of the upper middle class in Northern India. Kush Agnihotri (Imran Khan) is looking for the ideal Indian bride for his brother Luv Agnihotri (Ali Zafar) who stays in London. In his quest, Kush goes through an array of wacky encounters with several families until he finally finds that perfect girl in Dimple Dixit (Katrina Kaif), the craziest / wackiest girl he has ever known. Both the families meet. Formalities completed. Preparations proceed in full swing. And just then, our hero Kush falls in love with Dimple, his brother's dulhan. What follows is a comical and unpredictable series of events in this unusual topsy-turvy tale of love.",['139'],India,"Hindi, English",,5.9,1740710
Meri Jung,1985,"Action, Drama",Subhash Ghai,Javed Akhtar,"Anil Kapoor, Girish Karnad, Nutan, Amrish Puri, Meenakshi Sheshadri, Kushboo, Beena Banerjee, Rajan Haksar, A.K. Hangal, Iftekhar","Deepak Verma is framed for a Murder by GD Thakral even thou he is innocent his wife Aarti pleads to Thakral but it goes unanswered and Deepak is hanged till death,Aarti disappears after the incident her children Arun and Komal believe she is dead they both become homeless,Arun starts doing odd jobs and becomes a famous lawyer in the city and someday wants to fight a case opposite Thakral while Komal is still at college,Geeta comes to Arun to ask him to fight case of her sister Dr Asha ,Arun rejects at first but later risks his life and gives justice to Asha as he finds Asha was framed,Arun and Geeta start meeting and fall in love Komal be friend's Vicky,Vicky whose a spoil brat of Thakral,Asha 's husband Dinesh notices photo of Arun 's mother in his house and recollects that she is still alive and living in and asylum and suffering from mental disorder,Arun gets his mother home feeling she might get back to normal he enters a function which has Thakral has chief guest and insults him,Vicky now decides to take revenge of this insult and comforts Komal to get married to him this angers Arun, Geeta takes Komal to stay with her in Asha and Dinesh 's house,Vicky calls Komal and asks her to elope with him but Vicky's former girlfriend Indu reaches and tells Komal that Vicky is cheating her in a tiff Vicky kills Indu which is noticed by Dinesh and Asha meanwhile Arun reaches the spot to share good news that his mother is alright and he is shocked to see Indu being murdered, Vicky is arrested the same night and at Indu's funeral Arun notices that she is the daughter of Gupta who had tried hard to prove his father innocent and decides to give justice to Indu,Arun's long wait is now over as he wanted to battle opposite Thakral he tells him that he is son of Deepak whom he falsely acquitted now Thakral and Vicky will pay for their crimes after a lot of courtroom drama Arun proves that Vicky is guilty for Indu's murder and judge orders him to be hanged,Thakral being biggest lawyer in the city can't take this that he couldn't save his son and looses his mental balance and is put in asylum, Aarti now lives happily with her children.",['164'],India,Hindi,,7.2,84324
Meri Pyaari Bindu,2017,"Comedy, Drama, Romance",Akshay Roy,Nothing from IMDB,"Ayushmann Khurrana, Parineeti Chopra, Nishant Dahiya, Amrita Bagchi, June Malia, Prakash Belawadi, Chandrachoor Rai, Rajatabha Dutta, Sameer Kakkar, Kharaj Mukherjee","Fed up with the lack of critical appreciation despite being a successful writer, Abhimanyu Roy (Ayushmann Khurrana) returns to his roots in Kolkata to write more meaningful literature and decides on an old-fashioned love story - which was now, 3 years in the making. This writer's block is called Bindu (Parineeti Chopra). How do you contain this unpredictable, crazy, restless, larger than life, live wire in the pages of a book? As Abhi says ''You know when a song comes on and you just have to dance? Bindu was that song. That silly infectious joyful tune you couldn't get out of your head - even if you wanted to."" So where should he begin? Where should he end? But when Abhi stumbles across an old audio cassette of their favorite playlist, it sends Abhi down memory lane - and as he waltzes in and out of his past and present through the songs in the mixed tape, he finally faces reality and reconnects with his roots, with his family and his novel starts writing itself. Of course, life in its usual scheming manner surprises him yet again and changes the ending of his book and his life, as he once again finds himself being pulled back into the center of that crazy little thing called love. He realizes, that love, is neither time- nor place-dependent. - All we need is the right person next to us and of course the right soundtrack.",['117'],India,Hindi,,6.0,5472374
Meri Nimmo,2018,Drama,Rahul Shanklya,Peeyush Shrivastava,"Anjali Patil, Karan Dave, Aryan Mishra, Sunayana Agarwal, Amar Singh Parihar, Sarika Nayak, Vivek Pandey, Rana Pratap Sengar, Anshul Thakur, Late Asha Tiwari","The story revolves around Nimmo (Patil), who is soon to be wed. Her only friend, and constant companion is a little boy (Dave) who also has a massive crush on her. While the little boy's innocence prevents him from understanding the complications of marriage, it does not prevent him from trying some wacky ideas to keep his love from marrying someone else.",['90'],India,Hindi,,7.0,7742704
Mersal,2017,"Action, Thriller",Atlee,Nothing from IMDB,"Joseph Vijay, Nithya Menen, S.J. Suryah, Samantha Ruth Prabhu, Kajal Aggarwal, Vadivelu, Kovai Sarala, Sathyaraj, Motta Rajendran, Sathyan","Maaran, a sincere doctor who fights against corruption and Vettri a magician who is out for a revenge. Both of them are estranged brothers and once they come together, they get to know about their common enemy, Daniel, who had killed their father and mother.",['172'],India,Tamil,,7.5,6485666
All in the Family,1975,Comedy,Mu Chu,Ke Szema,"Ni Tien, Yat Fan Lau, Ingrid Yin-Yin Hu, Lan-Shi Liang, Wen Hsia, Lai Wang, Angela Yu Chien, Jackie Chan, Lan Mi, Dean Shek","Mr. Hu is dying, so he calls his family to his bedside. After his death, his three sons divide Mr. Hu's belongings, leaving their mother and sister with nothing. Between them, the sister and mother came up with a plan to get revenge. The sister starts a rumor that her mother is actually very rich, when hearing the rumour, the three sons quickly return home and try to gain their mother's favor in the hope of getting the money from her. Spring Lady is tiring of her husband, Ma, and has an eye on Little Tang, a rickshaw boy. Little Tang is in love with Lin-tze, but as Lin-tze is happily married to Chang Hsun, his attentions are soon swayed by Spring Lady. Although Ma discovers the affair, he is too busy to care.",['97'],Hong Kong,Mandarin,,5.3,80897
