Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Baadshaho,2017,"Action, Adventure, Thriller",Milan Luthria,Rajat Arora,"Ajay Devgn, Ileana D'Cruz, Emraan Hashmi, Esha Gupta, Vidyut Jammwal, Sanjay Mishra, Denzil Smith, Sunny Leone, Lankesh Bhardwaj, Priyanshu Chatterjee","Baadshaho is inspired by real-life events during the Emergency and revolves around stolen gold, a thief (Ajay Devgn), an army officer (Vidyut Jammwal), a character inspired by Maharani Gayatri Devi. Maharani Gitanjali Devi (Ileana D'Cruz) from one of the Rajasthan's Princely States has already lost her privy purse. The story revolves around a group of thugs who decide to loot the gold confiscated from Rani Gitanjali, and being transported to Delhi by road.",['136'],India,"Hindi, Rajasthani",,4.9,4906960
Baaghi,2000,"Action, Crime, Drama, Romance",Rajesh Ram Singh,Nothing from IMDB,"Sanjay Dutt, Manisha Koirala, Aditya Pancholi, Inder Kumar, Tina Sen, Mohan Joshi, Gulshan Grover, Shivaji Satam, Sanjay Narvekar, Mahesh Anand","Vikram and Raja are colleagues and works for the underworld don, Manmohan. Raja loves Cabernet dancer, Rani and hope to marry her soon; but Manmohan set his eyes on her and wants to have her at any cost. When Rani refuses he forcefully abducts her which made her commit suicide. Enraged at this Vikram and Raja murder Manmohan by shooting him thus Vikram take over as the leader of the organization. Years later Raja meets and befriend the son of a college professor, Surya after Surya save the life of Raja on multiple occasions. Surya fall in love with the sister of Vikram, Kiran; however their marriage are not acceptable by Vikram but the couple remain determine this pits Vikram to take steps to get rid of Surya. Raja also prepare to save his friend Surya from the contended wrath of Vikram.",['156'],India,Hindi,,4.4,326745
Baar Baar Dekho,2016,"Action, Comedy, Drama, Romance, Sci-Fi",Nitya Mehra,Nothing from IMDB,"Sidharth Malhotra, Katrina Kaif, Sayani Gupta, Kirti Adarkar, Sagar Arya, Taha Shah Badussha, Faisal Batliwala, Amit Bhagwanani, Andrey Boldyrkov, Norman Bowman","'Baar Baar Dekho' is a love-story, which unfolds through flash-backs and flash-forwards. Recently actor Sidharth Malhotra has revealed that, the movie has a unique and has a very unusual storyline. The film is neither science fiction nor does it revolve around time travel. The styling is currently underway. Film has started in 2015 September for which Katrina and Sidharth had shot in London.",['141'],India,"Hindi, English",,5.4,5197544
Baarish Aur Chowmein,2018,Drama,Tigmanshu Dhulia,Kausar Munir,"Amit Sadh, Taapsee Pannu, Tariq Naved Siddiqui, Vidyut Jammwal, Amrish Patange","The story revolves around Siraj who is unable to rent a house in Mumbai as not many are willing to accommodate a Muslim. So, he hides his true identity and finds a home, where he falls in love with the landlord's daughter, Neelu. Will Siraj be honest and disclose his secret to Neelu?",['48'],India,Hindi,,6.1,8932884
Baat Ban Jaye,1986,Comedy,Bharat Rangachary,Nothing from IMDB,"Zeenat Aman, Amol Palekar, Utpal Dutt, Mithun Chakraborty, Raj Babbar, Sanjeev Kumar, Nisha Singh, Jalal Agha, Adi Irani, Aruna Irani","Mr. Singh lives a wealthy lifestyle in a mansion named 'Ashiana' on 10th Road, Juhu, Bombay, with his only relative, a niece by the name of Nisha, who is unmarried and runs the family's business that faces strong opposition from Khanna Group of Industries. Singh would like to see her get married but she hates wealthy men. So her uncle finds a poor man, Ajay Srivastav, but subsequently finds out that Ajay is already married and also has 3 daughters; then he decides to get Nisha married to a TV repairman, Yeshwant Bhosle, who ends up being a multi-millionaire after his invention is marketed; then he wants her to get married to Viju Guide, a Hyderabad-based Tourist Guide, who finds buried treasure and also ends up a multi-millionaire; then he wants her to get married to a motor mechanic, Prakash, who, in turn, ends up being the only son of wealthy builder, Jayant Amar Nath, and ends up getting married to his sweetheart and neighbor, Rosy. Finally Nisha meets her ideal match in Rukhtapur-based Suraj Singh, a wedding singer/dancer, and gets married to him - not realizing that Suraj is not who he claims to be and she is merely a pawn in a charade that has been created especially to pull wool over her eyes.",['148'],India,Hindi,,6.4,270219
Baby,2015,"Action, Crime, Thriller",Neeraj Pandey,Neeraj Pandey,"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu, Anupam Kher, Kay Kay Menon, Jameel Khan, Sushant Singh, Madhurima Tuli, Mikaal Zulfiqar","The country is perpetually under threat from terrorist powers and the common man walks unaware of the threats and the attacks that our Government controls and prevents. While the common Indian fights for everyday issues, there are deeper and bigger threats to him and his family that he will never know exist because it is the men and women in uniform that safeguard them. The men and women who put country before self, the men and women who define our history because they give a damn! Ajay (played by Akshay Kumar) is one such officer who is part of an elite team chosen from amongst the best in the Forces to form a covert Counter Intelligence Unit. In the course of foiling one terrorist attack bid, Ajay discovers a major threat to our nation - a plan to cause damage and strike fear at the heart of our very existence. The plot is masterminded by a maniacal leader whose organization has its tentacles spread across the world. As days progress, the unit goes through escalating challenges with time ticking against them and risks escalating. At all points, the members of the unit give it all they've got and stand tall to guard us with all their strength so that we may sleep safe in our homes. Covert and courageous operations are performed across Kathmandu, Istanbul, Abu Dhabi, Delhi and Mumbai as our protectors will not rest till evil is debated. Will the maniacal Maulana Rehman and his band of evil succeed in striking terror in the heart of India? Will the Indian Government change gears from being reactive to proactive and strike? Will Ajay and his unit be able to prevent this terror tsunami?",['159'],India,"Hindi, Nepali",,7.9,3848892
Bachna Ae Haseeno,2008,"Comedy, Drama, Romance",Siddharth Anand,Nothing from IMDB,"Ranbir Kapoor, Deepika Padukone, Bipasha Basu, Minissha Lamba, Kunal Kapoor, Hiten Paintal, Puneet Issar, Menekka Arora, Sumit Arora, Ntasha Bhardwaj","Why do girls always fall for the wrong guy? Their mothers warn them about him. Their friends shake their heads disapprovingly. Their minds tell them to escape while the going is good. But oh, no. Their hearts are another story. You see, they are sending all the wrong signals. His name alone is enough to scramble their brains and set their hearts racing. Meet Raj (Ranbir Kapoor). He is the stuff of dreams, with the looks of a 'butter wouldn't melt in my mouth' good boy. Who can blame him for falling in love as many times as love is fortunate enough to find him. It's not his fault that he's a heartbreaker; it's in his DNA. Come discover his three love stories: Raj and Mahi (Minissha Lamba; Raj and Radhika (Bipasha Basu); and Raj and Gayatri (Deepika Padukone). Different ladyloves at different times in his life. And each one teaches him a little bit about love and a little bit about life, each in her own sweet, sexy or sassy way. Come fall in love--three times.",['152'],India,"Hindi, English",,6.2,1182972
Bade Miyan Chote Miyan,1998,"Action, Comedy, Musical",David Dhawan,Rumi Jaffery,"Amitabh Bachchan, Govinda, Raveena Tandon, Ramya Krishnan, Anupam Kher, Paresh Rawal, Satish Kaushik, Sharat Saxena, Madhuri Dixit, Rakesh Bedi","Fellow Police Inspectors Arjun and Pyare work in the same Police Station in Mumbai, India. Although they work together, they have an unhealthy rivalry between them - leading to considerable acrimony and inefficiency. Then things get worse when a series of crimes and robberies take place - with witnesses coming forward and identifying them as the culprits. Their seniors view this matter very seriously, hold an inquiry, get evidence of their involvement, and suspend them. Now Arjun and Pyare must fore-go all past rivalries, band together and find out who framed them - and why?",['140'],India,Hindi,,5.9,118673
Badhaai Ho,2018,"Comedy, Drama",Amit Ravindernath Sharma,Nothing from IMDB,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra, Surekha Sikri, Sheeba Chaddha, Shardul Rana, Rahul Tewari, Arun Kalra, Monika Agnihotrie","Nakul a 25 year old in relationship with Renne and soon plan to marry .His father Jeetender Kaushik works for railways while mother Priyamvada is housewife whose always taunted by his grandmother.When Nakul finds that his mother is pregnant at the age when Nakul is about to marry he starts to avoid their parents ,friends and society.",['124'],India,Hindi,,7.9,7725596
Badla,2019,"Crime, Drama, Mystery, Thriller",Sujoy Ghosh,Nothing from IMDB,"Amitabh Bachchan, Taapsee Pannu, Antonio Aakeel, Mark Mansfield, Amrita Singh, Denzil Smith, Manav Kaul, Tanveer Ghani, Rachel Flynn, Jason Hetherington",Naina Sethi a successful entrepreneur finds herself locked in a hotel room.When she gains conscious she finds herself lying to corpse of her lover Arjun she is arrested for the murder.But left on bail her lawyer Jimmy hires a defense lawyer Badal Gupta who hasn't lost a case since last 40 years.Badal and Naina discuss about the events that happened during that day.But Badal feels that there are lot many loopholes in Naina's story.,['118'],India,"Hindi, English",,7.7,8130968
