Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The Rum Diary,2011,"Comedy, Drama",Bruce Robinson,Nothing from IMDB,"Johnny Depp, Aaron Eckhart, Michael Rispoli, Amber Heard, Richard Jenkins, Giovanni Ribisi, Amaury Nolasco, Marshall Bell, Bill Smitrovich, Julian Holloway","Hard-drinking journalist Paul Kemp takes a job at a besieged newspaper in San Juan, Puerto Rico. His volatile editor, Lotterman, assigns him to tourist pieces and horoscopes, but promises more. Paul rooms with Sala, an aging and equally alcoholic reporter, in a rundown flat. Sanderson, a wealthy entrepreneur, hires Paul to flack for a group of investors who plan to buy an island near the capital and build a resort. Sanderson's girl-friend, the beguiling Chenault, bats her eyes at Paul. His loyalties face challenges when he and Sala get in trouble with locals, when a Carnival dance enrages Sanderson, and when the paper hits the skids. Is the solution always alcohol?",['119'],"United States, United Kingdom","English, Spanish, German",,6.1,376136
The Mummy,1999,"Action, Adventure, Fantasy",Stephen Sommers,Nothing from IMDB,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo, Kevin J. O'Connor, Jonathan Hyde, Oded Fehr, Erick Avari, Stephen Dunham, Corey Johnson","An English librarian called Evelyn Carnahan becomes interested in starting an archaeological dig at the ancient city of Hamunaptra. She gains the help of Rick O'Connell, after saving him from his death. What Evelyn, her brother Jonathan and Rick are unaware of is that another group of explorers are interested in the same dig. Unfortunately for everyone, this group ends up unleashing a curse which been laid on the dead High Priest Imhotep. Now 'The Mummy' is awake and it's going to take a lot more than guns to send him back to where he came from.",['124'],United States,"English, Egyptian (Ancient), Arabic, Chinese, Hebrew, Hungarian",,7.1,120616
The Only Way Out,2021,"Mystery, Thriller",Darko Nikolic,Marko Popovic,"Andjelka Prpic, Ljubomir Bandovic, Danica Maksimovic, Nikola Ristanovski, Milena Predic, Janko Popovic Volaric, Milan Cucilovic, Toni Mihajlovski, Sonja Kolacaric, Jovo Maksic","Six years after the fire in the nightclub, which her husband died in, Ana Kolar gets closure with judge's verdict marking it as accident. However, one e-mail will make her question what really happened that night and was her husband really the person she thought he was.",['110'],Serbia,"Serbian, Croatian",,6.8,11050886
This Means War,2012,"Action, Comedy, Romance",McG,Nothing from IMDB,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger, Chelsea Handler, John Paul Ruttan, Abigail Spencer, Angela Bassett, Rosemary Harris, George Touliatos","CIA agents and best friends Tuck and FDR have been benched because someone is after them. Tuck is divorced and not close to his son; FDR is a ladies' man. Tuck places his profile on a dating site; Lauren sees it and goes out with him. She later bumps into FDR; he hits on her and she goes out with him. She's intrigued by both of them. When they learn that they're both dating her, they agree to let her choose, but they can't help using their skills to keep tabs on her--and each other--and sabotage each other's dates with her.",['103'],United States,"English, German, Japanese, Serbian",,6.3,1596350
Triangle of Sadness,2022,"Comedy, Drama",Ruben Östlund,Ruben Östlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos, Vicki Berlin, Dolly De Leon, Timoleon Gketsos, Alicia Eriksson, Woody Harrelson, Zlatko Buric","In Ruben Östlund's wickedly funny Palme d'Or winner, social hierarchy is turned upside down, revealing the tawdry relationship between power and beauty. Celebrity model couple, Carl (Harris Dickinson) and Yaya (Charlbi Dean), are invited on a luxury cruise for the uber-rich, helmed by an unhinged boat captain (Woody Harrelson). What first appeared instagrammable ends catastrophically, leaving the survivors stranded on a desert island and fighting for survival.",['147'],"United Kingdom, Sweden, Germany, Mexico, France, Turkey, Denmark, United States, Switzerland, Greece","English, Swedish, German, French, Greek, Tagalog, Akan",,7.3,7322224
Unstoppable,2010,"Action, Thriller",Tony Scott,Mark Bomback,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee, Kevin Dunn, Kevin Corrigan, Kevin Chapman, Lew Temple, T.J. Miller, Jessy Schram",A runaway train carrying a cargo of toxic chemicals puts an engineer and his conductor in a race against time. They're chasing the runaway train in a separate locomotive and need to bring it under control before it derails on a curve and causes a toxic spill that will decimate a town.,['98'],United States,English,,6.8,477080
Uyare,2019,Drama,Manu Ashokan,Nothing from IMDB,"Samyuktha Menon, Parvathy Thiruvothu, Tovino Thomas, Siddique, Asif Ali, Anarkali Marikar, Prathap Pothen, Bhagath Baby Manuel, Irshad, Diwakar Dhyani",,['125'],India,Malayalam,,8.0,9271408
War Dogs,2016,"Biography, Comedy, Crime, Drama, War",Todd Phillips,Nothing from IMDB,"Miles Teller, Steve Lantz, Gregg Weiner, David Packouz, Eddie Jemison, Julian Sergi, Daniel Berson, Jonah Hill, Edson Jean, Daimion Johnson","In 2005, David Packouz lives in Miami, Florida, working as a massage therapist and living with his girlfriend Iz. Desiring an additional source of income, David spends his life savings on high-quality Egyptian cotton sheets, planning to sell them to Miami retirement homes, but this venture fails to produce results. At a funeral for a friend, David runs into his high school best friend Efraim Diveroli, who had moved to Los Angeles some years prior to work with his uncle selling guns. Efraim has left his uncle and formed his own company, AEY, which fills orders for arms placed by the US government due to the ongoing war in Iraq. David's life takes another turn when his girlfriend informs him that she is pregnant. Efraim offers him a job at AEY, and even though David and Iz both vehemently oppose the war, David eventually agrees, telling his girlfriend that he has begun selling his cotton sheets to the US government through Efraim's contacts.",['114'],"United States, Romania","English, Arabic, Albanian, Romanian",,7.1,2005151
We Have a Ghost,2023,"Adventure, Comedy, Drama, Family, Fantasy, Horror, Mystery",Christopher Landon,Nothing from IMDB,"Jahi Di'Allo Winston, David Harbour, Anthony Mackie, Erica Ash, Niles Fitch, Isabella Russo, Tig Notaro, Tom Bower, Sean Boyd, Nicholas X. Parsons","Seeking a fresh start in Chicago, the Presley family moves into a dusty fixer-upper they soon realize comes with a catch: a ghost in the attic named Ernest (David Harbour). Despite Ernest's attempts at scaring teenage son Kevin (Jahi Winston), the detached, music-obsessed teen soon finds a kindred spirit in this trapped soul from the '70s and commits to helping him. Meanwhile, Kevin's affable-yet-harsh father Frank (Anthony Mackie) looks to cash in on Ernest by turning him into a social media sensation. When Frank's video of Ernest goes viral and captures the world's attention, the family lands on the radar of Dr. Leslie Monroe (Tig Notaro), a washed-up paranormal scientist who alerts her old boss, Deputy Director Arnold Schipley of the CIA (Steve Coulter), restarting a clandestine program aimed at capturing a ghost. As crowds, reporters, and government agents descend upon the Presley home, it's up to Kevin and his sharp-witted, fellow outcast neighbor Joy (Isabella Russo) to break Ernest out, uncover the mysteries of his past, and bring him the closure he needs before it's too late.",['126'],United States,English,,6.1,7798604
8 A.M. Metro,2023,Drama,Raj Rachakonda,Nothing from IMDB,"Saiyami Kher, Gulshan Devaiah, Sandeep Bhardwaj, Rajiv Kumar Aneja, Sunil Choudhary, Saurabh Dixit, Kajol Dubey, Kalpika Ganesh, Moin Jaan, Jay Jha",,['116'],India,Hindi,,7.1,27511275
Action Jackson,1988,"Action, Comedy, Crime, Thriller",Craig R. Baxley,Robert Reneau,"Carl Weathers, Craig T. Nelson, Vanity, Sharon Stone, Tom Wilson, Bill Duke, Robert Davi, Jack Thibeau, Roger Aaron Brown, Stan Foster","Jericho ""Action"" Jackson is a Detroit police sergeant who was demoted from lieutenant for almost tearing the arm off of sexually violent sociopath Sean Dellaplane, whose father is Peter Dellaplane, a major car manufacturer. But Dellaplane himself is violent as well. Dellaplane kills his wife Patrice by shooting her. And then he plants her body in Jackson's apartment, framing Jackson. Dellaplane won't miss Patrice very much, because he has a drug-addicted mistress named Sydney Ash. He keeps Sydney hooked with a free supply of heroin. Jackson suspects Dellaplane of masterminding a murder spree against local officials from the auto workers' union. Dellaplane's mission is to gain a political power base and choose the next president of the United States. Because of what happened to Dellaplane's son Sean, Dellaplane has taken a particular dislike to Jackson. Jackson gets Sydney's help in going after Dellaplane.",['96'],United States,English,,5.5,94612
