Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Son of Sardaar,2012,"Action, Comedy, Romance","Ashwani Dhir, Anil Devgan",Nothing from IMDB,"Ajay Devgn, Sanjay Dutt, Sonakshi Sinha, Juhi Chawla, Fit Bryce Adams, Arjan Bajwa, Punjab Singh Cheema, Shiva Dagar, Virej Dasani, Mukul Dev",,['141'],India,Hindi,,4.2,2178508
Sonali Cable,2014,"Comedy, Drama",Charudutt Acharya,Charudutt Acharya,"Rhea Chakraborty, Ali Fazal, Raghav Juyal, Swanand Kirkire, Arun Bali, Samir Chandra, Smita Jaykar, Anupam Kher, Mrigendra Konwar, Muzammil S. Qureshi","Sonali, a spunky self-made internet operator, proudly runs a small outfit along with her band of ghetto boys catering to a sprawling Mumbai suburb. Complications arise when Sonali's childhood sweetheart, Raghu returns from the United States and helps bring her small enterprise into the twenty first century. But not all forces of modernization are as kind and as loving as Raghu. SHINING INC, a huge corporation wants her out to complete their monopoly of Shining Broadband in the city. Sonali refuses... and it's war! This is a character driven, edgy survival drama of an ordinary girl, a sizzling love interest and her rag-tag family of internet cable technicians for whom Sonali Cable Centre is more than a livelihood... it's their home.",['127'],India,Hindi,,5.3,2871010
Sonchiriya,2019,"Action, Crime, Drama, Western",Abhishek Chaubey,Nothing from IMDB,"Sushant Singh Rajput, Bhumi Pednekar, Ashutosh Rana, Ranvir Shorey, Manoj Bajpayee, Khushiya, Ram Naresh Diwakar, Mahesh Balraj, Gagandev Riar, Harish Khanna","This is the story of a group of rebels in Chambal. The year is 1975. The Prime Minister, Indira Gandhi, has declared Emergency in the country. Man Singh (Manoj Bajpayee) meanwhile leads a gang in Chambal, a region that more or less is lawless. Vakil Singh (Ranvir Shorey) and Lakhna (Sushant Singh Rajput) are important members of this gang. Man Singh is in need of money to procure new arms. Based on a tip from Lacchu (Jaspal Sharma), he and his men descend to Brahmpuri village. A marriage is taking place in this hamlet where the groom is about to get a huge amount of gold and cash. Man Singh and his gang reaches the marriage venue in order to loot this wealth. However, the cops, led by Virender Gujjar (Ashutosh Rana) ambush the gang. In the tough fight, Man Singh and half of the gang get killed. Vakil, Lakhna and others escape. Vakil, now the leader of the gang, accuses Lakhna of betraying them and calling the cops. Lakhna is fed up of being a rebel and wants to surrender. Meanwhile, as they are running from the cops, they bump into Indumati Tomar (Bhumi Pednekar). She's accompanied by her sister Sonchiriya (Khushiya) who has been brutally raped. Sonchiriya needs to be taken to the hospital urgently and she asks for Vakil's help. The gang agrees. They halt to seek blessings of their goddess at a temple where Indu's husband and other family members arrive. She is accused of killing her father-in-law and they ask the gang to hand over Indu and Sonchiriya. Vakil agrees but Lakhna realizes it's not just and hence revolts. What happens next forms the rest of the film.",['143'],India,Hindi,,7.9,8108200
Military Wives,2019,"Comedy, Drama, Music",Peter Cattaneo,"Rachel Tunnard, Rosanne Flynn","Kristin Scott Thomas, Sharon Horgan, Emma Lowndes, Gaby French, Lara Rossi, Amy James-Kelly, India Amarteifio, Greg Wise, Jason Flemyng, Laura Checkley","Inspired by global phenomenon of military wives choirs, the story celebrates a band of misfit women who form a choir on a military base. As unexpected bonds of friendship flourish, music and laughter transform their lives, helping each other to overcome their fears for loved ones in combat.",['112'],United Kingdom,English,,6.5,8951692
Sonu Ke Titu Ki Sweety,2018,"Comedy, Romance",Luv Ranjan,Nothing from IMDB,"Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh, Alok Nath, Madhumalti Kapoor, Ishita Raj, Pawan Chopra, Ayesha Raza Mishra, Deepika Amin, Rajesh Jais","We have always been told that ""Marriage"" is a marriage between two families. 'Sonu ke Titu ki Sweety' explores the new age version of the same belief where ""Marriage"" is a marriage between two friend circles. What happens when you decide to get married, but your best friend and your girlfriend can't see eye to eye. Sonu and Titu are childhood friends. Titu has always been a naïve lover, who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost, makes him feel that she's too good to be true. What ensues is a war between the best friend and the bride to be. While Sweety is trying to impress Titu and the family alike, Sonu is out to sabotage the utopian romance.",['138'],India,Hindi,,7.1,7581902
Sonu Ke Titu Ki Sweety,2018,"Comedy, Romance",Luv Ranjan,Nothing from IMDB,"Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh, Alok Nath, Madhumalti Kapoor, Ishita Raj, Pawan Chopra, Ayesha Raza Mishra, Deepika Amin, Rajesh Jais","We have always been told that ""Marriage"" is a marriage between two families. 'Sonu ke Titu ki Sweety' explores the new age version of the same belief where ""Marriage"" is a marriage between two friend circles. What happens when you decide to get married, but your best friend and your girlfriend can't see eye to eye. Sonu and Titu are childhood friends. Titu has always been a naïve lover, who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost, makes him feel that she's too good to be true. What ensues is a war between the best friend and the bride to be. While Sweety is trying to impress Titu and the family alike, Sonu is out to sabotage the utopian romance.",['138'],India,Hindi,,7.1,7581902
Sooryavanshi,2021,"Action, Crime, Thriller",Rohit Shetty,Nothing from IMDB,"Akshay Kumar, Katrina Kaif, Ajay Devgn, Ranveer Singh, Jackie Shroff, Jaaved Jaaferi, Gulshan Grover, Abhimanyu Singh, Nikitin Dheer, Kumud Mishra",1993 Mumbai as rocked by 14 back to back blasts which changed the image of city forever Kabir Shroff managed to solve the case within two days but feels guilty that master mind Omar Hafeez and Billal eloped from the city.Omar Hafeez over the years planted many attacks in the country and formed a sleeper cell network lead by his son Riyaz Hafeez.Years later Riyaz's fake identity is traced in Jaisalmer where a team lead by DCP Veer Sooryavanshi goes to arrest him with arrest of Riyaz underworld gets shaken and Omar asks Bilal to return to India.Sooryavanshi finds from Kabir that in 1993 1000 ton RDX came in the city out which 400 ton RDX was used and 600 ton still lies no where and only person who as the idea of this is Bilal.Soorya is going to a tough patch in his personal life as his duty comes first he is very much close to arrest Bilal who commits suicide.Soorya finds that Bilal was in the country after years and also traced missing RDX and met old friend Usmani.Soorya gets a hint that some big attack is going to happen in Mumbai city with activities of Bilal where sleeper cells will be active.In order to save the city two other tough cops Bajirao Singham and Sangram Bhalerao (Simmba) join Soorya in the mission.,['145'],India,Hindi,,6.0,9531772
Chauhan Saahab 2,2018,Short,"Rajnishwar Chauhan, Shorya Veer Saagar",Rajnishwar Chauhan,Ashish Chauhan,,,India,Hindi,,,11792414
Law & Order: Special Victims Unit,1999,"Crime, Drama, Mystery, Thriller",Nothing from IMDB,"Dick Wolf, Dick Wolf, Dick Wolf","Mariska Hargitay, Ice-T, Dann Florek, Richard Belzer, Christopher Meloni, Kelli Giddish, BD Wong, Tamara Tunie, Peter Scanavino, Raúl Esparza","In the criminal justice system, sexually based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",['60'],United States,English,,8.1,203259
The 2012 Film Independent Spirit Awards,2012,News,Ivan Dudynsky,Nothing from IMDB,"Seth Rogen, Zoe Saldana, Jeffrey Dean Morgan, John Hawkes, Christopher Plummer, John C. Reilly, Corey Stoll, Mike Mills, Elaine Taylor, Benjamin Pratt",,,United States,English,,6.0,2302855
