Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Muay Thai Fighter,2007,"Action, Drama, Thriller",Kome Kongkiat Komesiri,Kome Kongkiat Komesiri,"Akara Amarttayakul, Danny Arroyo, Sonthaya Chitmanee, Don Ferguson, Saengthong Gate-Uthong, Prawit Kittichantheera, Phreeta Kongpetch, David La Haye, Samart Payukaroon, Thawatchai Phanpakdee","Lifelong friends learn the traditional techniques and skills of Muay Thai Fighting that has been past down from generations. When their training camp is shut down they begin to fight underground and bring the art of Muay Thai Fighting back to life. The fighting in the ring parallels the fight for their life, when the ultimate, highly anticipated, action filled fight demonstrates to be their biggest challenge they are prepared to die for one another.",['116'],Thailand,"Thai, English",,6.2,1090782
Mubarakan,2017,"Comedy, Romance",Anees Bazmee,Nothing from IMDB,"Anil Kapoor, Arjun Kapoor, Ileana D'Cruz, Athiya Shetty, Neha Sharma, Vineet Kumar Singh, Pawan Malhotra, Ratna Pathak Shah, Karan Kundrra, Anil Charanjeett","Karan and Charan are identical twin brothers but their personalities are polar opposites. Karan has grown up in London while Charan was raised in Punjab. Karan is street-smart, calculating and flamboyant while Charan is simple, idealistic and honest in his approach. Karan is in love with Sweety while Charan is in a relationship with Nafisa. Karan's family fixes Karan's wedding with Binkle, daughter of one of the wealthiest families in London. He convinces his family to fix the match with Charan instead. The respective families are happy with this development except Charan because he wants to marry Nafisa.",['156'],India,Hindi,,5.6,6272828
Mufti,2017,"Action, Drama, Thriller",Narthan,Narthan,"Shivarajkumar, Madhu Guruswamy, Sri Murali, Vasishta N. Simha, Prakash Belawadi, Shanvi Srivastava, Chikkanna, Chaya Singh, Sadhu Kokila, Devaraj",,['152'],India,Kannada,,7.8,6405208
Mughal-E-Azam,1960,"Drama, Romance, War",K. Asif,Nothing from IMDB,"Prithviraj Kapoor, Madhubala, Dilip Kumar, Durga Khote, Nigar Sultana, Ajit Khan, M. Kumar, Murad, Jillo, Vijayalaxmi","Set in the 16th century AD, the movie brings to life the tale of the doomed love affair between the Mughal Crown Prince Saleem and the beautiful, ill-fated court dancer, whose fervor and intensity perpetrates a war between the prince and his father the great Mughal Emperor Akbar, and threatens to bring an empire to its knees.",['197'],India,"Hindi, Urdu",,8.1,54098
Mujhse Shaadi Karogi,2004,"Comedy, Romance",David Dhawan,Nothing from IMDB,"Salman Khan, Akshay Kumar, Priyanka Chopra Jonas, Amrish Puri, Rajpal Naurang Yadav, Satish Shah, Supriya Karnik, Kader Khan, Rekha Rao, Shashikala Jawalkar","Sunny rents a room in a City called Goa in India. His room-mate is Sameer, who likes to fool around with woman, then dump them. He eventually falls in love, then gets dumped. Sorrowful and repentant, Sameer also has had many misadventures, especially when he ended up slapping an elderly man. Now Sameer has fallen for his next door neighbor, Rani. Now Sameer has two problems to overcome in order to wed Rani. The first he has to eliminate his competitor, none other than Sunny himself, who is also in love with Rani, and will do anything to marry her; and the second is Rani's father, ironically the very man who Sameer had slapped earlier. Will Sunny end up getting married to Rani, leaving Sameer to repent for the rest of his life?",['163'],India,Hindi,,6.7,418362
The Brawler,2017,"Action, Drama, Sport",Anurag Kashyap,Nothing from IMDB,"Vineet Kumar Singh, Jimmy Shergill, Zoya Hussain, Ravi Kishan, Rajesh Tailang, Shriidhar Dubey, Sadhana Singh, Shakti Kumar, Chittaranjan Tripathy, Sukhesh Mishra","A boxer (Shravan) belonging to upper cast, trains at a gym controlled by a local Don (Bhagwan Das Mishra). Shravan falls for Mishra's niece (Sunaina). The Don does not approve of this match because of previous scuffle between Bhagwan and Shravan. Shravan strives to win Sunaina's hand in marriage and becomes a successful boxer while trying to avoid retaliation from the Don.",['154'],India,Hindi,,8.0,7180544
Mukti,1977,"Crime, Drama, Romance",Raj Tilak,Nothing from IMDB,"Shashi Kapoor, Sanjeev Kumar, Vidya Sinha, Deven Verma, Vishal Desai, Bindiya Goswami, A.K. Hangal, Anju Mahendru, Kader Khan, Dev Kumar","Kailash Sharma is found guilty of sexually molesting Shanno and killing Dheeraj Kumar Verma, and sentenced to be hanged by the Jammu & Kashmir Sessions Court. After his appeals at both High and Supreme Courts fail, he asks his wife, Seema, to take their daughter, Pinky, and re-locate elsewhere. Seema and Pinky re-locate to Bombay where she takes up sewing to make a living. She befriends their neighbor, Ratan, and both get married. 14 years later Pinky has grown up and has a boyfriend, Vikram, who she wants to marry. Meanwhile, Kailash, who is still alive as his sentence was changed to life imprisonment, arrives in Bombay to look for his family. After sometime he does find them but decides not to interfere in their lives as they appear to be happy. But when Seema finds out she goes to meet him secretly - a visit that will set off a chain of events that will end up drastically changing their lives forever.",['150'],India,Hindi,,7.4,0369746
Mulk,2018,Drama,Anubhav Sinha,Anubhav Sinha,"Taapsee Pannu, Rishi Kapoor, Ashutosh Rana, Neena Gupta, Kumud Mishra, Indraneil Sengupta, Rajat Kapoor, Prateik Patil Babbar, Manoj Pahwa, Ashrut Jain",,['140'],India,Hindi,,7.3,7618184
Mumbai Mirror,2013,"Action, Crime, Thriller",Ankush Bhatt,Nothing from IMDB,"Sachiin Joshi, Prakash Raj, Vimala Raman, Mukesh Agrohari, Sudesh Berry, Raja Bherwani, Rajendra Chawla, Harry Josh, Gihani Khan, Muzahid Khan","Mumbai Mirror revolves around Abhijeet Patil, a hardcore action packed cop, who can neither tolerate violence against women nor crime in his area. He comes across a drug racket led by Shetty, who runs several bars in the city. One of the dancers, Rani, knows Abhijeet well and seduces him. She keeps using him under Shetty's directions without realizing that Abhijeet is not the usual cop they were thinking him to be. But soon, a lot of players get involved in this game: a game that takes various twists and turns, with most of them against Abhijeet. But he's sharp enough to fight it out, all alone. With the help of Jia, a reporter from Mumbai Mirror and his colleagues, Abhijeet sets out on a rampage that takes various paths with various turns leading to the final showdown : which can be won by nothing but by checkmating the opponent.",['136'],India,"English, Hindi",,5.1,2633826
Mumbai Saga,2021,"Action, Crime, History",Sanjay Gupta,Nothing from IMDB,"John Abraham, Emraan Hashmi, Mahesh Manjrekar, Suniel Shetty, Kajal Aggarwal, Prateik Patil Babbar, Gulshan Grover, Amole Gupte, Rohit Roy, Samir Soni","Amartya Rao lives a simple life with his father and younger brother Arjun,He gets in trouble with men of Gaitonde who extort money poor vegetable and fruit vendors.Amartya is put in prison where Gaitonde plans to kill him but he overcomes everyone and finds a friend for lifetime in Nari Khan a smuggler who helps in every point of life.Bhau a powerful politician bails Amartya and asks to work for him soon Amartya forms his own gang and is feared by everyone.Gaitonde joins hand with industrialist Khaitan and plans to finish Amartya but Khaitan is killed in broad day light by Amartya and his gang.Khaitan's wife then offers 10 Crore reward to a police officer who will encounter Amartya there enters encounter specialist Vijay Sawarkar whose only motive is to kill Amartya.",['135'],India,Hindi,,5.9,10483386
Munna Michael,2017,"Action, Drama, Music, Romance",Sabbir Khan,Vimi Datta,"Tiger Shroff, Nidhhi Agerwal, Nawazuddin Siddiqui, Mohammad Farman Ali, Sahil Anand, Priyanka Arya, Joy Badlani, Rosie Baglee, Sunny Charles, Tsumugi Vidal Cáceres","Michael is an aging dancer in films is fired from his job as he looks older in between the young lot of dancers. Michael finds an abandoned baby on streets and names him Munna while Munna is growing up he to loves dancing likes his father and adores Michael Jackson. Munna dances on streets for living and is known as Munna Michael.Munna and his group is suddenly banned from entering night clubs in Mumbai following which he tries his luck in Delhi and comes across a gangster Mahendra Fauji who wants to learn dancing to impress club dancer Dolly he offers her a dancer's job in his hotel, but she suddenly disappears and Mahendra wants her any how. Munna promises Mahendra to find her but is in two minds as Mahendra has considered him as a brother while he has cold feeling towards Dolly.",['140'],India,Hindi,,3.4,6117702
