Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Dope,2015,"Adventure, Comedy, Crime, Drama",Rick Famuyiwa,Rick Famuyiwa,"A$AP Rocky, Blake Anderson, Bruce Beatty, De'aundre Bonds, Julian Brand, Quincy Brown, Kiersey Clemons, Kimberly Elise, Rick Fox, Christopher Glenn","A coming of age comedy/drama for the post hip hop generation. Malcolm is a geek, carefully surviving life in The Bottoms, a tough neighborhood in Inglewood, CA filled with gangsters and drug dealers, while juggling his senior year of college applications, interviews and the SAT. His dream is to attend Harvard. A chance invitation to a big underground party leads Malcolm and his friends into an ""only in Los Angeles"" gritty adventure filled with offbeat characters and bad choices. If Malcolm can persevere, he'll go from being a geek, to being dope, to ultimately being himself.",['103'],United States,"English, Spanish",,7.2,3850214
Doubt,2008,"Drama, Mystery",John Patrick Shanley,Nothing from IMDB,"Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis, Alice Drummond, Audrie Neenan, Susan Blommaert, Carrie Preston, John Costelloe, Lloyd Clay Brown","It's 1964, St. Nicholas in the Bronx. A charismatic priest, Father Flynn, is trying to upend the school's strict customs, which have long been fiercely guarded by Sister Aloysius Beauvier, the iron-gloved Principal who believes in the power of fear-based discipline. The winds of political change are sweeping through the community, and indeed, the school has just accepted its first black student, Donald Miller. But when Sister James, a hopeful innocent, shares with Sister Aloysius her guilt-inducing suspicion that Father Flynn is paying too much personal attention to Donald, Sister Aloysius sets off on a personal crusade to unearth the truth and to expunge Flynn from the school. Now, without a shard of proof besides her moral certainty, Sister Aloysius locks into a battle of wills with Father Flynn which threatens to tear apart the community with irrevocable consequences.",['104'],United States,English,,7.5,918927
Down with Love,2003,"Comedy, Romance",Peyton Reed,"Eve Ahlert, Dennis Drake","Renée Zellweger, Ewan McGregor, Sarah Paulson, David Hyde Pierce, Rachel Dratch, Jack Plotnick, Tony Randall, John Aylward, Warren Munson, Matt Ross","A brightly-colored, light-hearted homage to the early-1960s sex comedies that starred Rock Hudson and Doris Day. The story follows a best-selling female advice author who has all the answers until a sly journalist playboy starts asking the questions.",['101'],"Germany, United States",English,,6.3,309530
Down with Love,2003,"Comedy, Romance",Peyton Reed,"Eve Ahlert, Dennis Drake","Renée Zellweger, Ewan McGregor, Sarah Paulson, David Hyde Pierce, Rachel Dratch, Jack Plotnick, Tony Randall, John Aylward, Warren Munson, Matt Ross","A brightly-colored, light-hearted homage to the early-1960s sex comedies that starred Rock Hudson and Doris Day. The story follows a best-selling female advice author who has all the answers until a sly journalist playboy starts asking the questions.",['101'],"Germany, United States",English,,6.3,309530
Dr. Cabbie,2014,Comedy,Jean-François Pouliot,Nothing from IMDB,"Vinay Virmani, Adrianne Palicki, Kunal Nayyar, Lillete Dubey, Mircea Monroe, Chris Diamantopoulos, Rizwan Manji, Stephen McHattie, Judah Katz, Tia Bhatia",An unemployed doctor turned cab driver becomes a local hero when he converts his taxi into a mobile clinic. Dr. CABBIE is the heart warming journey of a young Indian Doctor who immigrates to Canada with the selfless ambition of healing others while beginning a new life in the land of opportunity. Dr. CABBIE discovers his true purpose and true love when he embarks upon this journey of a doctor turned cabbie.,['101'],"Canada, India","English, Hindi",,6.0,2831404
Dracula Untold,2014,"Action, Drama, Fantasy, Horror",Gary Shore,Nothing from IMDB,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance, Diarmaid Murtagh, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert","At the turn of the century, the young lord Vlad and his family live a peaceful life ruling over their small kingdom, but when a Turk warlord demands from Vlad a thousand boys and his son to create an army Vlad seeks a terrible power that will allow him to protect his kingdom and family from the Turks at a terrible cost.",['92'],"United States, Japan","English, Turkish",,6.2,829150
Dracula Untold,2014,"Action, Drama, Fantasy, Horror",Gary Shore,Nothing from IMDB,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance, Diarmaid Murtagh, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert","At the turn of the century, the young lord Vlad and his family live a peaceful life ruling over their small kingdom, but when a Turk warlord demands from Vlad a thousand boys and his son to create an army Vlad seeks a terrible power that will allow him to protect his kingdom and family from the Turks at a terrible cost.",['92'],"United States, Japan","English, Turkish",,6.2,829150
Dracula Untold,2014,"Action, Drama, Fantasy, Horror",Gary Shore,Nothing from IMDB,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance, Diarmaid Murtagh, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert","At the turn of the century, the young lord Vlad and his family live a peaceful life ruling over their small kingdom, but when a Turk warlord demands from Vlad a thousand boys and his son to create an army Vlad seeks a terrible power that will allow him to protect his kingdom and family from the Turks at a terrible cost.",['92'],"United States, Japan","English, Turkish",,6.2,829150
Dracula Untold,2014,"Action, Drama, Fantasy, Horror",Gary Shore,Nothing from IMDB,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance, Diarmaid Murtagh, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert","At the turn of the century, the young lord Vlad and his family live a peaceful life ruling over their small kingdom, but when a Turk warlord demands from Vlad a thousand boys and his son to create an army Vlad seeks a terrible power that will allow him to protect his kingdom and family from the Turks at a terrible cost.",['92'],"United States, Japan","English, Turkish",,6.2,829150
Dracula Untold,2014,"Action, Drama, Fantasy, Horror",Gary Shore,Nothing from IMDB,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance, Diarmaid Murtagh, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert","At the turn of the century, the young lord Vlad and his family live a peaceful life ruling over their small kingdom, but when a Turk warlord demands from Vlad a thousand boys and his son to create an army Vlad seeks a terrible power that will allow him to protect his kingdom and family from the Turks at a terrible cost.",['92'],"United States, Japan","English, Turkish",,6.2,829150
Dracula Untold,2014,"Action, Drama, Fantasy, Horror",Gary Shore,Nothing from IMDB,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance, Diarmaid Murtagh, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert","At the turn of the century, the young lord Vlad and his family live a peaceful life ruling over their small kingdom, but when a Turk warlord demands from Vlad a thousand boys and his son to create an army Vlad seeks a terrible power that will allow him to protect his kingdom and family from the Turks at a terrible cost.",['92'],"United States, Japan","English, Turkish",,6.2,829150
Dracula Untold,2014,"Action, Drama, Fantasy, Horror",Gary Shore,Nothing from IMDB,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance, Diarmaid Murtagh, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert","At the turn of the century, the young lord Vlad and his family live a peaceful life ruling over their small kingdom, but when a Turk warlord demands from Vlad a thousand boys and his son to create an army Vlad seeks a terrible power that will allow him to protect his kingdom and family from the Turks at a terrible cost.",['92'],"United States, Japan","English, Turkish",,6.2,829150
Dracula Untold,2014,"Action, Drama, Fantasy, Horror",Gary Shore,Nothing from IMDB,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance, Diarmaid Murtagh, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert","At the turn of the century, the young lord Vlad and his family live a peaceful life ruling over their small kingdom, but when a Turk warlord demands from Vlad a thousand boys and his son to create an army Vlad seeks a terrible power that will allow him to protect his kingdom and family from the Turks at a terrible cost.",['92'],"United States, Japan","English, Turkish",,6.2,829150
Bram Stoker's Dracula,1992,"Drama, Fantasy, Horror, Romance",Francis Ford Coppola,Nothing from IMDB,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves, Richard E. Grant, Cary Elwes, Billy Campbell, Sadie Frost, Tom Waits, Monica Bellucci","This version of Dracula is loosely based on Bram Stoker's classic novel. Young barrister Jonathan Harker is assigned to a gloomy village in the mists of eastern Europe. He is captured and imprisoned by the undead vampire Dracula, who travels to London, inspired by a photograph of Harker's betrothed, Mina Murray. In Britain, Dracula begins a reign of seduction and terror, draining the life from Mina's closest friend, Lucy Westenra. Lucy's friends gather together to try to drive Dracula away.",['128'],"United Kingdom, United States","English, Romanian, Greek, Bulgarian, Latin",,7.4,103874
