Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Raangi,2022,Action,M. Saravanan,Nothing from IMDB,"Trisha Krishnan, Anaswara Rajan, Bekzod Abdumalikov, Gowtham Sri Harsha, John Mahendran, Lizzie Antony, Gopi Kannadasan, Keerthy Vasan, Thilai Mani, Naga",,['121'],India,Tamil,,4.7,10805970
Raaste Kaa Patthar,1972,"Drama, Romance",Mukul Dutt,Nothing from IMDB,"Amitabh Bachchan, Shatrughan Sinha, Laxmi Chhaya, Prem Chopra, Neeta Khayani, Asit Kumar Sen, Satyendra Kapoor, Kishan Mehta, Bhagwan Palav, Trilok Kapoor","Bombay-based bachelor Jai Shankar Rai lets his superiors, as well as his boss, Ranjeet Choudhary, use his flat at night so that they can have their flings with women. He meets and fall in love with lovely but homeless Neeta Sinha, and even gets her a job at his firm. Hoping to propose to her after his promotion, he instead gets a shock when he finds out that she is soon to be his boss' wife.",['133'],India,Hindi,,5.6,69152
Real Steel,2011,"Action, Drama, Sci-Fi, Sport",Shawn Levy,Nothing from IMDB,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins","In the near future when people become uninterested in boxing and similar sports, a new sport is created - Robot boxing wherein robots battle each other while being controlled by someone. Charlie Kenton, a former boxer who's trying to make it in the new sport, not only doesn't do well, he is very deeply in the red. When he learns that his ex, mother of his son Max, dies, he goes to figure out what to do with him. His ex's sister wants to take him in but Charlie has first say in the matter. Charlie asks her husband for money so he can buy a new Robot in exchange for turning Max over to them. He takes Max for the summer. And Max improves his control of his robot. But when the robot is destroyed, they go to a scrap yard to get parts. Max finds an old generation robot named Atom and restores him. Max wants Atom to fight but Charlie tells him he won't last a round. However, Atom wins. And it isn't long before Atom is getting major bouts. Max gets Charlie to teach Atom how to fight, and the father and son bond strenghtens.",['127'],"United States, India","English, Ukrainian",,7.1,433035
Rukhsat,1988,Romance,Simi Garewal,Nothing from IMDB,"Mithun Chakraborty, Simi Garewal, Marc Zuber, Pradeep Kumar, Anuradha Patel, Amrish Puri, Sona Sardesai, Rohini Hattangadi, Tom Alter, Vikas Anand","Arjun Rai lives a poor lifestyle in Bombay, and works as an auto mechanic for a living. He and wealthy Sapna are in love with each other, much to the chagrin of Sapna's dad, who wants her to get married to someone wealthy. Arjun decides to buy his own garage and borrows money from a client, Jagdish Chopra. He works hard and is able to save some money. When he goes to propose for Sapna's hand, her dad asks his watchmen to throw him out, while doing so they find out he was armed, as a result police are summoned and he is arrested. Sapna re-locates to the U.S. to stay with her aunt, who subsequently convinces her to get married to Gautam Saigal. Nine years later Arjun and Sapna are destined to meet again - this time Sapna will be a mother of a girl, Komal, and wife to Gautam; while Arjun will be an assassin, who has been hired to locate and kill Gautam at any and all cost.",,India,Hindi,,7.5,423100
Shandar,1990,"Action, Comedy, Drama",Vinod Dewan,Iqbal Durrani,"Mithun Chakraborty, Meenakshi Sheshadri, Juhi Chawla, Mandakini, Sumeet Saigal, Danny Denzongpa, Kader Khan, Birbal, Mohan Choti, Manik Irani","Shanker comes from a poor family. He falls in love with a woman from a middle-class background named Rani. Shanker has another admirer in Anita Chaurasia, daughter of a multi-millionaire industrialist and politician, Rai Bahadur Arjun Chaurasia. Shanker comes to know the details of the wrong-doings of Arjun, and sets out to expose him. Arjun comes to know about Shanker's plans, and hires a notorious gangster named Dhaga, to dispose off Shanker. And Dhaga has never failed in any job.",['146'],India,Hindi,,5.6,173188
Shool,1999,"Action, Crime, Drama, Thriller",Eeshwar Nivas,Nothing from IMDB,"Manoj Bajpayee, Raveena Tandon, Sayaji Shinde, Yashpal Sharma, Ganesh Yadav, Veerendra Saxena, Nandu Madhav, Sandeep Kulkarni, Nagesh Bhonsle, Shri Vallabh Vyas","Police Inspector Samar Pratap Singh is transferred to Motihari, in the Indian state of Bihar, along with his wife Manjari and their daughter. He is honest and diligent and these attributes sets him up against his superior, the District Superintendent of Police, as well as his subordinates and fellow officers. His diligence in maintaining law and order, and his belief in justice for all, regardless of one's background, makes him a powerful enemy in the shape of Bachu Yadav, the local MLA of the ruling political party, who will stop at nothing to get rid of Samar and his family--and nobody will dare to stop him.",['138'],India,Hindi,,7.7,220757
Sultan,2016,"Action, Drama, Romance, Sport",Ali Abbas Zafar,Ali Abbas Zafar,"Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh, Kumud Mishra, Marrese Crump, Parikshit Sahni, Tyron Woodley, Ron Smoorenburg, Brahim Chab","Sultan is a story of Sultan Ali Khan - a local wrestling champion with the world at his feet as he dreams of representing India at the Olympics. It's a story of Aarfa - a feisty young girl from the same small town as Sultan with her own set of dreams. When the 2 local wrestling legends lock horns, romance blossoms and their dreams and aspirations become intertwined and aligned. However, the path to glory is a rocky one and one must fall several times before one stands victorious - More often than not, this journey can take a lifetime. Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds staked up against him. But when he has nothing to lose and everything to gain in this fight for his life match... Sultan must literally fight for his life. Sultan believes he's got what it takes... but this time, it's going to take everything he's got.",['170'],India,"Hindi, English, Haryanvi",,7.0,4832640
Sultan: The Saviour,2018,Thriller,Raja Chanda,Anshuman Pratyush,"Jeet, Prantik Banerjee, Mukul Dev, Taskeen Rahman, Bidya Sinha Saha, Sohidul Islam Sajid, Priyanka Sarkar",,['163'],India,Bangla,,5.0,8396262
Swati,1986,Drama,Kranthi Kumar,Nothing from IMDB,"Shashi Kapoor, Sharmila Tagore, Meenakshi Sheshadri, Vinod Mehra, Madhuri Dixit, Akbar Khan, Sarika Thakur, Madhu Kapoor, Raja Bundela, Feroz","Sharda, a nurse and single mother, raises her daughter Swati as an independent, articulate young woman. Swati is a strong advocate of women's rights in a society where there is significant male domination. Swati deals with eve teasers firmly, sometimes with considerable force. When a married friend of hers gets raped in the presence of her husband, she acts as a counsellor and helps them adjust to the reality of a society that blames the victim and not the rapists. Swati takes on a huge transformation when she meets a political activist and falls in love with him. She embarks on a project of matchmaking for her mother and engineers a wedding with a widower who has a grown-up daughter.",['151'],India,Hindi,,5.9,92033
Unfreedom,2014,"Crime, Drama, Romance, Thriller",Raj Amit Kumar,Nothing from IMDB,"Victor Banerjee, Adil Hussain, Bhanu Uday, Preeti Gupta, Bhavani Lee, Ankur Vikal, Seema Rahmani, Samrat Chakrabarti, Danae Nason, Andrew Platner","""UNFREEDOM"" is an urgent contemporary thriller about a society torn apart by political, religious, and sexual turmoil. Shifting between New York and New Delhi, the film juxtaposes two powerful and unflinching stories about religious fundamentalism and intolerance, one of which follows a Muslim terrorist attempting to silence a liberal Muslim scholar, while the other is about a young woman who defies her devout father and escapes an arranged marriage because she is secretly embroiled in a taboo lesbian romance. In this searing portrait of the polarized world we live in, all four characters go to their absolute limit--and beyond--in their struggle to defend their deeply-held and conflicting viewpoints on freedom, faith, family, and love.",['102'],"United States, India","English, Hindi",,5.0,2049630
