Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Bait,2012,"Action, Fantasy, Horror",Kimble Rendall,Nothing from IMDB,"Xavier Samuel, Sharni Vinson, Adrian Pang, Yuwu Qi, Alex Russell, Phoebe Tonkin, Martin Sacks, Alice Parkinson, Lincoln Lewis, Damien Garvey","A group of people get trapped in a supermarket after a tsunami hits the coast of Queensland, Australia. But they soon find out that they have more to worry about than being in a flooded grocery store - there are 12 foot sharks swimming around them, and they're hungry.",['93'],"Australia, Singapore, China",English,,5.2,1438173
Balls Out,2014,"Comedy, Sport",Andrew Disney,Bradley Jackson,"Jake Lacy, Nikki Reed, Kate McKinnon, Beck Bennett, Nick Kocher, Brian McElhaney, Gabriel Luna, Will Elliott, Kirk C. Johnson, Sam Eidson",,['100'],United States,English,,4.3,2937254
Bangalore Days,2014,"Comedy, Drama, Romance",Anjali Menon,Nothing from IMDB,"Dulquer Salmaan, Nivin Pauly, Nazriya Nazim, Fahadh Faasil, Parvathy Thiruvothu, Isha Talwar, Nithya Menen, Kalpana, Maniyanpilla Raju, Praveena",Bangalore Days begins with an intro from Kuttan (Nivin Pauly) introducing himself and his cousins namely Divya (Nazriya) and Aju (Dulquer) who share a very friendly relationship right from the childhood.They get separated after their schooling but are reunited at Bangalore after the marriage of Divya to Das. The story revolves around how their life turns at Bangalore.,['171'],India,Malayalam,,8.3,3668162
Barefoot,2014,"Comedy, Drama, Romance",Andrew Fleming,Stephen Zotnowski,"Evan Rachel Wood, Scott Speedman, Treat Williams, Kate Burton, J.K. Simmons, J. Omar Castro, David Jensen, Jaqueline Fleming, Ashleigh Borman, Ricky Wayne","The ""black sheep"" son of a wealthy family meets a young psychiatric patient who's been raised in isolation her entire life. He takes the naive young woman home for his brother's wedding to convince his family that he's finally straightened out his life. She impresses the family with her genuine, if unstable charm. Along the way they fall into an improbable love",['90'],United States,English,,6.5,2355495
The Take,2016,"Action, Adventure, Crime, Drama, Mystery, Thriller",James Watkins,"Andrew Baldwin, James Watkins","Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly, José Garcia, Thierry Godard, Vincent Londez, Arieh Worthalter, Mohamed Makhtoumi, Théo Costa-Marini","Michael Mason, a pickpocket living in Paris, steals a bag with a teddy bear in it. Not realizing the toy contains a timed bomb, he tosses it aside on a busy street. A few seconds later it explodes, killing four people. CCTV footage reveals Mason's face and the French police tag him as a terrorist threat. The explosion, although botched, was set up by a select group of the French Interior Ministry as a decoy so they can make a half billion dollar digital transfer from a bank (closed on French National Day) -- hence the title Bastille Day. In a separate CIA investigation the unruly agent Sean Briar discovers the real story behind Mason's ""terrorist attack"". The two men, on different sides of the law, collaborate to bring the corrupt members of the Ministry down.",['92'],"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany","English, French",,6.3,2368619
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",Zack Snyder,Nothing from IMDB,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg, Diane Lane, Laurence Fishburne, Jeremy Irons, Holly Hunter, Gal Gadot, Scoot McNairy","The general public is concerned over having Superman on their planet and letting the ""Dark Knight"" - Batman - pursue the streets of Gotham. While this is happening, a power-phobic Batman tries to attack Superman. Meanwhile, Superman tries to settle on a decision, and Lex Luthor, the criminal mastermind and millionaire, tries to use his own advantages to fight the ""Man of Steel"".",['151'],United States,English,,6.5,2975590
Battle Los Angeles,2011,"Action, Adventure, Sci-Fi",Jonathan Liebesman,Christopher Bertolini,"Aaron Eckhart, Ramón Rodríguez, Will Rothhaar, Cory Hardrict, Jim Parrack, Gino Anthony Pesi, Ne-Yo, James Hiroyuki Liao, Bridget Moynahan, Noel Fisher","Los Angeles and other cities around the world are being bombarded by meteors that seem to be slowing down once they hit the earth's atmosphere. The earth is suddenly being invaded by space aliens that have landed off the shore of LA, and who begin killing everybody along the beach. The military is ordered into action. Marine Staff Sergeant Nantz (Aaron Eckhart), who was about to retire, is reassigned to a new platoon. The platoon, flown by chopper to the forward operating base at Santa Monica Airport, is being led by a new 2nd Lt. Martinez (Ramon Rodriguez). They are sent on a mission to rescue some civilians who are trapped at the police station within alien territory. They only have 3 hours to complete their mission and get out before the Air Force bombs that zone.",['116'],United States,"English, Ukrainian",,5.7,1217613
Battlecreek,2017,"Drama, Romance",Alison Eastwood,Anthea Anka,"Bill Skarsgård, Paula Malcomson, Claire van der Boom, Delroy Lindo, Toby Hemingway, Dana Powell, Amye Gousset, Jordan Salloum, Susan McPhail, Jeremy Sande","Henry is a loner, living with his overprotective mother in a small Southern town called Battlecreek. Henry has a rare sun disease and must avoid sunlight. He lives his life at night -- hanging out at the diner, working the night shift at the gas station and swimming in the creek under the moonlight. Henry doesn't know who he is or what he wants, until he meets Alison. When Alison's car breaks down in Battlecreek, she answers the ""help wanted"" sign at the diner to pay for the repair. Henry is immediately drawn to the mysterious girl. Alison shows Henry that he can live a life he thought impossible, even at the cost of losing his mom and freeing him from his past.",['97'],United States,English,,5.7,1880415
Beastly,2011,"Drama, Fantasy, Romance",Daniel Barnz,Nothing from IMDB,"Alex Pettyfer, Justin Bradley, Mary-Kate Olsen, Dakota Johnson, Erik Knudsen, Vanessa Hudgens, Karl Graboshas, Peter Krause, LisaGay Hamilton, Jonathan Dubsky","At the Buckeston Academy High School, the wealthy, arrogant, narcissistic, and bigoted Kyle Kingson is a student who does not respect his classmates. When Kyle is elected representative of the students, he plays a prank on the outcast Kendra, who has a reputation as a witch: he invites her to a party and humiliates her in front of their classmates. However, Kendra curses him with a spell that makes Kyle as ugly as his soul. Further, she tells him that if he does not find anyone who loves him within a year, he will be doomed to that appearance forever. When Kyle's father, Rob Kingson, sees him, he takes Kyle to specialists but the doctors do not know what to do, so Rob hides Kyle in an apartment with a maid and a blind tutor. When Kyle sees his mate Lindy on the streets, he saves her from a dangerous drug dealer and he brings her to his apartment to protect her. Now his only hope is that Lindy will fall in love with him.",['86'],United States,English,,5.5,1152398
Beasts of the Southern Wild,2012,"Adventure, Drama, Fantasy",Benh Zeitlin,Nothing from IMDB,"Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes, Pamela Harper, Gina Montana, Amber Henry, Jonshel Alexander, Nicholas Clark, Joseph Brown","Hushpuppy, an intrepid six-year-old girl, lives with her father, Wink, in the Bathtub, a southern Delta community at the edge of the world. Wink's tough love prepares her for the unraveling of the universe; for a time when he's no longer there to protect her. When Wink contracts a mysterious illness, nature flies out of whack, temperatures rise, and the ice caps melt, unleashing an army of prehistoric creatures called aurochs. With the waters rising, the aurochs coming, and Wink's health fading, Hushpuppy goes in search of her lost mother.",['93'],United States,English,,7.2,2125435
