Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Love Khichdi,2009,"Comedy, Drama, Romance",Srinivas Bhashyam,Nothing from IMDB,"Randeep Hooda, Rituparna Sengupta, Sada, Divya Dutta, Riya Sen, Kalpana Pandit, Saurabh Shukla, Sanjay Mishra, Ujjwal Chopra, Sonali Kulkarni","Vir is a bachelor from a small town working as a sous-chef in a five-star hotel in Mumbai. A handsome, charming, macho idiot who flirts with, yearns for and lusts after any woman who is friendly but seems unattainable. From his man-hating maid, whom he ogles as she wipes his floor, to the man-eating call center owner who could wipe the floor with him...from the too-tall model to the too-young pretty pest down the corridor...from the Bengali-Beauty-with-Brains-and-Books to the born-flirt next door - Vir is suckered by them all. Ego, Confusion, Commitment...it's so difficult to stop flattering and lying - to himself! The sometimes smart and sometimes silly observations of his all-male gang of cooks at the hotel kitchen is of little help until... Vir, an especially overconfident (and thus entertaining) specimen of the male species, is forced to grow up.",['130'],India,"Hindi, Marathi, Tamil, English",,5.6,1474271
Ludo,2020,"Action, Comedy, Crime, Drama",Anurag Basu,Nothing from IMDB,"Ted Dykstra, Fatima Sana Shaikh, Sanya Malhotra, Pankaj Tripathi, Rajkummar Rao, Abhishek Bachchan, Addison Holley, Aditya Roy Kapoor, Anurag Basu, Heather Bambrick","From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal. Now these misfits, miscreants, lovers and losers are all unwitting pawns in this unpredictable game. The only way home? Keep playing.",['150'],India,Hindi,,7.6,7212754
Luka Chuppi,2019,"Comedy, Romance",Laxman Utekar,Rohan Shankar,"Kartik Aaryan, Kriti Sanon, Aparshakti Khurana, Pankaj Tripathi, Vinay Pathak, Atul Srivastava, Alka Amin, Vishwanath Chatterjee, Samarth Chauhan, Neha Saraf","Vinod ""Guddu"" Shukla is a television reporter in Mathura. He falls for the headstrong Rashmi Trivedi. Guddu wants to get married but Rashmi suggests a live-in relationship. They decide to try the live-in relationship when both their traditional families assume they're married and start living with them.",['126'],India,Hindi,,6.4,8908002
M.A.D: Mad About Dance,2014,"Drama, Music",Saahil Prem,Saahil Prem,"Saahil Prem, Amy Maghera, Salah Benlemqawanssa, Akhilesh Unnithan, Abhishek Saha, Raashul Tandon, Jon Jo, Kiyani Aziz, Sandeep Garcha, Helen Grayson","Essentially a dance film, it focuses on the youth, their dreams, anxieties, disappointments and hopes for their future. The film is based in the quaint and beautiful university town of Sheffield and brings to light the stories of Asian students who leave their home and country and go to study abroad...Their struggles, their heartbreaks, their trials and triumphs.",['125'],India,"Hindi, English",,5.1,3814100
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport","Mathur Goswami, Neeraj Pandey",Nothing from IMDB,"Sushant Singh Rajput, Kiara Advani, Anupam Kher, Disha Patani, Bhoomika Chawla, Sanjay Dadhich, Kaliprasad Mukherjee, Zeeshaan, Mithu Chakraborty, Kranti Prakash Jha","Mahendra Singh Dhoni is a goalkeeper in school football team. Bannerjee a school cricket coach asks him to join his cricket team and practice daily with him for two hours time passes and he becomes a big state-level cricketer, but for a long time luck doesn't favor him to become a member of the Indian Cricket team. Dhoni takes a job in Indian Railways as a ticket-checker and plays cricket for the railways; after four years he gets selected for the Indian Cricket team and turns out to be one of the best cricketing captains in the history of Indian Cricket.",['184'],India,Hindi,,8.0,4169250
Maachis,1996,"Action, Crime, Drama, Thriller",Gulzar,Nothing from IMDB,"Om Puri, Tabu, Chandrachur Singh, Kanwaljeet Singh, Kulbhushan Kharbanda, Raj Zutshi, Suneel Sinha, Jimmy Shergill, Ravi Gosain, Navninder Behl","Following the assassination of Mrs. Indira Gandhi, the Prime Minister of India, at the hands of her Sikh bodyguards, a wave of violence broke out against innocent Sikhs and their families. Pressure was also brought on the police to bring the assassins and their allies to justice. The police, with their limited resources, and the lack of any witnesses, brutally brought in innocent Sikh men and women, and aggressively interrogated them with third degree methods. This created a wave of sympathy for the extremists, and more people started joining them to revolt against an oppressive regime. This story is of one such family, consisting of Veerandra (Tabu), her brother Jaswant Singh or Jassi (Raj Zutshi), and her mom. One day Inspector Vohra (Kanwaljeet) comes to their house with a police escort to find out the whereabouts of Jimmy or Jaimal (Jasjit Shergill). Jassi playfully introduces the police party to his pet dog Jimmy, and is taken away for questioning. He returns several days later, bleeding and badly wounded. Veerandra's boyfriend Kripal Singh or Pali (Chandrachur Singh) vows to avenge Jassi's beating and joins up with Commander (Kulbhushan Kharbanda) and Sanataan (Om Puri), both hardcore extremists.",['160'],India,Hindi,,7.7,116950
Madaari,2016,"Drama, Thriller",Nishikant Kamat,Nothing from IMDB,"Irrfan Khan, Jimmy Shergill, Vishesh Bansal, Tushar Dalvi, Nitesh Pandey, Kedar Bagaria, Manoj Bakshi, Sunil Bedi, Rajat Bhalla, Satyajeet Bhattacharya",'Madaari' is the story of a common man who sets out to avenge the death of his son caused by rampant corruption in the government. Losing the only family he had brings him to kidnap the home minister's son and bring those responsible to justice.,['133'],India,Hindi,,7.6,5713232
Sing! China,2016,"Music, Reality-TV",Nothing from IMDB,Nothing from IMDB,"Ronghao Li, Ying Na, Harlem Yu, Leehom Wang, Hacken Lee, Haman Hu, Xiaoyun Huang, Feng Wang, Jay Chou, Nicholas Tse",,,China,Chinese,,3.8,7353808
Madhumati,1958,"Fantasy, Musical, Mystery, Romance",Bimal Roy,Nothing from IMDB,"Dilip Kumar, Vyjayanthimala, Johnny Walker, Pran Sikand, Jayant, Ramayan Tiwari, Misra, Baij Sharma, Bhudo Advani, Jagdish","While driving his car on a rainy night, Anand's car breaks down, and he goes to seek shelter in a nearby house. He is let into the house by the servant, and he is permitted to stay until the rains stop be able to get his car fixed. It is here that he will find out about his previous birth, his true love, Madhumati, their ill-fated, star-crossed and tragic romance, and how events in his previous birth are going to effect him in this life-time.",['110'],India,Hindi,,7.8,50665
Truly Madly Deeply,1990,"Comedy, Drama, Fantasy, Music, Romance",Anthony Minghella,Anthony Minghella,"Juliet Stevenson, Jenny Howe, Carolyn Choa, Bill Paterson, Christopher Rozycki, Keith Bartlett, David Ryall, Stella Maris, Ian Hawkes, Deborah Findlay","Once upon a time there were two people in love, their names were Nina and Jamie. They were even happy enough to be able to live happily ever after, (not often the case) and then Jamie died. Nina is left with a house full of rats and handymen, a job teaching foreigners English and an ache that fills the night sky.",['106'],United Kingdom,English,,7.2,103129
