Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Lucy,2014,"Action, Sci-Fi, Thriller",Luc Besson,Luc Besson,"Scarlett Johansson, Morgan Freeman, Choi Min-sik, Amr Waked, Julian Rhind-Tutt, Pilou Asbæk, Lio Tipton, Nicolas Phongpheth, Jan Oliver Schroeder, Luca Angeletti","It was supposed to be a simple job. All Lucy had to do was deliver a mysterious briefcase to Mr. Jang. But immediately Lucy is caught up in a nightmarish deal where she is captured and turned into a drug mule for a new and powerful synthetic drug. When the bag she is carrying inside of her stomach leaks, Lucy's body undergoes unimaginable changes that begins to unlock her mind's full potential. With her new-found powers, Lucy turns into a merciless warrior intent on getting back at her captors. She receives invaluable help from Professor Norman, the leading authority on the human mind, and French police captain Pierre Del Rio.",['89'],"France, Germany, Taiwan, Canada, United States, United Kingdom","English, Mandarin, French, Italian, German, Spanish, Korean",,6.4,2872732
Madame,2017,"Comedy, Drama, Romance",Amanda Sthers,Nothing from IMDB,"Toni Collette, Harvey Keitel, Rossy de Palma, Michael Smiley, Tom Hughes, Violaine Gillibert, Stanislas Merhar, Sue Cann, Ariane Séguillon, Amélie Grace Zhurkin","Adding a little spice to a waning marriage, Anne and Bob, a wealthy and well-connected American couple, move into a manor house in romantic Paris. While preparing a particularly luxurious dinner for sophisticated international friends, our hostess discovers there are thirteen guests. Panic-stricken, Anne insists her loyal maid Maria disguise herself as a mysterious Spanish noble woman to even out the numbers. But a little too much wine, and some playful chat, lead Maria to accidentally endear herself to a dandy British art broker. Their budding romance will have Anne chasing her maid around Paris and finally plotting to destroy this most unexpected and joyous love affair.",['91'],France,"English, French, Spanish",,6.1,6045466
Magic Magic,2013,"Drama, Horror, Thriller",Sebastián Silva,Sebastián Silva,"Michael Cera, Juno Temple, Emily Browning, Catalina Sandino Moreno, Agustín Silva, Luis Dubó, Roxana Naranjo, Lorenza Aillapán, John Carlos Huenchunao, Rayén Aliquintuy","Alicia arrives in South America to vacation with her cousin, Sara. When Sarah is suddenly called away, Alicia is stuck on a remote island off Chile with three of Sara's friends, including Brink, an American exchange student with a sadistic streak. Bewildered, frightened, and unable to sleep, Alicia's reality becomes a nightmare from which there is no waking. Ancient indigenous rites, disturbing animal behavior, and captivating hypnotic trances come together in an intense exploration into the darkest corners . . . when the games go too far, reality unravels with astonishing and deadly consequences.",['97'],"United States, Chile","English, Spanish, Mapudungun",,5.0,1929308
Magnolia,1999,Drama,Paul Thomas Anderson,Paul Thomas Anderson,"Pat Healy, Genevieve Zweig, Mark Flanagan, Neil Flynn, Rod McLachlan, Allan Graf, Patton Oswalt, Raymond 'Big Guy' Gonzales, Brad Hunt, Jim Meskimen","24 hours in L.A.; it's raining cats and dogs. Two parallel and intercut stories dramatize men about to die: both are estranged from a grown child, both want to make contact, and neither child wants anything to do with dad. Earl Partridge's son is a charismatic misogynist; Jimmy Gator's daughter is a cokehead and waif. A mild and caring nurse intercedes for Earl, reaching the son; a prayerful and upright beat cop meets the daughter, is attracted to her, and leads her toward a new calm. Meanwhile, guilt consumes Earl's young wife, while two whiz kids, one grown and a loser and the other young and pressured, face their situations. The weather, too, is quirky.",['188'],United States,"English, German, French",,8.0,175880
Maleficent: Mistress of Evil,2019,"Adventure, Family, Fantasy, Romance",Joachim Rønning,Nothing from IMDB,"Angelina Jolie, Elle Fanning, Harris Dickinson, Michelle Pfeiffer, Sam Riley, Chiwetel Ejiofor, Ed Skrein, Robert Lindsay, David Gyasi, Jenn Murray","Five peaceful years have passed since the demise of the duplicitous monarch King Stefan in Maleficent (2014), and now, an unforeseen but joyous event is about to unite the mortal kingdom of Ulstead and the fairy-realm of the enchanted Moors. However, once more, odious treason stands in the way of true young love, as malicious envy, unbounded ambition and ignoble thoughts creep in the hearts of men. Now, two neighboring worlds find themselves divided by fear and prejudice, and, sadly, the impending union paves the way for an all-out confrontation. Suddenly, magnificent winged sprite Maleficent and lovely Princess Aurora are caught in the middle. Does love always end well?",['119'],"United Kingdom, Canada, United States, France",English,,6.6,4777008
Mama,2013,"Fantasy, Horror, Thriller",Andy Muschietti,Nothing from IMDB,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse, Daniel Kash, Javier Botet, Jane Moffat, Morgan McGarry, David Fox, Dominic Cuzzocrea","Jeffrey Desange, senior partner of an investment brokerage, has a breakdown after a financial collapse and kills several co-workers and his estranged wife and kidnaps his two young daughters, Victoria and Lily. When they're found five years later, they're taken in by their uncle (their father's twin brother) and his girlfriend. Macabre events soon make the new guardians suspect that a supernatural evil force named Mama has attached itself to the girls.",['100'],"Canada, Spain, Mexico",English,,6.2,2023587
Man of Steel,2013,"Action, Adventure, Sci-Fi",Zack Snyder,Nothing from IMDB,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane, Russell Crowe, Antje Traue, Harry Lennix, Richard Schiff, Christopher Meloni, Kevin Costner","A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must now emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",['143'],"United States, United Kingdom",English,,7.1,770828
Man of Steel,2013,"Action, Adventure, Sci-Fi",Zack Snyder,Nothing from IMDB,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane, Russell Crowe, Antje Traue, Harry Lennix, Richard Schiff, Christopher Meloni, Kevin Costner","A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must now emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",['143'],"United States, United Kingdom",English,,7.1,770828
Man of Steel,2013,"Action, Adventure, Sci-Fi",Zack Snyder,Nothing from IMDB,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane, Russell Crowe, Antje Traue, Harry Lennix, Richard Schiff, Christopher Meloni, Kevin Costner","A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must now emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",['143'],"United States, United Kingdom",English,,7.1,770828
Man of Steel,2013,"Action, Adventure, Sci-Fi",Zack Snyder,Nothing from IMDB,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane, Russell Crowe, Antje Traue, Harry Lennix, Richard Schiff, Christopher Meloni, Kevin Costner","A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must now emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",['143'],"United States, United Kingdom",English,,7.1,770828
Man of the Year,2006,"Comedy, Drama, Romance, Thriller",Barry Levinson,Barry Levinson,"Robin Williams, Christopher Walken, Laura Linney, Lewis Black, Jeff Goldblum, David Alpay, Faith Daniels, Tina Fey, Amy Poehler, Doug Murray","Tom Dobbs, comedic host of a political talk show--a' la Bill Maher and Jon Stewart--runs for President of the US as an independent candidate who, after an issues-oriented campaign and an explosive performance in the final debate, gets just enough votes to win. Trouble is, he owes his victory to a computer glitch in the national touch-screen voting system marketed by Delacroy, a private company with a rising stock price. To protect their fortune, Delacroy executives want to keep the glitch a secret, but one programmer, Eleanor Green, wants Dobbs to know the truth. Can she get to him?",['115'],United States,English,,6.2,483726
Man on Fire,2004,"Action, Crime, Drama, Thriller",Tony Scott,Nothing from IMDB,"Denzel Washington, Dakota Fanning, Radha Mitchell, Christopher Walken, Marc Anthony, Giancarlo Giannini, Mickey Rourke, Rachel Ticotin, Roberto Sosa, Jesús Ochoa","Hard-drinking, burnt-out ex-CIA operative John Creasy has given up on life until he's hired as a bodyguard to protect 9-year-old Pita Ramos. Bit by bit, Creasy begins to reclaim some of his soul, but when Pita is kidnapped, Creasy's fiery rage is finally released and he will stop at nothing to save her as he sets out on a dangerous, revenge-fueled rescue mission.",['146'],"Switzerland, United Kingdom, United States, Mexico","English, Spanish",,7.7,328107
Manchester by the Sea,2016,Drama,Kenneth Lonergan,Kenneth Lonergan,"Casey Affleck, Ivy O'Brien, Kyle Chandler, Richard Donelly, Virginia Loring Cooke, Quincy Tyler Bernstine, Missy Yager, Stephen McKinley Henderson, Ben Hanson, Mary Mallen","Lee Chandler is a brooding, irritable loner who works as a handyman for a Boston apartment block. One damp winter day he gets a call summoning him to his hometown, north of the city. His brother's heart has given out suddenly, and he's been named guardian to his 16-year-old nephew. As if losing his only sibling and doubts about raising a teenager weren't enough, his return to the past re-opens an unspeakable tragedy.",['137'],United States,English,,7.8,4034228
