Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Seema Raja,2018,"Action, Drama",Ponram,Nothing from IMDB,"Sivakarthikeyan, Samantha Ruth Prabhu, Soori, Simran, Lal, Napolean, Keerthy Suresh, Manobala, Motta Rajendran, Ramasamy",,['158'],India,Tamil,,4.3,8011328
Sehar,2005,"Action, Crime, Drama",Kabeer Kaushik,Kabeer Kaushik,"Arshad Warsi, Pankaj Kapur, Mahima Chaudhry, Sushant Singh, Naved Aslam, Suhasini Mulay, Rajendra Gupta, Ujjwal Chopra, Ghanshyam Garg, Ravi Jhankal","At the tender age of 8 Ajay Kumar is traumatized with the death of his army officer dad, who kills himself with his service revolver as he was being accused of being a deserter, leaving a widowed Prabha to bring up Ajay on her own. Ajay grows up, studies, and successfully becomes an IPS officer with the title of SSP. Due to his honesty, he gets transferred to various states in India. At this new posting in Uttar Pradesh he comes to terms with criminal don and ruthless killer Gajraj Singh. Ajay would like a set up a Special Task Force to deal with Gajraj, however, he does run into problems as Gajraj is politically well-connected. Then a child, who is a close friend of the state Chief Minister's, is kidnapped by Gajraj, and this paves the way for formation of the STF, consisting of about 8 honest and dedicated men, and this does results in the rescue of the child. Gajraj continues to elude the STF, using more modern technology such as the use of cell phones. But the STF bounces back and is able to monitor Gajraj's cell phones - only to find out that Gajraj is going to contest the elections - and if he wins than no police officer of any rank, leave alone the STF, can dare to arrest him or even consider him a suspect, and which may well result in the STF being mere paper tigers.",['125'],India,Hindi,,7.7,477857
Seraphim Falls,2006,"Action, Drama, Thriller, War, Western",David Von Ancken,"David Von Ancken, Abby Everett Jaques","Liam Neeson, Pierce Brosnan, Michael Wincott, Xander Berkeley, Ed Lauter, Tom Noonan, Kevin J. O'Connor, John Robinson, Anjelica Huston, Angie Harmon","In the 1860s, five men have been tracking a sixth across Nevada for more than two weeks. They shoot and wound him, but he gets away. They pursue, led by the dour Carver, who will pay them each $1 a day once he's captured. The hunted is Gideon, resourceful, skilled with a knife. Gideon's flight and Carver's hunt require horses, water, and bullets. The course takes them past lone settlers, a wagon train, a rail crew, settlements, and an Indian philosopher. What is the reason for the hunt; what connects Gideon and Carver? What happened at Seraphim Falls?",['115'],United States,English,,6.6,479537
Sesh Anka,2015,Mystery,Tathagata Banerjee,Sanjeeb Banerjee,"Mir Afsar Ali, Sanjeeb Banerjee, Tathagata Banerjee, Shankar Chakraborty, Prantik Chatterjee, Haroprashad Chattopadhyay, Dipankar Dey, Debolina Dutta, Samadarshi Dutta, Shataf Figar","This is the story of the embittered and stoned Raina caught in a mysterious murder case and the efforts of the illustrious retired criminal lawyer Pranoy Dasgupta to save her. The story also involves the maneuvers of a hardened cop who hates criminals and will leave no stone unturned to punish the evil doers and a mysterious character who pops in with game changing information every now and then. What is Raina's real story, Why is she in such a miserable state, Whom did she harm to call such troubles upon herself and Will she be eventually found guilty is what Sesh Anko aims to present with an engaging tale of murder, mystery, betrayal and a dramatic court room sequence.",['130'],India,Bangla,,6.0,4805880
Shaadi Mein Zaroor Aana,2017,"Drama, Romance",Ratnaa Sinha,Kamal Pandey,"Rajkummar Rao, Kriti Kharbanda, K.K. Raina, Alka Amin, Vipin Sharma, Govind Namdeo, Navni Parihar, Nayani Dixit, Manoj Pahwa, Neha Agarwal","Satyendra aka Sattu (Rajkummar Rao) and Aarti (Kriti Kharbanda) meet for a proposed arranged marriage and fall in love in the process. On the night of their marriage, an unexpected turn of events turns their world upside down. Set in the backdrop of India's civil services, Shaadi Mein Zaroor Aana explores the challenges that Satyendra and Aarti face as a middle-class couple in India.",['137'],India,Hindi,,7.5,7469726
YouTube Rewind: The Shape of 2017,2017,"Short, Music","Kai Hasson, Musa Muhammed Olayinka",Nothing from IMDB,"Will 'Wildabeast' Adams, DJ Akademiks, Bhuvan Bam, Aleksandr Banaischik, Saffron Barker, David Baszucki, Enes Batur, Uras Benlioglu, Emma Blackery, Anna Brisbin",,['7'],United States,English,,1.9,7716370
Shagird,2011,"Action, Crime, Drama, Thriller",Tigmanshu Dhulia,Nothing from IMDB,"Nana Patekar, Mohit Ahlawat, Rimi Sen, Anurag Kashyap, Zakir Hussain, Master Ahan Desai, Rajiv Gupta, Asawari Joshi, Jai Kalra, Vijay Kaushik","Sub-Inspector Mohit Kumar joins Delhi Police' Crime Branch and is instructed to work under the supervision of Senior Police Inspector Hanumant Singh, who lives with his wife and school-going son, Nikhil. Mohit witnesses Hanumant's family come under attack and becomes sympathetic - especially when the media - including his Aaj Tak Reporter and girlfriend, Varsha Mathur - criticizes him. Mohit does change his mind about Hanumant when he witnesses the latter break the laws as well as accept bribes and shares it with other police officers with impunity. Mohit will not only face career and personal challenges when he decides to oppose politically-connected Hanumant, but also when Varsha, along with two other journalists, will be abducted by Islamic terrorists.",['143'],India,"Hindi, English",,7.0,1828289
Shagird,2011,"Action, Crime, Drama, Thriller",Tigmanshu Dhulia,Nothing from IMDB,"Nana Patekar, Mohit Ahlawat, Rimi Sen, Anurag Kashyap, Zakir Hussain, Master Ahan Desai, Rajiv Gupta, Asawari Joshi, Jai Kalra, Vijay Kaushik","Sub-Inspector Mohit Kumar joins Delhi Police' Crime Branch and is instructed to work under the supervision of Senior Police Inspector Hanumant Singh, who lives with his wife and school-going son, Nikhil. Mohit witnesses Hanumant's family come under attack and becomes sympathetic - especially when the media - including his Aaj Tak Reporter and girlfriend, Varsha Mathur - criticizes him. Mohit does change his mind about Hanumant when he witnesses the latter break the laws as well as accept bribes and shares it with other police officers with impunity. Mohit will not only face career and personal challenges when he decides to oppose politically-connected Hanumant, but also when Varsha, along with two other journalists, will be abducted by Islamic terrorists.",['143'],India,"Hindi, English",,7.0,1828289
Shagird,2011,"Action, Crime, Drama, Thriller",Tigmanshu Dhulia,Nothing from IMDB,"Nana Patekar, Mohit Ahlawat, Rimi Sen, Anurag Kashyap, Zakir Hussain, Master Ahan Desai, Rajiv Gupta, Asawari Joshi, Jai Kalra, Vijay Kaushik","Sub-Inspector Mohit Kumar joins Delhi Police' Crime Branch and is instructed to work under the supervision of Senior Police Inspector Hanumant Singh, who lives with his wife and school-going son, Nikhil. Mohit witnesses Hanumant's family come under attack and becomes sympathetic - especially when the media - including his Aaj Tak Reporter and girlfriend, Varsha Mathur - criticizes him. Mohit does change his mind about Hanumant when he witnesses the latter break the laws as well as accept bribes and shares it with other police officers with impunity. Mohit will not only face career and personal challenges when he decides to oppose politically-connected Hanumant, but also when Varsha, along with two other journalists, will be abducted by Islamic terrorists.",['143'],India,"Hindi, English",,7.0,1828289
Shagird,2011,"Action, Crime, Drama, Thriller",Tigmanshu Dhulia,Nothing from IMDB,"Nana Patekar, Mohit Ahlawat, Rimi Sen, Anurag Kashyap, Zakir Hussain, Master Ahan Desai, Rajiv Gupta, Asawari Joshi, Jai Kalra, Vijay Kaushik","Sub-Inspector Mohit Kumar joins Delhi Police' Crime Branch and is instructed to work under the supervision of Senior Police Inspector Hanumant Singh, who lives with his wife and school-going son, Nikhil. Mohit witnesses Hanumant's family come under attack and becomes sympathetic - especially when the media - including his Aaj Tak Reporter and girlfriend, Varsha Mathur - criticizes him. Mohit does change his mind about Hanumant when he witnesses the latter break the laws as well as accept bribes and shares it with other police officers with impunity. Mohit will not only face career and personal challenges when he decides to oppose politically-connected Hanumant, but also when Varsha, along with two other journalists, will be abducted by Islamic terrorists.",['143'],India,"Hindi, English",,7.0,1828289
