Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Chinese Zodiac,2012,"Action, Adventure, Comedy, Crime",Jackie Chan,Nothing from IMDB,"Jackie Chan, Oliver Platt, Shu Qi, Alaa Safi, Daniel Wu, Wen Jiang, Max Huang, Caitlin Dechelle, Fahim Fazli, Stephen Chang","Asian Hawk (Jackie Chan) leads a mercenary team to recover several lost artifacts from the Old Summer Palace, the bronze heads of the 12 Chinese Zodiac animals which was looted by foreigners in the 1800s. Assisted by a Chinese student and a Parisian lady, Hawk stops at nothing to accomplish the mission.",['122'],"Hong Kong, China","English, Mandarin, French, Spanish, Russian",,6.0,1424310
The Chosen,2017,"Drama, History",Nothing from IMDB,"Dallas Jenkins, Dallas Jenkins, Dallas Jenkins","Jordan Walker Ross, Elizabeth Tabish, Shahar Isaac, Paras Patel, Jonathan Roumie, Noah James, George H. Xanthis, Shaan Sharma, Joey Vahedi, Nick Shakoour","The Chosen is a groundbreaking historical drama based on the life of Jesus, seen through the eyes of those who knew him. Set against the backdrop of Jewish oppression in first-century Israel, the series shares an authentic and intimate look at Jesus' revolutionary life and teachings.",['54'],United States,English,,9.2,9471404
Cinderella,2015,"Adventure, Drama, Family, Fantasy, Romance",Kenneth Branagh,Nothing from IMDB,"Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter, Nonso Anozie, Stellan Skarsgård, Sophie McShera, Holliday Grainger, Derek Jacobi, Ben Chaplin","A girl named Ella (Cinderella) has the purest heart living in a cruel world filled with evil stepsisters and an evil stepmother out to ruin Ella's life. Ella becomes one with her pure heart when she meets the Prince and dances her way to a better life with glass shoes, and a little help from her fairy godmother, of course.",['105'],"United Kingdom, United States, Denmark, Canada, Italy",English,,6.9,1661199
Citizen Ruth,1996,"Comedy, Drama",Alexander Payne,"Alexander Payne, Jim Taylor","Laura Dern, Swoosie Kurtz, Kurtwood Smith, Mary Kay Place, Kelly Preston, M.C. Gainey, Kenneth Mars, David Graf, Kathleen Noone, Tippi Hedren","Ruth Stoops is a poor indigent drug-user (a huffer - inhaling glue and paint for a high) whose down and out existence is complicated once more by becoming pregnant (she has had and lost four children already). When a judge orders that she gets an abortion or face a felony charge, she is befriended by Gail Stoney, a pro-lifer whose husband is president of the local ""Babysavers"" group. Suddenly Ruth is thrust into the middle of the pro-choice/pro-life struggle, with each side wanting her to take their side as a ""message"" to others - and the situation escalates...",['106'],United States,English,,7.0,115906
City Island,2009,"Comedy, Drama",Raymond De Felitta,Raymond De Felitta,"Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer, Ezra Miller, Dominik Garcia, Carrie Baker Reynolds, Hope Glendon-Ross, Alan Arkin, Louis Mustillo","The Rizzos, a family who doesn't share their habits, aspirations, and careers with one another, find their delicate web of lies disturbed by the arrival of a young ex-con (Strait) brought home by Vince (Garcia), the patriarch of the family, who is a corrections officer in real life, and a hopeful actor in private.",['104'],United States,English,,7.3,1174730
Clash of the Titans,2010,"Action, Adventure, Fantasy",Louis Leterrier,Nothing from IMDB,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans, Izabella Miko","Born of god but raised by humans, Perseus, the demigod son of mighty Zeus, the king of the gods, vows to take his revenge on Hades, the terrifying ruler of the Underworld, when he sees his mortal family perish. As the race of men summons up the courage to rebel against the gods of Olympus, the doomed city of Argos becomes a battlefield, as Hades threatens to unleash the legendary sea-monster, Kraken, unless the fair Princess Andromeda willingly offers herself as a sacrifice. Now, having nothing more to lose, Perseus embarks on a daring, peril-laden quest to stop the forces of evil before Hades plunges the world into chaos and darkness. But, to survive the relentless onslaught of demons and terrible adversaries, Perseus must first embrace his destiny. Will Perseus defy the gods, and save humankind in the clash of the Titans?",['106'],"United States, United Kingdom, Australia",English,,5.8,800320
Closer to the Moon,2014,"Comedy, Crime, Drama",Nae Caranfil,Nae Caranfil,"Vera Farmiga, Mark Strong, Harry Lloyd, Anton Lesser, Joe Armstrong, Christian McKay, Tim Plester, Darrell D'Silva, David de Keyser, Frances Cuka","In 1959 Bucharest, a spectacular bank heist has the country in an uproar. In post-war Communist Romania, this is an unimaginable slap in the face to the iron-fisted authorities. Four men and a woman are arrested, tried, and convicted, and while they wait for their execution, they are--forced to star in a propaganda film about the crime. All five protagonists were heroes of the Resistance during WWII and highly-placed members of Romanian society. They clearly knew they would be caught and executed.",['112'],"Romania, United States, Italy, Poland, France",English,,6.7,2017486
Cloud Atlas,2012,"Drama, Mystery, Sci-Fi, Thriller","Tom Tykwer, Lana Wachowski, Lilly Wachowski",Nothing from IMDB,"Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving, Jim Sturgess, Bae Doona, Ben Whishaw, Keith David, James D'Arcy, Xun Zhou","Everything is connected: an 1849 diary of an ocean voyage across the Pacific, letters from a composer to his lover, a thriller about a conspiracy at a nuclear power plant, a farce about a publisher in a nursing home;, a rebellious clone in futuristic Korea, and the tale of a tribe living on post-apocalyptic Hawaii far in the future.",['172'],"United States, Germany, Hong Kong, Singapore, China, United Kingdom, Spain","English, Spanish, Ukrainian, Korean",,7.4,1371111
Code 8,2019,"Action, Crime, Drama, Sci-Fi, Thriller",Jeff Chan,Nothing from IMDB,"Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne, Jai Jai Jones, Alex Mallari Jr., Shaun Benson, Sung Kang, Aaron Abrams, Martin Roach","In a world where people with ""special"" abilities are living in poverty, Conner Reed (Robbie Amell) is a powerful young man who is struggling to pay for his ailing mother's medical treatment. To earn money, he joins a lucrative criminal world led by Garrett (Stephen Amell), who works for a drug lord (Greg Bryk).",['98'],Canada,English,,6.1,6259380
Code 8,2019,"Action, Crime, Drama, Sci-Fi, Thriller",Jeff Chan,Nothing from IMDB,"Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne, Jai Jai Jones, Alex Mallari Jr., Shaun Benson, Sung Kang, Aaron Abrams, Martin Roach","In a world where people with ""special"" abilities are living in poverty, Conner Reed (Robbie Amell) is a powerful young man who is struggling to pay for his ailing mother's medical treatment. To earn money, he joins a lucrative criminal world led by Garrett (Stephen Amell), who works for a drug lord (Greg Bryk).",['98'],Canada,English,,6.1,6259380
