Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Fifty Shades of Grey,2015,"Drama, Romance, Thriller",Sam Taylor-Johnson,Nothing from IMDB,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford, Victor Rasuk, Luke Grimes, Marcia Gay Harden, Rita Ora, Max Martini, Callum Keith Rennie","Anastasia Steele, an English literature major at Washington State University, agrees to interview for the college newspaper a billionaire, Christian Grey, as a favour to her roommate, Kate Kavanagh. During the interview, Christian Grey takes an interest in Anastasia. Soon after it, he visits the hardware store where Anastasia works and offers her to do a photo shoot to accompany the article for which Anastasia had interviewed him. Later, Grey invites her to a cafe and also sends her first edition copies of two Thomas Hardy novels, including Tess of the d'Urbervilles, with a quote from the latter book about the dangers of relationships, on an accompanying card. His pursuing eventually brings a result - Anastasia and Grey start dating. In the course of their troubled relationship Anastasia slowly comes to uncover Grey's troubled past and realises that he is not good for any woman, let alone for himself. Although, she enjoys the bondage sex with Grey, she feels that she has to make a step that will take her all her strength and courage, for Christian Grey is a very dangerous man.",['125'],United States,English,,4.2,2322441
500 Days of Summer,2009,"Comedy, Drama, Romance",Marc Webb,"Scott Neustadter, Michael H. Weber","Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly, Charles Walker","After it looks as if she's left his life for good this time, Tom Hansen reflects back on the just over one year that he knew Summer Finn. For Tom, it was love at first sight when she walked into the greeting card company where he worked, she the new administrative assistant. Soon, Tom knew that Summer was the woman with whom he wanted to spend the rest of his life. Although Summer did not believe in relationships or boyfriends - in her assertion, real life will always ultimately get in the way - Tom and Summer became more than just friends. Through the trials and tribulations of Tom and Summer's so-called relationship, Tom could always count on the advice of his two best friends, McKenzie and Paul. However, it is Tom's adolescent sister, Rachel, who is his voice of reason. After all is said and done, Tom is the one who ultimately has to make the choice to listen or not.",['95'],United States,"English, French, Swedish",,7.7,1022603
500 Days of Summer,2009,"Comedy, Drama, Romance",Marc Webb,"Scott Neustadter, Michael H. Weber","Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly, Charles Walker","After it looks as if she's left his life for good this time, Tom Hansen reflects back on the just over one year that he knew Summer Finn. For Tom, it was love at first sight when she walked into the greeting card company where he worked, she the new administrative assistant. Soon, Tom knew that Summer was the woman with whom he wanted to spend the rest of his life. Although Summer did not believe in relationships or boyfriends - in her assertion, real life will always ultimately get in the way - Tom and Summer became more than just friends. Through the trials and tribulations of Tom and Summer's so-called relationship, Tom could always count on the advice of his two best friends, McKenzie and Paul. However, it is Tom's adolescent sister, Rachel, who is his voice of reason. After all is said and done, Tom is the one who ultimately has to make the choice to listen or not.",['95'],United States,"English, French, Swedish",,7.7,1022603
500 Days of Summer,2009,"Comedy, Drama, Romance",Marc Webb,"Scott Neustadter, Michael H. Weber","Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly, Charles Walker","After it looks as if she's left his life for good this time, Tom Hansen reflects back on the just over one year that he knew Summer Finn. For Tom, it was love at first sight when she walked into the greeting card company where he worked, she the new administrative assistant. Soon, Tom knew that Summer was the woman with whom he wanted to spend the rest of his life. Although Summer did not believe in relationships or boyfriends - in her assertion, real life will always ultimately get in the way - Tom and Summer became more than just friends. Through the trials and tribulations of Tom and Summer's so-called relationship, Tom could always count on the advice of his two best friends, McKenzie and Paul. However, it is Tom's adolescent sister, Rachel, who is his voice of reason. After all is said and done, Tom is the one who ultimately has to make the choice to listen or not.",['95'],United States,"English, French, Swedish",,7.7,1022603
6 Underground,2019,"Action, Thriller",Michael Bay,"Paul Wernick, Rhett Reese","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy, Adria Arjona, Dave Franco, Corey Hawkins, Lior Raz, Payman Maadi, Yuri Kolokolnikov","What's the best part of being dead? It's the freedom to fight the evil which lurks in our world. ""6 Underground""'s group of unnamed individuals have chosen to change the future. The team is brought together by an enigmatic leader code-named 'One', whose sole mission is to the ensure that he and his teammates will have their actions remembered.",['128'],United States,"English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French",,6.1,8106534
Seven Minutes in Heaven,1986,"Comedy, Drama, Romance",Linda Feferman,"Jane Bernstein, Linda Feferman","Jennifer Connelly, Byron Thames, Maddie Corman, Alan Boyce, Michael Zaslow, Polly Draper, Marshall Bell, Billy Wirth, Terry Kinney, Spalding Gray","Natalie Becker is staying at home studying and working on an essay to meet the president while her father is away. Jeffrey Moran, a childhood friend (whom her father does not know) is having trouble with his stepfather, Jeremy, who is an immature bully, so she lets him stay with her. All sorts of trouble and misunderstandings ensue. Natalie's best friend Polly tries to date a pro baseball player, Zoo Knudson, and is very intrusive on Natalie's personal life, jumping to hasty conclusions. She is also ready to jump on a plane to New York to be with Zoo.",['88'],United States,"English, Spanish",,5.9,89997
Seven Minutes in Heaven,1986,"Comedy, Drama, Romance",Linda Feferman,"Jane Bernstein, Linda Feferman","Jennifer Connelly, Byron Thames, Maddie Corman, Alan Boyce, Michael Zaslow, Polly Draper, Marshall Bell, Billy Wirth, Terry Kinney, Spalding Gray","Natalie Becker is staying at home studying and working on an essay to meet the president while her father is away. Jeffrey Moran, a childhood friend (whom her father does not know) is having trouble with his stepfather, Jeremy, who is an immature bully, so she lets him stay with her. All sorts of trouble and misunderstandings ensue. Natalie's best friend Polly tries to date a pro baseball player, Zoo Knudson, and is very intrusive on Natalie's personal life, jumping to hasty conclusions. She is also ready to jump on a plane to New York to be with Zoo.",['88'],United States,"English, Spanish",,5.9,89997
'71,2014,"Action, Crime, Drama, Thriller, War",Yann Demange,Gregory Burke,"Jack O'Connell, Jack Lowden, Paul Popplewell, Adam Nagaitis, Joshua Hill, Ben Williams-Lee, Jonah Russell, Harry Verity, Peter McNeil O'Connor, Babou Ceesay","A young British soldier is accidentally abandoned by his unit following a terrifying riot on the streets of Belfast in 1971. Unable to tell friend from foe, the raw recruit must survive the night alone and find his way to safety through a disorienting, alien and deadly landscape.",['99'],United Kingdom,English,,7.2,2614684
8 Mile,2002,"Drama, Music",Curtis Hanson,Scott Silver,"Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy, Evan Jones, Omar Benson Miller, De'Angelo Wilson, Eugene Byrd, Taryn Manning, Larry Hudson","The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",['110'],"United States, Germany",English,,7.2,298203
9 Songs,2004,"Drama, Music, Romance",Michael Winterbottom,Michael Winterbottom,"Kieran O'Brien, Margo Stilley, Robert Levon Been, Black Rebel Motorcycle Club, Don Blum, Marcie Bolen, Huw Bunford, Cian Ciaran, The Dandy Warhols, Elbow","Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall--London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",['71'],United Kingdom,English,,4.7,411705
Cat,2022,"Crime, Drama, Thriller",Nothing from IMDB,"Rupinder Chahal, Balwinder Singh Janjua, Anil Rodhan","Randeep Hooda, Abhishant Rana, Suvinder Vicky, Pramod Pathak, Geeta Agrawal Sharma, Gurinder Makna, Hasleen Kaur, Kavya Thapar, Sukhwinder Chahal, Dakssh Ajit Singh",,['45'],India,Punjabi,,8.2,22297578
Naandhi,2021,"Crime, Drama, Thriller",Vijay Kanakamedala,Nothing from IMDB,"Allari Naresh, Varalaxmi Sarathkumar, Harish Uthaman, Priyadarshi Pulikonda, Praveen, Vinay Varma, Srikanth Iyengar, Devi Prasad, Pramodhini, Navami Gayak",,['146'],India,Telugu,,7.9,11773456
Oldboy,2003,"Action, Drama, Mystery, Thriller",Park Chan-wook,Nothing from IMDB,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok, Ji Dae-han, Oh Dal-su, Seung-shin Lee, Jin-Seo Yoon, Oh Tae-kyung, Yoo Yeon-Seok","Oh Dae-Su, an obnoxious drunk abducted on a rainy night in 1988, wakes up in a strange, windowless hotel room. Kept under lock and key for an unknown reason, Oh Dae-Su's invisible captors keep him fed and systematically sedated to avert suicide, providing only a colour television to keep him company. And after fifteen long years in captivity, perplexed Oh Dae-Su finds himself released. Now, his pitiless abductors encourage Oh Dae-Su to track down the ones behind the mysterious kidnapping and finally get his brutal, longed-for revenge on the unknown tormentor. However, who would hate Oh Dae-Su so much that he would deny him a quick and clean death?",['120'],South Korea,Korean,,8.3,364569
Overdose,2022,"Action, Crime, Thriller",Olivier Marchal,Nothing from IMDB,"Sofia Essaïdi, Assaad Bouab, Alberto Ammann, Nicolas Cazalé, Nassim Lyes, Naïma Rodric, Francis Renaud, Kool Shen, Moussa Mansaly, Pierre Laplace","Sara, head of the narcotics squad of the Toulouse police, investigates a go-fast between Spain and France, in which her former lover, Raynal, is infiltrated. She quickly discovers that her case is linked to the murder of two teenagers in a Parisian hospital, which Richard, the head of the local criminal police, is in charge of. Forced to work together to find the murderer and stop the go-fast, Sara and Richard find themselves thrust into a breathless race against time on the roads of Spain and France as their attraction for each other grows.",['119'],France,"French, Spanish",,5.7,15713012
Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy",Rob Marshall,Nothing from IMDB,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane, Kevin McNally, Sam Claflin, Astrid Bergès-Frisbey, Stephen Graham, Keith Richards, Richard Griffiths","Captain Jack Sparrow (Johnny Depp) crosses paths with a woman from his past, Angelica (Penélope Cruz), and he's not sure if it's love, or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard (Ian McShane), Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",['137'],"United States, United Kingdom","English, Spanish",,6.6,1298650
Pirates of the Caribbean: At World's End,2007,"Action, Adventure, Fantasy",Gore Verbinski,Nothing from IMDB,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Bill Nighy, Jonathan Pryce, Lee Arenberg, Mackenzie Crook, Kevin McNally","After losing Jack Sparrow to the locker of Davy Jones, the team of Will Turner, Elizabeth Swan and Captain Barbossa make their final alliances with the pirate world to take on the forces of Lord Cutler Beckett and his crew, including Davy Jones, who he now has control over. It's not going to be easy, as they must rescue Sparrow, convince all the pirate lords to join them and defeats Beckett, whilst each individual pirate has their own route which they wish to follow.",['169'],United States,English,,7.1,449088
Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",Gore Verbinski,Nothing from IMDB,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport, Bill Nighy, Jonathan Pryce, Lee Arenberg, Mackenzie Crook, Kevin McNally, David Bailie","Once again we're plunged into the world of sword fights and ""savvy"" pirates. Captain Jack Sparrow is reminded he owes a debt to Davy Jones, who captains the flying Dutchman, a ghostly ship, with a crew from hell. Facing the ""locker"" Jack must find the heart of Davy Jones but to save himself he must get the help of quick-witted Will Turner and Elizabeth Swan. If that's not complicated enough, Will and Elizabeth are sentenced to hang, unless Will can get Lord Cutler Beckett Jack's compass. Will is forced to join another crazy adventure with Jack.",['151'],United States,"English, Turkish, Greek, Mandarin, French",,7.4,383574
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",Gore Verbinski,Nothing from IMDB,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce, Lee Arenberg, Mackenzie Crook, Damian O'Hare, Giles New","This swash-buckling tale follows the quest of Captain Jack Sparrow, a savvy pirate, and Will Turner, a resourceful blacksmith, as they search for Elizabeth Swann. Elizabeth, the daughter of the governor and the love of Will's life, has been kidnapped by the feared Captain Barbossa. Little do they know, but the fierce and clever Barbossa has been cursed. He, along with his large crew, are under an ancient curse, doomed for eternity to neither live, nor die. That is, unless a blood sacrifice is made.",['143'],United States,English,,8.1,325980
Project Almanac,2015,"Drama, Mystery, Sci-Fi, Thriller",Dean Israelite,"Jason Pagan, Andrew Deutschman","Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker, Gary Weeks, Macsen Lintz, Gary Grubbs, Michelle DeFraites","Teenage David Raskin is a genius who dreams of attending MIT. He has a crush on Jessie Pierce but is too shy to date her. When he finds the design for a time machine that belonged to his father, he decides to build the device with his friends Quinn Goldberg and Adam Le, and his sister Christina. Soon Jessie joins the group and becomes David's girlfriend. When their experiment gets out of control and changes the future, David decides to fix the problems but only makes them worse.",['106'],United States,English,,6.3,2436386
