Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Forrest Gump,1994,"Drama, Romance",Robert Zemeckis,Nothing from IMDB,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer","Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",['142'],United States,English,,8.8,109830
Forrest Gump,1994,"Drama, Romance",Robert Zemeckis,Nothing from IMDB,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer","Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",['142'],United States,English,,8.8,109830
101 Guiltiest Guilty Pleasures,2006,Documentary,Nothing from IMDB,"Debbie Appel, Bill Rademaekers, Jessica Sultan","Jonathan Antin, Anastasia Ashley, Ashley Benson, Kaitlin Colombo, Ayda Field, Carey Hart, Chris Jericho, Jaime Preston Lynch, Candice Michelle, Tia Mowry",,['60'],United States,English,,5.0,821162
National Treasure,2004,"Action, Adventure, Mystery, Thriller",Jon Turteltaub,Nothing from IMDB,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer, David Dayan Fisher, Stewart Finlay-McLennan, Oleg Taktarov","Benjamin Franklin Gates, a pedigree of the treasure hunter family who learns about a national treasure from his grandfather. The treasure is stashed somewhere in the country and the clue leading to the treasure chest is cyphered and scattered all over the country. Benjamin's father abhors treasure hunting, as he himself lost 20 years in chasing the treasure without success. Plot takes a twist when Ben's accomplice Ian decides to steal 'Declaration of Independence' for the next clue. Ben refuses to Ian's plan and they become hostile. When Ben tips FBI about the possible theft, they refused to believe him. Ben determines to steal the 'Declaration of Independence' in order to protect it from Ian. Ben meets 'Abigail Chase' the curator of the archives when he steals the document. Rest of the story is about how Ben, his partner Riley and Abigail decrypts the clues and rescues the national treasure without getting to the hands of Ian.",['131'],United States,"English, Spanish, German",,6.9,368891
National Treasure: Book of Secrets,2007,"Action, Adventure, Mystery, Thriller",Jon Turteltaub,Nothing from IMDB,"Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight, Helen Mirren, Ed Harris, Harvey Keitel, Bruce Greenwood, Ty Burrell, Michael Maize","Several years since Benjamin Franklin Gates (Nicolas Cage) found the Knight's Templar and became rich and famous. Now, another treasure hunter named Mitch Wilkinson (Ed Harris) has found what is a missing page of the diary of John Wilkes Booth, which contains clues to the location of a lost city of gold, Ben must compete against Mitch to find the lost city, he goes to France and Great Britain to find other clues and even peak inside the President's secret book to put the pieces of the puzzle together, his parents and his friends also help Ben find the lost city and to stay one step ahead of Mitch.",['124'],United States,"English, French",,6.5,465234
Nigerian Prince,2018,"Crime, Drama, Thriller",Faraday Okoro,"Faraday Okoro, Andrew Long","Antonio J Bell, Chinaza Uche, Tina Mba, Bimbo Manuel, Ebbe Bassey, Rita Edward, Craig Stott, Dean Cameron, Omar Maskati, Russell G. Jones",,['104'],"United States, Nigeria","English, Ibo",,5.9,6851966
Operation Romeo,2022,"Drama, Mystery",Shashant Shah,Nothing from IMDB,"Sidhant Gupta, Vedika Pinto, Sharad Kelkar, Kishore Kadam, Bhoomika Chawla, Nysa Darole, Navni Parihar, Neha Khan, Hardik Thakkar, Pankaj Vishnu",,['132'],India,Hindi,,6.4,18923048
Perfume: The Story of a Murderer,2006,"Crime, Drama, Fantasy",Tom Tykwer,Nothing from IMDB,"Ben Whishaw, Francesc Albiol, Gonzalo Cunill, Rachel Hurd-Wood, Andrés Herrera, Simon Chandler, David Calder, Richard Felix, Birgit Minichmayr, Reg Wilson","Jean-Baptiste Grenouille (Ben Whishaw) came into the world unwanted, expected to die, yet born with an unnerving sense of smell that created alienation, as well as talent. Of all of the smells around him, Grenouille is beckoned to the scent of a woman's body, and spends the rest of his life attempting to smell her essence again by becoming a perfumer, and creating the essence of an innocence lost.",['147'],"Germany, France, Spain, United States, Belgium",English,,7.5,396171
Room,2015,"Drama, Thriller",Lenny Abrahamson,Nothing from IMDB,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson, Sandy McMaster, Matt Gordon, Amanda Brugel, Joe Pingue, Joan Allen, Zarrin Darnell-Martin","ROOM tells the extraordinary story of Jack, a spirited 5-year-old who is looked after by his loving and devoted mother. Like any good mother, Ma dedicates herself to keeping Jack happy and safe, nurturing him with warmth and love and doing typical things like playing games and telling stories. Their life, however, is anything but typical--they are trapped--confined to a 10-by-10-foot space that Ma has euphemistically named ""Room."" Ma has created a whole universe for Jack within ""Room,"" and she will stop at nothing to ensure that, even in this treacherous environment, Jack is able to live a complete and fulfilling life. But as Jack's curiosity about their situation grows, and Ma's resilience reaches its breaking point, they enact a risky plan to escape, ultimately bringing them face-to-face with what may turn out to be the scariest thing yet: the real world.",['118'],"Ireland, Canada, United Kingdom, United States",English,,8.1,3170832
Rush,2013,"Action, Biography, Drama, Sport",Ron Howard,Peter Morgan,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie","Set against the sexy, glamorous golden age of Formula 1 racing in the 1970s, the film is based on the true story of a great sporting rivalry between handsome English playboy James Hunt (Hemsworth), and his methodical, brilliant opponent, Austrian driver Niki Lauda (Bruhl). The story follows their distinctly-different personal styles on and off the track, their loves, and the astonishing 1976 season in which both drivers were willing to risk everything to become world champion in a sport with no margin for error: if you make a mistake, you die.",['123'],"United Kingdom, United States","English, German, Italian, French, Spanish",,8.1,1979320
