Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Irumbu Thirai,2018,"Action, Crime, Thriller",P.S. Mithran,Nothing from IMDB,"Vishal, Samantha Ruth Prabhu, Arjun Sarja, Delhi Ganesh, Robo Shankar, Suman, Vincent Ashokan, Kaali Venkat, Darshana Rajendran, Madhusudhan Rao","The movie is an action thriller that concerns hacking and the leak of information, how in the days of interconnections, the privacy of a person doesn't hold power, as anyone can be hacked and their personal information stolen from them.",['160'],India,"Tamil, Hindi, Telugu",,7.6,7179784
Jewel Thief,1967,"Crime, Drama, Musical, Mystery, Thriller",Vijay Anand,Nothing from IMDB,"Ashok Kumar, Dev Anand, Vyjayanthimala, Tanuja Samarth, Helen, Faryal, Anju Mahendru, Nasir Hussain, D.K. Sapru, Pratima Devi","Vinay, an ordinary young man who finds himself constantly mistaken for a look-alike jewel thief named Amar. Vinay works with the police to impersonate Amar and crack his crime ring--but it seems that Amar has decided to impersonate Vinay, as well, and soon their true identities are thoroughly muddled.",['186'],India,Hindi,,7.9,61842
Johnny English Strikes Again,2018,"Action, Adventure, Comedy",David Kerr,William Davies,"Kevin Eldon, Emma Thompson, Adam James, Rowan Atkinson, Noah Spiers, Kendra Mei, Alfie Kennedy, Jasmine Brightmore, George Turner, Rua Robertson","A cyber-attack reveals the identity of all active undercover agents in Britain, leaving Johnny English (Rowan Atkinson) as the Secret Service's last hope. Called out of retirement, English dives head first into action with the mission to find the mastermind hacker. As a man with few skills and analogue methods, Johnny English must overcome the challenges of modern technology to make this mission a success.",['89'],"United Kingdom, France, United States, China","English, Russian, French, German",,6.2,6921996
Jonathan Creek,1997,"Comedy, Crime, Drama, Mystery",Nothing from IMDB,David Renwick,"Alan Davies, Caroline Quentin, Stuart Milligan, Julia Sawalha, Adrian Edmondson, Sarah Alexander, Geoffrey McGivern, John Bird, Sheridan Smith, Jessica Lloyd","Investigative journalist Madeline Magellan is the kind of journalist that generally sticks her nose in where it isn't wanted. While writing a story about the murder of a famous artist, she happens across a quiet but brilliant man named Jonathan Creek, who makes a living inventing magic tricks for Adam Klaus. Adam is a very famous magician, but Jonathan is the real genius behind Adam's illusions. Madeline (Maddy) and Jonathan team up to solve the artist's murder, then team up again (with some reluctance from Jonathan) to solve near-impossible cases. Maddy gradually falls in love with Jonathan, but being a shy person, he doesn't show if he knows about her feelings for him--but he loves to solve the tricky mysteries that she brings for his mind to solve.",['60'],United Kingdom,English,,8.1,118363
Blues Brothers 2000,1998,"Action, Comedy, Crime, Music, Musical",John Landis,Nothing from IMDB,"Walter Levine, Dan Aykroyd, Tom Davis, Frank Oz, Shann Johnson, B.B. King, Kathleen Freeman, J. Evan Bonifant, Gloria Slade, Joe Morton","Elwood, the now lone ""Blues Brother"" finally released from prison, is once again enlisted by Sister Mary Stigmata in her latest crusade to raise funds for a children's hospital. Once again hitting the road to re-unite the band and win the big prize at the New Orleans Battle of the Bands, Elwood is pursued cross-country by the cops, led by Cabel the Curtis' son (and Elwood's step-brother), the Russian Mafia, and a militia group. On his new ""mission from God"" Elwood enlists the help of a young orphan, and a strip club bartender.",['123'],United States,"English, Russian",,4.9,118747
Knock at the Cabin,2023,"Horror, Mystery, Thriller",M. Night Shyamalan,Nothing from IMDB,"Dave Bautista, Jonathan Groff, Ben Aldridge, Nikki Amuka-Bird, Rupert Grint, Abby Quinn, Kristen Cui, McKenna Kerrigan, Ian Merrill Peakes, Denise Nakano","From visionary filmmaker M. Night Shyamalan comes a thriller about a tight-knit family who are taken hostage by four armed strangers while vacationing at a remote cabin. The visitors, led by Dave Bautista (Guardians of the Galaxy), demand that the young girl and her parents make an unthinkable choice: to save their family or save humanity.",['100'],"United States, Japan, China",English,,6.1,15679400
My Name,2021,"Action, Crime, Drama, Mystery, Thriller",Nothing from IMDB,Ba-da Kim,"Han So-hee, Park Hee-soon, Kim Sang-ho, Lee Hak-joo, Rich Ting, Olivia Castanho, Will Choi, Ahn Bo-Hyun, Yull Jang, Moon Sang-min","Yoon Ji-woo's father dies suddenly. She wants to desperately take revenge on whoever is responsible for her father's death. Yoon Ji-woo works for drug crime group Dongcheonpa. Choi Moo-jin is the boss of the drug gang. With the help of Choi Moo-jin and to uncover the reason for her father's death, Yoon Ji-woo joins the police department and becomes a mole for the drug group. Yoon Ji-woo is assigned to work in the drug investigation unit in the police department. Her partner there is Detective Jeon Pil-do.",['50'],South Korea,Korean,,7.8,12940504
Manikarnika: The Queen of Jhansi,2019,"Action, Biography, Drama, History","Radha Krishna Jagarlamudi, Kangana Ranaut",Nothing from IMDB,"Kangana Ranaut, Danny Denzongpa, Suresh Oberoi, Atul Kulkarni, Kulbhushan Kharbanda, Jisshu Sengupta, Mohd. Zeeshan Ayyub, Ankita Lokhande, Mishti Chakravarty, Richard Keep","When Dixt, a minister in Jhansi princely state, sees Varanasi-born Manikarnika, he proposes that she marry Gangadar Rao, prince of Jhansi. Sadashiv Rao plots with British officers to conquer Jhansi as he is promised a stake in it after conquering Jhansi. After the birth of Lakshmi and Gangadar Rao's son Sadashiv Rao sees his place in fear and poisons the holy water during the child's naming ceremony; he passes away and leaves Gangadar Rao on his deathbed. Gangadar Rao decides to adopt a son and Sadashiv Rao feels guilty of not adopting his son instead a toddler who comes running to Lakshmi Bai after Gangadar Rao's death. The East India Company decides to conquer Jhansi as it has no male ruler, but Lakshmi Bai decides to take the throne herself and fight for Jhansi.",['148'],India,"Hindi, Tamil, Telugu",,6.4,6903440
Mera Damad,1995,"Comedy, Drama",Partho Ghosh,Nothing from IMDB,"Utpal Dutt, Ashok Kumar, Farooq Shaikh, Tariq, Priyadarshini, Praveen Paul, Rakesh Bedi, Prema Narayan, Ava Mukherjee, Jankidas","Sitanath Ardhnarayan Choudhry and Ajit Khanna are old friends. Sitanath has a daughter named Sunita, and Ajit has a son named Jai. Both fathers would like their respective children to meet each other and get married. In order to do this, Ajit asks Jai to travel to Sitanath's village, meet Sunita, and if found compatible, make arrangements for marriage, to which Jai agrees to. On reaching Sitanath's residence, Jai, in the company of his friend, Pradeep, come across a man named Ravi, who tells them they are in the wrong village, and directs them to a mansion run by an eccentric owner, so that they can spend the night there, and then take the train back the next day. Ravi warns them about the owner, who likes to talk all night to anyone who listens. Both Jai and Pradeep meet the owner, and are quite abrupt with him. The next day, Jai meets the owner's daughter Kimi, and falls in love with her. The problem is how does he go about notifying his dad about his new-found love for Kimi, and the reason why they ended up in the wrong village on one hand; and how is he going to make amends to Kimi's dad?",['127'],India,Hindi,,4.5,446158
Mere Yaar Ki Shaadi Hai,2002,"Comedy, Drama, Romance",Sanjay Gadhvi,Nothing from IMDB,"Uday Chopra, Jimmy Shergill, Bipasha Basu, Tanaaz Currim Irani, Shamita Shetty, Alok Nath, Neena Kulkarni, Sheela Sharma, Deven Verma, Bindu Desai","Sanjay's (Uday Chopra) phone rings. Anjali (Sanjana) his childhood friend is getting married. Observing Sanjay's reaction to this news, his flatmate Ria (Bipasha Basu) concludes that Sanjay is in love with her. Sanjay sets off on a noble mission - to break the wedding. He meets the groom to be Rohit (Jimmy Shergill) and sets off on his crusade of poisoning the family's mind against Rohit.",['158'],India,Hindi,,5.5,322653
