Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
War Horse,2011,"Action, Adventure, Drama, History, War",Steven Spielberg,Nothing from IMDB,"Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup, David Thewlis, Tom Hiddleston, Benedict Cumberbatch, Celine Buckens, Toby Kebbell, Patrick Kennedy","On the outbreak of the First World War, Albert's beloved horse 'Joey' is sold to the Cavalry by his Father. After being sent to France, in a bid to survive, Joey has an unexpected journey across war torn Europe. Albert enlists in the British Army, and is wounded during the Battle of the Somme. Whilst recovering in Hospital, he learns of a Horse, found in no mans land.",['146'],"United States, India","English, German",,7.2,1568911
War of the Arrows,2011,"Action, Adventure",Han-min Kim,Han-min Kim,"Park Hae-il, Ryu Seung-ryong, Kim Mu-yeol, Moon Chae-Won, Lee Han-wi, Kim Gu-taek, Lee Kyoung-young, Park Gi-woong, Lee Seung-joon, Lee Jae-goo","Two children Nam-yi and Ja-in are being chased by King Injo's guards and saved by their father Choi Pyeong-ryung, an officer of King Gwanghae and a skilled archer. He sends his own children to find a place of refuge with his best friend Kim Mu-seon. As they escape crying, Ja-in begs her brother to go back to their father but their father is killed in front of Nam-yi. Nam-yi, though bitten by the guard dogs, kills them and escapes with Ja-in. Nam-yi becomes the only family Ja-in has. 13 years later Nam-yi is now a skilled archer and hunter. He learns from Mu-seon's son Seo-goon that he and Ja-in plan to get married, with the approval of Mu-seon who is also Ja-in's godfather. During the wedding, Nam-yi is up in the mountains hunting deer. He hears the rumble of the invading forces. When Nam-yi makes it back to the village, he finds his step-father slaughtered and his sister taken away. Nam-yi then sets out to find the Qing army and take out their army with his bow.",['122'],South Korea,Korean,,7.1,2025526
War on Everyone,2016,"Action, Comedy, Crime",John Michael McDonagh,John Michael McDonagh,"Alexander Skarsgård, Michael Peña, Theo James, Tessa Thompson, Caleb Landry Jones, Stephanie Sigman, David Wilmot, Malcolm Barrett, Paul Reiser, Zion Rain Leyba","Bob Bolano and Terry Monroe are two crooked Albuquerque PD detectives. They tend to hustle criminals but their methods have landed them in hot water with their boss, and they are on their last warning. They get wind of a heist and decide to muscle in on the action, robbing the perpetrators. Unfortunately for them, the mastermind of the heist is someone out of their league, someone they would do well to fear.",['98'],United Kingdom,"English, Spanish",,5.8,3708886
Warm Bodies,2013,"Comedy, Horror, Romance",Jonathan Levine,Nothing from IMDB,"Nicholas Hoult, Teresa Palmer, Lio Tipton, Rob Corddry, Dave Franco, John Malkovich, Cory Hardrict, Daniel Rindress-Kay, Vincent Leclerc, Clifford LeDuc-Vaillancourt","With much of the world's population now an undead horde, R is a young and oddly introspective zombie. While fighting with and feeding on a human scavenger party, R meets Julie and feels an urge to protect her. What happens next is the beginning of a strangely warm relationship that allows R to begin regaining his humanity. As this change spreads through the local undead population like a virus, Julie and R eventually have to face a larger issue when the very nature of their friendship is challenged. Caught between the paranoid human forces and the ferocious ""Bonies"", zombies who are a mutual threat, R and Julie must find a way to bridge the differences of each side to fight for a better world no one thought possible.",['98'],"United States, Canada",English,,6.8,1588173
We're the Millers,2013,"Comedy, Crime",Rawson Marshall Thurber,Nothing from IMDB,"Jennifer Aniston, Jason Sudeikis, Emma Roberts, Will Poulter, Ed Helms, Nick Offerman, Kathryn Hahn, Molly C. Quinn, Tomer Sisley, Matthew Willig","After being robbed of a week's take, small-time pot dealer David is forced by his boss to go to Mexico to pick up a load of marijuana. In order to improve his odds of making it past the border, David asks the broke stripper Rose and two local teenagers to join him and pretend they're on a family holiday.",['110'],"United States, United Kingdom","English, Spanish",,7.0,1723121
Wedding Crashers,2005,"Comedy, Romance",David Dobkin,"Steve Faber, Bob Fisher","Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams, Isla Fisher, Jane Seymour, Ellen Albertini Dow, Keir O'Donnell, Bradley Cooper, Ron Canada","Two friends, John (played by Owen Wilson) and Jeremy (Vince Vaughn), crash weddings to pick up women. One day they crash the wedding of the daughter of the Treasury Secretary, Secretary Cleary (Christopher Walken). Instead of short-term flings they end up being invited to the Clearys' island estate, and potentially meet the loves of their lives...",['119'],United States,English,,7.0,396269
Wet Hot American Summer,2001,"Comedy, Romance",David Wain,"Michael Showalter, David Wain","Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau, Paul Rudd, Zak Orth, Christopher Meloni, A.D. Miles, Molly Shannon, Gideon Jacobs","The setting is Camp Firewood, the year 1981. It's the last day before everyone goes back to the real world, but there's still a summer's worth of unfinished business to resolve. At the center of the action is camp director Beth, who struggles to keep order while she falls in love with the local astrophysics professor. He is busy trying to save the camp from a deadly piece of NASA's Skylab which is hurtling toward earth. All that, plus: a dangerous waterfall rescue, love triangles, misfits, cool kids, and talking vegetable cans. The questions will all be resolved, of course, at the big talent show at the end of the day.",['97'],United States,English,,6.5,243655
What a Girl Wants,2003,"Comedy, Drama, Family, Romance",Dennie Gordon,Nothing from IMDB,"Kelly Preston, Soleil McGhee, Colin Firth, Eileen Atkins, Jonathan Pryce, Peter Reeves, James Greene, Amanda Bynes, Steven Osborne, Mike Toller","Loosely based on The Reluctant Debutante (1958) starring Sandra Dee, this family-friendly comedy features popular Nickelodeon teen star Amanda Bynes in her first feature-starring performance after her debut in Big Fat Liar (2002). She plays teenager Daphne Reynolds, who lives in New York City with her musician mother, Libby Reynolds (Kelly Preston). After she turns seventeen, Daphne is undecided about her future, so she takes off by herself to London in search of her father. She immediately meets cute musician Ian Wallace (Oliver James) before sneaking in to her father's estate to surprise him. He turns out to be Lord Henry Dashwood (Colin Firth), a fabulously wealthy aristocrat who doesn't even know that she exists. He had met her mother in Morocco and the two were married in a tribal ceremony. Upon their return to England, she left him and went back to the U.S. without ever revealing that she was pregnant. The uptight Henry is already flustered by his campaign for election, advised by doting aide Alistair Payne (Jonathan Pryce). His no-nonsense fiancée, Glynnis Payne (Anna Chancellor), and her bratty daughter, Clarissa Payne (Christina Cole), are threatened by Daphne's presence, thinking that she will hurt Henry's political aspirations by causing a scandal. However, family matriarch, Jocelyn Dashwood (Dame Eileen Atkins), takes a liking to her and she soon finds herself trying to liven things up at several stuffy aristocratic parties. Meanwhile, the evil Glynnis and Clarissa conspire against her by trying to sabotage her appearance, leading up to the conclusion at Daphne's coming-out party.",['105'],"United States, United Kingdom",English,,5.8,286788
What Dreams May Come,1998,"Drama, Fantasy, Romance",Vincent Ward,Nothing from IMDB,"Robin Williams, Cuba Gooding Jr., Annabella Sciorra, Max von Sydow, Jessica Brooks Grant, Josh Paddock, Rosalind Chao, Lucinda Jenney, Maggie McCarthy, Wilma Bonet","During a holiday in Switzerland, a young Chris Nielsen meets Annie Collins in a lake when their boats collide. Sharing a snack a few hours later, Chris and Annie fall in love. Marrying quickly, Chris works as pediatrician and Annie as artist painter and art dealer, and have two children, Ian and Marie. But their happy family life torn apart when Ian and Marie are in a car accident that kills them both and the nanny who was driving. Four years later, Chris and Annie try to restore their life despite the tragedy and celebrate their anniversary. When returning that night, Chris witnesses a car accident, after exiting the car in an attempt to help people, another car crashes into him, fatally hurting him. As he is dying in the hospital, Chris turns into a ghost in an attempt to tell Annie that he still exists and loves her, but his efforts cause more pain, and he decides to leave. Traveling Afterlife, Chris wakes up in Heaven, where he meets Albert Lewis, his former mentor. While Albert helps Chris to adapt to his new existence in Heaven. Annie falls into a deeper depression, tormented by the reminder of her husband and children. Unable to resist the suffering, Annie commits suicide, and Albert returns to Chris to explain him Annie's death. Determined to save Annie, Chris decides to travel to Hell to find her. As the travel advances, Chris' memories of his life with Ian and Annie put the mission in danger, making it harder to connect with Annie. Making a discovery about Albert's true identity, The Tracker splits them. But when they find her, Chris' memories of his life with Annie will make Chris question the success of the travel, having to make a decision that can change everything forever.",['113'],"United States, New Zealand",English,,7.0,120889
What Happened to Monday,2017,"Action, Crime, Fantasy, Mystery, Sci-Fi, Thriller",Tommy Wirkola,"Max Botkin, Kerry Williamson","Noomi Rapace, Glenn Close, Willem Dafoe, Marwan Kenzari, Christian Rubeck, Pål Sverre Hagen, Tomiwa Edun, Cassie Clare, Cameron Jack, Clara Read","In a not so distant future, where overpopulation and famine have forced governments to undertake a drastic One-Child Policy, seven identical sisters (all of them portrayed by Noomi Rapace) live a hide-and-seek existence pursued by the Child Allocation Bureau. The Bureau, directed by the fierce Nicolette Cayman (Glenn Close), enforces a strict family-planning agenda that the sisters outwit by taking turns assuming the identity of one person: Karen Settman. Taught by their grandfather (Willem Dafoe) who raised and named them - Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday - each can go outside once a week as their common identity, but are only free to be themselves in the prison of their own apartment. That is until, one day, Monday does not come home.",['123'],"United Kingdom, France, United States, Belgium",English,,6.8,1536537
