Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Pavitra Papi,1970,Drama,Rajendra Bhatia,Nothing from IMDB,"Balraj Sahni, Tanuja Samarth, Parikshit Sahni, Achala Sachdev, Abhi Bhattacharya, Neetu Singh, Jayshree Talpade, Madhumati, Gulshan Bawra, Upendra Trivedi","Kedarnath is employed with a local clock/watch repair shop, owned by a parsimonious Adarshan Lala. Kedarnath goes out of his way to help a destitute woman, Maya, who husband is missing, with two daughters, Veena and Vidya. Kedarnath rents a room with them, writes letters to her on behalf of her husband, Pannalal, and even arranges the marriage of Veena with the son of Daulatram. When Maya tells him that she has no money to pay for the marriage expenses, he steals cash from his employer, and tells Maya that the money is from Pannalal. And all along telling Maya that he is a close friend of Pannalal, even though he has never met Pannalal, leave alone know him, making one think as to what devious secret Kedarnath is hiding, and what is the reason behind Pannalal's disappearance.",['152'],India,Hindi,,8.0,442610
The Penalty Phase,1986,"Drama, Thriller",Tony Richardson,Gale Patrick Hickman,"Peter Strauss, Jonelle Allen, Karen Austin, Jane Badler, John Harkins, Millie Perkins, Mitchell Ryan, Richard Bright, Richard Chaves, Rossie Harris","Things looked pretty simple: the confessed murderer had all the evidence against him. The Prosecutor Jansen could not have been more relentless, conservative and incisive. Furthermore, the jury already had a verdict: guilty of the more than 30 charges against him. But suddenly Judge Kenneth Hoffman finds out that the evidence was not obtained legally, so the procedure is void. Judge Hoffman is in the middle of this legal storm, although he wants to apply the law strictly, he will find everybody against him.",['96'],United States,English,,6.4,91741
Pepper Chicken,2020,Thriller,Ratan Sil Sarma,Nothing from IMDB,"Dipannita Sharma, Boloram Das, Monuj Borkotoky, Baharul Islam, Ravi Sharma","The plot of the movie revolves around a female Radio Jockey, who gets in a cab at night to go home, but halfway through the journey, the cab suddenly breaks down. In search of help, the cab driver and the RJ enter an old house. As they enter, they realise the house has been abandoned for many years. Is there any connection between the house and the cab driver? Will the RJ be able to escape the house? What unravels over the course of the night is a tale of mysteries, unexpected twists, and shocking revelations from the past, that dare to scar the present.",,India,Hindi,,5.3,12983052
Phamous,2018,"Comedy, Crime, Drama, Romance",Karan Butani,H. Banerjee,"Jimmy Shergill, Shriya Saran, Kay Kay Menon, Pankaj Tripathi, Jackie Shroff, Mahie Gill, Brijendra Kala, Achyut Potdar, Deepraj Rana, Jameel Khan","Set in the wild wild east, the story of Phamous invites you on an odyssey that hits your heart and face at the same time. Find love, power and wisdom amidst guns and dhakkad's. In a clash of ambition, love and hope, this story shows the rise of the unique duo of Kadak Singh and Ram Vijay Tripathi against the patriarch Shambhu all tied up in a saga by an innocent boy. Politics and Power come against Love and Revenge exposing the hollow darkness of human nature. How the most powerful people fall for the clumsiest human emotions and are willing to tear down the world around them, making it very difficult for loyalty, love and hope to exist. Will it survive? Starring Kay Kay, Pankaj Tripathi, Jackie Shroff and Jimmy Sheirgill along with Shriya Saran, the characters welcome you to the land of bandook for the war, is on.",['115'],India,Hindi,,3.9,8338746
Phata Poster Nikla Hero,2013,"Action, Comedy, Crime, Drama",Rajkumar Santoshi,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Padmini Kolhapure, Mukesh Tiwari, Darshan Jariwala, Saurabh Shukla, Zakir Hussain, Sanjay Mishra, Shiva Natrajan, Rana Jung Bahadur","After Vishwas Rao (Shahid Kapoor) is raised by his Mother (Padmini Kolhapure), who apparently dreams of him becoming a Police Inspector. However, he has different plans in mind. Vishwas wants to become a film star. In Mumbai, after helping out a social-worker, Kajal (Ileana D'Cruz), whilst dressed as an Police Inspector for a photo shoot, she mistakes him as an Inspector, and he eventually plays along. Suddenly her mother arrives in Mumbai. How will Vishwas get rid of his troubles?",['146'],India,Hindi,,4.9,2615584
Phir Bhi Dil Hai Hindustani,2000,"Comedy, Drama, Musical, Romance",Aziz Mirza,Nothing from IMDB,"Shah Rukh Khan, Juhi Chawla, Johny Lever, Paresh Rawal, Haidar Ali, Smita Jaykar, Neena Kulkarni, Bharti Achrekar, Mona Ambegaonkar, Suresh Bhagwat","Rival news-reporters, Ajay Bakshi (Shahrukh Khan), and Ria Bannerjee (Juhi Chawla) engage in a comic war to be the first to interview notorius M.K. Sharma (Bharat Kapoor), in which Ria succeeds. Then the two are thrust in a battle for their lives as they must decide whether to save an innocent terrorist (Paresh Rawal) from being hanged, or sacrifice their very lives themselves.",['160'],India,Hindi,,6.1,222270
Pihu,2018,"Short, Romance",Sachin Gupta,Sachin Gupta,"Dau Dayal Bansal, Sanaya Irani, Sumeet Kant Kaul, Ravi Khanna, Shruti Verma",,,India,Hindi,,7.9,8499798
Piku,2015,"Comedy, Drama",Shoojit Sircar,Juhi Chaturvedi,"Deepika Padukone, Amitabh Bachchan, Irrfan Khan, Moushumi Chatterjee, Raghubir Yadav, Jisshu Sengupta, Balendar Singh, Swaroopa Ghosh, Sajal Bhattacharya, Rupsa Banerjee",,['123'],India,Hindi,,7.6,3767372
Pizza,2012,"Horror, Thriller",Karthik Subbaraj,Nothing from IMDB,"Vijay Sethupathi, Ramya Nambeeshan, Aadukalam Naren, Karunakaran, Jayakumar, Bobby Simha, Pooja Ramachandran, Veera Santhanam, Joy Badlani, Kavin","Michael (Vijay Sethupathi) lives with girlfriend Anu (Ramya Nambeeshan) and works as a deliveryman at a pizzeria. One day, Anu announces that she is pregnant and he is faced with a dilemma. They decide to marry and save up for a big bash later. But during a routine delivery one day, the pizza crumbles...",['127'],India,Tamil,,8.0,2585562
AVN Awards 2014,2014,"Adult, News",Gary Miller,Nothing from IMDB,"Asa Akira, Anikka Albrite, Zaina Ali, August Ames, Jessie Andrews, Joanna Angel, Brandy Aniston, Nicole Aniston, Andy Appleton, Brad Armstrong","Erotic filmmaking superstars Chanel Preston and Samantha Saint host the 31st annual adult movie awards from The Joint at the Hard Rock Hotel and Casino in Las Vegas, honoring the best work over the past year in the adult film business. Who will win big awards like Best Feature and Best Actress, as well as more tongue-in-cheek prizes such as Best All-Girl Group Scene, Best Big Butt Series and Best Foot/Leg Fetish Release? Tune in to find out!",['82'],United States,English,,5.3,3705604
Pocket Maar,1974,"Action, Drama, Romance",Ramesh Lakhanpal,Nothing from IMDB,"Dharmendra, Saira Banu, Prem Chopra, Mehmood, Nasir Hussain, Shobha Khote, Azra, Asit Kumar Sen, Praveen Paul, Keshav Rana","After the passing away of son and daughter-in-law, prominent businessman, Rai, undertakes to look after his grand-daughter, Asha, with a lot of love and affection. When she grows old enough to be a ravishing beauty, he is anxious to get her married to the right man before he passes away. He finds out that Asha has a boyfriend by the name of Madan Malhotra, and although he has never met him, he disapproves of him, but finally gives in to Asha's wishes. When Madan returns from abroad, Rai is pleasantly surprised at Asha's choice and welcomes Madan with open arms. Shortly thereafter on his birthday, Rai formally announces their engagement. When Rai does not know is that Madan is not who he claims to be but is, in fact, a thief and pick-pocket by the name of Shankar, who has been hired by Asha to impersonate the real Madan. Watch what happens when the real Madan returns and attempts to assert his love for Asha.",,India,Hindi,,6.6,358029
Pokiri,2006,"Action, Crime, Thriller",Puri Jagannadh,Nothing from IMDB,"Mahesh Babu, Ileana D'Cruz, Prakash Raj, Nassar, Ashish Vidyarthi, Sayaji Shinde, Brahmanandam, Ajay, Sudha, Bharat Kumar","Pandu is a killer for hire, and will accept any contract provided the amount is right. The Police want him for questioning, while the underworld needs him to silence their opponents. No one really knows this assassin's background. It is only Pandu who knows his real identity and he has no intention of sharing it with anyone.",['164'],India,Telugu,,8.0,816258
Prem Nagar,1974,"Drama, Musical, Romance",K.S. Prakash Rao,Nothing from IMDB,"Rajesh Khanna, Hema Malini, Prem Chopra, Govardhan Asrani, Nana Palsikar, Ramesh Deo, Agha, David Abraham, Nasir Hussain, Manmohan","Karan Singh, the younger scion of a wealthy zamindar (heriditary land owners) who lives in feudal splendour. His older brother 'lords' it over the hundreds of serfs who contribute to the wealth of their family. Karan lives an alcoholic, hedonistic life with wine, women and song for companions. The airline stewardess, Savithri makes a profound influence on the dissolute young man during a flight. Later her rescues her from a fate 'worse than death' and Savithri finds herself in the employ of the estate and living in the haveli (palace) of Karan's family. Association between Karan and Savithri blossoms into love. Caught in the web of palace intrigues, Savithri is implicated in the theft of a precious necklace. While greed for the inherited property and petty jealousy weave their web of malice the love of this amorous couple has to pass the litmus test of suspicion. Reduced to rags and a hovel, Savithri, her parents and siblings eke out a miserable life while maintaining their high moral and ethical standards. Is Karan and Savithri's love strong enough to survive the turbulence of high society expectations, greed, poverty and intrigue?",['200'],India,Hindi,,6.1,72026
Prem Ratan Dhan Payo,2015,"Action, Drama, Musical, Romance",Sooraj R. Barjatya,Nothing from IMDB,"Salman Khan, Sonam Kapoor, Neil Nitin Mukesh, Deepak Dobriyal, Arman Kohli, Swara Bhasker, Aashika Bhatia, Deepraj Rana, Manoj Joshi, Sanjay Mishra","A conspiracy to eliminate Prince Vijay just days before his coronation is hatched by his younger brother, who eyes the throne, its riches, and its power. Prem, a lookalike of the prince, steps in at this point and loses his heart to the prince's beloved, Maithili.",['164'],India,"Rajasthani, Hindi, Tamil, English, French",,4.4,3595298
Professor Pyarelal,1981,"Action, Crime, Thriller",Brij,Nothing from IMDB,"Zeenat Aman, Brahmachari, R.S. Chopra, Daljeet, Jeevan Dhar, Dharmendra, Simi Garewal, Habib, Hercules, Satyendra Kapoor","Kishinchand has taken to a life of crime, namely that of forging passports, and for that is under surveillance by the police. Upon his wife, Shanti's, and son, Pyarelal's insistence, he decides to give up all criminal activity and become honest. Then Shyamlal approaches him to make a fake passport, which he does, for a suitcase full of gold bars. Shyamlal escapes, but Inspector Shinde confronts Kishinchand and in the scuffle that follows, Shinde gets killed. Kishinchand re-locates to London, England, where he is now known as underworld Don, King. He has given up on his wife and son and believes they had been burned alive in a fire during Diwali. Now years later, a young man approaches and informs him that he is Pyarelal, and that Shanti is still alive in India. Kishinchand is overjoyed, and invites his wife to come to London right away, only to find out that the man claiming to be his son, is really Ronnie, a con-man and smuggler. Kishinchand is re-united with his real son and wife and all seems to be going well, until he finds out that the man claiming to be his son is really Ram Shinde, the son of the Police Inspector he had accidentally slain, and is really out to kill him. Not only is Ram after Kishinchand's life, but a woman named Sonia Singh also wants him dead, as due to his slaying Shinde, her innocent father was convicted for this crime and spent 14 years behind bars. The question remains, where is the real Pyarelal, and who will finally succeed in killing Kishinchand?",['133'],India,Hindi,,6.6,158122
Punjab 1984,2014,"Drama, Family, History",Anurag Singh,Nothing from IMDB,"Diljit Dosanjh, Kirron Kher, Pawan Malhotra, Sonam Bajwa, Arun Bali, Gurcharan Singh Channi, Rana Ranbir, Manav Vij, Vansh Bhardwaj, Daljinder Basran","This is the story of a mother and her missing son set in the backdrop of 1984 Punjab, when the state was going through a terrible time of terrorism. The film depicts the longing of a mother for her son and her search for her son, who is labelled a terrorist because of the bad times in Punjab.",['159'],"India, Canada",Punjabi,,8.3,3607198
