Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Agent Sai Srinivasa Athreya,2019,"Comedy, Crime, Mystery, Thriller",Swaroop Rsj,Nothing from IMDB,"Naveen Polishetty, Shruti Sharma, Krishneswara Rao, Suhas, Sandeep Raj, Ramdutt, Shredha Rajagopalan, Viswanath Mandalika, Prashant, Darbha Appaji Ambarisha",Agent Athreya (Navin Polisetty) starts a detective agency in Nellore (a city) named FBI (Fathima Bureau of Investigation) and covers small cases. The silliness and façade continue until Athreya lands in trouble when he seriously pursues a dead found on the rails. How Athreya untangles the mystery is what the film is all about.,['148'],India,Telugu,,8.3,10214826
Tere Mere Sapne,1971,"Drama, Romance",Vijay Anand,Nothing from IMDB,"Dev Anand, Mumtaz Askari, Mahesh Kaul, Vijay Anand, Agha, Tabassum Govil, Paro, Leela Mishra, D.K. Sapru, Jayshree Talpade","Dr. Anand Kumar attains his degree in medicine and re-locates to a small village to assist the local doctors there. Upon arrival, he is met by the ailing Dr. Prasad and his wife, and hired on a salary of Rs.250/- per month. He meets with the other doctors namely Dr. Kothari, an alcoholic, and Dr. Bhutani, a dentist. Anand finds that he is saddled with all of Kothari's work as well his own due to the reason that Kothari is drunk every night. He nevertheless carries on, aided by the local school-teacher, Nisha Patel, who he eventually marries. Then one day a proud father, Phoolchand, gives a baksheesh to Anand for the safe delivery of his first-born. This does not auger well with Mrs. Prasad and she fires Anand. Anand and Nisha re-locate to Bombay, and after sometime Anand establishes himself as a leading doctor, is honored for his thesis, and gets to be the personal doctor of a leading Bollywood actress Maltimala. When Dr. Kothari and Dr. Bhutani go to visit them, they find while Nisha is still the same good-natured woman, who is expecting a child, Dr. Anand is a changed individual, who has no time for friends, personal life, or even his wife, and is not even aware that she is pregnant. The two return home disappointed, followed by Nisha, who has decided to separate from Anand. Alone now Anand has time on his hands to decide if he can divorce Nisha and marry the most sought-after actress in India.",['175'],India,Hindi,,7.6,67840
In Your Name,2003,"Action, Drama, Romance",Satish Kaushik,Nothing from IMDB,"Salman Khan, Bhoomika Chawla, Sachin Khedekar, Savita Prabhune, Ravi Kishan, Anang Desai, Sarfaraz Khan, Darshan Kumaar, Gopal Datt, Saurabh Dubey","A woman comes from a Decent family. Her name is Nirjala. Her family want her to get married to a Normal Young Man. She agrees to do so. But before the wedding, she meets with Radhe.This man has a very hot temper and gets into fights all the time. But both fall in love with each other. Nirjala's family refuse to permit her to get married to him. They force her to get married to the man of their choice. In the meantime, Radhe gets into fight, and someone hits him very hard on his head. Radhe loses his senses and falls down. When he wakes him, he finds himself a mental patient. The hospital finds him very violent and they chain. He is unable to remember his past. Then Nirjala re-enters his life. Will this cure Radhe or make him even worse?",['132'],India,Hindi,,7.2,374271
Teri Meri Kahaani,2012,"Comedy, Drama, Romance",Kunal Kohli,Nothing from IMDB,"Shahid Kapoor, Priyanka Chopra Jonas, Prachi Desai, Neha Sharma, Raj Singh Arora, Krishna Bansal, Greg Heffernan, Vrajesh Hirjee, Gemma James, Omar Khan",,['117'],India,Hindi,,4.9,2354407
Thambi,2019,"Action, Thriller",Jeethu Joseph,Nothing from IMDB,"Karthi, Jyotika, Sathyaraj, Sowcar Janaki, Nikhila Vimal, Ilavarasu, Hareesh Peradi, Bala, Anson Paul, Ramesh Thilak","A sister, who has been leading a humdrum life for more than a decade after her younger brother runs away from home, becomes excited after the latter's return. However, their lives witness a roller-coaster ride when the brother faces life threat from an unexpected person.",['149'],India,Tamil,,6.8,10468636
Thanedaar,1990,"Action, Crime, Drama",Raj N. Sippy,Vinay Shukla,"Jeetendra, Sanjay Dutt, Jaya Prada, Madhuri Dixit, Kiran Kumar, Goga Kapoor, Tej Sapru, Mahesh Anand, Satish Shah, Kanwarjeet Paintal","Thakur Azghar Singh lord over a small Indian village named Jalcott killing anyone standing in his way. When an honest police inspector Jagdish Chandar attempts to bring him to justice he is killed by a stalker hired through Lawrence and Peter by Azghar Singh. The inspector leaves to mourn two young boys, one of them Brijesh who killed the stalker and is inducted into Lawrence and Peter gang and the other Avinash who grows up with the police commissioner and becomes a police officer like his dad. Meanwhile Brijesh has just been released from jail; rob a jewelery store, escapes with the stolen loot, board a train entering to a fist-cuff with his brother Avinash throws him off the running train and making good his escape to Jalcott with his girlfriend Chanda. Once there he impersonates Avinash, started to rally the villagers and accepts bribe from Azghar Singh. But he is forced to take a stand when Azghar Singh attempts to molest Chanda and to complicate matters more Avinash's wife arrives there to look for her husband - with Brijesh all set to clear his sentence he will have to face the contended wrath of Azghar Singh, Avinash's wife and a mysterious masked horse-rider.",['151'],India,Hindi,,5.4,98461
Manike | Dr Ash | Music Video Cover | Thank god 2022,2022,"Short, Romance",Nothing from IMDB,Nothing from IMDB,Ashwini Babu Rao Chawan,,,India,Hindi,,,28061402
The Attacks of 26/11,2013,"Action, Crime, Drama, History, Thriller",Ram Gopal Varma,Nothing from IMDB,"Nana Patekar, Atul Kulkarni, Sanjeev Jaiswal, Rahaao, Sadh Orhan, Ferzad Jehani, Kamal Adib, Asif Basra, Ashish Bhatt, Aniruddh Harip","26 November 2008 things are going fine in Mumbai as usual in everyone's daily life around 08:00 pm locals near sea coast of Colaba noted around 24 young men with huge bag packs coming from speedboats.The locals tried to inquire but they men asked them to mind their own work and divided them in tow ways ,the locals did inform the nearby police station who did not take any action.Few hours later around 09:30 pm sounds of bullets started pouring at CST station causing huge destruction to human life,further which caused damage at Taj Palace,Trident Hotel,Cama Hospital,Leopold Cafe and Nariman House where sounds of bullets could be heard everywhere and everyone realized it was one of the worst terrorist attack.People started running for their lives and could see blood everywhere many loosing their dear ones right in front of them by the time the cops came in action severe damage was already done.But during a blockade the cops got the news that two terrorists are eloping in a car towards Girgaon Chowpathy in the bloodbath between the cops and terrorists Tukaram Ombale managed to get hold of one of the terrorists Ajmal Qasab but cost his life for him.The same night saw the Mumbai police department lost three top cops in the terrorist attack.The attacks continued for next three days in Mumbai until NSG commandos manage to overcome all the terrorists while the only surviving terrorist Qasab was tried in court.",['116'],India,Hindi,,6.9,2635622
The Bull of Dalal Street,2020,Drama,Nothing from IMDB,Nothing from IMDB,"Iqbal Khan, Aparna Sharma, Ashmit Patel, Naina Chhabra, Priyal Gor, Man Singh Karamati, Shyamraj Patil, Sandeep Chatterjee, Shivanya Mehrara, Neha Kapoor","Story of ""Harshal Mehra"" who gambles away his entire fortune in share market. With his iniquitous thoughts and dynamic personality, he became a big bull in a very short span. Unfortunately, huge success brings huge consequences. Experience the journey of a common man from rags to riches - ""The Bull of Dalal Street"".",['22'],India,Hindi,,5.8,11412368
The Burning Train,1980,"Action, Thriller",Ravi Chopra,Nothing from IMDB,"Dharmendra, Vinod Khanna, Jeetendra, Vinod Mehra, Hema Malini, Parveen Babi, Simi Garewal, Navin Nischol, Danny Denzongpa, Neetu Singh","Vinod Verma always dreams of creating the perfect and fastest train running in India. He will find his dream shaping up when he became an employee of Indian Railways and his plan is being executed; it took him years of hard work and dedication, in-and-out at night and day. After six years the train is finally completed and is called, 'Super Express'. The inaugural of the train will be from Delhi to Bombay with a record speed of 14 hours. In view of the progress Vinod had made during the past six years he had developed many enemies - one of whom is the son of the chair of the railway board Randhir who had a bomb planted in the train risking the lives of about 500 passengers.",['142'],India,Hindi,,6.9,158534
