Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Ghazab Tamasha,1992,"Comedy, Romance",Ranjeet Bedi,Nothing from IMDB,"Rahul Roy, Anu Agarwal, Tanuja Samarth, Sneha, Deepak Tijori, Aruna Irani, Sulabha Arya, Prem Bedi, Ranjeet Bedi, Chacha Chaudhary","A rustic love story of two simple yet street smart souls pitied against the urban background. Ganja, a rag picker, harassed by leachers takes to the begging business and jumps from the frying pan into the fire. Sitara, the popular, handsome man of Arjun Singh's family accidentally bumps into Ganja and decides to help her. He reprimands her for her wild lifestyle and gets her a settled job as a maid in Ram Singh's family. From here begins the role of these two servants as the saviors of their adopted families only to have their romantic dreams end in violence. Gajab Tamaasa - a revolution in musical romance with exotic settings.",['144'],India,Hindi,,6.0,395557
Ghulami,1985,"Action, Drama",J.P. Dutta,O.P. Dutta,"Dharmendra, Mithun Chakraborty, Naseeruddin Shah, Reena Roy, Smita Patil, Anita Raj, Kulbhushan Kharbanda, Raza Murad, Om Shivpuri, Avtar Gill",,['199'],India,Hindi,,7.4,89201
Go Goa Gone,2013,"Action, Adventure, Comedy, Horror, Sci-Fi","Krishna D.K., Raj Nidimoru",Nothing from IMDB,"Saif Ali Khan, Kunal Kemmu, Vir Das, Anand Tiwari, Puja Gupta, Ross Bucharn, Minal Thakur, Suparn Varma, Larrisa Bonesi, Krishna D.K.","Two friends, Luv (Vir Das) and Hardik (Kunal Khemu) are going through bad times. Luv has learned that his girlfriend has been cheating on him and Hardik is this close to being fired from his job. They both badly need a break and when their roommate Bunny (Anand Tiwari) informs them that he is going to Goa for a presentation, they jump at the chance for a vacation. Once in Goa, Luv meets a girl, Luna (Pooja Gupta) who invites him to a rave party organized by Russian mafia on a remote island. At the party, an experimental drug is introduced. Then, come morning, things go totally wrong for the three hapless guys and the girl. As it turns out, the untested drug has a deadly side effect...",['108'],India,"Hindi, Russian, English",,6.6,2436516
Godfather,2022,"Action, Crime, Drama, Thriller",Mohan Raja,Nothing from IMDB,"Chiranjeevi, Salman Khan, Nayanthara, Satyadev Kancharana, Parth Siddhpura, Rehan Katrawale, Rajiv Kumar Aneja, Mark Bennington, Kundan Alexzed, Sarvadaman Banerjee",PNR a respected political leader passes away while heading the chair of Cheif Minister now the question remains who will take his throne.Narayana Verma one of the prominent leaders of his party considers himself to be the suitable candidate but people of the city are in favor of Brahma whose known as Godfather to everyone and has made a place in everyone's heart in a short time.PNR's daughter Satyapriya whose away from politics is also a considered as suitable candidate and being a step brother she is against Bramha.Her husband Dev takes this as an advantage and eye's the chair of Cheif Minsiter so that he could conduct a drug racket in the region and also tries to convince Brahma for the same.But Brahma is against this and spoils his plans for the same following which Dev frames him in a sexual molestation case of a women from his orphanage which lands Brahma in jail.While Brahma is serving his term in jail Dev plans to activate his drug racket but his plans are spoiled by Brahma's trusted aide Masoom Bhai.,['157'],India,"Tamil, Kannada, Malayalam, Telugu, Hindi",,5.2,13130308
Gold,2018,"Drama, History, Sport",Reema Kagti,Nothing from IMDB,"Krishan Tandon, Hubertus Geller, Siddharth Kher, Sheldon Redden, Vineet Kumar Singh, Praveen Jaiswal, Kunal Kapoor, Pavraj Lochab, Varun Singh Rajput, Nareshh Mallik",Tapan Das manager of Gold winning Indian hockey team during British rule dreams of bringing Gold medal to the country post Independence.India is nearing Independence and Tapan finds news of 1948 Olympics. Tapan prepares his own team for the upcoming Olympics.But during the partition team also gets divided along with the country.,['151'],India,Hindi,,7.3,6173990
Goliyon Ki Raasleela Ram Leela,2013,"Drama, Musical, Romance",Sanjay Leela Bhansali,Nothing from IMDB,"Ranveer Singh, Deepika Padukone, Supriya Pathak, Sharad Kelkar, Homi Wadia, Abhimanyu Singh, Richa Chadha, Gulshan Devaiah, Jameel Khan, Barkha Bisht",,['150'],India,"Rajasthani, Hindi",,6.4,2215477
Golmaal Fun Unlimited,2006,"Action, Comedy, Drama",Rohit Shetty,Neeraj Vora,"Ajay Devgn, Arshad Warsi, Sharman Joshi, Tusshar Kapoor, Rimi Sen, Paresh Rawal, Sushmita Mukherjee, Vrajesh Hirjee, Mukesh Tiwari, Sanjay Mishra","Gopal, Lucky, Madhav and Laxman - four guys bound together by their child-like notoriety, aimlessness and petty business of conning people for fun and money. Laxman is an intelligent student who is not allowed to pass by his mischievous band of friends Gopal, Madhav and mute Lucky. This is because all four friends use his hostel room to conduct their activities. He is peer-pressured into running a series of scams in order to earn himself and his friends some money. Once thrown out of college bag-n-baggage, the naughty foursome finds refuge in the bungalow of a blind couple as their grandson. A cat mouse game unfolds as Laxman's body and Gopal's voice makes for Sameer (The grandson from US). Each time the blinded Dadaji comes amidst them, hilarious situations arise Enter Nirali with a bath towel and the group now have time, place and 'resources' to fall in love. Their individual efforts at winning the lady's heart, fail, resulting in rib tickling comic scenes. Apart from their amorous interests, there is a quest for hidden treasure in the old couple's house. For, there is also a gangster in this story by the name of Babli who has his own story to tell.",['150'],India,Hindi,,7.5,495034
Golmaal 3,2010,"Action, Comedy, Drama",Rohit Shetty,Nothing from IMDB,"Mithun Chakraborty, Ajay Devgn, Kareena Kapoor, Tusshar Kapoor, Arshad Warsi, Shreyas Talpade, Kunal Kemmu, Ratna Pathak Shah, Johny Lever, Sanjay Mishra","After selling fake examination papers to students, Madhav, Laxman and Lucky re-locate to Goa, and not only get into verbal & physical confrontations with Gopal and Laxman, but also ruin their jet-ski and fire-works businesses. Feeling threatened, they inform their bus-driver father, Pritam, who goes to confront Gopal and Laxman, and finds out that their mother, Geeta P. Chopra, is his long-lost love. Gopal's girlfriend, Daboo, overhears their conversation, and gets them dramatically married - just in time as Pritam is heavily in debt and is about to be evicted by goons led by Raghav. Chaos and violent confrontations will become the order when he takes his children to live with Geeta, and the newly married couple may conclude that divorce may be the only solution to end their respective children's disputes.",['155'],India,Hindi,,5.6,1562859
Golmaal Again,2017,"Action, Comedy, Fantasy, Horror",Rohit Shetty,Nothing from IMDB,"Ajay Devgn, Arshad Warsi, Tabu, Shreyas Talpade, Tusshar Kapoor, Kunal Kemmu, Parineeti Chopra, Neil Nitin Mukesh, Prakash Raj, Johny Lever","Gopal,Laxman1,Madhav,Lucky and Laxman 2 live in orphanage of Jamnadas.One day they come across an abandoned baby outside the orphanage and name her Kushi.Gopal and Mahadav don't get well with each other and often have fights.Gopal leaves the orphanage with Laxman 1 and Madhav also leaves with Lucky and Laxman 2.Years later they have grown up an earn good by doing con jobs and send a share to Jamnadas's orphanage.One day they come to know that Jamnadas is no more and they go to attend his prayer meeting.Anna their childhood friend who can communicate with spirits meets them at a prayer meeting.While the 5 boys leave the orphanage after the prayer meeting a strange figure follows them.Anna is sure the boys will come back in orphanage as the strange figure wants their help.",['140'],India,Hindi,,5.0,1806913
Golmaal Fun Unlimited,2006,"Action, Comedy, Drama",Rohit Shetty,Neeraj Vora,"Ajay Devgn, Arshad Warsi, Sharman Joshi, Tusshar Kapoor, Rimi Sen, Paresh Rawal, Sushmita Mukherjee, Vrajesh Hirjee, Mukesh Tiwari, Sanjay Mishra","Gopal, Lucky, Madhav and Laxman - four guys bound together by their child-like notoriety, aimlessness and petty business of conning people for fun and money. Laxman is an intelligent student who is not allowed to pass by his mischievous band of friends Gopal, Madhav and mute Lucky. This is because all four friends use his hostel room to conduct their activities. He is peer-pressured into running a series of scams in order to earn himself and his friends some money. Once thrown out of college bag-n-baggage, the naughty foursome finds refuge in the bungalow of a blind couple as their grandson. A cat mouse game unfolds as Laxman's body and Gopal's voice makes for Sameer (The grandson from US). Each time the blinded Dadaji comes amidst them, hilarious situations arise Enter Nirali with a bath towel and the group now have time, place and 'resources' to fall in love. Their individual efforts at winning the lady's heart, fail, resulting in rib tickling comic scenes. Apart from their amorous interests, there is a quest for hidden treasure in the old couple's house. For, there is also a gangster in this story by the name of Babli who has his own story to tell.",['150'],India,Hindi,,7.5,495034
