Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The Hole,2001,"Drama, Mystery, Thriller",Nick Hamm,Nothing from IMDB,"Thora Birch, Desmond Harrington, Daniel Brocklebank, Laurence Fox, Keira Knightley, Embeth Davidtz, Steven Waddington, Emma Griffiths Malin, Jemma Powell, Gemma Craven","Four teenagers studying at a private school in England discover an underground fallout shelter thanks to a friend, who agrees to have them hide there with the door locked for a few days to escape a school trip, under the guise of his best friend becoming close with one of the guys. Yet, time passes, and their friend doesn't come back to get them.",['102'],"United Kingdom, France, Canada",English,,6.2,242527
The House,2017,"Comedy, Crime",Andrew Jay Cohen,"Brendan O'Brien, Andrew Jay Cohen","Will Ferrell, Amy Poehler, Jason Mantzoukas, Ryan Simpkins, Nick Kroll, Allison Tolman, Rob Huebel, Christina Offley, Jessie Ennis, Rory Scovel","Scott and Kate Johansson are elated to discover their daughter Alex has been accepted into bucknell university. However, the town college scholarship program refuses to fund any more tuitions. Out of options, the couple makes an executive decision to open an underground illegal casino in their friend Frank's basement. Unfortunately, the authorities soon become suspicious. Now what?!",['88'],United States,English,,5.6,4481514
The Hunter's Prayer,2017,"Action, Thriller",Jonathan Mostow,Nothing from IMDB,"Martin Compston, Tina Maskell, Eben Young, Stephanie Dooley, Odeya Rush, Lucy Jackson, Claudia Trujillo, Kate Dobson, Sam Worthington, Eudald Font","This high-octane thriller focuses on Lucas (Sam Worthington), a solitary assassin hired to kill a young woman, Ella (Odeya Rush). When he can't bring himself to pull the trigger, the plan falls apart, setting in motion a twisted game of cat-and-mouse. Now both are marked for death and forced to form an uneasy alliance. Relentlessly pursued across Europe, their only hope for survival is to expose those responsible for brutally murdering her family and bring them to justice.",['91'],"Germany, Spain, United States","English, German, French",,5.6,2674358
The Intern,2015,"Comedy, Drama",Nancy Meyers,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm, JoJo Kushner, Andrew Rannells, Adam Devine, Zack Pearlman, Jason Orley, Christina Scherer","A retired 70-year-old widower, Ben (played by Robert De Niro), is bored with retired life. He applies to a be a senior intern at an online fashion retailer and gets the position. The founder of the company is Jules Ostin (Anne Hathaway), a tireless, driven, demanding, dynamic workaholic. Ben is made her intern, but this is a nominal role - she doesn't intend to give him work and it is just window dressing. However, Ben proves to be quite useful and, more than that, a source of support and wisdom.",['121'],United States,"English, Japanese",,7.1,2361509
The Interview,2014,"Action, Adventure, Comedy","Evan Goldberg, Seth Rogen",Nothing from IMDB,"James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi, Paul Bae, Geoff Gustafson","In the action-comedy The Interview, Dave Skylark (James Franco) and his producer Aaron Rapoport (Seth Rogen) run the popular celebrity tabloid TV show ""Skylark Tonight."" When they discover that North Korean dictator Kim Jong-un is a fan of the show, they land an interview with him in an attempt to legitimize themselves as journalists. As Dave and Aaron prepare to travel to Pyongyang, their plans change when the CIA recruits them, perhaps the two least-qualified men imaginable, to assassinate Kim Jong-un.",['112'],United States,"Korean, Japanese, English",,6.5,2788710
The Judge,2014,"Crime, Drama, Mystery, Thriller",David Dobkin,Nothing from IMDB,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton, Vincent D'Onofrio, Jeremy Strong, Dax Shepard, Leighton Meester, Ken Howard, Emma Tremblay","Hank Palmer is a successful defense attorney in Chicago, who is getting a divorce. When his brother calls with the news that their mother has died, Hank returns to his childhood home to attend the funeral. Despite the brittle bond between Hank and the Judge, Hank must come to his father's aid and defend him in court. Here, Hank discovers the truth behind the case, which binds together the dysfunctional family and reveals the struggles and secrecy of the family.",['141'],United States,English,,7.4,1872194
The Jungle Book,2016,"Animation, Action, Adventure, Drama, Family, Fantasy, Musical",Jon Favreau,Nothing from IMDB,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken, Garry Shandling, Brighton Rose Favreau","Living among the wolves in the jungle, young man cub Mowgli quickly learns to live life among his wolf pack and all the animals that inhabit the jungle, but when the villainous tiger Shere Khan threatens Mowgli's life, black panther Bagheera offers to take Mowgli to a nearby man village where he will be safe from the tiger's wrath. Along the way, Mowgli gets tangled up in a series of encounters with a sly snake named Kaa, a swimmingly ruthless gigantopithecus named King Louie and a lazy bear named Baloo, who quickly becomes his guide to the 'bear necessities' of life.",['106'],"United Kingdom, United States, New Zealand, France, Canada, India","English, Russian, Hindi, Bangla, Kannada, Telugu, Tamil, Assamese, Urdu, Odia, Punjabi, Malayalam, Marathi, Rajasthani, Haryanvi, Nepali, Swahili",,7.4,3040964
The Loft,2015,"Comedy, Drama",Nothing from IMDB,Natalie Faye,"Renée Myers, Natalie Faye, Jordane Christie, Kathryn Kuhn, Ryan Pater, Marlene Ginader, Juliet Coffey, Alejandro La Rosa, Nicole Kontolefa, Ave M. Lindon","The Loft is a character-driven dramedy series created by Natalie Faye. It follows a motley crew of struggling young creatives whose lives intersect in the illegal DUMBO loft apartment they share. Emily, a bright eyed and bushy tailed Midwestern girl, moves to New York to be an actress, armed only with two suitcases, bad headshots, and a closet full of skeletons. After falling for a classic Craigslist bait-and-switch, she finds herself living with Rosalie, a kleptomaniacal hippie and nympho; Cassius, a charming but meddlesome entrepreneur starting a new dating website; and Jane, a sneaky and self-obsessed lesbian fashion blogger with a plethora of first world problems. They are joined by Rosalie's bandmates - the morally ambiguous Sebastian and the freeloading Andrea, who stir up trouble and make themselves quite at home. The roommates and their unwanted guests find their lives increasingly intertwined as they hurtle towards the discovery that one in their midst is not what they seem.",,United States,English,,7.4,4058650
The Longest Day,1962,"Action, Drama, History, War","Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck",Nothing from IMDB,"Eddie Albert, Paul Anka, Arletty, Jean-Louis Barrault, Richard Beymer, Hans Christian Blech, Bourvil, Richard Burton, Wolfgang Büttner, Red Buttons","In 1944, the U.S. Army and Allied forces plan a huge invasion landing in Normandy, France. Despite bad weather, General Dwight D. Eisenhower gives the okay and the Allies land at Normandy. General Norma Cota travels with his men onto Omaha Beach. With much effort, and lost life, they get off the beach, traveling deep into French territory. The German military, due to arrogance, ignorance and a sleeping Adolf Hitler, delay their response to the Allied landing, with crippling results.",['178'],United States,"English, German, French",,7.7,56197
The Love Witch,2016,"Comedy, Horror, Romance, Thriller",Anna Biller,Anna Biller,"Samantha Robinson, Gian Keys, Laura Waddell, Jeffrey Vincent Parise, Jared Sanford, Robert Seeley, Jennifer Ingrum, Randy Evans, Clive Ashborn, Lily Holleman","Elaine, a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, and then picks up men and seduces them. However her spells work too well, and she ends up with a string of hapless victims. When she finally meets the man of her dreams, her desperation to be loved will drive her to the brink of insanity and murder. With a visual style that pays tribute to Technicolor thrillers of the 1970s,""The Love Witch"" explores female fantasy and the repercussions of pathological narcissism.",['120'],United States,English,,6.2,3908142
