Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Everest,2015,"Action, Adventure, Biography, Drama, Thriller",Baltasar Kormákur,"William Nicholson, Simon Beaufoy","Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson, Tom Goodman-Hill, Charlotte Bøving, Pemba Sherpa, Amy Shindler, Simon Harrison, Chris Reilly","On the morning of May 10, 1996, climbers from two commercial expeditions start their final ascent toward the summit of Mount Everest, the highest point on Earth. With little warning, a violent storm strikes the mountain, engulfing the adventurers in one of the fiercest blizzards ever encountered by man. Challenged by the harshest conditions imaginable, the teams must endure blistering winds and freezing temperatures in an epic battle to survive against nearly impossible odds.",['121'],"United Kingdom, United States, Iceland","English, Russian",,7.1,2719848
Exposed,2016,"Crime, Drama, Mystery, Thriller",Gee Malik Linton,Gee Malik Linton,"Ana de Armas, Gabe Vargas, Sandy Tejada, Venus Ariel, Ariel Pacheco, Ismael Cruz Cordova, Anthony Ruiz, Stephen Thompson, Keanu Reeves, Mira Sorvino","Detective Galban (Keanu Reeves) finds his partner and close friend, Detective Cullen, murdered in a subway. On the hunt for the killer(s), Galban begins to suspect his partner may have been heavily involved in drug dealing and police corruption. As Galban investigates, people who knew Cullen are conveniently found dead. The closer Galban gets to the truth, both Cullen's wife, Janine (Mira Sorvino), and his lieutenant (Christopher McDonald) try to persuade him to back off, fearing his findings may discredit Cullen and expose corruption within the police department. Galban's only remaining lead is Isabel, a young, devout, Latina girl who resides with her in-laws. Galban fears her life could be in jeopardy should he get too close to her. However, Isabel has recently experienced something not from this world, something mystical that she believes is truly a miracle. Not unlike Galban, Isabel is dealing with her own demons from the past, a past that just may lead them to the truth; in turn, bringing both some form of assurance.",['102'],United States,"English, Spanish",,4.3,4019560
Falaknuma Das,2019,"Action, Thriller",Vishwak Sen,Chemban Vinod Jose,"Aakash, Ajay, Sunjit Akkinepalli, Master Aman, Hasini Anvi, Aravind, Azhar, Upendra Barman, Basha, Avinash Baswapuram",,['145'],India,Telugu,,6.3,9799984
Fanney Khan,2018,"Comedy, Drama, Music",Atul Manjrekar,Nothing from IMDB,"Aishwarya Rai Bachchan, Anil Kapoor, Rajkummar Rao, Divya Dutta, Swati Semwal, Siddharth Amar, Anaya, Asif Basra, Sushma Bhagwat, Pooja Bhamrrah",Prashant Kumar an orchestra singer of 90s known as Fanney Khan is fan of Mohdmmad Rafi.But could never make it to the music world.When his daughter is born he names her Lata after Lata Mageshkar and promises to make her big singer.Many years later Lata aspires to be a singer but is criticized for her weight.Prashant now works in a small factory which shuts its operation and he feels his dreams of making Lata a singer will be shattered.Prashant takes up to driving taxi secretly.Baby Singh a well known singer sits in his car.Prashant kidnaps her keeps her and takes to his factory where he is supported by his friend Adir.They both call Baby's manager Karan Kakkad and ask him for ransom.,['130'],India,Nothing from IMDB,,4.5,6384386
Fashion,2008,"Drama, Romance",Madhur Bhandarkar,Nothing from IMDB,"Priyanka Chopra Jonas, Kangana Ranaut, Mugdha Godse, Arbaaz Khan, Arjan Bajwa, Raj Babbar, Kiran Juneja, Samir Soni, Kitu Gidwani, Suchitra Pillai","Set against the glittering backdrop of the glamorous but ruthless world of haute couture fashion, this is the story of a small-town girl with big dreams. Meghna always knew she was meant to be famous, but she was about to find out the hard way that success came at a price. Fashion is the tale of what happens when the price of success becomes too high.",['167'],India,Hindi,,6.9,964516
Cabin Fever,2002,Horror,Eli Roth,Nothing from IMDB,"Rider Strong, Jordan Ladd, James DeBello, Cerina Vincent, Joey Kern, Arie Verveen, Robert Harris, Hal Courtney, Matthew Helms, Richard Boone","College friends Paul, Karen, Bert, Marcy and Jeff rent an isolated cabin in the woods to spend a week together. When they arrive, a man contaminated with a weird disease asks them for help, but they panic and burn the man, who falls into the water reservoir and dies. The whole group, except Karen, makes a pact to drink only beer the rest of the week without knowing where the dead body is. When Karen drinks tap water and gets the disease, the group begins their journey to hell.",['93'],United States,English,,5.6,303816
67th Wolf777news Filmfare Awards 2022,2022,Reality-TV,Nothing from IMDB,Nothing from IMDB,"Ranveer Singh, Arjun Kapoor, Maniesh Paul, Kriti Sanon, Vicky Kaushal, Vidya Balan, Vishnuvardhan, Subhash Ghai, Kartik Aaryan, Kiara Advani",,,India,Hindi,,5.2,21997744
Filmistaan,2012,Comedy,Nitin Kakkar,Nitin Kakkar,"Sharib Hashmi, Inaamulhaq, Kumud Mishra, Gopal Datt, Manoj Bakshi, Ravi Sah","In Mumbai, affable Bollywood buff and wanna-be-actor Sunny, who works as an assistant director, fantasizes on becoming a heart-throb star. However, at every audition he is summarily thrown out. Undeterred, he goes with an American crew to remote areas in Rajasthan to work on a documentary. One day an Islamic terrorist group kidnaps him for the American crew-member. Sunny finds himself on enemy border amidst guns and pathani-clad guards, who decide to keep him hostage until they locate their original target. The house In which he is confined belongs to a Pakistani, whose trade stems from pirated Hindi films, which he brings back every time he crosses the border. Soon, the two factions realize that they share a human and cultural bond. The film shows how cinema can be the universal panacea for co-existence.",['117'],India,Hindi,,7.3,2417560
Finding Fanny,2014,"Adventure, Comedy, Drama, Romance",Homi Adajania,Nothing from IMDB,"Deepika Padukone, Naseeruddin Shah, Basilo Dias, Kevin D'Mello, Urcelina Mascarenhas, Dimple Kapadia, Ankur Tewari, Anjali Patil, Ranveer Singh, Meher Verma","Late one night, an undelivered letter is returned to postmaster and singer Ferdinand 'Ferdie' Pinto. He realizes that his one true love Stefanie 'Fanny' Fernandes never received the marriage proposal he sent to her forty-six years earlier. Angie, a young widow and Ferdie's dear friend suggests they go on a road trip to find Fanny. Joining them on the journey is Rosie, Angie's mother-in-law; and Don Pedro, an artists who is keen to paint Rosie. Driving the car is Savio, the childhood friend whose heart Angie broke six years earlier when she married another.",['102'],India,"English, Hindi, Konkani",,5.7,3142688
Firaaq,2008,"Drama, History, Thriller",Nandita Das,Nothing from IMDB,"Inaamulhaq, Nassar, Shahana Goswami, Nawazuddin Siddiqui, Paresh Rawal, Honey Chhaya, Deepti Naval, Dilip Joshi, Kavan Antani, Naseeruddin Shah","Following riots in Gujarat, Arati experiences guilt that she didn't open her door to shelter an injured Muslim woman; her husband Sanjay had looted merchandise from shops and his brother Devan had even sexually molested Muslim women. Young lad Mohsin leaves the safety of an army-guarded camp to look for his father. Music maestro Jahangir Khan faces isolation. Sameer Shaikh and his Hindu wife Anuradha decide to relocate to Delhi. Muneera suspects her Hindu friend Jyoti of setting her house on fire, while biased officers continue to oppress Muslims, and five Muslim men find a gun and attempt to seek vengeance.",['101'],India,"Hindi, Urdu, English",,7.3,1263679
