Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The Hidden Face,2011,"Drama, Horror, Mystery, Thriller",Andrés Baiz,Nothing from IMDB,"Quim Gutiérrez, Martina García, María Soledad Rodríguez, Jose Luis Garcia, Marcela Mar, Humberto Dorado, Julio Pachón, Juan Alfonso Baptista, Marcela Benjumea, Clara Lago","Adrián, a talented orchestra conductor, receives a video message from his beloved Belén, telling him, with tears in her eyes, that she is leaving him; she cannot live with him anymore. Shattered by the unexpected news of their irreversible break-up and puzzled by Belén's inexplicable decision, Adrián receives help from the local police to solve the knotty case of her unaccountable disappearance. However, with Belén still missing, can Adrián think outside the box and look beyond the facts? After all, a lie can hide the truth, but it can't change it.",['97'],"Spain, Colombia",Spanish,,7.3,1772250
The Hitman's Bodyguard,2017,"Action, Comedy, Crime, Thriller",Patrick Hughes,Tom O'Connor,"Elodie Yung, Ryan Reynolds, Tsuwayuki Saotome, Roy Hill, Richard E. Grant, Gary Oldman, Rod Hallett, Yuri Kolokolnikov, Nadia Konakchieva, Valentin Stojanov","With his reputation in tatters after the painfully unsuccessful delivery of a distinguished Japanese client, the former triple-A protection agent, Michael Bryce, is now reduced to a mere second-class bodyguard for hire, two years after the disgraceful incident. Under those circumstances, Bryce would do anything to prove his worth, and, before long, he accepts an offer from Interpol to escort the international assassin, Darius Kincaid, from Manchester to the Hague. The task seems simple: Bryce needs to transport him from point A to point B; nevertheless, the trip to the Netherlands is long and hazardous, and Kincaid--as the only one with the guts and enough hard evidence to testify against a tyrannical Belarusian dictator--is an obvious target. Undoubtedly, it's a tough job, as the mismatched duo will have to put aside their grudges, and race against the clock in a non-stop concerto for bullets. Can the hitman's bodyguard carry through the most important mission in his career?",['118'],"United States, Hong Kong, Bulgaria, Netherlands, Canada, United Kingdom, France","English, Russian, French, Japanese, Italian, Dutch, Spanish",,6.9,1959563
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",Peter Jackson,Nothing from IMDB,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner","Bilbo Baggins is swept into a quest to reclaim the lost Dwarf Kingdom of Erebor from the fearsome dragon Smaug. Approached out of the blue by the wizard Gandalf the Grey, Bilbo finds himself joining a company of thirteen dwarves led by the legendary warrior, Thorin Oakenshield. Their journey will take them into the Wild; through treacherous lands swarming with Goblins and Orcs, deadly Wargs and Giant Spiders, Shapeshifters and Sorcerers. Although their goal lies to the East and the wastelands of the Lonely Mountain first they must escape the goblin tunnels, where Bilbo meets the creature that will change his life forever ... Gollum. Here, alone with Gollum, on the shores of an underground lake, the unassuming Bilbo Baggins not only discovers depths of guile and courage that surprise even him, he also gains possession of Gollum's ""precious"" ring that holds unexpected and useful qualities ... A simple, gold ring that is tied to the fate of all Middle-earth in ways Bilbo cannot begin to know.",['169'],"New Zealand, United States",English,,7.8,903624
The Homesman,2014,"Drama, Western",Tommy Lee Jones,Nothing from IMDB,"Tommy Lee Jones, Hilary Swank, Grace Gummer, Miranda Otto, Sonja Richter, Jo Harvey Allen, Barry Corbin, David Dencik, William Fichtner, Evan Jones","Nebraska, 1854. As the cold, snowy chill begins to settle, Mary Bee Cuddy, an independent, lonely yet strong-willed former teacher, undertakes to escort three women suffering from prairie madness to Lady's Aid Society Methodist Church, Hebron, Iowa. As Mary embarks on a long, challenging, and peril-laden journey, an unexpected ally in the shape of a claim jumper crosses paths with her: rugged George Briggs. However, whatever may be their fate, nothing will ever be the same again. What will it take to reach Altha Carter, the compassionate wife of the church's reverend?",['122'],"France, United States","English, Danish",,6.6,2398231
The House Next Door,2017,Horror,Milind Rau,Nothing from IMDB,"Siddharth, Andrea Jeremiah, Anisha Victor, Atul Kulkarni, Suresh, Avinash Raghudevan, Prakash Belawadi, Khushi Hajare, Manav Vij","The movie opens with an ancient Chinese mother and daughter. They seem to spend happy moments with each other with the mother being pregnant. The movie then moves to the present where a happy couple Krish [Siddharth] and Lakshmi [Andrea Jeremiah] make love, bringing in their memories of the times they met and how their love blossomed. They suddenly notice that a new family move into the next house. Krish is a doctor who uses electrodes inserted into the brain to bring the sensation to numb fingers. He is close to another doctor, Dr Prasad, who is a psychiatrist.",['137'],India,"Tamil, Hindi",,6.7,7471004
The Hunger Games,2012,"Action, Adventure, Sci-Fi, Thriller",Gary Ross,Nothing from IMDB,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields, Liam Hemsworth, Elizabeth Banks, Sandra Ellis Lafferty, Paula Malcomson, Rhoda Griffis, Sandino Moya-Smith","In a dystopian future, the totalitarian nation of Panem is divided into 12 districts and the Capitol. Each year two young representatives from each district are selected by lottery to participate in The Hunger Games. Part entertainment, part brutal retribution for a past rebellion, the televised games are broadcast throughout Panem. The 24 participants are forced to eliminate their competitors while the citizens of Panem are required to watch. When 16-year-old Katniss' young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart, Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives.",['142'],United States,English,,7.2,1392170
The Illusionist,2006,"Drama, Fantasy, Mystery, Romance, Thriller",Neil Burger,Nothing from IMDB,"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell, Eddie Marsan, Jake Wood, Tom Fisher, Aaron Taylor-Johnson, Eleanor Tomlinson, Karl Johnson","In late nineteenth century Vienna, renowned illusionist Eisenheim is reunited with the Duchess von Teschen when she is volunteered from the audience to participate in an illusion during one of his performances. Despite having not seen each other in fifteen years when they were teenagers, they almost immediately recognize each other as Eduard Abramovich and Sophie von Teschen, they who had a doomed romance at that time due to their class differences. The Duchess is soon to be wed to the Crown Prince Leopold in what would be for him a marriage solely in pursuit of power: overthrowing his father, the Emperor Leopold, as well as overtaking the Hungarian side of the empire. The Crown Prince is known to use violence against women if it suits his needs or purposes. As such, the Duchess, who realizes that she still loves Eisenheim and he her, can never leave the Crown Prince without it jeopardizing her life. After Eisenheim humiliates the Crown Prince at a private show which results in an incident between the Crown Prince and the Duchess, the battle between Eisenheim and the Crown Prince moves into the public performance realm, which many believe demonstrates Eisenheim's supernatural powers. Much of the work for the Crown Prince in the battle with Eisenheim is conducted by Chief Inspector Uhl, who would become the Chief of Police under the Crown Prince's reign. As such, Uhl may have ulterior motives in turning a blind eye to any unlawful act of the Crown Prince against Eisenheim or the Duchess.",['110'],"United States, Czechia",English,,7.5,443543
The Imitation Game,2014,"Biography, Drama, Thriller, War",Morten Tyldum,Nothing from IMDB,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear, Allen Leech, Matthew Beard, Charles Dance, Mark Strong, James Northcote, Tom Goodman-Hill","It is based on the real life story of legendary cryptanalyst Alan Turing. The film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",['114'],"United Kingdom, United States","English, German",,8.0,2084970
The Inbetweeners 2,2014,Comedy,"Damon Beesley, Iain Morris","Damon Beesley, Iain Morris","Simon Bird, James Buckley, Blake Harrison, Joe Thomas, Emily Berrington, Freddie Stroma, David Field, Belinda Stewart-Wilson, Tamla Kari, Lydia Rose Bewley","Neil, Will, and Simon receive an invite from Jay to join him in Australia on his gap year, who promises them it's ''the sex capital of the world''. With their lives now rather dull compared to their hedonistic school days and legendary lads' holiday, it's an offer they can't refuse. Once again, they put growing up temporarily on-hold, and embark on the backpacking holiday of a lifetime in an awful car, inspired by Peter Andre's 'Mysterious Girl'. Will soon finds himself battling with the lads to do something cultural, while they focus their attention on drinking, girls, and annoying fellow travelers.",['96'],"United Kingdom, China, Russia, North Korea",English,,6.4,3097204
The Internship,2013,Comedy,Shawn Levy,Nothing from IMDB,"Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi, Max Minghella, Josh Brener, Dylan O'Brien, Tiya Sircar, Tobit Raphael Capati, Josh Gad","Billy (Vince Vaughn) and Nick (Owen Wilson) are salesmen whose careers have been torpedoed by the digital world. Trying to prove they are not obsolete, they defy the odds by talking their way into a coveted internship at Google, along with a battalion of brilliant college students. But, gaining entrance to this utopia is only half the battle. Now they must compete with a group of the nation's most elite, tech-savvy geniuses to prove that necessity really is the mother of re-invention.",['119'],United States,"English, Tagalog, Cantonese, Mandarin, Spanish",,6.3,2234155
