Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Laid to Rest,2009,"Horror, Thriller",Robert Hall,Robert Hall,"Bobbi Sue Luther, Kevin Gage, Lena Headey, Sean Whalen, Richard Lynch, Johnathon Schaech, Thomas Dekker, Nick Principe, Jana Kramer, Lucas Till",A terrifying story of a young girl who wakes up in a casket with a traumatic head injury and no memory of her identity. She quickly realizes she was abducted by a Deranged Serial Murderer and in an isolated rural town she must survive the night and outsmart the technologically inclined killer who is hellbent on finishing what he started.,['90'],United States,English,,5.2,1228933
Larry Crowne,2011,"Comedy, Drama, Romance",Tom Hanks,"Tom Hanks, Nia Vardalos","Tom Hanks, Sarah Mahoney, Roxana Ortega, Randall Park, Brady Rubin, Alex Quijano, Tina Huang, E-Kan Soong, Tarina Pouncy, Sy Richardson","Until he was downsized, affable, amiable Larry Crowne (Hanks) was a superstar team leader at the big-box company where he's worked since his time in the Navy. Underwater on his mortgage and unclear on what to do with his suddenly free days, Larry heads to his local college to start over. There he becomes part of a colorful community of outcasts, also-rans and the overlooked all trying to find a better future for themselves...often moving around town in a herd of scooters. In his public-speaking class, Larry develops an unexpected crush on his teacher Mercedes Tainot (Roberts), who has lost as much passion for teaching as she has for her husband. The simple guy who has every reason to think his life has stalled will come to learn an unexpected lesson: when you think everything worth having has passed you by, you just might discover your reason to live.",['98'],"United States, France","English, Spanish",,6.1,1583420
Last Action Hero,1993,"Action, Adventure, Comedy, Fantasy",John McTiernan,Nothing from IMDB,"Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance, Frank McRae, Tom Noonan, Robert Prosky, Anthony Quinn, Mercedes Ruehl, Austin O'Brien","Young Danny Madigan is a huge fan of Jack Slater, a larger-than-life action hero played by Arnold Schwarzenegger. When his best friend, Nick the projectionist, gives him a magic ticket to the newest Jack Slater movie, Danny is transported into Slater's world, his number one hero where the good guys always win. It's a dream come true for Danny, but things take a turn for the worse when one of Slater's enemies, Benedict the hit man, gets ahold of the ticket and ends up in Danny's world. Slater and Danny must join forces and travel back and stop him at all costs before it'll be the end of Jack Slater.",['130'],United States,English,,6.5,107362
Last Shift,2014,"Horror, Mystery",Anthony DiBlasi,"Anthony DiBlasi, Scott Poiley","Juliana Harkavy, Joshua Mikel, Hank Stone, J. LaRose, Sarah Sculco, Kathryn Kilger, Natalie Victoria, Mary Lankford Poiley, Matt Doman, Lindsi Jeter","A Manson-inspired horror film centering around a transitioning police station. Officer Jessica Loren has been assigned to wait for a Hazmat team to pick up bio-hazardous waste from the station's armory. But unbeknownst to Jessica, cult Leader John Michael Paymon has haunted the department ever since he and two of this followers committed suicide a year ago to date. And now, Jessica is about to find out how dangerous they can be when she's left alone on this Last Shift.",['88'],United States,English,,5.8,2965466
Lawless,2012,"Biography, Crime, Drama",John Hillcoat,Nothing from IMDB,"Shia LaBeouf, Tom Hardy, Jason Clarke, Guy Pearce, Jessica Chastain, Mia Wasikowska, Dane DeHaan, Chris McGarry, Tim Tolin, Gary Oldman","In 1931, in Franklin County, Virginia, Forrest Bondurant is a legend as immortal after surviving the war. Together with his brothers Howard and the coward Jack, the Bondurant family has a distillery and bootlegging business. When the corrupt District Attorney Mason Wardell arrives in Franklin with the unscrupulous Special Deputy Charles Rakes, the Bondurant family refuses to pay the required bribe to the authorities. Rakes pursues the brothers and unsuccessfully tries to find their distillery. Meanwhile Forrest hires the waitress Maggie, a woman with a hidden past in Chicago, and they fall in love with each other. Jack courts the preacher's daughter Bertha Minnix and deals a great load of alcoholic liquor with the powerful gangster Floyd Banner. Jack shows off in Franklin attracting the attention of Rakes that finds the location of their distillery. When he kills the crippled Cricket Pete, the locals join forces to face the corrupt authorities.",['116'],United States,English,,7.2,1212450
Leap!,2016,"Animation, Adventure, Comedy, Family, Music","Eric Summer, Éric Warin",Nothing from IMDB,"Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler, Terrence Scammell, Tamir Kapelian, Julie Khaner, Joe Sheridan, Elana Dunkelman, Shoshana Sperling","In the 1880s, poor orphan girl Félicie, who dreams of becoming a ballerina but lacks formal training, runs away from her orphanage in rural Brittany with her best friend, young inventor Victor. Together they go to beautiful Paris, but they soon become separated, and Victor becomes an office boy in Gustave Eiffel's workshop. Félicie finds her way to the Paris Opera, where the guard catches her trespassing. She is rescued by a mysterious cleaner with a limp, Odette, who agrees to let Félicie stay with her until she gets on her feet. Odette works for both the Opera and for the cruel and imperious Régine Le Haut, a wealthy restaurant owner. While helping Odette clean, Félicie spies Regine's daughter Camille practicing ballet. Camille sees Félicie, insults her, and throws her treasured music box out the window, breaking it. As Félicie takes it to Victor for repair, she intercepts the postman who brings a letter from the Opera admitting Camille to the celebrated school of the Paris Opera Ballet; in her anger, she hides the letter and decides to assume Camille's identity to get into the school and pursue her dream, while also getting back at Camille..",['89'],"France, Canada",English,,6.7,2261287
"Legally Blonde 2: Red, White & Blonde",2003,Comedy,Charles Herman-Wurmfeld,Nothing from IMDB,"Reese Witherspoon, Sally Field, Regina King, Jennifer Coolidge, Bruce McGill, Dana Ivey, Mary Lynn Rajskub, Jessica Cauffiel, Alanna Ubach, J Barton","Sassy postgrad Elle Woods (Reese Witherspoon) is all about animal rights. In fact, she puts her nuptial plans on hold to head to Washington, D.C. to get an anti-animal testing bill passed. Her building's doorman quickly shows her the ways and workings of our nation's capital.",['95'],United States,English,,4.8,333780
Legends of the Fall,1994,"Drama, Romance, War, Western",Edward Zwick,Nothing from IMDB,"Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond, Henry Thomas, Karina Lombard, Tantoo Cardinal, Gordon Tootoosis, Paul Desmond, Christina Pickles","In early twentieth century Montana, Colonel William Ludlow (Sir Anthony Hopkins) lives in the wilderness with his sons, Tristan (Brad Pitt), Alfred (Aidan Quinn), and Samuel (Henry Thomas). Eventually, the unconventional, but close-knit, family encounters tragedy when Samuel is killed in World War I. Tristan and Alfred survive their tours of duty, but, soon after they return home, both men fall for Samuel's gorgeous fiancée, Susannah (Julia Ormond), and their intense rivalry begins to destroy the family.",['133'],United States,"English, Cornish",,7.5,110322
A Series of Unfortunate Events,2004,"Adventure, Comedy, Family, Fantasy",Brad Silberling,Nothing from IMDB,"Jim Carrey, Liam Aiken, Emily Browning, Kara Hoffman, Shelby Hoffman, Jude Law, Timothy Spall, Catherine O'Hara, Billy Connolly, Meryl Streep","Three children - Violet (Emily Browning), Klaus (Liam Aiken), and Sunny Baudelaire (Kara and Shelby Hoffman) - are left orphaned when their house burns down, with their parents in it, in mysterious circumstances. They are left in the custody of a distant relative, Count Olaf (Jim Carrey). It is soon apparent that Count Olaf only cares about the children for their large inheritance.",['108'],"Germany, United States",English,,6.8,339291
Léon: The Professional,1994,"Action, Crime, Drama, Thriller",Luc Besson,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel, Willi One Blood, Don Creech, Keith A. Glascoe, Randolph Scott, Michael Badalucco","After her father, step-mother, step-sister and little brother are killed by her father's employers, the 12-year-old daughter of an abject drug dealer manages to take refuge in the apartment of a professional hitman who at her request teaches her the methods of his job so she can take her revenge on the corrupt DEA agent who ruined her life by killing her beloved brother.",['110'],"France, United States","English, Italian, French",,8.5,110413
