Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
End of the Line,2024,Comedy,Nothing from IMDB,Rodrigo Sant'anna,"Rodrigo Sant'anna, Faiska Alves, Polly Marinho, Nany People, Gustavo Carr, Thaynara Og, Tuca Andrada, Vittor Fernando, Bia Guedes, Maria Do Carmo Soares",,['22'],Brazil,Portuguese,,4.2,30476509
The Other Guys,2010,"Action, Comedy, Crime, Thriller",Adam McKay,"Adam McKay, Chris Henchy","Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes, Michael Keaton, Larnell Stovall, Jalil Jay Lynch, Roy T. Anderson, Ray Stevenson, Samuel L. Jackson","Terry Hoitz's past mistakes in the line of duty and Allen Gamble's reluctance to take risks have landed them the roles of the ""Other Guys"", disgraced New York City police detectives relegated to filling out paperwork for cocky hero cops Danson and Highsmith. The mismatched duo must look past their differences when they take on a high-profile investigation of shady capitalist David Ershon and attempt to fill the shoes of the notoriously reckless officers they idolize.",['107'],United States,"English, Ukrainian",,6.6,1386588
The Other Woman,2014,"Comedy, Romance",Nick Cassavetes,Melissa K. Stack,"Cameron Diaz, Leslie Mann, Nikolaj Coster-Waldau, Don Johnson, Kate Upton, Taylor Kinney, Nicki Minaj, Kenneth Maharaj, Alyshia Ochse, Victor Cruz","After discovering that her boyfriend is married, Carly Whitten tries to get her ruined life back on track. But when she accidentally meets the wife he's been cheating on, she realizes that they have much in common, and her sworn enemy becomes her greatest friend. When yet another affair is discovered, all three women team up to plot mutual revenge on their cheating, lying, three-timing SOB.",['109'],United States,English,,6.0,2203939
The Patriot,2000,"Action, Drama, History, War",Roland Emmerich,Robert Rodat,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs, Chris Cooper, Tchéky Karyo, Rene Auberjonois, Lisa Brenner, Tom Wilkinson, Donal Logue","It is 1776 in colonial South Carolina. Benjamin Martin, a French-Indian war hero who is haunted by his past, now wants nothing more than to live peacefully on his small plantation, and wants no part of a war with the most powerful nation in the world, Great Britain. Meanwhile, his two eldest sons, Gabriel and Thomas, can't wait to enlist in the newly formed ""Continental Army."" When South Carolina decides to join the rebellion against England, Gabriel immediately signs up to fight...without his father's permission. But when Colonel William Tavington, British dragoon, infamous for his brutal tactics, comes and burns the Martin Plantation to the ground, tragedy strikes. Benjamin quickly finds himself torn between protecting his family, and seeking revenge along with being a part of the birth of a new, young, and ambitious nation.",['165'],"United States, Germany","English, French",,7.2,187393
The Painting Pool,2013,"Drama, Romance",Maziar Miri,Hamed Mohammadi,"Seyed Mahmoud Chaharsoughi, Siamak Ehsaii, Sepahrad Farzami, Shahab Hosseini, Negar Javaherian, Elham Korda, Efat Rasolinezhad, Fereshteh Sadre Orafaiy, Hojjat Hassanpour Sargaroui, Asghar Shariati","Maryam (Negar Javaherian) and Reza (Shahab Hosseini) are different from other people, it's not just a simple difference, but a very big difference. They must try to prove to others they have solved the big difference with the miracle of love ...",['92'],Iran,Persian,,7.4,2848876
The Proposal,2009,"Comedy, Drama, Romance",Anne Fletcher,Peter Chiarelli,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson, Betty White, Denis O'Hare, Malin Akerman, Oscar Nuñez, Aasif Mandvi, Michael Nouri","For three years, Andrew Paxton has slaved as the assistant to Margaret Tate, hard-driving editor at a New York publisher. When Margaret, a Canadian, faces deportation for an expired visa, she hatches a scheme to marry Andrew, and he agrees if she will promise him a promotion. A skeptical INS agent vows to test the couple about each other the next Monday. Andrew had plans to fly home that weekend for his grandma's 90th, so Margaret goes with him--to Sitka, Alaska, where Mom, Dad, and Grandma await. Family dynamics take over: tensions between Andrew and his dad, an ex-girlfriend, Andrew's dislike of Margaret, and Margaret's past color the next few days, with the INS ready to charge Andrew with fraud.",['108'],United States,English,,6.7,1041829
The Purge: Election Year,2016,"Action, Horror, Sci-Fi, Thriller",James DeMonaco,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, J.J. Soria, Betty Gabriel, Terry Serpico, Edwin Hodge, Kyle Secor, Barry Nolan, Liza Colón-Zayas","It's been two years since Leo Barnes (Frank Grillo) stopped himself from a regrettable act of revenge on Purge Night. Now serving as head of security for Senator Charlie Roan (Elizabeth Mitchell), his mission is to protect her in a run for president and survive the annual ritual that targets the poor and innocent. But when a betrayal forces them onto the streets of D.C. on the one night when no help is available, they must stay alive until dawn...or both be sacrificed for their sins against the state.",['108'],United States,"English, Russian, Afrikaans",,6.0,4094724
The Quake,2018,"Action, Drama, Thriller",John Andreas Andersen,Nothing from IMDB,"Kristoffer Joner, Ane Dahl Torp, Edith Haagenrud-Sande, Kathrine Thorborg Johansen, Jonas Hoff Oftebro, Stig R. Amdam, Catrin Sagen, Per Frisch, Hanna Skogstad, Runar Døving",,['106'],Norway,Norwegian,,6.2,6523720
The Raid 2,2014,"Action, Crime, Thriller",Gareth Evans,Gareth Evans,"Iko Uwais, Arifin Putra, Tio Pakusadewo, Oka Antara, Alex Abbad, Cecep Arif Rahman, Julie Estelle, Very Tri Yulisman, Ryûhei Matsuda, Ken'ichi Endô","He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a fight that left the bodies of police and gangsters alike piled in the halls - rookie Jakarta cop Rama thought it was done and he could resume a normal life. He couldn't have been more wrong. Formidable though they may have been, Rama's opponents in that fateful building were nothing more than small fish swimming in a pond much larger than he ever dreamed possible. And his triumph over the small fry has attracted the attention of the predators farther up the food chain. His family at risk, Rama has only one choice to protect his infant son and wife: He must go undercover to enter the criminal underworld himself and climb through the hierarchy of competing forces until it leads him to the corrupt politicians and police pulling the strings at the top of the heap. And so Rama begins a new odyssey of violence, a journey that will force him to set aside his own life and history and take on a new identity as the violent offender ""Yuda."" In prison he must gain the confidence of Uco - the son of a prominent gang kingpin - to join the gang himself, laying his own life on the line in a desperate all-or-nothing gambit to bring the whole rotten enterprise to an end.",['150'],"Indonesia, United States","Indonesian, Japanese, English, Sign Languages",,7.9,2265171
The Raid: Redemption,2011,"Action, Crime, Thriller",Gareth Evans,Gareth Evans,"Iko Uwais, Joe Taslim, Donny Alamsyah, Yayan Ruhian, Pierre Gruno, Ray Sahetapy, Tegar Satrya, Iyang Darmawan, Eka 'Piranha' Rahmadia, Verdi Solaiman","In Jakarta, Indonesia, Lieutenant Wahyu organizes the invasion of an apartment building that is the safe house of the powerful and cruel drug lord Tama and his gang. The SWAT team breaks in the building but one lookout sees and warns the gangsters and the police force is trapped on the seventh floor. They learn that Lt. Wahyu has not informed his superiors about the operation. Now the police officers have to fight with limited ammunition against the armed and dangerous gangsters.",['101'],"Indonesia, France, United States","Indonesian, English",,7.6,1899353
