Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Ghost Rider: Spirit of Vengeance,2011,"Action, Fantasy, Thriller","Mark Neveldine, Brian Taylor",Nothing from IMDB,"Nicolas Cage, Violante Placido, Ciarán Hinds, Idris Elba, Johnny Whitworth, Fergus Riordan, Spencer Wilding, Sorin Tofan, Jacek Koman, Anthony Head","Johnny Blaze, a man who made a deal with the Devil who called himself Mephistopheles at the time (now Roarke), is on the run trying to make sure no-one is harmed by his alter ego, The Ghost Rider. He is approached by a Monk named Moreau who tells him that he can help be him free of the Rider, but first, he needs Johnny's help to protect a boy, whom Roarke has plans for, to help him take human form.",['96'],"United States, United Arab Emirates","English, Romanian",,4.3,1071875
Gia,1998,"Biography, Drama, Romance",Michael Cristofer,"Jay McInerney, Michael Cristofer","Angelina Jolie, Elizabeth Mitchell, Eric Michael Cole, Kylie Travis, Louis Giambalvo, John Considine, Scott Cohen, Edmund Genest, Mercedes Ruehl, Faye Dunaway","When Gia Carangi first arrives in New York City, she's a beautiful drop-out from Philadelphia brashly bursting through the closed doors of top modeling agent Wilhelmina Cooper. Gia's electrifying personality and potent sexuality soon find their way onto the covers of America's top-selling magazines. But being loved by the world isn't the same as being love by one - an unfulfilled desire that can take Gia dangerous places. And for a beautiful woman, one slip could lead to an untimely and terrifying downfall.",['120'],United States,"English, German, French",,6.9,123865
Gods of Egypt,2016,"Action, Adventure, Drama, Fantasy",Alex Proyas,"Matt Sazama, Burk Sharpless","Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau, Paula Arundell, Alia Seror-O'Neill, Emily Wheaton, Elodie Yung, Rachael Blake, Bryan Brown","Set, the merciless god of darkness, has taken over the throne of Egypt and plunged the once peaceful and prosperous empire into chaos and conflict. Few dare to rebel against him. A young thief, whose love was taken captive by the god, seeks to dethrone and defeat Set with the aid of the powerful god Horus.",['127'],"United States, Australia, China, Hong Kong",English,,5.4,2404233
Going in Style,2017,"Comedy, Crime",Zach Braff,Nothing from IMDB,"Michael Caine, Alan Arkin, Ann-Margret, Matt Dillon, Joey King, Christopher Lloyd, Maria Dizzia, Morgan Freeman, John Ortiz, Siobhan Fallon Hogan","Three seniors, who have been wronged by the company they worked for thirty years and are living social security check to check, decide they have had enough. So, they plan to rob the bank that is taking their pension money. Joe Harding (Sir Michael Caine), a man who lives with his daughter and granddaughter, who which he has a strong relationship with is having troubles with his mortgage. Willy Davis (Morgan Freeman), lives very far away from the only family he has but needs desperate kidney surgery. Albert Gardner (Alan Arkin), a grumpy old man who a long time ago used to play the saxophone and is constantly flirting with the grandmother of his student. The problem is, they don't even know how to handle a gun.",['96'],United States,English,,6.6,2568862
Goldfinger,1964,"Action, Adventure, Thriller",Guy Hamilton,Nothing from IMDB,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton, Tania Mallet, Harold Sakata, Bernard Lee, Martin Benson, Cec Linder, Austin Willis","British secret agent James Bond is tasked by the Bank of England and Mi6 to investigate gold magnate Auric Goldfinger, who they suspect is building up a vast inventory of gold bars. At first, nothing seems all too special about the gold obsessed tycoon, but after Bond gains knowledge of a secret scheme involving Goldfinger which is about to be initiated; codename ""Operation Grand Slam"", he realizes that the fate of the entire western economy may be at stake if the bullion dealer is not stopped.",['110'],"United Kingdom, United States","English, Chinese, Spanish",,7.7,58150
Gone Baby Gone,2007,"Crime, Drama, Mystery, Thriller",Ben Affleck,Nothing from IMDB,"Casey Affleck, Michelle Monaghan, Morgan Freeman, Ed Harris, John Ashton, Amy Ryan, Amy Madigan, Titus Welliver, Michael Kenneth Williams, Edi Gathegi","When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt Beatrice McCready hires two private detectives Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons - they're not cops and they know the tough Boston neighborhood in which they all live. As the case progresses, Kenzie and Gennaro face drug dealers, gangs and pedophiles. When they are about to solve their case, they are faced with a moral dilemma that could tear them apart.",['114'],United States,English,,7.6,452623
Gone in 60 Seconds,2000,"Action, Crime, Thriller",Dominic Sena,Nothing from IMDB,"Nicolas Cage, Giovanni Ribisi, Angelina Jolie, T.J. Cross, William Lee Scott, Scott Caan, James Duval, Will Patton, Delroy Lindo, Timothy Olyphant","In exchange for his little brother's life, the reformed car thief, Randall ""Memphis"" Raines, has to do the impossible: in less than three days, he has to steal not one, but fifty exotic supercars for the ruthless crime lord, Ray Calitri. To stand a chance of pulling off this intricate and time-sensitive grand theft auto, once more, Memphis has to rely on his old gang--his knowledgeable mentor, Otto; the old friends, Sphinx and Donny; his reluctant ex-girlfriend, Sway, and a band of tech-savvy young thieves--however, the police are already onto them. Now, fast Lamborghinis, precious Ferraris, luxurious Porsches, and Eleanor--a rare Ford Shelby Mustang GT500--are just some of the cars in Raines' long list. Can Memphis execute the perfect car heist?",['118'],United States,English,,6.5,187078
Good Will Hunting,1997,"Drama, Romance",Gus Van Sant,"Matt Damon, Ben Affleck","Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton, Rachel Majorowski, Colleen McCauley, Casey Affleck, Cole Hauser, Matt Mercier, Ralph St. George","A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart.",['126'],United States,English,,8.3,119217
Gravity,2013,"Drama, Sci-Fi, Thriller",Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen, Phaldut Sharma, Amy Warren, Basher Savage","Dr. Ryan Stone (Sandra Bullock) is a brilliant medical engineer on her first shuttle mission, with veteran astronaut Matt Kowalski (George Clooney) in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The shuttle is destroyed, leaving Stone and Kowalsky completely alone - tethered to nothing but each other and spiraling out into the blackness.",['91'],"United Kingdom, United States","English, Kalaallisut",,7.7,1454468
Green Zone,2010,"Action, Drama, Thriller, War",Paul Greengrass,Nothing from IMDB,"Igal Naor, Said Faraj, Faycal Attougui, Aymen Hamdouchi, Matt Damon, Nicoye Banks, Jerry Della Salla, Sean Huze, Michael J. Dwyer, Edouard H.R. Gluck","Following the American invasion of Iraq in 2003 Chief Warrant Officer Roy Miller and his men are charged with finding the so-called weapons of mass destruction, whose existence justified American involvement, according to the Pentagon and their man in Baghdad, Poundstone. Veteran CIA operative Marty tells Miller that there are no weapons, it is a deception to allow the Americans to take over the country and install a puppet leader. Also suspicious of Poundstone is Wall Street Journal reporter Lawrie Dayne, who lets slip to Miller that Poundstone told her he had secret talks in Jordan with an important Iraqi, code-named Magellan, who told him about the weapons, though it now seems likely Magellan's true information was to the contrary. So begins a hunt for the truth. Who's playing whom?",['115'],"United Kingdom, France, Spain, United States","English, Arabic",,6.8,947810
