File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\1920 2008.mp4,1920 2008,1.06,.mp4,20817028,"Thomas R. Metcalf, 'Imperial Connections: India in the Indian Ocean Arena, 1860-1920' (University of California Press, 2008)",2020,['Talk-Show'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\1920_Evil_Returns.mkv,1920_Evil_Returns,1.45,.mkv,11947158,Ek Villain Returns,2022,"['Action', 'Crime', 'Romance', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\1921.2018.mkv,1921_2018,1.02,.mkv,16158544,La Sotana 2019-21,2020,['Talk-Show'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\1942 A Love story 1994.mkv,1942 A Love Story 1994,1.37,.mkv,0109010,1942: A Love Story,1994,"['Action', 'Drama', 'History', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\2.States.2014.mkv,2_States_2014,1.2,.mkv,0080360,Altered States,1980,"['Horror', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\3 AM 2015.mkv,3 Am 2015,0.15,.mkv,4546704,3:33 a.m.,2015,"['Comedy', 'Horror']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\3 Idiots 2009.mkv,3 Idiots 2009,2.01,.mkv,1187043,3 Idiots,2009,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\36 Ghante.mp4,36 Ghante,0.73,.mp4,0071307,36 Ghante,1974,"['Action', 'Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\3G - A Killer Connection (2013).mkv,3G - A Killer Connection (2013),0.7,.mkv,2404519,3G: A Killer Connection,2013,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\404 - Error Not Found (2011).avi,404 - Error Not Found (2011),0.68,.avi,1883121,404: Error Not Found,2011,"['Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\50 Lakh.mp4,50 Lakh,1.4,.mp4,1111869,50 Lakh,2007,"['Comedy', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\706 (2019).mkv,706 (2019),1.36,.mkv,9390026,706,2019,['Thriller'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\Baazi 1951.mp4,Baazi 1951,0.64,.mp4,0043307,Gamble,1951,"['Crime', 'Drama', 'Musical', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\Drishyam 2 (2021).mkv,Drishyam 2 (2021),1.14,.mkv,12361178,Drishyam 2,2021,"['Crime', 'Drama', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\No Alpha\Teen Devian.mp4,Teen Devian,0.57,.mp4,0274944,Teen Devian,1965,"['Musical', 'Romance']",Bollywood
